,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Mohammad Shahzad,Hazratullah,MA Starc,0,0,null,0,0,null,null
1,0.2,Mohammad Shahzad,Hazratullah,MA Starc,0,0,null,0,0,null,null
2,0.3,Mohammad Shahzad,Hazratullah,MA Starc,0,0,null,0,1,Mohammad Shahzad,bowled
3,0.4,Rahmat Shah,Hazratullah,MA Starc,0,0,null,0,0,null,null
4,0.5,Rahmat Shah,Hazratullah,MA Starc,3,0,null,3,0,null,null
5,0.6,Hazratullah,Rahmat Shah,MA Starc,0,0,null,0,0,null,null
6,1.1,Rahmat Shah,Hazratullah,PJ Cummins,0,1,noballs ,1,0,null,null
7,1.2,Rahmat Shah,Hazratullah,PJ Cummins,1,0,null,1,0,null,null
8,1.3,Hazratullah,Rahmat Shah,PJ Cummins,0,0,null,0,1,Hazratullah,caught
9,1.4,Hashmatullah Shahidi,Rahmat Shah,PJ Cummins,0,0,null,0,0,null,null
10,1.5,Hashmatullah Shahidi,Rahmat Shah,PJ Cummins,1,0,null,1,0,null,null
11,1.6,Rahmat Shah,Hashmatullah Shahidi,PJ Cummins,0,0,null,0,0,null,null
12,1.7,Rahmat Shah,Hashmatullah Shahidi,PJ Cummins,0,0,null,0,0,null,null
13,2.1,Hashmatullah Shahidi,Rahmat Shah,MA Starc,4,0,null,4,0,null,null
14,2.2,Hashmatullah Shahidi,Rahmat Shah,MA Starc,0,0,null,0,0,null,null
15,2.3,Hashmatullah Shahidi,Rahmat Shah,MA Starc,0,0,null,0,0,null,null
16,2.4,Hashmatullah Shahidi,Rahmat Shah,MA Starc,0,0,null,0,0,null,null
17,2.5,Hashmatullah Shahidi,Rahmat Shah,MA Starc,0,1,wides ,1,0,null,null
18,2.6,Hashmatullah Shahidi,Rahmat Shah,MA Starc,0,0,null,0,0,null,null
19,2.7,Hashmatullah Shahidi,Rahmat Shah,MA Starc,0,0,null,0,0,null,null
20,3.1,Rahmat Shah,Hashmatullah Shahidi,PJ Cummins,2,0,null,2,0,null,null
21,3.2,Rahmat Shah,Hashmatullah Shahidi,PJ Cummins,0,0,null,0,0,null,null
