,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Javed Ahmadi,Usman Ghani,CA Young,0,0,null,0,0,null,null
1,0.2,Javed Ahmadi,Usman Ghani,CA Young,0,0,null,0,0,null,null
2,0.3,Javed Ahmadi,Usman Ghani,CA Young,0,0,null,0,0,null,null
3,0.4,Javed Ahmadi,Usman Ghani,CA Young,1,0,null,1,0,null,null
4,0.5,Usman Ghani,Javed Ahmadi,CA Young,0,1,wides ,1,0,null,null
5,0.6,Usman Ghani,Javed Ahmadi,CA Young,1,0,null,1,0,null,null
6,0.7,Javed Ahmadi,Usman Ghani,CA Young,4,0,null,4,0,null,null
7,1.1,Usman Ghani,Javed Ahmadi,JF Mooney,0,1,wides ,1,0,null,null
8,1.2,Usman Ghani,Javed Ahmadi,JF Mooney,0,0,null,0,0,null,null
9,1.3,Usman Ghani,Javed Ahmadi,JF Mooney,4,0,null,4,0,null,null
10,1.4,Usman Ghani,Javed Ahmadi,JF Mooney,1,0,null,1,0,null,null
11,1.5,Javed Ahmadi,Usman Ghani,JF Mooney,0,0,null,0,0,null,null
12,1.6,Javed Ahmadi,Usman Ghani,JF Mooney,2,0,null,2,0,null,null
13,1.7,Javed Ahmadi,Usman Ghani,JF Mooney,0,0,null,0,0,null,null
14,2.1,Usman Ghani,Javed Ahmadi,CA Young,0,0,null,0,0,null,null
15,2.2,Usman Ghani,Javed Ahmadi,CA Young,0,0,null,0,1,Usman Ghani,caught
16,2.3,Asghar Stanikzai,Javed Ahmadi,CA Young,0,0,null,0,0,null,null
17,2.4,Asghar Stanikzai,Javed Ahmadi,CA Young,1,0,null,1,0,null,null
18,2.5,Javed Ahmadi,Asghar Stanikzai,CA Young,0,1,wides ,1,0,null,null
19,2.6,Javed Ahmadi,Asghar Stanikzai,CA Young,0,0,null,0,0,null,null
20,2.7,Javed Ahmadi,Asghar Stanikzai,CA Young,0,0,null,0,0,null,null
21,3.1,Asghar Stanikzai,Javed Ahmadi,JF Mooney,0,0,null,0,0,null,null
22,3.2,Asghar Stanikzai,Javed Ahmadi,JF Mooney,2,0,null,2,0,null,null
23,3.3,Asghar Stanikzai,Javed Ahmadi,JF Mooney,0,0,null,0,0,null,null
24,3.4,Asghar Stanikzai,Javed Ahmadi,JF Mooney,0,0,null,0,0,null,null
25,3.5,Asghar Stanikzai,Javed Ahmadi,JF Mooney,0,0,null,0,0,null,null
26,3.6,Asghar Stanikzai,Javed Ahmadi,JF Mooney,4,0,null,4,0,null,null
27,4.1,Javed Ahmadi,Asghar Stanikzai,CA Young,3,0,null,3,0,null,null
28,4.2,Asghar Stanikzai,Javed Ahmadi,CA Young,0,0,null,0,0,null,null
29,4.3,Asghar Stanikzai,Javed Ahmadi,CA Young,2,0,null,2,0,null,null
30,4.4,Asghar Stanikzai,Javed Ahmadi,CA Young,0,0,null,0,0,null,null
31,4.5,Asghar Stanikzai,Javed Ahmadi,CA Young,0,0,null,0,0,null,null
32,4.6,Asghar Stanikzai,Javed Ahmadi,CA Young,0,0,null,0,0,null,null
33,5.1,Javed Ahmadi,Asghar Stanikzai,JF Mooney,0,0,null,0,0,null,null
34,5.2,Javed Ahmadi,Asghar Stanikzai,JF Mooney,0,0,null,0,0,null,null
35,5.3,Javed Ahmadi,Asghar Stanikzai,JF Mooney,2,0,null,2,0,null,null
36,5.4,Javed Ahmadi,Asghar Stanikzai,JF Mooney,0,0,null,0,0,null,null
37,5.5,Javed Ahmadi,Asghar Stanikzai,JF Mooney,0,0,null,0,0,null,null
38,5.6,Javed Ahmadi,Asghar Stanikzai,JF Mooney,0,0,null,0,0,null,null
39,6.1,Asghar Stanikzai,Javed Ahmadi,CA Young,2,0,null,2,0,null,null
40,6.2,Asghar Stanikzai,Javed Ahmadi,CA Young,0,1,legbyes ,1,0,null,null
41,6.3,Javed Ahmadi,Asghar Stanikzai,CA Young,0,1,wides ,1,0,null,null
42,6.4,Javed Ahmadi,Asghar Stanikzai,CA Young,1,0,null,1,0,null,null
43,6.5,Asghar Stanikzai,Javed Ahmadi,CA Young,3,0,null,3,0,null,null
44,6.6,Javed Ahmadi,Asghar Stanikzai,CA Young,0,0,null,0,1,Javed Ahmadi,caught
45,6.7,Samiullah Shenwari,Asghar Stanikzai,CA Young,0,0,null,0,0,null,null
46,7.1,Asghar Stanikzai,Samiullah Shenwari,AR Cusack,1,0,null,1,0,null,null
47,7.2,Samiullah Shenwari,Asghar Stanikzai,AR Cusack,0,0,null,0,0,null,null
48,7.3,Samiullah Shenwari,Asghar Stanikzai,AR Cusack,0,0,null,0,0,null,null
49,7.4,Samiullah Shenwari,Asghar Stanikzai,AR Cusack,0,0,null,0,0,null,null
50,7.5,Samiullah Shenwari,Asghar Stanikzai,AR Cusack,0,0,null,0,0,null,null
51,7.6,Samiullah Shenwari,Asghar Stanikzai,AR Cusack,0,0,null,0,0,null,null
52,8.1,Asghar Stanikzai,Samiullah Shenwari,CA Young,1,0,null,1,0,null,null
53,8.2,Samiullah Shenwari,Asghar Stanikzai,CA Young,0,0,null,0,0,null,null
54,8.3,Samiullah Shenwari,Asghar Stanikzai,CA Young,0,0,null,0,0,null,null
55,8.4,Samiullah Shenwari,Asghar Stanikzai,CA Young,0,0,null,0,0,null,null
56,8.5,Samiullah Shenwari,Asghar Stanikzai,CA Young,0,0,null,0,0,null,null
57,8.6,Samiullah Shenwari,Asghar Stanikzai,CA Young,0,1,legbyes ,1,0,null,null
58,9.1,Samiullah Shenwari,Asghar Stanikzai,AR Cusack,0,0,null,0,0,null,null
59,9.2,Samiullah Shenwari,Asghar Stanikzai,AR Cusack,0,0,null,0,0,null,null
60,9.3,Samiullah Shenwari,Asghar Stanikzai,AR Cusack,0,0,null,0,0,null,null
61,9.4,Samiullah Shenwari,Asghar Stanikzai,AR Cusack,1,0,null,1,0,null,null
62,9.5,Asghar Stanikzai,Samiullah Shenwari,AR Cusack,3,0,null,3,0,null,null
63,9.6,Samiullah Shenwari,Asghar Stanikzai,AR Cusack,0,0,null,0,0,null,null
64,10.1,Asghar Stanikzai,Samiullah Shenwari,CA Young,0,1,wides ,1,0,null,null
65,10.2,Asghar Stanikzai,Samiullah Shenwari,CA Young,3,0,null,3,0,null,null
66,10.3,Samiullah Shenwari,Asghar Stanikzai,CA Young,0,0,null,0,0,null,null
67,10.4,Samiullah Shenwari,Asghar Stanikzai,CA Young,0,0,null,0,0,null,null
68,10.5,Samiullah Shenwari,Asghar Stanikzai,CA Young,0,0,null,0,0,null,null
69,10.6,Samiullah Shenwari,Asghar Stanikzai,CA Young,0,0,null,0,0,null,null
70,10.7,Samiullah Shenwari,Asghar Stanikzai,CA Young,0,0,null,0,0,null,null
71,11.1,Asghar Stanikzai,Samiullah Shenwari,AR Cusack,0,0,null,0,0,null,null
72,11.2,Asghar Stanikzai,Samiullah Shenwari,AR Cusack,0,0,null,0,0,null,null
73,11.3,Asghar Stanikzai,Samiullah Shenwari,AR Cusack,1,0,null,1,0,null,null
74,11.4,Samiullah Shenwari,Asghar Stanikzai,AR Cusack,1,0,null,1,0,null,null
75,11.5,Asghar Stanikzai,Samiullah Shenwari,AR Cusack,0,0,null,0,0,null,null
76,11.6,Asghar Stanikzai,Samiullah Shenwari,AR Cusack,0,0,null,0,0,null,null
77,12.1,Samiullah Shenwari,Asghar Stanikzai,KJ O'Brien,0,0,null,0,0,null,null
78,12.2,Samiullah Shenwari,Asghar Stanikzai,KJ O'Brien,0,0,null,0,0,null,null
79,12.3,Samiullah Shenwari,Asghar Stanikzai,KJ O'Brien,0,0,null,0,0,null,null
80,12.4,Samiullah Shenwari,Asghar Stanikzai,KJ O'Brien,0,0,null,0,0,null,null
81,12.5,Samiullah Shenwari,Asghar Stanikzai,KJ O'Brien,0,0,null,0,0,null,null
82,12.6,Samiullah Shenwari,Asghar Stanikzai,KJ O'Brien,2,0,null,2,0,null,null
83,13.1,Asghar Stanikzai,Samiullah Shenwari,AR Cusack,0,0,null,0,0,null,null
84,13.2,Asghar Stanikzai,Samiullah Shenwari,AR Cusack,0,0,null,0,0,null,null
85,13.3,Asghar Stanikzai,Samiullah Shenwari,AR Cusack,0,0,null,0,0,null,null
86,13.4,Asghar Stanikzai,Samiullah Shenwari,AR Cusack,1,0,null,1,0,null,null
87,13.5,Samiullah Shenwari,Asghar Stanikzai,AR Cusack,0,0,null,0,0,null,null
88,13.6,Samiullah Shenwari,Asghar Stanikzai,AR Cusack,0,0,null,0,0,null,null
89,14.1,Asghar Stanikzai,Samiullah Shenwari,KJ O'Brien,0,0,null,0,0,null,null
90,14.2,Asghar Stanikzai,Samiullah Shenwari,KJ O'Brien,0,0,null,0,0,null,null
91,14.3,Asghar Stanikzai,Samiullah Shenwari,KJ O'Brien,0,0,null,0,0,null,null
92,14.4,Asghar Stanikzai,Samiullah Shenwari,KJ O'Brien,0,0,null,0,0,null,null
93,14.5,Asghar Stanikzai,Samiullah Shenwari,KJ O'Brien,0,0,null,0,0,null,null
94,14.6,Asghar Stanikzai,Samiullah Shenwari,KJ O'Brien,1,0,null,1,0,null,null
95,15.1,Asghar Stanikzai,Samiullah Shenwari,GH Dockrell,0,0,null,0,0,null,null
96,15.2,Asghar Stanikzai,Samiullah Shenwari,GH Dockrell,0,0,null,0,0,null,null
97,15.3,Asghar Stanikzai,Samiullah Shenwari,GH Dockrell,0,0,null,0,0,null,null
98,15.4,Asghar Stanikzai,Samiullah Shenwari,GH Dockrell,0,0,null,0,0,null,null
99,15.5,Asghar Stanikzai,Samiullah Shenwari,GH Dockrell,0,0,null,0,0,null,null
100,15.6,Asghar Stanikzai,Samiullah Shenwari,GH Dockrell,0,0,null,0,0,null,null
101,16.1,Samiullah Shenwari,Asghar Stanikzai,KJ O'Brien,0,0,null,0,0,null,null
102,16.2,Samiullah Shenwari,Asghar Stanikzai,KJ O'Brien,1,0,null,1,0,null,null
103,16.3,Asghar Stanikzai,Samiullah Shenwari,KJ O'Brien,1,0,null,1,0,null,null
104,16.4,Samiullah Shenwari,Asghar Stanikzai,KJ O'Brien,1,0,null,1,0,null,null
105,16.5,Asghar Stanikzai,Samiullah Shenwari,KJ O'Brien,1,0,null,1,0,null,null
106,16.6,Samiullah Shenwari,Asghar Stanikzai,KJ O'Brien,0,0,null,0,0,null,null
107,17.1,Asghar Stanikzai,Samiullah Shenwari,GH Dockrell,1,0,null,1,0,null,null
108,17.2,Samiullah Shenwari,Asghar Stanikzai,GH Dockrell,1,0,null,1,0,null,null
109,17.3,Asghar Stanikzai,Samiullah Shenwari,GH Dockrell,0,0,null,0,0,null,null
110,17.4,Asghar Stanikzai,Samiullah Shenwari,GH Dockrell,0,0,null,0,0,null,null
111,17.5,Asghar Stanikzai,Samiullah Shenwari,GH Dockrell,0,0,null,0,0,null,null
112,17.6,Asghar Stanikzai,Samiullah Shenwari,GH Dockrell,0,0,null,0,0,null,null
113,18.1,Samiullah Shenwari,Asghar Stanikzai,KJ O'Brien,0,0,null,0,0,null,null
114,18.2,Samiullah Shenwari,Asghar Stanikzai,KJ O'Brien,0,0,null,0,0,null,null
115,18.3,Samiullah Shenwari,Asghar Stanikzai,KJ O'Brien,0,0,null,0,0,null,null
116,18.4,Samiullah Shenwari,Asghar Stanikzai,KJ O'Brien,1,0,null,1,0,null,null
117,18.5,Asghar Stanikzai,Samiullah Shenwari,KJ O'Brien,0,0,null,0,0,null,null
118,18.6,Asghar Stanikzai,Samiullah Shenwari,KJ O'Brien,1,0,null,1,0,null,null
119,19.1,Asghar Stanikzai,Samiullah Shenwari,GH Dockrell,0,0,null,0,0,null,null
120,19.2,Asghar Stanikzai,Samiullah Shenwari,GH Dockrell,1,0,null,1,0,null,null
121,19.3,Samiullah Shenwari,Asghar Stanikzai,GH Dockrell,0,0,null,0,0,null,null
