,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,SJ Myburgh,MR Swart,Dawlat Zadran,0,0,null,0,0,null,null
1,0.2,SJ Myburgh,MR Swart,Dawlat Zadran,4,0,null,4,0,null,null
2,0.3,SJ Myburgh,MR Swart,Dawlat Zadran,4,0,null,4,0,null,null
3,0.4,SJ Myburgh,MR Swart,Dawlat Zadran,0,0,null,0,0,null,null
4,0.5,SJ Myburgh,MR Swart,Dawlat Zadran,4,0,null,4,0,null,null
5,0.6,SJ Myburgh,MR Swart,Dawlat Zadran,0,0,null,0,0,null,null
6,1.1,MR Swart,SJ Myburgh,Karim Sadiq,1,0,null,1,0,null,null
7,1.2,SJ Myburgh,MR Swart,Karim Sadiq,0,0,null,0,0,null,null
8,1.3,SJ Myburgh,MR Swart,Karim Sadiq,0,0,null,0,0,null,null
9,1.4,SJ Myburgh,MR Swart,Karim Sadiq,0,0,null,0,0,null,null
10,1.5,SJ Myburgh,MR Swart,Karim Sadiq,0,0,null,0,0,null,null
11,1.6,SJ Myburgh,MR Swart,Karim Sadiq,0,0,null,0,0,null,null
12,2.1,MR Swart,SJ Myburgh,Dawlat Zadran,0,1,wides ,1,0,null,null
13,2.2,MR Swart,SJ Myburgh,Dawlat Zadran,0,0,null,0,0,null,null
14,2.3,MR Swart,SJ Myburgh,Dawlat Zadran,0,0,null,0,0,null,null
15,2.4,MR Swart,SJ Myburgh,Dawlat Zadran,4,0,null,4,0,null,null
16,2.5,MR Swart,SJ Myburgh,Dawlat Zadran,0,0,null,0,0,null,null
17,2.6,MR Swart,SJ Myburgh,Dawlat Zadran,4,0,null,4,0,null,null
18,2.7,MR Swart,SJ Myburgh,Dawlat Zadran,0,0,null,0,0,null,null
19,3.1,SJ Myburgh,MR Swart,Karim Sadiq,1,0,null,1,0,null,null
20,3.2,MR Swart,SJ Myburgh,Karim Sadiq,4,0,null,4,0,null,null
21,3.3,MR Swart,SJ Myburgh,Karim Sadiq,0,0,null,0,0,null,null
22,3.4,MR Swart,SJ Myburgh,Karim Sadiq,0,0,null,0,0,null,null
23,3.5,MR Swart,SJ Myburgh,Karim Sadiq,0,0,null,0,0,null,null
24,3.6,MR Swart,SJ Myburgh,Karim Sadiq,1,0,null,1,0,null,null
25,4.1,MR Swart,SJ Myburgh,Zakiullah Zaki,0,0,null,0,0,null,null
26,4.2,MR Swart,SJ Myburgh,Zakiullah Zaki,0,0,null,0,0,null,null
27,4.3,MR Swart,SJ Myburgh,Zakiullah Zaki,0,0,null,0,0,null,null
28,4.4,MR Swart,SJ Myburgh,Zakiullah Zaki,0,0,null,0,0,null,null
29,4.5,MR Swart,SJ Myburgh,Zakiullah Zaki,1,0,null,1,0,null,null
30,4.6,SJ Myburgh,MR Swart,Zakiullah Zaki,1,0,null,1,0,null,null
31,5.1,SJ Myburgh,MR Swart,Karim Sadiq,0,0,null,0,0,null,null
32,5.2,SJ Myburgh,MR Swart,Karim Sadiq,0,0,null,0,0,null,null
33,5.3,SJ Myburgh,MR Swart,Karim Sadiq,0,0,null,0,0,null,null
34,5.4,SJ Myburgh,MR Swart,Karim Sadiq,2,0,null,2,0,null,null
35,5.5,SJ Myburgh,MR Swart,Karim Sadiq,0,0,null,0,0,null,null
36,5.6,SJ Myburgh,MR Swart,Karim Sadiq,0,0,null,0,0,null,null
37,6.1,MR Swart,SJ Myburgh,Zakiullah Zaki,0,5,wides ,5,0,null,null
38,6.2,MR Swart,SJ Myburgh,Zakiullah Zaki,1,0,null,1,0,null,null
39,6.3,SJ Myburgh,MR Swart,Zakiullah Zaki,0,1,wides ,1,0,null,null
40,6.4,SJ Myburgh,MR Swart,Zakiullah Zaki,1,0,null,1,0,null,null
41,6.5,MR Swart,SJ Myburgh,Zakiullah Zaki,1,0,null,1,0,null,null
42,6.6,SJ Myburgh,MR Swart,Zakiullah Zaki,0,0,null,0,0,null,null
43,6.7,SJ Myburgh,MR Swart,Zakiullah Zaki,4,0,null,4,0,null,null
44,6.8,SJ Myburgh,MR Swart,Zakiullah Zaki,1,0,null,1,0,null,null
45,7.1,SJ Myburgh,MR Swart,Karim Sadiq,1,0,null,1,0,null,null
46,7.2,MR Swart,SJ Myburgh,Karim Sadiq,0,0,null,0,0,null,null
47,7.3,MR Swart,SJ Myburgh,Karim Sadiq,0,0,null,0,0,null,null
48,7.4,MR Swart,SJ Myburgh,Karim Sadiq,1,0,null,1,0,null,null
49,7.5,SJ Myburgh,MR Swart,Karim Sadiq,0,0,null,0,0,null,null
50,7.6,SJ Myburgh,MR Swart,Karim Sadiq,0,0,null,0,0,null,null
51,8.1,MR Swart,SJ Myburgh,Izatullah Dawlatzai,0,0,null,0,0,null,null
52,8.2,MR Swart,SJ Myburgh,Izatullah Dawlatzai,1,0,null,1,0,null,null
53,8.3,SJ Myburgh,MR Swart,Izatullah Dawlatzai,0,0,null,0,0,null,null
54,8.4,SJ Myburgh,MR Swart,Izatullah Dawlatzai,0,0,null,0,1,SJ Myburgh,lbw
55,8.5,AN Kervezee,MR Swart,Izatullah Dawlatzai,1,0,null,1,0,null,null
56,8.6,MR Swart,AN Kervezee,Izatullah Dawlatzai,0,0,null,0,0,null,null
57,9.1,AN Kervezee,MR Swart,Dawlat Zadran,0,0,null,0,0,null,null
58,9.2,AN Kervezee,MR Swart,Dawlat Zadran,0,0,null,0,0,null,null
59,9.3,AN Kervezee,MR Swart,Dawlat Zadran,0,0,null,0,0,null,null
60,9.4,AN Kervezee,MR Swart,Dawlat Zadran,0,1,wides ,1,0,null,null
61,9.5,AN Kervezee,MR Swart,Dawlat Zadran,0,0,null,0,0,null,null
62,9.6,AN Kervezee,MR Swart,Dawlat Zadran,4,0,null,4,0,null,null
63,9.7,AN Kervezee,MR Swart,Dawlat Zadran,0,0,null,0,0,null,null
64,10.1,MR Swart,AN Kervezee,Izatullah Dawlatzai,0,0,null,0,0,null,null
65,10.2,MR Swart,AN Kervezee,Izatullah Dawlatzai,0,0,null,0,0,null,null
66,10.3,MR Swart,AN Kervezee,Izatullah Dawlatzai,0,0,null,0,0,null,null
67,10.4,MR Swart,AN Kervezee,Izatullah Dawlatzai,0,0,null,0,0,null,null
68,10.5,MR Swart,AN Kervezee,Izatullah Dawlatzai,1,0,null,1,0,null,null
69,10.6,AN Kervezee,MR Swart,Izatullah Dawlatzai,1,0,null,1,0,null,null
70,11.1,AN Kervezee,MR Swart,Samiullah Shenwari,0,0,null,0,0,null,null
71,11.2,AN Kervezee,MR Swart,Samiullah Shenwari,1,0,null,1,0,null,null
72,11.3,MR Swart,AN Kervezee,Samiullah Shenwari,1,0,null,1,0,null,null
73,11.4,AN Kervezee,MR Swart,Samiullah Shenwari,0,0,null,0,0,null,null
74,11.5,AN Kervezee,MR Swart,Samiullah Shenwari,0,0,null,0,0,null,null
75,11.6,AN Kervezee,MR Swart,Samiullah Shenwari,1,0,null,1,0,null,null
76,12.1,AN Kervezee,MR Swart,Izatullah Dawlatzai,0,0,null,0,0,null,null
77,12.2,AN Kervezee,MR Swart,Izatullah Dawlatzai,0,0,null,0,0,null,null
78,12.3,AN Kervezee,MR Swart,Izatullah Dawlatzai,0,0,null,0,0,null,null
79,12.4,AN Kervezee,MR Swart,Izatullah Dawlatzai,1,0,null,1,0,null,null
80,12.5,MR Swart,AN Kervezee,Izatullah Dawlatzai,0,0,null,0,0,null,null
81,12.6,MR Swart,AN Kervezee,Izatullah Dawlatzai,1,0,null,1,0,null,null
82,13.1,MR Swart,AN Kervezee,Samiullah Shenwari,1,0,null,1,0,null,null
83,13.2,AN Kervezee,MR Swart,Samiullah Shenwari,0,0,null,0,0,null,null
84,13.3,AN Kervezee,MR Swart,Samiullah Shenwari,4,0,null,4,0,null,null
85,13.4,AN Kervezee,MR Swart,Samiullah Shenwari,1,0,null,1,0,null,null
86,13.5,MR Swart,AN Kervezee,Samiullah Shenwari,0,0,null,0,0,null,null
87,13.6,MR Swart,AN Kervezee,Samiullah Shenwari,0,0,null,0,0,null,null
