,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Sharjeel Khan,Ahmed Shehzad,Shapoor Zadran,0,0,null,0,0,null,null
1,0.2,Sharjeel Khan,Ahmed Shehzad,Shapoor Zadran,0,0,null,0,0,null,null
2,0.3,Sharjeel Khan,Ahmed Shehzad,Shapoor Zadran,0,0,null,0,0,null,null
3,0.4,Sharjeel Khan,Ahmed Shehzad,Shapoor Zadran,0,0,null,0,0,null,null
4,0.5,Sharjeel Khan,Ahmed Shehzad,Shapoor Zadran,0,0,null,0,0,null,null
5,0.6,Sharjeel Khan,Ahmed Shehzad,Shapoor Zadran,1,0,null,1,0,null,null
6,1.1,Sharjeel Khan,Ahmed Shehzad,Dawlat Zadran,0,0,null,0,0,null,null
7,1.2,Sharjeel Khan,Ahmed Shehzad,Dawlat Zadran,0,0,null,0,0,null,null
8,1.3,Sharjeel Khan,Ahmed Shehzad,Dawlat Zadran,0,0,null,0,0,null,null
9,1.4,Sharjeel Khan,Ahmed Shehzad,Dawlat Zadran,0,0,null,0,0,null,null
10,1.5,Sharjeel Khan,Ahmed Shehzad,Dawlat Zadran,0,0,null,0,0,null,null
11,1.6,Sharjeel Khan,Ahmed Shehzad,Dawlat Zadran,4,0,null,4,0,null,null
12,2.1,Ahmed Shehzad,Sharjeel Khan,Shapoor Zadran,0,0,null,0,0,null,null
13,2.2,Ahmed Shehzad,Sharjeel Khan,Shapoor Zadran,0,0,null,0,0,null,null
14,2.3,Ahmed Shehzad,Sharjeel Khan,Shapoor Zadran,0,0,null,0,0,null,null
15,2.4,Ahmed Shehzad,Sharjeel Khan,Shapoor Zadran,0,0,null,0,0,null,null
16,2.5,Ahmed Shehzad,Sharjeel Khan,Shapoor Zadran,0,0,null,0,0,null,null
17,2.6,Ahmed Shehzad,Sharjeel Khan,Shapoor Zadran,0,0,null,0,0,null,null
