,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Javed Ahmadi,Usman Ghani,JH Davey,0,0,null,0,0,null,null
1,0.2,Javed Ahmadi,Usman Ghani,JH Davey,0,0,null,0,0,null,null
2,0.3,Javed Ahmadi,Usman Ghani,JH Davey,0,0,null,0,0,null,null
3,0.4,Javed Ahmadi,Usman Ghani,JH Davey,0,0,null,0,0,null,null
4,0.5,Javed Ahmadi,Usman Ghani,JH Davey,0,0,null,0,0,null,null
5,0.6,Javed Ahmadi,Usman Ghani,JH Davey,0,0,null,0,0,null,null
6,1.1,Usman Ghani,Javed Ahmadi,RML Taylor,0,0,null,0,0,null,null
7,1.2,Usman Ghani,Javed Ahmadi,RML Taylor,4,0,null,4,0,null,null
8,1.3,Usman Ghani,Javed Ahmadi,RML Taylor,4,0,null,4,0,null,null
9,1.4,Usman Ghani,Javed Ahmadi,RML Taylor,1,0,null,1,0,null,null
10,1.5,Javed Ahmadi,Usman Ghani,RML Taylor,1,0,null,1,0,null,null
11,1.6,Usman Ghani,Javed Ahmadi,RML Taylor,0,0,null,0,0,null,null
12,2.1,Javed Ahmadi,Usman Ghani,JH Davey,2,0,null,2,0,null,null
13,2.2,Javed Ahmadi,Usman Ghani,JH Davey,4,0,null,4,0,null,null
14,2.3,Javed Ahmadi,Usman Ghani,JH Davey,0,0,null,0,0,null,null
15,2.4,Javed Ahmadi,Usman Ghani,JH Davey,0,0,null,0,0,null,null
16,2.5,Javed Ahmadi,Usman Ghani,JH Davey,0,0,null,0,0,null,null
17,2.6,Javed Ahmadi,Usman Ghani,JH Davey,1,0,null,1,0,null,null
18,3.1,Javed Ahmadi,Usman Ghani,RML Taylor,0,0,null,0,0,null,null
19,3.2,Javed Ahmadi,Usman Ghani,RML Taylor,1,0,null,1,0,null,null
20,3.3,Usman Ghani,Javed Ahmadi,RML Taylor,0,0,null,0,0,null,null
21,3.4,Usman Ghani,Javed Ahmadi,RML Taylor,6,0,null,6,0,null,null
22,3.5,Usman Ghani,Javed Ahmadi,RML Taylor,0,1,legbyes ,1,0,null,null
23,3.6,Javed Ahmadi,Usman Ghani,RML Taylor,0,0,null,0,0,null,null
24,4.1,Usman Ghani,Javed Ahmadi,JH Davey,4,0,null,4,0,null,null
25,4.2,Usman Ghani,Javed Ahmadi,JH Davey,0,0,null,0,0,null,null
26,4.3,Usman Ghani,Javed Ahmadi,JH Davey,0,0,null,0,0,null,null
27,4.4,Usman Ghani,Javed Ahmadi,JH Davey,1,0,null,1,0,null,null
28,4.5,Javed Ahmadi,Usman Ghani,JH Davey,1,0,null,1,0,null,null
29,4.6,Usman Ghani,Javed Ahmadi,JH Davey,0,0,null,0,0,null,null
30,5.1,Javed Ahmadi,Usman Ghani,SM Sharif,0,0,null,0,0,null,null
31,5.2,Javed Ahmadi,Usman Ghani,SM Sharif,0,0,null,0,0,null,null
32,5.3,Javed Ahmadi,Usman Ghani,SM Sharif,6,0,null,6,0,null,null
33,5.4,Javed Ahmadi,Usman Ghani,SM Sharif,4,0,null,4,0,null,null
34,5.5,Javed Ahmadi,Usman Ghani,SM Sharif,1,0,null,1,0,null,null
35,5.6,Usman Ghani,Javed Ahmadi,SM Sharif,1,0,null,1,0,null,null
36,6.1,Usman Ghani,Javed Ahmadi,JH Davey,1,0,null,1,0,null,null
37,6.2,Javed Ahmadi,Usman Ghani,JH Davey,4,0,null,4,0,null,null
38,6.3,Javed Ahmadi,Usman Ghani,JH Davey,1,0,null,1,0,null,null
39,6.4,Usman Ghani,Javed Ahmadi,JH Davey,2,0,null,2,0,null,null
40,6.5,Usman Ghani,Javed Ahmadi,JH Davey,4,0,null,4,0,null,null
41,6.6,Usman Ghani,Javed Ahmadi,JH Davey,2,0,null,2,0,null,null
42,7.1,Javed Ahmadi,Usman Ghani,SM Sharif,0,0,null,0,0,null,null
43,7.2,Javed Ahmadi,Usman Ghani,SM Sharif,0,0,null,0,0,null,null
44,7.3,Javed Ahmadi,Usman Ghani,SM Sharif,0,1,wides ,1,0,null,null
45,7.4,Javed Ahmadi,Usman Ghani,SM Sharif,2,0,null,2,0,null,null
46,7.5,Javed Ahmadi,Usman Ghani,SM Sharif,4,0,null,4,0,null,null
47,7.6,Javed Ahmadi,Usman Ghani,SM Sharif,0,0,null,0,0,null,null
48,7.7,Javed Ahmadi,Usman Ghani,SM Sharif,0,0,null,0,0,null,null
49,8.1,Usman Ghani,Javed Ahmadi,MA Leask,4,0,null,4,0,null,null
50,8.2,Usman Ghani,Javed Ahmadi,MA Leask,1,0,null,1,0,null,null
51,8.3,Javed Ahmadi,Usman Ghani,MA Leask,0,0,null,0,0,null,null
52,8.4,Javed Ahmadi,Usman Ghani,MA Leask,0,0,null,0,0,null,null
53,8.5,Javed Ahmadi,Usman Ghani,MA Leask,0,0,null,0,0,null,null
54,8.6,Javed Ahmadi,Usman Ghani,MA Leask,0,0,null,0,0,null,null
55,9.1,Usman Ghani,Javed Ahmadi,SM Sharif,1,0,null,1,0,null,null
56,9.2,Javed Ahmadi,Usman Ghani,SM Sharif,0,0,null,0,0,null,null
57,9.3,Javed Ahmadi,Usman Ghani,SM Sharif,1,0,null,1,0,null,null
58,9.4,Usman Ghani,Javed Ahmadi,SM Sharif,0,0,null,0,0,null,null
59,9.5,Usman Ghani,Javed Ahmadi,SM Sharif,0,0,null,0,0,null,null
60,9.6,Usman Ghani,Javed Ahmadi,SM Sharif,1,0,null,1,0,null,null
61,10.1,Usman Ghani,Javed Ahmadi,MA Leask,0,0,null,0,0,null,null
62,10.2,Usman Ghani,Javed Ahmadi,MA Leask,3,0,null,3,0,null,null
63,10.3,Javed Ahmadi,Usman Ghani,MA Leask,0,0,null,0,0,null,null
64,10.4,Javed Ahmadi,Usman Ghani,MA Leask,2,0,null,2,0,null,null
65,10.5,Javed Ahmadi,Usman Ghani,MA Leask,0,0,null,0,0,null,null
66,10.6,Javed Ahmadi,Usman Ghani,MA Leask,0,0,null,0,0,null,null
67,11.1,Usman Ghani,Javed Ahmadi,SM Sharif,1,0,null,1,0,null,null
68,11.2,Javed Ahmadi,Usman Ghani,SM Sharif,4,0,null,4,0,null,null
69,11.3,Javed Ahmadi,Usman Ghani,SM Sharif,1,0,null,1,0,null,null
70,11.4,Usman Ghani,Javed Ahmadi,SM Sharif,0,1,wides ,1,0,null,null
71,11.5,Usman Ghani,Javed Ahmadi,SM Sharif,0,0,null,0,0,null,null
72,11.6,Usman Ghani,Javed Ahmadi,SM Sharif,0,0,null,0,0,null,null
73,11.7,Usman Ghani,Javed Ahmadi,SM Sharif,0,0,null,0,0,null,null
74,12.1,Javed Ahmadi,Usman Ghani,MA Leask,0,0,null,0,0,null,null
75,12.2,Javed Ahmadi,Usman Ghani,MA Leask,0,1,wides ,1,0,null,null
76,12.3,Javed Ahmadi,Usman Ghani,MA Leask,4,0,null,4,0,null,null
77,12.4,Javed Ahmadi,Usman Ghani,MA Leask,2,0,null,2,0,null,null
78,12.5,Javed Ahmadi,Usman Ghani,MA Leask,0,0,null,0,0,null,null
79,12.6,Javed Ahmadi,Usman Ghani,MA Leask,2,0,null,2,0,null,null
80,12.7,Javed Ahmadi,Usman Ghani,MA Leask,1,0,null,1,0,null,null
81,13.1,Javed Ahmadi,Usman Ghani,JH Davey,0,0,null,0,0,null,null
82,13.2,Javed Ahmadi,Usman Ghani,JH Davey,0,0,null,0,0,null,null
83,13.3,Javed Ahmadi,Usman Ghani,JH Davey,1,0,null,1,0,null,null
84,13.4,Usman Ghani,Javed Ahmadi,JH Davey,0,0,null,0,0,null,null
85,13.5,Usman Ghani,Javed Ahmadi,JH Davey,0,0,null,0,0,null,null
86,13.6,Usman Ghani,Javed Ahmadi,JH Davey,0,0,null,0,0,null,null
87,14.1,Javed Ahmadi,Usman Ghani,RML Taylor,0,0,null,0,0,null,null
88,14.2,Javed Ahmadi,Usman Ghani,RML Taylor,0,0,null,0,0,null,null
89,14.3,Javed Ahmadi,Usman Ghani,RML Taylor,0,0,null,0,0,null,null
90,14.4,Javed Ahmadi,Usman Ghani,RML Taylor,1,0,null,1,0,null,null
91,14.5,Usman Ghani,Javed Ahmadi,RML Taylor,1,0,null,1,0,null,null
92,14.6,Javed Ahmadi,Usman Ghani,RML Taylor,1,0,null,1,0,null,null
93,15.1,Javed Ahmadi,Usman Ghani,JH Davey,4,0,null,4,0,null,null
94,15.2,Javed Ahmadi,Usman Ghani,JH Davey,4,0,null,4,0,null,null
95,15.3,Javed Ahmadi,Usman Ghani,JH Davey,0,0,null,0,0,null,null
96,15.4,Javed Ahmadi,Usman Ghani,JH Davey,0,0,null,0,0,null,null
97,15.5,Javed Ahmadi,Usman Ghani,JH Davey,1,0,null,1,0,null,null
98,15.6,Usman Ghani,Javed Ahmadi,JH Davey,0,1,noballs ,1,0,null,null
99,15.7,Usman Ghani,Javed Ahmadi,JH Davey,2,0,null,2,0,null,null
100,16.1,Javed Ahmadi,Usman Ghani,RML Taylor,2,0,null,2,0,null,null
