,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Mohammad Shahzad,Ihsanullah,KM Jarvis,1,0,null,1,0,null,null
1,0.2,Ihsanullah,Mohammad Shahzad,KM Jarvis,4,0,null,4,0,null,null
2,0.3,Ihsanullah,Mohammad Shahzad,KM Jarvis,0,0,null,0,0,null,null
3,0.4,Ihsanullah,Mohammad Shahzad,KM Jarvis,1,0,null,1,0,null,null
4,0.5,Mohammad Shahzad,Ihsanullah,KM Jarvis,1,0,null,1,0,null,null
5,0.6,Ihsanullah,Mohammad Shahzad,KM Jarvis,0,0,null,0,0,null,null
6,1.1,Mohammad Shahzad,Ihsanullah,BV Vitori,0,0,null,0,0,null,null
7,1.2,Mohammad Shahzad,Ihsanullah,BV Vitori,0,0,null,0,0,null,null
8,1.3,Mohammad Shahzad,Ihsanullah,BV Vitori,0,0,null,0,0,null,null
9,1.4,Mohammad Shahzad,Ihsanullah,BV Vitori,2,0,null,2,0,null,null
10,1.5,Mohammad Shahzad,Ihsanullah,BV Vitori,0,0,null,0,0,null,null
11,1.6,Mohammad Shahzad,Ihsanullah,BV Vitori,4,0,null,4,0,null,null
12,2.1,Ihsanullah,Mohammad Shahzad,KM Jarvis,0,0,null,0,0,null,null
13,2.2,Ihsanullah,Mohammad Shahzad,KM Jarvis,0,0,null,0,0,null,null
14,2.3,Ihsanullah,Mohammad Shahzad,KM Jarvis,1,0,null,1,0,null,null
15,2.4,Mohammad Shahzad,Ihsanullah,KM Jarvis,0,0,null,0,0,null,null
16,2.5,Mohammad Shahzad,Ihsanullah,KM Jarvis,0,0,null,0,0,null,null
17,2.6,Mohammad Shahzad,Ihsanullah,KM Jarvis,0,0,null,0,0,null,null
18,3.1,Ihsanullah,Mohammad Shahzad,BV Vitori,0,0,null,0,0,null,null
19,3.2,Ihsanullah,Mohammad Shahzad,BV Vitori,0,0,null,0,0,null,null
20,3.3,Ihsanullah,Mohammad Shahzad,BV Vitori,4,0,null,4,0,null,null
21,3.4,Ihsanullah,Mohammad Shahzad,BV Vitori,1,0,null,1,0,null,null
22,3.5,Mohammad Shahzad,Ihsanullah,BV Vitori,1,0,null,1,0,null,null
23,3.6,Ihsanullah,Mohammad Shahzad,BV Vitori,1,0,null,1,0,null,null
24,4.1,Ihsanullah,Mohammad Shahzad,KM Jarvis,4,0,null,4,0,null,null
25,4.2,Ihsanullah,Mohammad Shahzad,KM Jarvis,0,0,null,0,0,null,null
26,4.3,Ihsanullah,Mohammad Shahzad,KM Jarvis,4,0,null,4,0,null,null
27,4.4,Ihsanullah,Mohammad Shahzad,KM Jarvis,0,0,null,0,0,null,null
28,4.5,Ihsanullah,Mohammad Shahzad,KM Jarvis,0,0,null,0,0,null,null
29,4.6,Ihsanullah,Mohammad Shahzad,KM Jarvis,1,0,null,1,0,null,null
30,5.1,Ihsanullah,Mohammad Shahzad,BV Vitori,0,0,null,0,0,null,null
31,5.2,Ihsanullah,Mohammad Shahzad,BV Vitori,0,0,null,0,0,null,null
32,5.3,Ihsanullah,Mohammad Shahzad,BV Vitori,4,0,null,4,0,null,null
33,5.4,Ihsanullah,Mohammad Shahzad,BV Vitori,0,0,null,0,0,null,null
34,5.5,Ihsanullah,Mohammad Shahzad,BV Vitori,0,0,null,0,0,null,null
35,5.6,Ihsanullah,Mohammad Shahzad,BV Vitori,0,0,null,0,0,null,null
36,6.1,Mohammad Shahzad,Ihsanullah,Sikandar Raza,0,0,null,0,0,null,null
37,6.2,Mohammad Shahzad,Ihsanullah,Sikandar Raza,0,0,null,0,0,null,null
38,6.3,Mohammad Shahzad,Ihsanullah,Sikandar Raza,4,0,null,4,0,null,null
39,6.4,Mohammad Shahzad,Ihsanullah,Sikandar Raza,0,0,null,0,0,null,null
40,6.5,Mohammad Shahzad,Ihsanullah,Sikandar Raza,0,0,null,0,0,null,null
41,6.6,Mohammad Shahzad,Ihsanullah,Sikandar Raza,0,0,null,0,0,null,null
42,7.1,Ihsanullah,Mohammad Shahzad,BV Vitori,0,0,null,0,0,null,null
43,7.2,Ihsanullah,Mohammad Shahzad,BV Vitori,4,0,null,4,0,null,null
44,7.3,Ihsanullah,Mohammad Shahzad,BV Vitori,1,0,null,1,0,null,null
45,7.4,Mohammad Shahzad,Ihsanullah,BV Vitori,0,0,null,0,0,null,null
46,7.5,Mohammad Shahzad,Ihsanullah,BV Vitori,0,0,null,0,0,null,null
47,7.6,Mohammad Shahzad,Ihsanullah,BV Vitori,0,0,null,0,0,null,null
48,8.1,Ihsanullah,Mohammad Shahzad,Sikandar Raza,0,0,null,0,0,null,null
49,8.2,Ihsanullah,Mohammad Shahzad,Sikandar Raza,4,0,null,4,0,null,null
50,8.3,Ihsanullah,Mohammad Shahzad,Sikandar Raza,0,0,null,0,0,null,null
51,8.4,Ihsanullah,Mohammad Shahzad,Sikandar Raza,1,0,null,1,0,null,null
52,8.5,Mohammad Shahzad,Ihsanullah,Sikandar Raza,4,0,null,4,0,null,null
53,8.6,Mohammad Shahzad,Ihsanullah,Sikandar Raza,0,0,null,0,0,null,null
