,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,AN Cook,IR Bell,MG Johnson,0,0,null,0,0,null,null
1,0.2,AN Cook,IR Bell,MG Johnson,0,0,null,0,0,null,null
2,0.3,AN Cook,IR Bell,MG Johnson,3,0,null,3,0,null,null
3,0.4,IR Bell,AN Cook,MG Johnson,0,0,null,0,0,null,null
4,0.5,IR Bell,AN Cook,MG Johnson,0,0,null,0,0,null,null
5,0.6,IR Bell,AN Cook,MG Johnson,0,0,null,0,0,null,null
6,1.1,AN Cook,IR Bell,JL Pattinson,0,0,null,0,0,null,null
7,1.2,AN Cook,IR Bell,JL Pattinson,0,0,null,0,0,null,null
8,1.3,AN Cook,IR Bell,JL Pattinson,0,1,wides ,1,0,null,null
9,1.4,AN Cook,IR Bell,JL Pattinson,0,0,null,0,0,null,null
10,1.5,AN Cook,IR Bell,JL Pattinson,0,1,wides ,1,0,null,null
11,1.6,AN Cook,IR Bell,JL Pattinson,0,1,wides ,1,0,null,null
12,1.7,AN Cook,IR Bell,JL Pattinson,0,0,null,0,0,null,null
13,1.8,AN Cook,IR Bell,JL Pattinson,0,1,wides ,1,0,null,null
14,1.9,AN Cook,IR Bell,JL Pattinson,0,0,null,0,0,null,null
15,1.10,AN Cook,IR Bell,JL Pattinson,0,0,null,0,0,null,null
16,2.1,IR Bell,AN Cook,MG Johnson,1,0,null,1,0,null,null
17,2.2,AN Cook,IR Bell,MG Johnson,0,0,null,0,0,null,null
18,2.3,AN Cook,IR Bell,MG Johnson,1,0,null,1,0,null,null
19,2.4,IR Bell,AN Cook,MG Johnson,0,0,null,0,0,null,null
20,2.5,IR Bell,AN Cook,MG Johnson,0,0,null,0,0,null,null
21,2.6,IR Bell,AN Cook,MG Johnson,0,0,null,0,0,null,null
22,3.1,AN Cook,IR Bell,JL Pattinson,1,0,null,1,0,null,null
23,3.2,IR Bell,AN Cook,JL Pattinson,0,0,null,0,0,null,null
24,3.3,IR Bell,AN Cook,JL Pattinson,4,0,null,4,0,null,null
25,3.4,IR Bell,AN Cook,JL Pattinson,1,0,null,1,0,null,null
26,3.5,AN Cook,IR Bell,JL Pattinson,0,0,null,0,0,null,null
27,3.6,AN Cook,IR Bell,JL Pattinson,0,0,null,0,0,null,null
28,4.1,IR Bell,AN Cook,MG Johnson,3,0,null,3,0,null,null
29,4.2,AN Cook,IR Bell,MG Johnson,2,0,null,2,0,null,null
30,4.3,AN Cook,IR Bell,MG Johnson,0,0,null,0,0,null,null
31,4.4,AN Cook,IR Bell,MG Johnson,0,0,null,0,0,null,null
32,4.5,AN Cook,IR Bell,MG Johnson,4,0,null,4,0,null,null
33,4.6,AN Cook,IR Bell,MG Johnson,0,0,null,0,0,null,null
34,5.1,IR Bell,AN Cook,JL Pattinson,0,0,null,0,0,null,null
35,5.2,IR Bell,AN Cook,JL Pattinson,0,0,null,0,0,null,null
36,5.3,IR Bell,AN Cook,JL Pattinson,0,0,null,0,0,null,null
37,5.4,IR Bell,AN Cook,JL Pattinson,0,0,null,0,0,null,null
38,5.5,IR Bell,AN Cook,JL Pattinson,4,0,null,4,0,null,null
39,5.6,IR Bell,AN Cook,JL Pattinson,2,0,null,2,0,null,null
40,6.1,AN Cook,IR Bell,JP Faulkner,0,0,null,0,0,null,null
41,6.2,AN Cook,IR Bell,JP Faulkner,0,1,wides ,1,0,null,null
42,6.3,AN Cook,IR Bell,JP Faulkner,2,0,null,2,0,null,null
43,6.4,AN Cook,IR Bell,JP Faulkner,4,0,null,4,0,null,null
44,6.5,AN Cook,IR Bell,JP Faulkner,0,0,null,0,0,null,null
45,6.6,AN Cook,IR Bell,JP Faulkner,4,0,null,4,0,null,null
46,6.7,AN Cook,IR Bell,JP Faulkner,0,0,null,0,0,null,null
47,7.1,IR Bell,AN Cook,NM Coulter-Nile,0,0,null,0,0,null,null
48,7.2,IR Bell,AN Cook,NM Coulter-Nile,1,0,null,1,0,null,null
49,7.3,AN Cook,IR Bell,NM Coulter-Nile,0,0,null,0,0,null,null
50,7.4,AN Cook,IR Bell,NM Coulter-Nile,0,1,wides ,1,0,null,null
51,7.5,AN Cook,IR Bell,NM Coulter-Nile,4,0,null,4,0,null,null
52,7.6,AN Cook,IR Bell,NM Coulter-Nile,4,0,null,4,0,null,null
53,7.7,AN Cook,IR Bell,NM Coulter-Nile,4,0,null,4,0,null,null
54,8.1,IR Bell,AN Cook,JP Faulkner,0,0,null,0,0,null,null
55,8.2,IR Bell,AN Cook,JP Faulkner,1,0,null,1,0,null,null
56,8.3,AN Cook,IR Bell,JP Faulkner,0,0,null,0,0,null,null
57,8.4,AN Cook,IR Bell,JP Faulkner,1,0,null,1,0,null,null
58,8.5,IR Bell,AN Cook,JP Faulkner,4,0,null,4,0,null,null
59,8.6,IR Bell,AN Cook,JP Faulkner,4,0,null,4,0,null,null
60,9.1,AN Cook,IR Bell,NM Coulter-Nile,0,0,null,0,0,null,null
61,9.2,AN Cook,IR Bell,NM Coulter-Nile,0,0,null,0,0,null,null
62,9.3,AN Cook,IR Bell,NM Coulter-Nile,4,0,null,4,0,null,null
63,9.4,AN Cook,IR Bell,NM Coulter-Nile,0,0,null,0,0,null,null
64,9.5,AN Cook,IR Bell,NM Coulter-Nile,0,0,null,0,0,null,null
65,9.6,AN Cook,IR Bell,NM Coulter-Nile,4,0,null,4,0,null,null
66,10.1,IR Bell,AN Cook,GJ Maxwell,0,0,null,0,0,null,null
67,10.2,IR Bell,AN Cook,GJ Maxwell,1,0,null,1,0,null,null
68,10.3,AN Cook,IR Bell,GJ Maxwell,0,0,null,0,0,null,null
69,10.4,AN Cook,IR Bell,GJ Maxwell,1,0,null,1,0,null,null
70,10.5,IR Bell,AN Cook,GJ Maxwell,1,0,null,1,0,null,null
71,10.6,AN Cook,IR Bell,GJ Maxwell,0,0,null,0,0,null,null
72,11.1,IR Bell,AN Cook,JL Pattinson,4,0,null,4,0,null,null
73,11.2,IR Bell,AN Cook,JL Pattinson,0,1,wides ,1,0,null,null
74,11.3,IR Bell,AN Cook,JL Pattinson,4,0,null,4,0,null,null
75,11.4,IR Bell,AN Cook,JL Pattinson,0,0,null,0,0,null,null
76,11.5,IR Bell,AN Cook,JL Pattinson,0,0,null,0,0,null,null
77,11.6,IR Bell,AN Cook,JL Pattinson,1,0,null,1,0,null,null
78,11.7,AN Cook,IR Bell,JL Pattinson,1,0,null,1,0,null,null
79,12.1,AN Cook,IR Bell,GJ Maxwell,0,0,null,0,0,null,null
80,12.2,AN Cook,IR Bell,GJ Maxwell,0,0,null,0,1,AN Cook,bowled
81,12.3,BA Stokes,IR Bell,GJ Maxwell,0,0,null,0,0,null,null
82,12.4,BA Stokes,IR Bell,GJ Maxwell,0,0,null,0,0,null,null
83,12.5,BA Stokes,IR Bell,GJ Maxwell,4,0,null,4,0,null,null
84,12.6,BA Stokes,IR Bell,GJ Maxwell,0,0,null,0,0,null,null
85,13.1,IR Bell,BA Stokes,JL Pattinson,4,0,null,4,0,null,null
86,13.2,IR Bell,BA Stokes,JL Pattinson,1,0,null,1,0,null,null
87,13.3,BA Stokes,IR Bell,JL Pattinson,0,0,null,0,0,null,null
88,13.4,BA Stokes,IR Bell,JL Pattinson,0,0,null,0,0,null,null
89,13.5,BA Stokes,IR Bell,JL Pattinson,2,0,null,2,0,null,null
90,13.6,BA Stokes,IR Bell,JL Pattinson,4,0,null,4,0,null,null
91,14.1,IR Bell,BA Stokes,GJ Maxwell,0,0,null,0,0,null,null
92,14.2,IR Bell,BA Stokes,GJ Maxwell,1,0,null,1,0,null,null
93,14.3,BA Stokes,IR Bell,GJ Maxwell,2,0,null,2,0,null,null
94,14.4,BA Stokes,IR Bell,GJ Maxwell,1,0,null,1,0,null,null
95,14.5,IR Bell,BA Stokes,GJ Maxwell,0,0,null,0,0,null,null
96,14.6,IR Bell,BA Stokes,GJ Maxwell,0,0,null,0,0,null,null
97,15.1,BA Stokes,IR Bell,NM Coulter-Nile,0,0,null,0,0,null,null
98,15.2,BA Stokes,IR Bell,NM Coulter-Nile,0,0,null,0,0,null,null
99,15.3,BA Stokes,IR Bell,NM Coulter-Nile,0,0,null,0,0,null,null
100,15.4,BA Stokes,IR Bell,NM Coulter-Nile,0,0,null,0,0,null,null
101,15.5,BA Stokes,IR Bell,NM Coulter-Nile,1,0,null,1,0,null,null
102,15.6,IR Bell,BA Stokes,NM Coulter-Nile,0,0,null,0,0,null,null
103,16.1,BA Stokes,IR Bell,GJ Maxwell,0,0,null,0,0,null,null
104,16.2,BA Stokes,IR Bell,GJ Maxwell,0,0,null,0,0,null,null
105,16.3,BA Stokes,IR Bell,GJ Maxwell,0,0,null,0,0,null,null
106,16.4,BA Stokes,IR Bell,GJ Maxwell,0,0,null,0,0,null,null
107,16.5,BA Stokes,IR Bell,GJ Maxwell,1,0,null,1,0,null,null
108,16.6,IR Bell,BA Stokes,GJ Maxwell,1,0,null,1,0,null,null
109,17.1,IR Bell,BA Stokes,NM Coulter-Nile,0,0,null,0,0,null,null
110,17.2,IR Bell,BA Stokes,NM Coulter-Nile,0,0,null,0,0,null,null
111,17.3,IR Bell,BA Stokes,NM Coulter-Nile,1,0,null,1,0,null,null
112,17.4,BA Stokes,IR Bell,NM Coulter-Nile,0,0,null,0,0,null,null
113,17.5,BA Stokes,IR Bell,NM Coulter-Nile,1,0,null,1,0,null,null
114,17.6,IR Bell,BA Stokes,NM Coulter-Nile,4,0,null,4,0,null,null
115,18.1,BA Stokes,IR Bell,MG Johnson,0,0,null,0,0,null,null
116,18.2,BA Stokes,IR Bell,MG Johnson,0,0,null,0,0,null,null
117,18.3,BA Stokes,IR Bell,MG Johnson,0,0,null,0,0,null,null
