,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,AC Gilchrist,ML Hayden,S Sreesanth,0,1,wides ,1,0,null,null
1,0.2,AC Gilchrist,ML Hayden,S Sreesanth,0,0,null,0,0,null,null
2,0.3,AC Gilchrist,ML Hayden,S Sreesanth,0,0,null,0,0,null,null
3,0.4,AC Gilchrist,ML Hayden,S Sreesanth,0,0,null,0,1,AC Gilchrist,lbw
4,0.5,RT Ponting,ML Hayden,S Sreesanth,0,0,null,0,0,null,null
5,0.6,RT Ponting,ML Hayden,S Sreesanth,0,0,null,0,0,null,null
6,0.7,RT Ponting,ML Hayden,S Sreesanth,0,0,null,0,0,null,null
7,1.1,ML Hayden,RT Ponting,I Sharma,0,1,noballs ,1,0,null,null
8,1.2,ML Hayden,RT Ponting,I Sharma,0,0,null,0,0,null,null
9,1.3,ML Hayden,RT Ponting,I Sharma,0,0,null,0,0,null,null
10,1.4,ML Hayden,RT Ponting,I Sharma,4,0,null,4,0,null,null
11,1.5,ML Hayden,RT Ponting,I Sharma,0,1,wides ,1,0,null,null
12,1.6,ML Hayden,RT Ponting,I Sharma,0,0,null,0,0,null,null
13,1.7,ML Hayden,RT Ponting,I Sharma,0,0,null,0,0,null,null
14,1.8,ML Hayden,RT Ponting,I Sharma,0,0,null,0,0,null,null
15,2.1,RT Ponting,ML Hayden,S Sreesanth,0,0,null,0,0,null,null
16,2.2,RT Ponting,ML Hayden,S Sreesanth,2,0,null,2,0,null,null
17,2.3,RT Ponting,ML Hayden,S Sreesanth,1,0,null,1,0,null,null
18,2.4,ML Hayden,RT Ponting,S Sreesanth,0,0,null,0,0,null,null
19,2.5,ML Hayden,RT Ponting,S Sreesanth,4,0,null,4,0,null,null
20,2.6,ML Hayden,RT Ponting,S Sreesanth,0,0,null,0,0,null,null
21,3.1,RT Ponting,ML Hayden,I Sharma,1,0,null,1,0,null,null
22,3.2,ML Hayden,RT Ponting,I Sharma,4,0,null,4,0,null,null
23,3.3,ML Hayden,RT Ponting,I Sharma,2,0,null,2,0,null,null
24,3.4,ML Hayden,RT Ponting,I Sharma,0,0,null,0,0,null,null
25,3.5,ML Hayden,RT Ponting,I Sharma,4,1,noballs ,5,0,null,null
26,3.6,ML Hayden,RT Ponting,I Sharma,0,1,noballs ,1,0,null,null
27,3.7,ML Hayden,RT Ponting,I Sharma,4,0,null,4,0,null,null
28,3.8,ML Hayden,RT Ponting,I Sharma,1,0,null,1,0,null,null
29,4.1,ML Hayden,RT Ponting,S Sreesanth,1,0,null,1,0,null,null
30,4.2,RT Ponting,ML Hayden,S Sreesanth,1,0,null,1,0,null,null
31,4.3,ML Hayden,RT Ponting,S Sreesanth,1,0,null,1,0,null,null
