,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,AC Gilchrist,MEK Hussey,D Langford-Smith,0,1,wides ,1,0,null,null
1,0.2,AC Gilchrist,MEK Hussey,D Langford-Smith,0,0,null,0,0,null,null
2,0.3,AC Gilchrist,MEK Hussey,D Langford-Smith,3,0,null,3,0,null,null
3,0.4,MEK Hussey,AC Gilchrist,D Langford-Smith,2,0,null,2,0,null,null
4,0.5,MEK Hussey,AC Gilchrist,D Langford-Smith,0,0,null,0,0,null,null
5,0.6,MEK Hussey,AC Gilchrist,D Langford-Smith,1,0,null,1,0,null,null
6,0.7,AC Gilchrist,MEK Hussey,D Langford-Smith,2,0,null,2,0,null,null
7,1.1,MEK Hussey,AC Gilchrist,WB Rankin,0,0,null,0,0,null,null
8,1.2,MEK Hussey,AC Gilchrist,WB Rankin,0,0,null,0,0,null,null
9,1.3,MEK Hussey,AC Gilchrist,WB Rankin,0,0,null,0,0,null,null
10,1.4,MEK Hussey,AC Gilchrist,WB Rankin,0,0,null,0,0,null,null
11,1.5,MEK Hussey,AC Gilchrist,WB Rankin,0,1,wides ,1,0,null,null
12,1.6,MEK Hussey,AC Gilchrist,WB Rankin,0,0,null,0,0,null,null
13,1.7,MEK Hussey,AC Gilchrist,WB Rankin,2,0,null,2,0,null,null
14,2.1,AC Gilchrist,MEK Hussey,D Langford-Smith,0,0,null,0,0,null,null
15,2.2,AC Gilchrist,MEK Hussey,D Langford-Smith,0,1,wides ,1,0,null,null
16,2.3,AC Gilchrist,MEK Hussey,D Langford-Smith,0,0,null,0,0,null,null
17,2.4,AC Gilchrist,MEK Hussey,D Langford-Smith,0,4,legbyes ,4,0,null,null
18,2.5,AC Gilchrist,MEK Hussey,D Langford-Smith,0,0,null,0,0,null,null
19,2.6,AC Gilchrist,MEK Hussey,D Langford-Smith,1,0,null,1,0,null,null
20,2.7,MEK Hussey,AC Gilchrist,D Langford-Smith,0,0,null,0,0,null,null
21,3.1,AC Gilchrist,MEK Hussey,WB Rankin,1,0,null,1,0,null,null
22,3.2,MEK Hussey,AC Gilchrist,WB Rankin,0,1,wides ,1,0,null,null
23,3.3,MEK Hussey,AC Gilchrist,WB Rankin,0,0,null,0,0,null,null
24,3.4,MEK Hussey,AC Gilchrist,WB Rankin,0,1,wides ,1,0,null,null
25,3.5,MEK Hussey,AC Gilchrist,WB Rankin,0,0,null,0,0,null,null
26,3.6,MEK Hussey,AC Gilchrist,WB Rankin,1,0,null,1,0,null,null
27,3.7,AC Gilchrist,MEK Hussey,WB Rankin,1,0,null,1,0,null,null
28,3.8,MEK Hussey,AC Gilchrist,WB Rankin,0,0,null,0,0,null,null
29,4.1,AC Gilchrist,MEK Hussey,D Langford-Smith,2,0,null,2,0,null,null
30,4.2,AC Gilchrist,MEK Hussey,D Langford-Smith,2,0,null,2,0,null,null
31,4.3,AC Gilchrist,MEK Hussey,D Langford-Smith,4,0,null,4,0,null,null
32,4.4,AC Gilchrist,MEK Hussey,D Langford-Smith,4,0,null,4,0,null,null
33,4.5,AC Gilchrist,MEK Hussey,D Langford-Smith,4,0,null,4,0,null,null
34,4.6,AC Gilchrist,MEK Hussey,D Langford-Smith,0,0,null,0,0,null,null
35,5.1,MEK Hussey,AC Gilchrist,WB Rankin,0,0,null,0,0,null,null
36,5.2,MEK Hussey,AC Gilchrist,WB Rankin,0,0,null,0,0,null,null
37,5.3,MEK Hussey,AC Gilchrist,WB Rankin,0,1,wides ,1,0,null,null
38,5.4,MEK Hussey,AC Gilchrist,WB Rankin,0,0,null,0,0,null,null
39,5.5,MEK Hussey,AC Gilchrist,WB Rankin,0,0,null,0,0,null,null
40,5.6,MEK Hussey,AC Gilchrist,WB Rankin,0,0,null,0,0,null,null
41,5.7,MEK Hussey,AC Gilchrist,WB Rankin,0,0,null,0,0,null,null
42,6.1,AC Gilchrist,MEK Hussey,DT Johnston,0,0,null,0,0,null,null
43,6.2,AC Gilchrist,MEK Hussey,DT Johnston,2,0,null,2,0,null,null
44,6.3,AC Gilchrist,MEK Hussey,DT Johnston,1,0,null,1,0,null,null
45,6.4,MEK Hussey,AC Gilchrist,DT Johnston,4,0,null,4,0,null,null
46,6.5,MEK Hussey,AC Gilchrist,DT Johnston,4,0,null,4,0,null,null
47,6.6,MEK Hussey,AC Gilchrist,DT Johnston,0,0,null,0,0,null,null
48,7.1,AC Gilchrist,MEK Hussey,WB Rankin,1,0,null,1,0,null,null
49,7.2,MEK Hussey,AC Gilchrist,WB Rankin,0,0,null,0,0,null,null
50,7.3,MEK Hussey,AC Gilchrist,WB Rankin,3,0,null,3,0,null,null
51,7.4,AC Gilchrist,MEK Hussey,WB Rankin,0,0,null,0,0,null,null
52,7.5,AC Gilchrist,MEK Hussey,WB Rankin,4,0,null,4,0,null,null
53,7.6,AC Gilchrist,MEK Hussey,WB Rankin,1,0,null,1,0,null,null
54,8.1,AC Gilchrist,MEK Hussey,DT Johnston,1,0,null,1,0,null,null
55,8.2,MEK Hussey,AC Gilchrist,DT Johnston,0,0,null,0,0,null,null
56,8.3,MEK Hussey,AC Gilchrist,DT Johnston,0,0,null,0,0,null,null
57,8.4,MEK Hussey,AC Gilchrist,DT Johnston,1,0,null,1,0,null,null
58,8.5,AC Gilchrist,MEK Hussey,DT Johnston,0,0,null,0,1,AC Gilchrist,bowled
59,8.6,A Symonds,MEK Hussey,DT Johnston,1,0,null,1,0,null,null
60,9.1,A Symonds,MEK Hussey,JF Mooney,0,0,null,0,0,null,null
61,9.2,A Symonds,MEK Hussey,JF Mooney,4,0,null,4,0,null,null
62,9.3,A Symonds,MEK Hussey,JF Mooney,2,0,null,2,0,null,null
63,9.4,A Symonds,MEK Hussey,JF Mooney,2,0,null,2,0,null,null
64,9.5,A Symonds,MEK Hussey,JF Mooney,0,0,null,0,0,null,null
65,9.6,A Symonds,MEK Hussey,JF Mooney,6,0,null,6,0,null,null
66,10.1,MEK Hussey,A Symonds,DT Johnston,0,1,wides ,1,0,null,null
67,10.2,MEK Hussey,A Symonds,DT Johnston,0,0,null,0,0,null,null
68,10.3,MEK Hussey,A Symonds,DT Johnston,0,1,noballs ,1,0,null,null
69,10.4,MEK Hussey,A Symonds,DT Johnston,0,0,null,0,0,null,null
70,10.5,MEK Hussey,A Symonds,DT Johnston,0,0,null,0,0,null,null
71,10.6,MEK Hussey,A Symonds,DT Johnston,1,0,null,1,0,null,null
72,10.7,A Symonds,MEK Hussey,DT Johnston,0,0,null,0,0,null,null
73,10.8,A Symonds,MEK Hussey,DT Johnston,0,1,wides ,1,0,null,null
74,10.9,A Symonds,MEK Hussey,DT Johnston,0,0,null,0,0,null,null
75,11.1,MEK Hussey,A Symonds,WK McCallan,0,0,null,0,0,null,null
76,11.2,MEK Hussey,A Symonds,WK McCallan,0,0,null,0,0,null,null
77,11.3,MEK Hussey,A Symonds,WK McCallan,0,0,null,0,0,null,null
78,11.4,MEK Hussey,A Symonds,WK McCallan,4,0,null,4,0,null,null
79,11.5,MEK Hussey,A Symonds,WK McCallan,0,0,null,0,0,null,null
80,11.6,MEK Hussey,A Symonds,WK McCallan,1,0,null,1,0,null,null
81,12.1,MEK Hussey,A Symonds,WB Rankin,0,0,null,0,0,null,null
82,12.2,MEK Hussey,A Symonds,WB Rankin,6,0,null,6,0,null,null
