,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,AJ Finch,TM Head,DW Steyn,0,0,null,0,0,null,null
1,0.2,AJ Finch,TM Head,DW Steyn,0,0,null,0,0,null,null
2,0.3,AJ Finch,TM Head,DW Steyn,0,0,null,0,0,null,null
3,0.4,AJ Finch,TM Head,DW Steyn,2,0,null,2,0,null,null
4,0.5,AJ Finch,TM Head,DW Steyn,0,0,null,0,0,null,null
5,0.6,AJ Finch,TM Head,DW Steyn,0,0,null,0,0,null,null
6,1.1,TM Head,AJ Finch,L Ngidi,4,0,null,4,0,null,null
7,1.2,TM Head,AJ Finch,L Ngidi,0,0,null,0,0,null,null
8,1.3,TM Head,AJ Finch,L Ngidi,0,0,null,0,0,null,null
9,1.4,TM Head,AJ Finch,L Ngidi,0,1,legbyes ,1,0,null,null
10,1.5,AJ Finch,TM Head,L Ngidi,1,0,null,1,0,null,null
11,1.6,TM Head,AJ Finch,L Ngidi,4,0,null,4,0,null,null
12,2.1,AJ Finch,TM Head,DW Steyn,0,0,null,0,0,null,null
13,2.2,AJ Finch,TM Head,DW Steyn,0,0,null,0,0,null,null
14,2.3,AJ Finch,TM Head,DW Steyn,0,0,null,0,0,null,null
15,2.4,AJ Finch,TM Head,DW Steyn,0,0,null,0,0,null,null
16,2.5,AJ Finch,TM Head,DW Steyn,0,0,null,0,0,null,null
17,2.6,AJ Finch,TM Head,DW Steyn,0,0,null,0,0,null,null
18,3.1,TM Head,AJ Finch,L Ngidi,0,0,null,0,0,null,null
19,3.2,TM Head,AJ Finch,L Ngidi,0,0,null,0,1,TM Head,lbw
20,3.3,SE Marsh,AJ Finch,L Ngidi,0,0,null,0,0,null,null
21,3.4,SE Marsh,AJ Finch,L Ngidi,0,0,null,0,0,null,null
22,3.5,SE Marsh,AJ Finch,L Ngidi,2,0,null,2,0,null,null
23,3.6,SE Marsh,AJ Finch,L Ngidi,0,0,null,0,0,null,null
24,4.1,AJ Finch,SE Marsh,DW Steyn,0,0,null,0,0,null,null
25,4.2,AJ Finch,SE Marsh,DW Steyn,2,0,null,2,0,null,null
26,4.3,AJ Finch,SE Marsh,DW Steyn,0,0,null,0,0,null,null
27,4.4,AJ Finch,SE Marsh,DW Steyn,1,0,null,1,0,null,null
28,4.5,SE Marsh,AJ Finch,DW Steyn,1,0,null,1,0,null,null
29,4.6,AJ Finch,SE Marsh,DW Steyn,0,0,null,0,0,null,null
30,5.1,SE Marsh,AJ Finch,L Ngidi,0,0,null,0,0,null,null
31,5.2,SE Marsh,AJ Finch,L Ngidi,0,0,null,0,0,null,null
32,5.3,SE Marsh,AJ Finch,L Ngidi,0,0,null,0,0,null,null
33,5.4,SE Marsh,AJ Finch,L Ngidi,4,0,null,4,0,null,null
34,5.5,SE Marsh,AJ Finch,L Ngidi,0,0,null,0,0,null,null
35,5.6,SE Marsh,AJ Finch,L Ngidi,2,0,null,2,0,null,null
36,6.1,AJ Finch,SE Marsh,DW Steyn,4,0,null,4,0,null,null
37,6.2,AJ Finch,SE Marsh,DW Steyn,0,4,legbyes ,4,0,null,null
38,6.3,AJ Finch,SE Marsh,DW Steyn,3,0,null,3,0,null,null
39,6.4,SE Marsh,AJ Finch,DW Steyn,0,1,legbyes ,1,0,null,null
40,6.5,AJ Finch,SE Marsh,DW Steyn,0,0,null,0,0,null,null
41,6.6,AJ Finch,SE Marsh,DW Steyn,0,0,null,0,0,null,null
42,7.1,SE Marsh,AJ Finch,K Rabada,0,0,null,0,0,null,null
43,7.2,SE Marsh,AJ Finch,K Rabada,1,0,null,1,0,null,null
44,7.3,AJ Finch,SE Marsh,K Rabada,0,0,null,0,0,null,null
45,7.4,AJ Finch,SE Marsh,K Rabada,2,0,null,2,0,null,null
46,7.5,AJ Finch,SE Marsh,K Rabada,1,0,null,1,0,null,null
47,7.6,SE Marsh,AJ Finch,K Rabada,0,0,null,0,0,null,null
48,8.1,AJ Finch,SE Marsh,L Ngidi,0,0,null,0,0,null,null
49,8.2,AJ Finch,SE Marsh,L Ngidi,0,0,null,0,0,null,null
50,8.3,AJ Finch,SE Marsh,L Ngidi,0,0,null,0,0,null,null
51,8.4,AJ Finch,SE Marsh,L Ngidi,0,0,null,0,0,null,null
52,8.5,AJ Finch,SE Marsh,L Ngidi,4,0,null,4,0,null,null
53,8.6,AJ Finch,SE Marsh,L Ngidi,4,0,null,4,0,null,null
54,9.1,SE Marsh,AJ Finch,K Rabada,0,0,null,0,0,null,null
55,9.2,SE Marsh,AJ Finch,K Rabada,3,0,null,3,0,null,null
56,9.3,AJ Finch,SE Marsh,K Rabada,1,0,null,1,0,null,null
57,9.4,SE Marsh,AJ Finch,K Rabada,2,0,null,2,0,null,null
58,9.5,SE Marsh,AJ Finch,K Rabada,4,0,null,4,0,null,null
59,9.6,SE Marsh,AJ Finch,K Rabada,0,0,null,0,0,null,null
60,10.1,AJ Finch,SE Marsh,L Ngidi,0,2,legbyes ,2,0,null,null
61,10.2,AJ Finch,SE Marsh,L Ngidi,1,0,null,1,0,null,null
62,10.3,SE Marsh,AJ Finch,L Ngidi,0,0,null,0,0,null,null
63,10.4,SE Marsh,AJ Finch,L Ngidi,1,0,null,1,0,null,null
64,10.5,AJ Finch,SE Marsh,L Ngidi,1,0,null,1,0,null,null
65,10.6,SE Marsh,AJ Finch,L Ngidi,1,0,null,1,0,null,null
