,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,WU Tharanga,TM Dilshan,CJ McKay,0,1,wides ,1,0,null,null
1,0.2,WU Tharanga,TM Dilshan,CJ McKay,0,0,null,0,0,null,null
2,0.3,WU Tharanga,TM Dilshan,CJ McKay,0,0,null,0,0,null,null
3,0.4,WU Tharanga,TM Dilshan,CJ McKay,0,0,null,0,0,null,null
4,0.5,WU Tharanga,TM Dilshan,CJ McKay,0,0,null,0,0,null,null
5,0.6,WU Tharanga,TM Dilshan,CJ McKay,0,0,null,0,0,null,null
6,0.7,WU Tharanga,TM Dilshan,CJ McKay,1,0,null,1,0,null,null
7,1.1,WU Tharanga,TM Dilshan,MG Johnson,0,0,null,0,0,null,null
8,1.2,WU Tharanga,TM Dilshan,MG Johnson,0,0,null,0,0,null,null
9,1.3,WU Tharanga,TM Dilshan,MG Johnson,1,0,null,1,0,null,null
10,1.4,TM Dilshan,WU Tharanga,MG Johnson,0,0,null,0,0,null,null
11,1.5,TM Dilshan,WU Tharanga,MG Johnson,1,0,null,1,0,null,null
12,1.6,WU Tharanga,TM Dilshan,MG Johnson,0,4,legbyes ,4,0,null,null
13,2.1,TM Dilshan,WU Tharanga,CJ McKay,0,0,null,0,0,null,null
14,2.2,TM Dilshan,WU Tharanga,CJ McKay,0,0,null,0,1,TM Dilshan,caught
15,2.3,KC Sangakkara,WU Tharanga,CJ McKay,0,0,null,0,0,null,null
16,2.4,KC Sangakkara,WU Tharanga,CJ McKay,0,0,null,0,0,null,null
17,2.5,KC Sangakkara,WU Tharanga,CJ McKay,0,0,null,0,0,null,null
18,2.6,KC Sangakkara,WU Tharanga,CJ McKay,0,0,null,0,1,KC Sangakkara,caught
19,3.1,WU Tharanga,DPMD Jayawardene,MG Johnson,4,0,null,4,0,null,null
20,3.2,WU Tharanga,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
21,3.3,WU Tharanga,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
22,3.4,WU Tharanga,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
23,3.5,WU Tharanga,DPMD Jayawardene,MG Johnson,2,0,null,2,0,null,null
24,3.6,WU Tharanga,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
25,4.1,DPMD Jayawardene,WU Tharanga,CJ McKay,0,0,null,0,0,null,null
26,4.2,DPMD Jayawardene,WU Tharanga,CJ McKay,0,0,null,0,0,null,null
27,4.3,DPMD Jayawardene,WU Tharanga,CJ McKay,0,0,null,0,1,DPMD Jayawardene,caught
28,4.4,LPC Silva,WU Tharanga,CJ McKay,0,0,null,0,0,null,null
29,4.5,LPC Silva,WU Tharanga,CJ McKay,0,0,null,0,0,null,null
30,4.6,LPC Silva,WU Tharanga,CJ McKay,4,1,noballs ,5,0,null,null
31,4.7,LPC Silva,WU Tharanga,CJ McKay,0,0,null,0,0,null,null
32,5.1,WU Tharanga,LPC Silva,MG Johnson,0,0,null,0,0,null,null
33,5.2,WU Tharanga,LPC Silva,MG Johnson,0,0,null,0,0,null,null
34,5.3,WU Tharanga,LPC Silva,MG Johnson,0,0,null,0,0,null,null
35,5.4,WU Tharanga,LPC Silva,MG Johnson,0,0,null,0,0,null,null
36,5.5,WU Tharanga,LPC Silva,MG Johnson,0,0,null,0,0,null,null
37,5.6,WU Tharanga,LPC Silva,MG Johnson,1,0,null,1,0,null,null
38,6.1,WU Tharanga,LPC Silva,CJ McKay,4,0,null,4,0,null,null
39,6.2,WU Tharanga,LPC Silva,CJ McKay,2,0,null,2,0,null,null
40,6.3,WU Tharanga,LPC Silva,CJ McKay,0,0,null,0,0,null,null
41,6.4,WU Tharanga,LPC Silva,CJ McKay,0,1,legbyes ,1,0,null,null
42,6.5,LPC Silva,WU Tharanga,CJ McKay,0,0,null,0,0,null,null
43,6.6,LPC Silva,WU Tharanga,CJ McKay,0,0,null,0,0,null,null
44,7.1,WU Tharanga,LPC Silva,MG Johnson,0,0,null,0,0,null,null
45,7.2,WU Tharanga,LPC Silva,MG Johnson,3,0,null,3,0,null,null
46,7.3,LPC Silva,WU Tharanga,MG Johnson,1,0,null,1,0,null,null
47,7.4,WU Tharanga,LPC Silva,MG Johnson,0,0,null,0,0,null,null
48,7.5,WU Tharanga,LPC Silva,MG Johnson,0,0,null,0,0,null,null
49,7.6,WU Tharanga,LPC Silva,MG Johnson,0,0,null,0,0,null,null
50,8.1,LPC Silva,WU Tharanga,CJ McKay,0,0,null,0,0,null,null
51,8.2,LPC Silva,WU Tharanga,CJ McKay,4,0,null,4,0,null,null
52,8.3,LPC Silva,WU Tharanga,CJ McKay,0,0,null,0,0,null,null
53,8.4,LPC Silva,WU Tharanga,CJ McKay,0,0,null,0,0,null,null
54,8.5,LPC Silva,WU Tharanga,CJ McKay,0,0,null,0,0,null,null
55,8.6,LPC Silva,WU Tharanga,CJ McKay,0,0,null,0,0,null,null
56,9.1,WU Tharanga,LPC Silva,MG Johnson,0,0,null,0,0,null,null
57,9.2,WU Tharanga,LPC Silva,MG Johnson,0,0,null,0,0,null,null
58,9.3,WU Tharanga,LPC Silva,MG Johnson,0,0,null,0,0,null,null
59,9.4,WU Tharanga,LPC Silva,MG Johnson,4,0,null,4,0,null,null
60,9.5,WU Tharanga,LPC Silva,MG Johnson,0,0,null,0,0,null,null
61,9.6,WU Tharanga,LPC Silva,MG Johnson,0,0,null,0,0,null,null
62,10.1,LPC Silva,WU Tharanga,CJ McKay,1,0,null,1,0,null,null
63,10.2,WU Tharanga,LPC Silva,CJ McKay,2,0,null,2,0,null,null
64,10.3,WU Tharanga,LPC Silva,CJ McKay,0,0,null,0,0,null,null
65,10.4,WU Tharanga,LPC Silva,CJ McKay,0,0,null,0,0,null,null
66,10.5,WU Tharanga,LPC Silva,CJ McKay,0,0,null,0,0,null,null
67,10.6,WU Tharanga,LPC Silva,CJ McKay,1,0,null,1,0,null,null
68,11.1,WU Tharanga,LPC Silva,SR Watson,0,0,null,0,0,null,null
69,11.2,WU Tharanga,LPC Silva,SR Watson,0,2,wides ,2,0,null,null
70,11.3,LPC Silva,WU Tharanga,SR Watson,0,0,null,0,0,null,null
71,11.4,LPC Silva,WU Tharanga,SR Watson,0,0,null,0,0,null,null
72,11.5,LPC Silva,WU Tharanga,SR Watson,0,0,null,0,0,null,null
73,11.6,LPC Silva,WU Tharanga,SR Watson,0,0,null,0,0,null,null
74,11.7,LPC Silva,WU Tharanga,SR Watson,0,0,null,0,0,null,null
75,12.1,WU Tharanga,LPC Silva,MA Starc,0,0,null,0,0,null,null
76,12.2,WU Tharanga,LPC Silva,MA Starc,0,0,null,0,0,null,null
77,12.3,WU Tharanga,LPC Silva,MA Starc,0,0,null,0,0,null,null
78,12.4,WU Tharanga,LPC Silva,MA Starc,0,1,wides ,1,0,null,null
79,12.5,WU Tharanga,LPC Silva,MA Starc,0,0,null,0,0,null,null
80,12.6,WU Tharanga,LPC Silva,MA Starc,1,0,null,1,0,null,null
81,12.7,LPC Silva,WU Tharanga,MA Starc,0,0,null,0,0,null,null
82,13.1,WU Tharanga,LPC Silva,SR Watson,0,0,null,0,0,null,null
83,13.2,WU Tharanga,LPC Silva,SR Watson,0,0,null,0,0,null,null
84,13.3,WU Tharanga,LPC Silva,SR Watson,0,1,wides ,1,0,null,null
85,13.4,WU Tharanga,LPC Silva,SR Watson,2,0,null,2,0,null,null
86,13.5,WU Tharanga,LPC Silva,SR Watson,0,0,null,0,0,null,null
87,13.6,WU Tharanga,LPC Silva,SR Watson,0,0,null,0,1,WU Tharanga,lbw
88,13.7,AD Mathews,LPC Silva,SR Watson,0,0,null,0,0,null,null
89,14.1,LPC Silva,AD Mathews,MA Starc,0,0,null,0,0,null,null
90,14.2,LPC Silva,AD Mathews,MA Starc,0,0,null,0,0,null,null
