,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,ST Jayasuriya,RS Kaluwitharana,JN Gillespie,0,1,wides ,1,0,null,null
1,0.2,ST Jayasuriya,RS Kaluwitharana,JN Gillespie,0,0,null,0,0,null,null
2,0.3,ST Jayasuriya,RS Kaluwitharana,JN Gillespie,4,0,null,4,0,null,null
3,0.4,ST Jayasuriya,RS Kaluwitharana,JN Gillespie,0,0,null,0,0,null,null
4,0.5,ST Jayasuriya,RS Kaluwitharana,JN Gillespie,0,0,null,0,0,null,null
5,0.6,ST Jayasuriya,RS Kaluwitharana,JN Gillespie,0,0,null,0,0,null,null
6,0.7,ST Jayasuriya,RS Kaluwitharana,JN Gillespie,0,0,null,0,0,null,null
7,1.1,RS Kaluwitharana,ST Jayasuriya,B Lee,0,0,null,0,0,null,null
8,1.2,RS Kaluwitharana,ST Jayasuriya,B Lee,0,1,noballs ,1,0,null,null
9,1.3,RS Kaluwitharana,ST Jayasuriya,B Lee,1,0,null,1,0,null,null
10,1.4,ST Jayasuriya,RS Kaluwitharana,B Lee,4,0,null,4,0,null,null
11,1.5,ST Jayasuriya,RS Kaluwitharana,B Lee,0,0,null,0,0,null,null
12,1.6,ST Jayasuriya,RS Kaluwitharana,B Lee,0,0,null,0,0,null,null
13,1.7,ST Jayasuriya,RS Kaluwitharana,B Lee,0,0,null,0,0,null,null
14,2.1,RS Kaluwitharana,ST Jayasuriya,JN Gillespie,0,0,null,0,0,null,null
15,2.2,RS Kaluwitharana,ST Jayasuriya,JN Gillespie,0,0,null,0,0,null,null
16,2.3,RS Kaluwitharana,ST Jayasuriya,JN Gillespie,1,0,null,1,1,ST Jayasuriya,run out
17,2.4,MS Atapattu,RS Kaluwitharana,JN Gillespie,0,1,legbyes ,1,0,null,null
18,2.5,RS Kaluwitharana,MS Atapattu,JN Gillespie,0,0,null,0,0,null,null
19,2.6,RS Kaluwitharana,MS Atapattu,JN Gillespie,0,0,null,0,0,null,null
20,3.1,MS Atapattu,RS Kaluwitharana,B Lee,0,0,null,0,1,RS Kaluwitharana,run out
21,3.2,KC Sangakkara,MS Atapattu,B Lee,0,0,null,0,0,null,null
22,3.3,KC Sangakkara,MS Atapattu,B Lee,0,1,wides ,1,0,null,null
23,3.4,KC Sangakkara,MS Atapattu,B Lee,2,0,null,2,0,null,null
24,3.5,KC Sangakkara,MS Atapattu,B Lee,0,1,wides ,1,0,null,null
25,3.6,KC Sangakkara,MS Atapattu,B Lee,0,0,null,0,0,null,null
26,3.7,KC Sangakkara,MS Atapattu,B Lee,1,0,null,1,0,null,null
27,3.8,MS Atapattu,KC Sangakkara,B Lee,0,0,null,0,0,null,null
28,4.1,KC Sangakkara,MS Atapattu,JN Gillespie,0,0,null,0,0,null,null
29,4.2,KC Sangakkara,MS Atapattu,JN Gillespie,0,0,null,0,0,null,null
30,4.3,KC Sangakkara,MS Atapattu,JN Gillespie,0,0,null,0,0,null,null
31,4.4,KC Sangakkara,MS Atapattu,JN Gillespie,0,0,null,0,0,null,null
32,4.5,KC Sangakkara,MS Atapattu,JN Gillespie,0,0,null,0,0,null,null
33,4.6,KC Sangakkara,MS Atapattu,JN Gillespie,0,0,null,0,0,null,null
34,5.1,MS Atapattu,KC Sangakkara,B Lee,0,0,null,0,0,null,null
35,5.2,MS Atapattu,KC Sangakkara,B Lee,0,0,null,0,0,null,null
36,5.3,MS Atapattu,KC Sangakkara,B Lee,1,0,null,1,0,null,null
37,5.4,KC Sangakkara,MS Atapattu,B Lee,4,0,null,4,0,null,null
38,5.5,KC Sangakkara,MS Atapattu,B Lee,0,0,null,0,0,null,null
39,5.6,KC Sangakkara,MS Atapattu,B Lee,0,1,noballs ,1,0,null,null
40,5.7,KC Sangakkara,MS Atapattu,B Lee,0,0,null,0,0,null,null
41,6.1,MS Atapattu,KC Sangakkara,JN Gillespie,0,0,null,0,0,null,null
42,6.2,MS Atapattu,KC Sangakkara,JN Gillespie,0,0,null,0,0,null,null
43,6.3,MS Atapattu,KC Sangakkara,JN Gillespie,0,0,null,0,1,MS Atapattu,bowled
44,6.4,DPMD Jayawardene,KC Sangakkara,JN Gillespie,4,0,null,4,0,null,null
45,6.5,DPMD Jayawardene,KC Sangakkara,JN Gillespie,0,0,null,0,0,null,null
46,6.6,DPMD Jayawardene,KC Sangakkara,JN Gillespie,0,0,null,0,0,null,null
47,7.1,KC Sangakkara,DPMD Jayawardene,B Lee,0,0,null,0,0,null,null
48,7.2,KC Sangakkara,DPMD Jayawardene,B Lee,0,0,null,0,0,null,null
49,7.3,KC Sangakkara,DPMD Jayawardene,B Lee,0,0,null,0,0,null,null
50,7.4,KC Sangakkara,DPMD Jayawardene,B Lee,1,0,null,1,0,null,null
51,7.5,DPMD Jayawardene,KC Sangakkara,B Lee,0,0,null,0,0,null,null
52,7.6,DPMD Jayawardene,KC Sangakkara,B Lee,0,0,null,0,0,null,null
53,8.1,KC Sangakkara,DPMD Jayawardene,JN Gillespie,0,0,null,0,0,null,null
54,8.2,KC Sangakkara,DPMD Jayawardene,JN Gillespie,0,0,null,0,0,null,null
55,8.3,KC Sangakkara,DPMD Jayawardene,JN Gillespie,4,0,null,4,0,null,null
56,8.4,KC Sangakkara,DPMD Jayawardene,JN Gillespie,0,0,null,0,0,null,null
57,8.5,KC Sangakkara,DPMD Jayawardene,JN Gillespie,0,0,null,0,0,null,null
58,8.6,KC Sangakkara,DPMD Jayawardene,JN Gillespie,0,0,null,0,0,null,null
59,9.1,DPMD Jayawardene,KC Sangakkara,BA Williams,0,0,null,0,0,null,null
60,9.2,DPMD Jayawardene,KC Sangakkara,BA Williams,0,1,wides ,1,0,null,null
61,9.3,DPMD Jayawardene,KC Sangakkara,BA Williams,0,0,null,0,0,null,null
62,9.4,DPMD Jayawardene,KC Sangakkara,BA Williams,0,0,null,0,0,null,null
63,9.5,DPMD Jayawardene,KC Sangakkara,BA Williams,4,0,null,4,0,null,null
64,9.6,DPMD Jayawardene,KC Sangakkara,BA Williams,0,0,null,0,0,null,null
65,9.7,DPMD Jayawardene,KC Sangakkara,BA Williams,0,0,null,0,0,null,null
66,10.1,KC Sangakkara,DPMD Jayawardene,JN Gillespie,0,0,null,0,0,null,null
67,10.2,KC Sangakkara,DPMD Jayawardene,JN Gillespie,0,0,null,0,0,null,null
