,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,WW Hinds,CH Gayle,B Lee,0,0,null,0,0,null,null
1,0.2,WW Hinds,CH Gayle,B Lee,0,0,null,0,0,null,null
2,0.3,WW Hinds,CH Gayle,B Lee,0,0,null,0,0,null,null
3,0.4,WW Hinds,CH Gayle,B Lee,0,0,null,0,0,null,null
4,0.5,WW Hinds,CH Gayle,B Lee,0,0,null,0,0,null,null
5,0.6,WW Hinds,CH Gayle,B Lee,0,1,wides ,1,0,null,null
6,0.7,WW Hinds,CH Gayle,B Lee,1,0,null,1,0,null,null
7,1.1,WW Hinds,CH Gayle,NW Bracken,0,0,null,0,0,null,null
8,1.2,WW Hinds,CH Gayle,NW Bracken,0,0,null,0,0,null,null
9,1.3,WW Hinds,CH Gayle,NW Bracken,0,0,null,0,0,null,null
10,1.4,WW Hinds,CH Gayle,NW Bracken,0,0,null,0,0,null,null
11,1.5,WW Hinds,CH Gayle,NW Bracken,0,0,null,0,0,null,null
12,1.6,WW Hinds,CH Gayle,NW Bracken,0,0,null,0,0,null,null
13,2.1,CH Gayle,WW Hinds,B Lee,0,0,null,0,0,null,null
14,2.2,CH Gayle,WW Hinds,B Lee,0,0,null,0,0,null,null
15,2.3,CH Gayle,WW Hinds,B Lee,0,1,noballs ,1,0,null,null
16,2.4,CH Gayle,WW Hinds,B Lee,0,0,null,0,0,null,null
17,2.5,CH Gayle,WW Hinds,B Lee,0,0,null,0,0,null,null
18,2.6,CH Gayle,WW Hinds,B Lee,0,1,wides ,1,0,null,null
19,2.7,CH Gayle,WW Hinds,B Lee,1,0,null,1,0,null,null
20,2.8,WW Hinds,CH Gayle,B Lee,0,0,null,0,0,null,null
21,3.1,CH Gayle,WW Hinds,NW Bracken,4,0,null,4,0,null,null
22,3.2,CH Gayle,WW Hinds,NW Bracken,1,0,null,1,0,null,null
23,3.3,WW Hinds,CH Gayle,NW Bracken,0,0,null,0,0,null,null
24,3.4,WW Hinds,CH Gayle,NW Bracken,0,0,null,0,1,WW Hinds,caught
25,3.5,DR Smith,CH Gayle,NW Bracken,0,0,null,0,0,null,null
26,3.6,DR Smith,CH Gayle,NW Bracken,0,0,null,0,0,null,null
27,4.1,CH Gayle,DR Smith,B Lee,1,0,null,1,0,null,null
28,4.2,DR Smith,CH Gayle,B Lee,0,0,null,0,0,null,null
29,4.3,DR Smith,CH Gayle,B Lee,0,0,null,0,0,null,null
30,4.4,DR Smith,CH Gayle,B Lee,0,0,null,0,0,null,null
31,4.5,DR Smith,CH Gayle,B Lee,0,0,null,0,0,null,null
32,4.6,DR Smith,CH Gayle,B Lee,4,0,null,4,0,null,null
33,5.1,CH Gayle,DR Smith,NW Bracken,1,0,null,1,0,null,null
34,5.2,DR Smith,CH Gayle,NW Bracken,0,0,null,0,0,null,null
35,5.3,DR Smith,CH Gayle,NW Bracken,0,0,null,0,0,null,null
36,5.4,DR Smith,CH Gayle,NW Bracken,4,0,null,4,0,null,null
37,5.5,DR Smith,CH Gayle,NW Bracken,0,0,null,0,0,null,null
38,5.6,DR Smith,CH Gayle,NW Bracken,0,0,null,0,0,null,null
39,6.1,CH Gayle,DR Smith,B Lee,0,0,null,0,0,null,null
40,6.2,CH Gayle,DR Smith,B Lee,4,0,null,4,0,null,null
41,6.3,CH Gayle,DR Smith,B Lee,1,0,null,1,0,null,null
42,6.4,DR Smith,CH Gayle,B Lee,0,0,null,0,1,DR Smith,caught
43,6.5,RR Sarwan,CH Gayle,B Lee,4,0,null,4,0,null,null
44,6.6,RR Sarwan,CH Gayle,B Lee,4,0,null,4,0,null,null
45,7.1,CH Gayle,RR Sarwan,NW Bracken,4,0,null,4,0,null,null
46,7.2,CH Gayle,RR Sarwan,NW Bracken,0,0,null,0,0,null,null
47,7.3,CH Gayle,RR Sarwan,NW Bracken,0,0,null,0,0,null,null
48,7.4,CH Gayle,RR Sarwan,NW Bracken,0,0,null,0,0,null,null
49,7.5,CH Gayle,RR Sarwan,NW Bracken,0,0,null,0,0,null,null
50,7.6,CH Gayle,RR Sarwan,NW Bracken,0,0,null,0,0,null,null
51,8.1,RR Sarwan,CH Gayle,GD McGrath,1,0,null,1,0,null,null
52,8.2,CH Gayle,RR Sarwan,GD McGrath,0,0,null,0,0,null,null
53,8.3,CH Gayle,RR Sarwan,GD McGrath,0,0,null,0,0,null,null
54,8.4,CH Gayle,RR Sarwan,GD McGrath,4,0,null,4,0,null,null
55,8.5,CH Gayle,RR Sarwan,GD McGrath,1,0,null,1,0,null,null
56,8.6,RR Sarwan,CH Gayle,GD McGrath,0,0,null,0,0,null,null
