,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,GJ Maxwell,AJ Finch,KAJ Roach,4,0,null,4,0,null,null
1,0.2,GJ Maxwell,AJ Finch,KAJ Roach,0,0,null,0,0,null,null
2,0.3,GJ Maxwell,AJ Finch,KAJ Roach,4,0,null,4,0,null,null
3,0.4,GJ Maxwell,AJ Finch,KAJ Roach,4,0,null,4,0,null,null
4,0.5,GJ Maxwell,AJ Finch,KAJ Roach,6,0,null,6,0,null,null
5,0.6,GJ Maxwell,AJ Finch,KAJ Roach,0,0,null,0,0,null,null
6,1.1,AJ Finch,GJ Maxwell,JO Holder,0,0,null,0,0,null,null
7,1.2,AJ Finch,GJ Maxwell,JO Holder,3,0,null,3,0,null,null
8,1.3,GJ Maxwell,AJ Finch,JO Holder,0,0,null,0,0,null,null
9,1.4,GJ Maxwell,AJ Finch,JO Holder,0,0,null,0,0,null,null
10,1.5,GJ Maxwell,AJ Finch,JO Holder,0,0,null,0,0,null,null
11,1.6,GJ Maxwell,AJ Finch,JO Holder,0,0,null,0,0,null,null
12,2.1,AJ Finch,GJ Maxwell,KAJ Roach,1,0,null,1,0,null,null
13,2.2,GJ Maxwell,AJ Finch,KAJ Roach,0,0,null,0,0,null,null
14,2.3,GJ Maxwell,AJ Finch,KAJ Roach,4,0,null,4,0,null,null
15,2.4,GJ Maxwell,AJ Finch,KAJ Roach,6,0,null,6,0,null,null
16,2.5,GJ Maxwell,AJ Finch,KAJ Roach,0,0,null,0,0,null,null
17,2.6,GJ Maxwell,AJ Finch,KAJ Roach,0,0,null,0,0,null,null
18,3.1,AJ Finch,GJ Maxwell,JO Holder,0,1,wides ,1,0,null,null
19,3.2,AJ Finch,GJ Maxwell,JO Holder,4,0,null,4,0,null,null
20,3.3,AJ Finch,GJ Maxwell,JO Holder,2,0,null,2,0,null,null
21,3.4,AJ Finch,GJ Maxwell,JO Holder,0,0,null,0,1,AJ Finch,caught
22,3.5,UT Khawaja,GJ Maxwell,JO Holder,0,0,null,0,0,null,null
23,3.6,UT Khawaja,GJ Maxwell,JO Holder,0,0,null,0,0,null,null
24,3.7,UT Khawaja,GJ Maxwell,JO Holder,0,0,null,0,0,null,null
25,4.1,GJ Maxwell,UT Khawaja,SP Narine,4,0,null,4,0,null,null
26,4.2,GJ Maxwell,UT Khawaja,SP Narine,0,0,null,0,0,null,null
27,4.3,GJ Maxwell,UT Khawaja,SP Narine,0,0,null,0,0,null,null
28,4.4,GJ Maxwell,UT Khawaja,SP Narine,0,0,null,0,0,null,null
29,4.5,GJ Maxwell,UT Khawaja,SP Narine,1,0,null,1,0,null,null
30,4.6,UT Khawaja,GJ Maxwell,SP Narine,0,0,null,0,0,null,null
31,5.1,GJ Maxwell,UT Khawaja,JO Holder,1,0,null,1,0,null,null
32,5.2,UT Khawaja,GJ Maxwell,JO Holder,2,0,null,2,0,null,null
33,5.3,UT Khawaja,GJ Maxwell,JO Holder,0,0,null,0,0,null,null
34,5.4,UT Khawaja,GJ Maxwell,JO Holder,0,0,null,0,0,null,null
35,5.5,UT Khawaja,GJ Maxwell,JO Holder,0,0,null,0,0,null,null
36,5.6,UT Khawaja,GJ Maxwell,JO Holder,0,0,null,0,0,null,null
37,6.1,GJ Maxwell,UT Khawaja,SP Narine,4,0,null,4,0,null,null
38,6.2,GJ Maxwell,UT Khawaja,SP Narine,0,0,null,0,0,null,null
39,6.3,GJ Maxwell,UT Khawaja,SP Narine,1,0,null,1,0,null,null
40,6.4,UT Khawaja,GJ Maxwell,SP Narine,4,0,null,4,0,null,null
41,6.5,UT Khawaja,GJ Maxwell,SP Narine,0,0,null,0,0,null,null
42,6.6,UT Khawaja,GJ Maxwell,SP Narine,0,0,null,0,0,null,null
43,7.1,GJ Maxwell,UT Khawaja,JO Holder,0,0,null,0,0,null,null
44,7.2,GJ Maxwell,UT Khawaja,JO Holder,0,0,null,0,0,null,null
45,7.3,GJ Maxwell,UT Khawaja,JO Holder,0,0,null,0,0,null,null
46,7.4,GJ Maxwell,UT Khawaja,JO Holder,4,0,null,4,0,null,null
47,7.5,GJ Maxwell,UT Khawaja,JO Holder,0,0,null,0,0,null,null
48,7.6,GJ Maxwell,UT Khawaja,JO Holder,0,0,null,0,0,null,null
49,8.1,UT Khawaja,GJ Maxwell,SP Narine,1,0,null,1,0,null,null
50,8.2,GJ Maxwell,UT Khawaja,SP Narine,0,0,null,0,0,null,null
51,8.3,GJ Maxwell,UT Khawaja,SP Narine,4,0,null,4,0,null,null
52,8.4,GJ Maxwell,UT Khawaja,SP Narine,0,1,wides ,1,0,null,null
53,8.5,GJ Maxwell,UT Khawaja,SP Narine,4,0,null,4,0,null,null
54,8.6,GJ Maxwell,UT Khawaja,SP Narine,0,0,null,0,0,null,null
55,8.7,GJ Maxwell,UT Khawaja,SP Narine,0,0,null,0,0,null,null
56,9.1,UT Khawaja,GJ Maxwell,JO Holder,0,0,null,0,0,null,null
57,9.2,UT Khawaja,GJ Maxwell,JO Holder,1,0,null,1,0,null,null
