,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Tamim Iqbal,Liton Das,Fazalhaq Farooqi,0,0,null,0,0,null,null
1,0.2,Tamim Iqbal,Liton Das,Fazalhaq Farooqi,0,0,null,0,0,null,null
2,0.3,Tamim Iqbal,Liton Das,Fazalhaq Farooqi,0,1,wides ,1,0,null,null
3,0.4,Tamim Iqbal,Liton Das,Fazalhaq Farooqi,0,0,null,0,0,null,null
4,0.5,Tamim Iqbal,Liton Das,Fazalhaq Farooqi,0,0,null,0,0,null,null
5,0.6,Tamim Iqbal,Liton Das,Fazalhaq Farooqi,0,0,null,0,0,null,null
6,0.7,Tamim Iqbal,Liton Das,Fazalhaq Farooqi,0,1,legbyes ,1,0,null,null
7,1.1,Tamim Iqbal,Liton Das,Fareed Ahmad,0,5,wides ,5,0,null,null
8,1.2,Tamim Iqbal,Liton Das,Fareed Ahmad,0,0,null,0,0,null,null
9,1.3,Tamim Iqbal,Liton Das,Fareed Ahmad,0,0,null,0,0,null,null
10,1.4,Tamim Iqbal,Liton Das,Fareed Ahmad,0,0,null,0,0,null,null
11,1.5,Tamim Iqbal,Liton Das,Fareed Ahmad,4,0,null,4,0,null,null
12,1.6,Tamim Iqbal,Liton Das,Fareed Ahmad,0,0,null,0,0,null,null
13,1.7,Tamim Iqbal,Liton Das,Fareed Ahmad,4,0,null,4,0,null,null
14,2.1,Liton Das,Tamim Iqbal,Fazalhaq Farooqi,0,4,byes ,4,0,null,null
15,2.2,Liton Das,Tamim Iqbal,Fazalhaq Farooqi,0,0,null,0,0,null,null
16,2.3,Liton Das,Tamim Iqbal,Fazalhaq Farooqi,0,0,null,0,0,null,null
17,2.4,Liton Das,Tamim Iqbal,Fazalhaq Farooqi,0,1,legbyes ,1,0,null,null
18,2.5,Tamim Iqbal,Liton Das,Fazalhaq Farooqi,0,0,null,0,0,null,null
19,2.6,Tamim Iqbal,Liton Das,Fazalhaq Farooqi,0,0,null,0,0,null,null
20,3.1,Liton Das,Tamim Iqbal,Fareed Ahmad,0,0,null,0,0,null,null
21,3.2,Liton Das,Tamim Iqbal,Fareed Ahmad,0,0,null,0,0,null,null
22,3.3,Liton Das,Tamim Iqbal,Fareed Ahmad,4,0,null,4,0,null,null
23,3.4,Liton Das,Tamim Iqbal,Fareed Ahmad,0,0,null,0,0,null,null
24,3.5,Liton Das,Tamim Iqbal,Fareed Ahmad,0,0,null,0,0,null,null
25,3.6,Liton Das,Tamim Iqbal,Fareed Ahmad,2,0,null,2,0,null,null
26,4.1,Tamim Iqbal,Liton Das,Fazalhaq Farooqi,0,0,null,0,0,null,null
27,4.2,Tamim Iqbal,Liton Das,Fazalhaq Farooqi,0,0,null,0,0,null,null
28,4.3,Tamim Iqbal,Liton Das,Fazalhaq Farooqi,0,0,null,0,0,null,null
29,4.4,Tamim Iqbal,Liton Das,Fazalhaq Farooqi,1,0,null,1,0,null,null
30,4.5,Liton Das,Tamim Iqbal,Fazalhaq Farooqi,0,0,null,0,0,null,null
31,4.6,Liton Das,Tamim Iqbal,Fazalhaq Farooqi,4,0,null,4,0,null,null
32,5.1,Tamim Iqbal,Liton Das,Mujeeb Ur Rahman,0,0,null,0,0,null,null
33,5.2,Tamim Iqbal,Liton Das,Mujeeb Ur Rahman,0,0,null,0,0,null,null
34,5.3,Tamim Iqbal,Liton Das,Mujeeb Ur Rahman,0,0,null,0,0,null,null
35,5.4,Tamim Iqbal,Liton Das,Mujeeb Ur Rahman,1,0,null,1,0,null,null
36,5.5,Liton Das,Tamim Iqbal,Mujeeb Ur Rahman,0,0,null,0,0,null,null
37,5.6,Liton Das,Tamim Iqbal,Mujeeb Ur Rahman,4,0,null,4,0,null,null
38,6.1,Tamim Iqbal,Liton Das,Fazalhaq Farooqi,2,0,null,2,0,null,null
39,6.2,Tamim Iqbal,Liton Das,Fazalhaq Farooqi,0,0,null,0,1,Tamim Iqbal,lbw
40,6.3,Shakib Al Hasan,Liton Das,Fazalhaq Farooqi,4,0,null,4,0,null,null
41,6.4,Shakib Al Hasan,Liton Das,Fazalhaq Farooqi,0,0,null,0,0,null,null
42,6.5,Shakib Al Hasan,Liton Das,Fazalhaq Farooqi,1,0,null,1,0,null,null
43,6.6,Liton Das,Shakib Al Hasan,Fazalhaq Farooqi,0,0,null,0,0,null,null
44,7.1,Shakib Al Hasan,Liton Das,Mujeeb Ur Rahman,0,0,null,0,0,null,null
45,7.2,Shakib Al Hasan,Liton Das,Mujeeb Ur Rahman,0,0,null,0,0,null,null
46,7.3,Shakib Al Hasan,Liton Das,Mujeeb Ur Rahman,0,0,null,0,0,null,null
47,7.4,Shakib Al Hasan,Liton Das,Mujeeb Ur Rahman,0,1,wides ,1,0,null,null
48,7.5,Shakib Al Hasan,Liton Das,Mujeeb Ur Rahman,1,0,null,1,0,null,null
49,7.6,Liton Das,Shakib Al Hasan,Mujeeb Ur Rahman,4,0,null,4,0,null,null
50,7.7,Liton Das,Shakib Al Hasan,Mujeeb Ur Rahman,0,0,null,0,0,null,null
51,8.1,Shakib Al Hasan,Liton Das,Fazalhaq Farooqi,1,0,null,1,0,null,null
52,8.2,Liton Das,Shakib Al Hasan,Fazalhaq Farooqi,0,0,null,0,0,null,null
53,8.3,Liton Das,Shakib Al Hasan,Fazalhaq Farooqi,0,0,null,0,0,null,null
54,8.4,Liton Das,Shakib Al Hasan,Fazalhaq Farooqi,0,0,null,0,0,null,null
55,8.5,Liton Das,Shakib Al Hasan,Fazalhaq Farooqi,0,0,null,0,0,null,null
56,8.6,Liton Das,Shakib Al Hasan,Fazalhaq Farooqi,0,0,null,0,0,null,null
57,9.1,Shakib Al Hasan,Liton Das,Mujeeb Ur Rahman,0,2,legbyes ,2,0,null,null
58,9.2,Shakib Al Hasan,Liton Das,Mujeeb Ur Rahman,0,0,null,0,0,null,null
59,9.3,Shakib Al Hasan,Liton Das,Mujeeb Ur Rahman,0,0,null,0,0,null,null
60,9.4,Shakib Al Hasan,Liton Das,Mujeeb Ur Rahman,0,0,null,0,0,null,null
61,9.5,Shakib Al Hasan,Liton Das,Mujeeb Ur Rahman,0,1,legbyes ,1,0,null,null
62,9.6,Liton Das,Shakib Al Hasan,Mujeeb Ur Rahman,1,0,null,1,0,null,null
63,10.1,Liton Das,Shakib Al Hasan,Fazalhaq Farooqi,3,0,null,3,0,null,null
64,10.2,Shakib Al Hasan,Liton Das,Fazalhaq Farooqi,0,0,null,0,0,null,null
65,10.3,Shakib Al Hasan,Liton Das,Fazalhaq Farooqi,1,0,null,1,0,null,null
