,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Anamul Haque,Shamsur Rahman,Shapoor Zadran,0,0,null,0,0,null,null
1,0.2,Anamul Haque,Shamsur Rahman,Shapoor Zadran,0,0,null,0,0,null,null
2,0.3,Anamul Haque,Shamsur Rahman,Shapoor Zadran,1,0,null,1,0,null,null
3,0.4,Shamsur Rahman,Anamul Haque,Shapoor Zadran,0,0,null,0,0,null,null
4,0.5,Shamsur Rahman,Anamul Haque,Shapoor Zadran,0,0,null,0,1,Shamsur Rahman,bowled
5,0.6,Mominul Haque,Anamul Haque,Shapoor Zadran,0,0,null,0,0,null,null
6,1.1,Anamul Haque,Mominul Haque,Hamid Hassan,0,0,null,0,0,null,null
7,1.2,Anamul Haque,Mominul Haque,Hamid Hassan,0,0,null,0,0,null,null
8,1.3,Anamul Haque,Mominul Haque,Hamid Hassan,0,0,null,0,0,null,null
9,1.4,Anamul Haque,Mominul Haque,Hamid Hassan,0,0,null,0,0,null,null
10,1.5,Anamul Haque,Mominul Haque,Hamid Hassan,0,0,null,0,0,null,null
11,1.6,Anamul Haque,Mominul Haque,Hamid Hassan,0,0,null,0,1,Anamul Haque,lbw
12,2.1,Mominul Haque,Mushfiqur Rahim,Shapoor Zadran,1,0,null,1,0,null,null
13,2.2,Mushfiqur Rahim,Mominul Haque,Shapoor Zadran,1,0,null,1,0,null,null
14,2.3,Mominul Haque,Mushfiqur Rahim,Shapoor Zadran,0,0,null,0,0,null,null
15,2.4,Mominul Haque,Mushfiqur Rahim,Shapoor Zadran,0,0,null,0,0,null,null
16,2.5,Mominul Haque,Mushfiqur Rahim,Shapoor Zadran,3,0,null,3,0,null,null
17,2.6,Mushfiqur Rahim,Mominul Haque,Shapoor Zadran,3,0,null,3,0,null,null
18,3.1,Mushfiqur Rahim,Mominul Haque,Hamid Hassan,0,0,null,0,0,null,null
19,3.2,Mushfiqur Rahim,Mominul Haque,Hamid Hassan,4,0,null,4,0,null,null
20,3.3,Mushfiqur Rahim,Mominul Haque,Hamid Hassan,0,0,null,0,0,null,null
21,3.4,Mushfiqur Rahim,Mominul Haque,Hamid Hassan,0,0,null,0,0,null,null
22,3.5,Mushfiqur Rahim,Mominul Haque,Hamid Hassan,0,1,wides ,1,0,null,null
23,3.6,Mushfiqur Rahim,Mominul Haque,Hamid Hassan,1,0,null,1,0,null,null
24,3.7,Mominul Haque,Mushfiqur Rahim,Hamid Hassan,1,0,null,1,0,null,null
25,4.1,Mominul Haque,Mushfiqur Rahim,Shapoor Zadran,0,0,null,0,0,null,null
26,4.2,Mominul Haque,Mushfiqur Rahim,Shapoor Zadran,0,0,null,0,0,null,null
27,4.3,Mominul Haque,Mushfiqur Rahim,Shapoor Zadran,4,0,null,4,0,null,null
28,4.4,Mominul Haque,Mushfiqur Rahim,Shapoor Zadran,3,0,null,3,0,null,null
29,4.5,Mushfiqur Rahim,Mominul Haque,Shapoor Zadran,0,0,null,0,0,null,null
30,4.6,Mushfiqur Rahim,Mominul Haque,Shapoor Zadran,0,0,null,0,0,null,null
31,5.1,Mominul Haque,Mushfiqur Rahim,Hamid Hassan,2,0,null,2,0,null,null
32,5.2,Mominul Haque,Mushfiqur Rahim,Hamid Hassan,0,0,null,0,0,null,null
33,5.3,Mominul Haque,Mushfiqur Rahim,Hamid Hassan,0,0,null,0,0,null,null
34,5.4,Mominul Haque,Mushfiqur Rahim,Hamid Hassan,0,1,wides ,1,0,null,null
35,5.5,Mominul Haque,Mushfiqur Rahim,Hamid Hassan,0,0,null,0,0,null,null
36,5.6,Mominul Haque,Mushfiqur Rahim,Hamid Hassan,0,0,null,0,0,null,null
37,5.7,Mominul Haque,Mushfiqur Rahim,Hamid Hassan,0,0,null,0,0,null,null
38,6.1,Mushfiqur Rahim,Mominul Haque,Shapoor Zadran,0,0,null,0,0,null,null
39,6.2,Mushfiqur Rahim,Mominul Haque,Shapoor Zadran,0,0,null,0,0,null,null
40,6.3,Mushfiqur Rahim,Mominul Haque,Shapoor Zadran,0,0,null,0,0,null,null
41,6.4,Mushfiqur Rahim,Mominul Haque,Shapoor Zadran,0,0,null,0,0,null,null
42,6.5,Mushfiqur Rahim,Mominul Haque,Shapoor Zadran,1,0,null,1,0,null,null
43,6.6,Mominul Haque,Mushfiqur Rahim,Shapoor Zadran,4,0,null,4,0,null,null
44,7.1,Mushfiqur Rahim,Mominul Haque,Hamid Hassan,0,0,null,0,0,null,null
45,7.2,Mushfiqur Rahim,Mominul Haque,Hamid Hassan,0,0,null,0,0,null,null
46,7.3,Mushfiqur Rahim,Mominul Haque,Hamid Hassan,0,0,null,0,0,null,null
47,7.4,Mushfiqur Rahim,Mominul Haque,Hamid Hassan,0,0,null,0,0,null,null
48,7.5,Mushfiqur Rahim,Mominul Haque,Hamid Hassan,0,0,null,0,0,null,null
49,7.6,Mushfiqur Rahim,Mominul Haque,Hamid Hassan,1,0,null,1,0,null,null
50,8.1,Mushfiqur Rahim,Mominul Haque,Karim Sadiq,0,0,null,0,0,null,null
51,8.2,Mushfiqur Rahim,Mominul Haque,Karim Sadiq,1,0,null,1,0,null,null
52,8.3,Mominul Haque,Mushfiqur Rahim,Karim Sadiq,0,0,null,0,0,null,null
53,8.4,Mominul Haque,Mushfiqur Rahim,Karim Sadiq,0,0,null,0,0,null,null
54,8.5,Mominul Haque,Mushfiqur Rahim,Karim Sadiq,4,0,null,4,0,null,null
55,8.6,Mominul Haque,Mushfiqur Rahim,Karim Sadiq,0,0,null,0,0,null,null
56,9.1,Mushfiqur Rahim,Mominul Haque,Hamid Hassan,0,0,null,0,0,null,null
57,9.2,Mushfiqur Rahim,Mominul Haque,Hamid Hassan,1,0,null,1,0,null,null
58,9.3,Mominul Haque,Mushfiqur Rahim,Hamid Hassan,4,0,null,4,0,null,null
59,9.4,Mominul Haque,Mushfiqur Rahim,Hamid Hassan,0,0,null,0,0,null,null
60,9.5,Mominul Haque,Mushfiqur Rahim,Hamid Hassan,0,0,null,0,0,null,null
61,9.6,Mominul Haque,Mushfiqur Rahim,Hamid Hassan,0,0,null,0,0,null,null
62,10.1,Mushfiqur Rahim,Mominul Haque,Karim Sadiq,2,0,null,2,0,null,null
63,10.2,Mushfiqur Rahim,Mominul Haque,Karim Sadiq,1,0,null,1,0,null,null
64,10.3,Mominul Haque,Mushfiqur Rahim,Karim Sadiq,1,0,null,1,0,null,null
65,10.4,Mushfiqur Rahim,Mominul Haque,Karim Sadiq,0,0,null,0,0,null,null
66,10.5,Mushfiqur Rahim,Mominul Haque,Karim Sadiq,0,0,null,0,0,null,null
67,10.6,Mushfiqur Rahim,Mominul Haque,Karim Sadiq,0,0,null,0,0,null,null
68,11.1,Mominul Haque,Mushfiqur Rahim,Mirwais Ashraf,0,0,null,0,0,null,null
69,11.2,Mominul Haque,Mushfiqur Rahim,Mirwais Ashraf,4,0,null,4,0,null,null
70,11.3,Mominul Haque,Mushfiqur Rahim,Mirwais Ashraf,1,0,null,1,0,null,null
71,11.4,Mushfiqur Rahim,Mominul Haque,Mirwais Ashraf,0,0,null,0,0,null,null
72,11.5,Mushfiqur Rahim,Mominul Haque,Mirwais Ashraf,0,0,null,0,0,null,null
73,11.6,Mushfiqur Rahim,Mominul Haque,Mirwais Ashraf,0,0,null,0,0,null,null
74,12.1,Mominul Haque,Mushfiqur Rahim,Mohammad Nabi,0,0,null,0,0,null,null
75,12.2,Mominul Haque,Mushfiqur Rahim,Mohammad Nabi,0,0,null,0,0,null,null
76,12.3,Mominul Haque,Mushfiqur Rahim,Mohammad Nabi,1,0,null,1,0,null,null
77,12.4,Mushfiqur Rahim,Mominul Haque,Mohammad Nabi,1,0,null,1,0,null,null
78,12.5,Mominul Haque,Mushfiqur Rahim,Mohammad Nabi,0,0,null,0,0,null,null
79,12.6,Mominul Haque,Mushfiqur Rahim,Mohammad Nabi,0,0,null,0,0,null,null
80,13.1,Mushfiqur Rahim,Mominul Haque,Mirwais Ashraf,0,0,null,0,0,null,null
81,13.2,Mushfiqur Rahim,Mominul Haque,Mirwais Ashraf,1,0,null,1,0,null,null
82,13.3,Mominul Haque,Mushfiqur Rahim,Mirwais Ashraf,0,0,null,0,0,null,null
83,13.4,Mominul Haque,Mushfiqur Rahim,Mirwais Ashraf,0,0,null,0,0,null,null
84,13.5,Mominul Haque,Mushfiqur Rahim,Mirwais Ashraf,1,0,null,1,0,null,null
85,13.6,Mushfiqur Rahim,Mominul Haque,Mirwais Ashraf,0,0,null,0,0,null,null
86,14.1,Mominul Haque,Mushfiqur Rahim,Mohammad Nabi,0,4,byes ,4,0,null,null
87,14.2,Mominul Haque,Mushfiqur Rahim,Mohammad Nabi,0,0,null,0,0,null,null
88,14.3,Mominul Haque,Mushfiqur Rahim,Mohammad Nabi,0,0,null,0,0,null,null
89,14.4,Mominul Haque,Mushfiqur Rahim,Mohammad Nabi,0,0,null,0,0,null,null
90,14.5,Mominul Haque,Mushfiqur Rahim,Mohammad Nabi,0,0,null,0,0,null,null
91,14.6,Mominul Haque,Mushfiqur Rahim,Mohammad Nabi,1,0,null,1,0,null,null
92,15.1,Mominul Haque,Mushfiqur Rahim,Mirwais Ashraf,1,0,null,1,0,null,null
93,15.2,Mushfiqur Rahim,Mominul Haque,Mirwais Ashraf,1,0,null,1,0,null,null
94,15.3,Mominul Haque,Mushfiqur Rahim,Mirwais Ashraf,0,0,null,0,0,null,null
95,15.4,Mominul Haque,Mushfiqur Rahim,Mirwais Ashraf,0,0,null,0,0,null,null
96,15.5,Mominul Haque,Mushfiqur Rahim,Mirwais Ashraf,0,0,null,0,0,null,null
97,15.6,Mominul Haque,Mushfiqur Rahim,Mirwais Ashraf,0,0,null,0,0,null,null
98,16.1,Mushfiqur Rahim,Mominul Haque,Mohammad Nabi,1,0,null,1,0,null,null
99,16.2,Mominul Haque,Mushfiqur Rahim,Mohammad Nabi,0,0,null,0,0,null,null
100,16.3,Mominul Haque,Mushfiqur Rahim,Mohammad Nabi,0,0,null,0,0,null,null
101,16.4,Mominul Haque,Mushfiqur Rahim,Mohammad Nabi,0,0,null,0,0,null,null
102,16.5,Mominul Haque,Mushfiqur Rahim,Mohammad Nabi,1,0,null,1,0,null,null
103,16.6,Mushfiqur Rahim,Mominul Haque,Mohammad Nabi,1,0,null,1,0,null,null
104,17.1,Mushfiqur Rahim,Mominul Haque,Mirwais Ashraf,1,0,null,1,0,null,null
105,17.2,Mominul Haque,Mushfiqur Rahim,Mirwais Ashraf,0,1,wides ,1,0,null,null
106,17.3,Mominul Haque,Mushfiqur Rahim,Mirwais Ashraf,0,0,null,0,0,null,null
107,17.4,Mominul Haque,Mushfiqur Rahim,Mirwais Ashraf,0,0,null,0,0,null,null
108,17.5,Mominul Haque,Mushfiqur Rahim,Mirwais Ashraf,0,0,null,0,0,null,null
109,17.6,Mominul Haque,Mushfiqur Rahim,Mirwais Ashraf,1,0,null,1,0,null,null
110,17.7,Mushfiqur Rahim,Mominul Haque,Mirwais Ashraf,1,0,null,1,0,null,null
111,18.1,Mushfiqur Rahim,Mominul Haque,Mohammad Nabi,0,0,null,0,1,Mushfiqur Rahim,lbw
112,18.2,Nasir Hossain,Mominul Haque,Mohammad Nabi,0,0,null,0,0,null,null
113,18.3,Nasir Hossain,Mominul Haque,Mohammad Nabi,0,0,null,0,0,null,null
114,18.4,Nasir Hossain,Mominul Haque,Mohammad Nabi,1,0,null,1,0,null,null
115,18.5,Mominul Haque,Nasir Hossain,Mohammad Nabi,1,0,null,1,0,null,null
116,18.6,Nasir Hossain,Mominul Haque,Mohammad Nabi,0,0,null,0,0,null,null
117,19.1,Mominul Haque,Nasir Hossain,Amir Hamza,1,0,null,1,0,null,null
118,19.2,Nasir Hossain,Mominul Haque,Amir Hamza,0,0,null,0,0,null,null
119,19.3,Nasir Hossain,Mominul Haque,Amir Hamza,0,0,null,0,0,null,null
120,19.4,Nasir Hossain,Mominul Haque,Amir Hamza,0,0,null,0,0,null,null
121,19.5,Nasir Hossain,Mominul Haque,Amir Hamza,0,0,null,0,0,null,null
122,19.6,Nasir Hossain,Mominul Haque,Amir Hamza,0,0,null,0,0,null,null
123,20.1,Mominul Haque,Nasir Hossain,Mohammad Nabi,0,0,null,0,0,null,null
124,20.2,Mominul Haque,Nasir Hossain,Mohammad Nabi,4,0,null,4,0,null,null
125,20.3,Mominul Haque,Nasir Hossain,Mohammad Nabi,0,0,null,0,0,null,null
126,20.4,Mominul Haque,Nasir Hossain,Mohammad Nabi,0,0,null,0,0,null,null
127,20.5,Mominul Haque,Nasir Hossain,Mohammad Nabi,0,0,null,0,0,null,null
128,20.6,Mominul Haque,Nasir Hossain,Mohammad Nabi,1,0,null,1,0,null,null
129,21.1,Mominul Haque,Nasir Hossain,Amir Hamza,1,0,null,1,0,null,null
130,21.2,Nasir Hossain,Mominul Haque,Amir Hamza,0,0,null,0,0,null,null
131,21.3,Nasir Hossain,Mominul Haque,Amir Hamza,0,0,null,0,0,null,null
132,21.4,Nasir Hossain,Mominul Haque,Amir Hamza,1,0,null,1,0,null,null
133,21.5,Mominul Haque,Nasir Hossain,Amir Hamza,0,0,null,0,0,null,null
134,21.6,Mominul Haque,Nasir Hossain,Amir Hamza,1,0,null,1,0,null,null
135,22.1,Mominul Haque,Nasir Hossain,Samiullah Shenwari,1,0,null,1,0,null,null
136,22.2,Nasir Hossain,Mominul Haque,Samiullah Shenwari,2,0,null,2,0,null,null
137,22.3,Nasir Hossain,Mominul Haque,Samiullah Shenwari,0,0,null,0,0,null,null
138,22.4,Nasir Hossain,Mominul Haque,Samiullah Shenwari,0,0,null,0,0,null,null
