,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,AC Gilchrist,SM Katich,Mashrafe Mortaza,0,0,null,0,0,null,null
1,0.2,AC Gilchrist,SM Katich,Mashrafe Mortaza,0,0,null,0,0,null,null
2,0.3,AC Gilchrist,SM Katich,Mashrafe Mortaza,1,0,null,1,0,null,null
3,0.4,SM Katich,AC Gilchrist,Mashrafe Mortaza,0,0,null,0,0,null,null
4,0.5,SM Katich,AC Gilchrist,Mashrafe Mortaza,0,0,null,0,0,null,null
5,0.6,SM Katich,AC Gilchrist,Mashrafe Mortaza,4,0,null,4,0,null,null
6,1.1,AC Gilchrist,SM Katich,Shahadat Hossain,1,0,null,1,0,null,null
7,1.2,SM Katich,AC Gilchrist,Shahadat Hossain,0,0,null,0,0,null,null
8,1.3,SM Katich,AC Gilchrist,Shahadat Hossain,4,0,null,4,0,null,null
9,1.4,SM Katich,AC Gilchrist,Shahadat Hossain,0,0,null,0,0,null,null
10,1.5,SM Katich,AC Gilchrist,Shahadat Hossain,0,0,null,0,0,null,null
11,1.6,SM Katich,AC Gilchrist,Shahadat Hossain,0,0,null,0,0,null,null
12,2.1,AC Gilchrist,SM Katich,Mashrafe Mortaza,0,1,wides ,1,0,null,null
13,2.2,AC Gilchrist,SM Katich,Mashrafe Mortaza,0,0,null,0,0,null,null
14,2.3,AC Gilchrist,SM Katich,Mashrafe Mortaza,0,0,null,0,0,null,null
15,2.4,AC Gilchrist,SM Katich,Mashrafe Mortaza,2,0,null,2,0,null,null
16,2.5,AC Gilchrist,SM Katich,Mashrafe Mortaza,4,0,null,4,0,null,null
17,2.6,AC Gilchrist,SM Katich,Mashrafe Mortaza,0,0,null,0,0,null,null
18,2.7,AC Gilchrist,SM Katich,Mashrafe Mortaza,1,0,null,1,0,null,null
19,3.1,AC Gilchrist,SM Katich,Shahadat Hossain,0,0,null,0,0,null,null
20,3.2,AC Gilchrist,SM Katich,Shahadat Hossain,0,0,null,0,0,null,null
21,3.3,AC Gilchrist,SM Katich,Shahadat Hossain,0,0,null,0,0,null,null
22,3.4,AC Gilchrist,SM Katich,Shahadat Hossain,1,0,null,1,0,null,null
23,3.5,SM Katich,AC Gilchrist,Shahadat Hossain,4,0,null,4,0,null,null
24,3.6,SM Katich,AC Gilchrist,Shahadat Hossain,0,0,null,0,0,null,null
25,4.1,AC Gilchrist,SM Katich,Mashrafe Mortaza,1,0,null,1,0,null,null
26,4.2,SM Katich,AC Gilchrist,Mashrafe Mortaza,0,0,null,0,0,null,null
27,4.3,SM Katich,AC Gilchrist,Mashrafe Mortaza,0,0,null,0,0,null,null
28,4.4,SM Katich,AC Gilchrist,Mashrafe Mortaza,0,0,null,0,0,null,null
29,4.5,SM Katich,AC Gilchrist,Mashrafe Mortaza,1,0,null,1,0,null,null
30,4.6,AC Gilchrist,SM Katich,Mashrafe Mortaza,0,0,null,0,0,null,null
31,5.1,SM Katich,AC Gilchrist,Shahadat Hossain,0,0,null,0,0,null,null
32,5.2,SM Katich,AC Gilchrist,Shahadat Hossain,2,0,null,2,0,null,null
33,5.3,SM Katich,AC Gilchrist,Shahadat Hossain,0,0,null,0,0,null,null
34,5.4,SM Katich,AC Gilchrist,Shahadat Hossain,0,0,null,0,0,null,null
35,5.5,SM Katich,AC Gilchrist,Shahadat Hossain,0,0,null,0,0,null,null
36,5.6,SM Katich,AC Gilchrist,Shahadat Hossain,2,0,null,2,0,null,null
37,6.1,AC Gilchrist,SM Katich,Mashrafe Mortaza,0,0,null,0,0,null,null
38,6.2,AC Gilchrist,SM Katich,Mashrafe Mortaza,4,0,null,4,0,null,null
39,6.3,AC Gilchrist,SM Katich,Mashrafe Mortaza,0,0,null,0,0,null,null
40,6.4,AC Gilchrist,SM Katich,Mashrafe Mortaza,6,0,null,6,0,null,null
41,6.5,AC Gilchrist,SM Katich,Mashrafe Mortaza,0,0,null,0,0,null,null
42,6.6,AC Gilchrist,SM Katich,Mashrafe Mortaza,2,0,null,2,0,null,null
43,7.1,SM Katich,AC Gilchrist,Shahadat Hossain,3,0,null,3,0,null,null
44,7.2,AC Gilchrist,SM Katich,Shahadat Hossain,0,0,null,0,0,null,null
45,7.3,AC Gilchrist,SM Katich,Shahadat Hossain,0,0,null,0,0,null,null
46,7.4,AC Gilchrist,SM Katich,Shahadat Hossain,1,0,null,1,0,null,null
47,7.5,SM Katich,AC Gilchrist,Shahadat Hossain,1,0,null,1,0,null,null
48,7.6,AC Gilchrist,SM Katich,Shahadat Hossain,4,0,null,4,0,null,null
49,8.1,SM Katich,AC Gilchrist,Mashrafe Mortaza,0,0,null,0,0,null,null
50,8.2,SM Katich,AC Gilchrist,Mashrafe Mortaza,1,0,null,1,0,null,null
51,8.3,AC Gilchrist,SM Katich,Mashrafe Mortaza,4,0,null,4,0,null,null
52,8.4,AC Gilchrist,SM Katich,Mashrafe Mortaza,0,0,null,0,0,null,null
53,8.5,AC Gilchrist,SM Katich,Mashrafe Mortaza,0,0,null,0,0,null,null
54,8.6,AC Gilchrist,SM Katich,Mashrafe Mortaza,0,0,null,0,1,AC Gilchrist,lbw
55,9.1,SM Katich,RT Ponting,Shahadat Hossain,0,0,null,0,0,null,null
56,9.2,SM Katich,RT Ponting,Shahadat Hossain,1,0,null,1,0,null,null
57,9.3,RT Ponting,SM Katich,Shahadat Hossain,4,0,null,4,0,null,null
58,9.4,RT Ponting,SM Katich,Shahadat Hossain,1,1,noballs ,2,0,null,null
59,9.5,SM Katich,RT Ponting,Shahadat Hossain,0,0,null,0,0,null,null
60,9.6,SM Katich,RT Ponting,Shahadat Hossain,0,0,null,0,0,null,null
61,9.7,SM Katich,RT Ponting,Shahadat Hossain,1,0,null,1,0,null,null
62,10.1,SM Katich,RT Ponting,Mashrafe Mortaza,1,0,null,1,0,null,null
63,10.2,RT Ponting,SM Katich,Mashrafe Mortaza,0,0,null,0,0,null,null
64,10.3,RT Ponting,SM Katich,Mashrafe Mortaza,0,0,null,0,0,null,null
65,10.4,RT Ponting,SM Katich,Mashrafe Mortaza,0,0,null,0,0,null,null
66,10.5,RT Ponting,SM Katich,Mashrafe Mortaza,0,0,null,0,1,RT Ponting,bowled
67,10.6,MJ Clarke,SM Katich,Mashrafe Mortaza,0,0,null,0,0,null,null
68,11.1,SM Katich,MJ Clarke,Shahadat Hossain,0,0,null,0,0,null,null
69,11.2,SM Katich,MJ Clarke,Shahadat Hossain,0,0,null,0,0,null,null
70,11.3,SM Katich,MJ Clarke,Shahadat Hossain,1,0,null,1,0,null,null
71,11.4,MJ Clarke,SM Katich,Shahadat Hossain,0,0,null,0,0,null,null
72,11.5,MJ Clarke,SM Katich,Shahadat Hossain,0,0,null,0,0,null,null
73,11.6,MJ Clarke,SM Katich,Shahadat Hossain,0,0,null,0,0,null,null
74,12.1,SM Katich,MJ Clarke,Mashrafe Mortaza,0,0,null,0,0,null,null
75,12.2,SM Katich,MJ Clarke,Mashrafe Mortaza,0,0,null,0,0,null,null
76,12.3,SM Katich,MJ Clarke,Mashrafe Mortaza,0,0,null,0,1,SM Katich,caught
77,12.4,A Symonds,MJ Clarke,Mashrafe Mortaza,0,0,null,0,0,null,null
78,12.5,A Symonds,MJ Clarke,Mashrafe Mortaza,2,0,null,2,0,null,null
79,12.6,A Symonds,MJ Clarke,Mashrafe Mortaza,0,0,null,0,0,null,null
80,13.1,MJ Clarke,A Symonds,Shahadat Hossain,1,0,null,1,0,null,null
81,13.2,A Symonds,MJ Clarke,Shahadat Hossain,0,0,null,0,0,null,null
82,13.3,A Symonds,MJ Clarke,Shahadat Hossain,0,0,null,0,0,null,null
83,13.4,A Symonds,MJ Clarke,Shahadat Hossain,0,0,null,0,0,null,null
84,13.5,A Symonds,MJ Clarke,Shahadat Hossain,0,0,null,0,0,null,null
85,13.6,A Symonds,MJ Clarke,Shahadat Hossain,0,0,null,0,0,null,null
86,14.1,MJ Clarke,A Symonds,Mashrafe Mortaza,0,0,null,0,0,null,null
87,14.2,MJ Clarke,A Symonds,Mashrafe Mortaza,0,0,null,0,0,null,null
88,14.3,MJ Clarke,A Symonds,Mashrafe Mortaza,0,0,null,0,0,null,null
89,14.4,MJ Clarke,A Symonds,Mashrafe Mortaza,0,0,null,0,0,null,null
90,14.5,MJ Clarke,A Symonds,Mashrafe Mortaza,0,0,null,0,0,null,null
91,14.6,MJ Clarke,A Symonds,Mashrafe Mortaza,4,0,null,4,0,null,null
92,15.1,A Symonds,MJ Clarke,Shahadat Hossain,0,0,null,0,0,null,null
93,15.2,A Symonds,MJ Clarke,Shahadat Hossain,0,0,null,0,0,null,null
94,15.3,A Symonds,MJ Clarke,Shahadat Hossain,1,0,null,1,0,null,null
95,15.4,MJ Clarke,A Symonds,Shahadat Hossain,0,0,null,0,0,null,null
96,15.5,MJ Clarke,A Symonds,Shahadat Hossain,0,0,null,0,0,null,null
97,15.6,MJ Clarke,A Symonds,Shahadat Hossain,0,0,null,0,0,null,null
98,16.1,A Symonds,MJ Clarke,Abdur Razzak,0,0,null,0,0,null,null
99,16.2,A Symonds,MJ Clarke,Abdur Razzak,0,0,null,0,0,null,null
100,16.3,A Symonds,MJ Clarke,Abdur Razzak,0,0,null,0,0,null,null
101,16.4,A Symonds,MJ Clarke,Abdur Razzak,4,0,null,4,0,null,null
102,16.5,A Symonds,MJ Clarke,Abdur Razzak,0,0,null,0,0,null,null
103,16.6,A Symonds,MJ Clarke,Abdur Razzak,0,0,null,0,0,null,null
104,17.1,MJ Clarke,A Symonds,Mohammad Rafique,1,0,null,1,0,null,null
105,17.2,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
106,17.3,A Symonds,MJ Clarke,Mohammad Rafique,1,0,null,1,0,null,null
107,17.4,MJ Clarke,A Symonds,Mohammad Rafique,1,0,null,1,0,null,null
108,17.5,A Symonds,MJ Clarke,Mohammad Rafique,4,0,null,4,0,null,null
109,17.6,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
110,18.1,MJ Clarke,A Symonds,Abdur Razzak,0,0,null,0,0,null,null
111,18.2,MJ Clarke,A Symonds,Abdur Razzak,0,0,null,0,0,null,null
112,18.3,MJ Clarke,A Symonds,Abdur Razzak,1,0,null,1,0,null,null
113,18.4,A Symonds,MJ Clarke,Abdur Razzak,0,0,null,0,0,null,null
114,18.5,A Symonds,MJ Clarke,Abdur Razzak,1,0,null,1,0,null,null
115,18.6,MJ Clarke,A Symonds,Abdur Razzak,1,0,null,1,0,null,null
116,19.1,MJ Clarke,A Symonds,Mohammad Rafique,0,0,null,0,0,null,null
117,19.2,MJ Clarke,A Symonds,Mohammad Rafique,0,0,null,0,0,null,null
118,19.3,MJ Clarke,A Symonds,Mohammad Rafique,1,0,null,1,0,null,null
119,19.4,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
120,19.5,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
121,19.6,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
122,20.1,MJ Clarke,A Symonds,Abdur Razzak,1,0,null,1,0,null,null
123,20.2,A Symonds,MJ Clarke,Abdur Razzak,0,0,null,0,0,null,null
124,20.3,A Symonds,MJ Clarke,Abdur Razzak,0,0,null,0,0,null,null
125,20.4,A Symonds,MJ Clarke,Abdur Razzak,0,0,null,0,0,null,null
126,20.5,A Symonds,MJ Clarke,Abdur Razzak,1,0,null,1,0,null,null
127,20.6,MJ Clarke,A Symonds,Abdur Razzak,0,0,null,0,0,null,null
128,21.1,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
129,21.2,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
130,21.3,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
131,21.4,A Symonds,MJ Clarke,Mohammad Rafique,1,0,null,1,0,null,null
132,21.5,MJ Clarke,A Symonds,Mohammad Rafique,1,0,null,1,0,null,null
133,21.6,A Symonds,MJ Clarke,Mohammad Rafique,1,0,null,1,0,null,null
134,22.1,A Symonds,MJ Clarke,Abdur Razzak,1,0,null,1,0,null,null
135,22.2,MJ Clarke,A Symonds,Abdur Razzak,1,0,null,1,0,null,null
136,22.3,A Symonds,MJ Clarke,Abdur Razzak,1,0,null,1,0,null,null
137,22.4,MJ Clarke,A Symonds,Abdur Razzak,0,0,null,0,0,null,null
138,22.5,MJ Clarke,A Symonds,Abdur Razzak,0,0,null,0,0,null,null
139,22.6,MJ Clarke,A Symonds,Abdur Razzak,0,0,null,0,0,null,null
140,23.1,A Symonds,MJ Clarke,Mohammad Rafique,1,0,null,1,0,null,null
141,23.2,MJ Clarke,A Symonds,Mohammad Rafique,0,0,null,0,0,null,null
142,23.3,MJ Clarke,A Symonds,Mohammad Rafique,1,0,null,1,0,null,null
143,23.4,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
144,23.5,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
145,23.6,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
146,24.1,MJ Clarke,A Symonds,Abdur Razzak,1,0,null,1,0,null,null
147,24.2,A Symonds,MJ Clarke,Abdur Razzak,0,0,null,0,0,null,null
148,24.3,A Symonds,MJ Clarke,Abdur Razzak,0,0,null,0,0,null,null
149,24.4,A Symonds,MJ Clarke,Abdur Razzak,0,0,null,0,0,null,null
150,24.5,A Symonds,MJ Clarke,Abdur Razzak,1,0,null,1,0,null,null
151,24.6,MJ Clarke,A Symonds,Abdur Razzak,0,0,null,0,0,null,null
152,25.1,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
153,25.2,A Symonds,MJ Clarke,Mohammad Rafique,1,0,null,1,0,null,null
154,25.3,MJ Clarke,A Symonds,Mohammad Rafique,0,0,null,0,0,null,null
155,25.4,MJ Clarke,A Symonds,Mohammad Rafique,1,0,null,1,0,null,null
156,25.5,A Symonds,MJ Clarke,Mohammad Rafique,1,0,null,1,0,null,null
157,25.6,MJ Clarke,A Symonds,Mohammad Rafique,0,0,null,0,0,null,null
158,26.1,A Symonds,MJ Clarke,Alok Kapali,0,0,null,0,0,null,null
159,26.2,A Symonds,MJ Clarke,Alok Kapali,0,0,null,0,0,null,null
160,26.3,A Symonds,MJ Clarke,Alok Kapali,2,0,null,2,0,null,null
161,26.4,A Symonds,MJ Clarke,Alok Kapali,0,0,null,0,0,null,null
162,26.5,A Symonds,MJ Clarke,Alok Kapali,2,0,null,2,0,null,null
163,26.6,A Symonds,MJ Clarke,Alok Kapali,0,0,null,0,0,null,null
164,27.1,MJ Clarke,A Symonds,Mohammad Rafique,0,0,null,0,0,null,null
165,27.2,MJ Clarke,A Symonds,Mohammad Rafique,1,0,null,1,0,null,null
166,27.3,A Symonds,MJ Clarke,Mohammad Rafique,1,0,null,1,0,null,null
167,27.4,MJ Clarke,A Symonds,Mohammad Rafique,1,0,null,1,0,null,null
168,27.5,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
169,27.6,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
170,28.1,MJ Clarke,A Symonds,Alok Kapali,0,0,null,0,0,null,null
171,28.2,MJ Clarke,A Symonds,Alok Kapali,0,0,null,0,0,null,null
172,28.3,MJ Clarke,A Symonds,Alok Kapali,1,0,null,1,0,null,null
173,28.4,A Symonds,MJ Clarke,Alok Kapali,1,0,null,1,0,null,null
174,28.5,MJ Clarke,A Symonds,Alok Kapali,1,0,null,1,0,null,null
175,28.6,A Symonds,MJ Clarke,Alok Kapali,1,0,null,1,0,null,null
176,29.1,A Symonds,MJ Clarke,Mohammad Rafique,1,0,null,1,0,null,null
177,29.2,MJ Clarke,A Symonds,Mohammad Rafique,0,0,null,0,0,null,null
178,29.3,MJ Clarke,A Symonds,Mohammad Rafique,0,1,wides ,1,0,null,null
179,29.4,MJ Clarke,A Symonds,Mohammad Rafique,1,0,null,1,0,null,null
180,29.5,A Symonds,MJ Clarke,Mohammad Rafique,1,0,null,1,0,null,null
181,29.6,MJ Clarke,A Symonds,Mohammad Rafique,1,0,null,1,0,null,null
182,29.7,A Symonds,MJ Clarke,Mohammad Rafique,1,0,null,1,0,null,null
183,30.1,A Symonds,MJ Clarke,Alok Kapali,1,0,null,1,0,null,null
184,30.2,MJ Clarke,A Symonds,Alok Kapali,1,0,null,1,0,null,null
185,30.3,A Symonds,MJ Clarke,Alok Kapali,1,0,null,1,0,null,null
186,30.4,MJ Clarke,A Symonds,Alok Kapali,1,0,null,1,0,null,null
187,30.5,A Symonds,MJ Clarke,Alok Kapali,1,0,null,1,0,null,null
188,30.6,MJ Clarke,A Symonds,Alok Kapali,1,0,null,1,0,null,null
189,31.1,MJ Clarke,A Symonds,Tushar Imran,0,0,null,0,0,null,null
190,31.2,MJ Clarke,A Symonds,Tushar Imran,0,0,null,0,0,null,null
191,31.3,MJ Clarke,A Symonds,Tushar Imran,1,0,null,1,0,null,null
192,31.4,A Symonds,MJ Clarke,Tushar Imran,1,0,null,1,0,null,null
193,31.5,MJ Clarke,A Symonds,Tushar Imran,0,0,null,0,0,null,null
194,31.6,MJ Clarke,A Symonds,Tushar Imran,1,0,null,1,0,null,null
195,32.1,MJ Clarke,A Symonds,Alok Kapali,1,0,null,1,0,null,null
196,32.2,A Symonds,MJ Clarke,Alok Kapali,4,0,null,4,0,null,null
197,32.3,A Symonds,MJ Clarke,Alok Kapali,0,0,null,0,0,null,null
198,32.4,A Symonds,MJ Clarke,Alok Kapali,4,0,null,4,0,null,null
199,32.5,A Symonds,MJ Clarke,Alok Kapali,0,0,null,0,0,null,null
200,32.6,A Symonds,MJ Clarke,Alok Kapali,0,0,null,0,0,null,null
201,33.1,MJ Clarke,A Symonds,Tushar Imran,1,0,null,1,0,null,null
202,33.2,A Symonds,MJ Clarke,Tushar Imran,1,0,null,1,0,null,null
203,33.3,MJ Clarke,A Symonds,Tushar Imran,1,0,null,1,0,null,null
204,33.4,A Symonds,MJ Clarke,Tushar Imran,1,0,null,1,0,null,null
205,33.5,MJ Clarke,A Symonds,Tushar Imran,1,0,null,1,0,null,null
206,33.6,A Symonds,MJ Clarke,Tushar Imran,1,0,null,1,0,null,null
207,34.1,A Symonds,MJ Clarke,Rajin Saleh,0,0,null,0,0,null,null
208,34.2,A Symonds,MJ Clarke,Rajin Saleh,0,1,wides ,1,0,null,null
209,34.3,A Symonds,MJ Clarke,Rajin Saleh,1,0,null,1,0,null,null
210,34.4,MJ Clarke,A Symonds,Rajin Saleh,0,0,null,0,0,null,null
211,34.5,MJ Clarke,A Symonds,Rajin Saleh,0,0,null,0,0,null,null
212,34.6,MJ Clarke,A Symonds,Rajin Saleh,0,0,null,0,0,null,null
213,34.7,MJ Clarke,A Symonds,Rajin Saleh,0,0,null,0,0,null,null
214,35.1,A Symonds,MJ Clarke,Tushar Imran,0,0,null,0,0,null,null
215,35.2,A Symonds,MJ Clarke,Tushar Imran,2,0,null,2,0,null,null
216,35.3,A Symonds,MJ Clarke,Tushar Imran,0,0,null,0,0,null,null
217,35.4,A Symonds,MJ Clarke,Tushar Imran,0,0,null,0,0,null,null
218,35.5,A Symonds,MJ Clarke,Tushar Imran,0,0,null,0,0,null,null
219,35.6,A Symonds,MJ Clarke,Tushar Imran,1,0,null,1,0,null,null
220,36.1,A Symonds,MJ Clarke,Rajin Saleh,0,1,wides ,1,0,null,null
221,36.2,A Symonds,MJ Clarke,Rajin Saleh,0,1,wides ,1,0,null,null
222,36.3,A Symonds,MJ Clarke,Rajin Saleh,0,0,null,0,0,null,null
223,36.4,A Symonds,MJ Clarke,Rajin Saleh,1,0,null,1,0,null,null
224,36.5,MJ Clarke,A Symonds,Rajin Saleh,1,0,null,1,0,null,null
225,36.6,A Symonds,MJ Clarke,Rajin Saleh,1,0,null,1,0,null,null
226,36.7,MJ Clarke,A Symonds,Rajin Saleh,0,0,null,0,0,null,null
227,36.8,MJ Clarke,A Symonds,Rajin Saleh,1,0,null,1,0,null,null
228,37.1,MJ Clarke,A Symonds,Tushar Imran,1,0,null,1,0,null,null
229,37.2,A Symonds,MJ Clarke,Tushar Imran,0,0,null,0,0,null,null
230,37.3,A Symonds,MJ Clarke,Tushar Imran,1,0,null,1,0,null,null
231,37.4,MJ Clarke,A Symonds,Tushar Imran,0,0,null,0,0,null,null
232,37.5,MJ Clarke,A Symonds,Tushar Imran,1,0,null,1,0,null,null
233,37.6,A Symonds,MJ Clarke,Tushar Imran,1,0,null,1,0,null,null
234,38.1,A Symonds,MJ Clarke,Abdur Razzak,2,0,null,2,0,null,null
235,38.2,A Symonds,MJ Clarke,Abdur Razzak,0,0,null,0,0,null,null
236,38.3,A Symonds,MJ Clarke,Abdur Razzak,0,0,null,0,0,null,null
237,38.4,A Symonds,MJ Clarke,Abdur Razzak,4,0,null,4,0,null,null
238,38.5,A Symonds,MJ Clarke,Abdur Razzak,1,0,null,1,0,null,null
239,38.6,MJ Clarke,A Symonds,Abdur Razzak,1,0,null,1,0,null,null
240,39.1,MJ Clarke,A Symonds,Rajin Saleh,0,0,null,0,0,null,null
241,39.2,MJ Clarke,A Symonds,Rajin Saleh,0,0,null,0,0,null,null
242,39.3,MJ Clarke,A Symonds,Rajin Saleh,1,0,null,1,0,null,null
243,39.4,A Symonds,MJ Clarke,Rajin Saleh,0,1,wides ,1,0,null,null
244,39.5,A Symonds,MJ Clarke,Rajin Saleh,1,0,null,1,0,null,null
245,39.6,MJ Clarke,A Symonds,Rajin Saleh,1,0,null,1,0,null,null
246,39.7,A Symonds,MJ Clarke,Rajin Saleh,0,0,null,0,0,null,null
247,40.1,MJ Clarke,A Symonds,Abdur Razzak,4,0,null,4,0,null,null
248,40.2,MJ Clarke,A Symonds,Abdur Razzak,2,0,null,2,0,null,null
249,40.3,MJ Clarke,A Symonds,Abdur Razzak,0,0,null,0,0,null,null
250,40.4,MJ Clarke,A Symonds,Abdur Razzak,1,0,null,1,0,null,null
251,40.5,A Symonds,MJ Clarke,Abdur Razzak,0,0,null,0,0,null,null
252,40.6,A Symonds,MJ Clarke,Abdur Razzak,1,0,null,1,0,null,null
253,41.1,A Symonds,MJ Clarke,Rajin Saleh,1,0,null,1,0,null,null
254,41.2,MJ Clarke,A Symonds,Rajin Saleh,1,0,null,1,0,null,null
255,41.3,A Symonds,MJ Clarke,Rajin Saleh,1,0,null,1,0,null,null
256,41.4,MJ Clarke,A Symonds,Rajin Saleh,0,0,null,0,0,null,null
257,41.5,MJ Clarke,A Symonds,Rajin Saleh,0,0,null,0,0,null,null
258,41.6,MJ Clarke,A Symonds,Rajin Saleh,1,0,null,1,0,null,null
259,42.1,MJ Clarke,A Symonds,Mohammad Rafique,0,0,null,0,0,null,null
260,42.2,MJ Clarke,A Symonds,Mohammad Rafique,1,0,null,1,0,null,null
261,42.3,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
262,42.4,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
263,42.5,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
264,42.6,A Symonds,MJ Clarke,Mohammad Rafique,0,0,null,0,0,null,null
265,43.1,MJ Clarke,A Symonds,Rajin Saleh,1,0,null,1,0,null,null
266,43.2,A Symonds,MJ Clarke,Rajin Saleh,6,0,null,6,0,null,null
267,43.3,A Symonds,MJ Clarke,Rajin Saleh,0,0,null,0,0,null,null
268,43.4,A Symonds,MJ Clarke,Rajin Saleh,6,0,null,6,0,null,null
269,43.5,A Symonds,MJ Clarke,Rajin Saleh,1,0,null,1,0,null,null
270,43.6,MJ Clarke,A Symonds,Rajin Saleh,1,0,null,1,0,null,null
271,44.1,MJ Clarke,A Symonds,Mohammad Rafique,1,0,null,1,0,null,null
272,44.2,A Symonds,MJ Clarke,Mohammad Rafique,1,0,null,1,0,null,null
273,44.3,MJ Clarke,A Symonds,Mohammad Rafique,2,0,null,2,0,null,null
274,44.4,MJ Clarke,A Symonds,Mohammad Rafique,1,0,null,1,0,null,null
275,44.5,A Symonds,MJ Clarke,Mohammad Rafique,1,0,null,1,0,null,null
276,44.6,MJ Clarke,A Symonds,Mohammad Rafique,0,0,null,0,1,MJ Clarke,caught
277,45.1,A Symonds,MEK Hussey,Shahadat Hossain,1,0,null,1,0,null,null
278,45.2,MEK Hussey,A Symonds,Shahadat Hossain,0,0,null,0,0,null,null
279,45.3,MEK Hussey,A Symonds,Shahadat Hossain,1,0,null,1,0,null,null
280,45.4,A Symonds,MEK Hussey,Shahadat Hossain,4,0,null,4,0,null,null
281,45.5,A Symonds,MEK Hussey,Shahadat Hossain,1,0,null,1,0,null,null
282,45.6,MEK Hussey,A Symonds,Shahadat Hossain,1,0,null,1,0,null,null
283,46.1,MEK Hussey,A Symonds,Mohammad Rafique,0,1,wides ,1,0,null,null
284,46.2,MEK Hussey,A Symonds,Mohammad Rafique,0,0,null,0,0,null,null
285,46.3,MEK Hussey,A Symonds,Mohammad Rafique,1,0,null,1,0,null,null
286,46.4,A Symonds,MEK Hussey,Mohammad Rafique,1,0,null,1,0,null,null
287,46.5,MEK Hussey,A Symonds,Mohammad Rafique,1,0,null,1,0,null,null
288,46.6,A Symonds,MEK Hussey,Mohammad Rafique,2,0,null,2,0,null,null
289,46.7,A Symonds,MEK Hussey,Mohammad Rafique,1,0,null,1,0,null,null
290,47.1,A Symonds,MEK Hussey,Mashrafe Mortaza,1,1,noballs ,2,0,null,null
291,47.2,MEK Hussey,A Symonds,Mashrafe Mortaza,0,1,byes ,1,0,null,null
292,47.3,A Symonds,MEK Hussey,Mashrafe Mortaza,0,0,null,0,0,null,null
293,47.4,A Symonds,MEK Hussey,Mashrafe Mortaza,2,0,null,2,0,null,null
294,47.5,A Symonds,MEK Hussey,Mashrafe Mortaza,1,0,null,1,0,null,null
295,47.6,MEK Hussey,A Symonds,Mashrafe Mortaza,4,0,null,4,0,null,null
296,47.7,MEK Hussey,A Symonds,Mashrafe Mortaza,4,0,null,4,0,null,null
297,48.1,A Symonds,MEK Hussey,Shahadat Hossain,1,0,null,1,0,null,null
298,48.2,MEK Hussey,A Symonds,Shahadat Hossain,0,1,legbyes ,1,0,null,null
299,48.3,A Symonds,MEK Hussey,Shahadat Hossain,1,0,null,1,0,null,null
300,48.4,MEK Hussey,A Symonds,Shahadat Hossain,2,0,null,2,0,null,null
301,48.5,MEK Hussey,A Symonds,Shahadat Hossain,0,0,null,0,0,null,null
302,48.6,MEK Hussey,A Symonds,Shahadat Hossain,4,0,null,4,0,null,null
303,49.1,A Symonds,MEK Hussey,Mashrafe Mortaza,2,0,null,2,0,null,null
304,49.2,A Symonds,MEK Hussey,Abdur Razzak,1,0,null,1,0,null,null
305,49.3,MEK Hussey,A Symonds,Abdur Razzak,0,1,legbyes ,1,0,null,null
306,49.4,A Symonds,MEK Hussey,Abdur Razzak,2,0,null,2,0,null,null
307,49.5,A Symonds,MEK Hussey,Abdur Razzak,1,0,null,1,0,null,null
308,49.6,MEK Hussey,A Symonds,Abdur Razzak,0,0,null,0,1,MEK Hussey,bowled
