,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,BB McCullum,JD Ryder,Shafiul Islam,1,0,null,1,0,null,null
1,0.2,JD Ryder,BB McCullum,Shafiul Islam,0,1,wides ,1,0,null,null
2,0.3,JD Ryder,BB McCullum,Shafiul Islam,1,0,null,1,0,null,null
3,0.4,BB McCullum,JD Ryder,Shafiul Islam,1,0,null,1,0,null,null
4,0.5,JD Ryder,BB McCullum,Shafiul Islam,0,0,null,0,0,null,null
5,0.6,JD Ryder,BB McCullum,Shafiul Islam,1,0,null,1,0,null,null
6,0.7,BB McCullum,JD Ryder,Shafiul Islam,0,1,legbyes ,1,0,null,null
7,1.1,BB McCullum,JD Ryder,Rubel Hossain,2,0,null,2,0,null,null
8,1.2,BB McCullum,JD Ryder,Rubel Hossain,0,0,null,0,1,BB McCullum,caught
9,1.3,JD Ryder,BJ Watling,Rubel Hossain,0,0,null,0,0,null,null
10,1.4,JD Ryder,BJ Watling,Rubel Hossain,0,0,null,0,0,null,null
11,1.5,JD Ryder,BJ Watling,Rubel Hossain,2,0,null,2,0,null,null
12,1.6,JD Ryder,BJ Watling,Rubel Hossain,0,0,null,0,1,JD Ryder,lbw
13,2.1,BJ Watling,LRPL Taylor,Shafiul Islam,0,0,null,0,0,null,null
14,2.2,BJ Watling,LRPL Taylor,Shafiul Islam,1,0,null,1,0,null,null
15,2.3,LRPL Taylor,BJ Watling,Shafiul Islam,0,1,wides ,1,0,null,null
16,2.4,LRPL Taylor,BJ Watling,Shafiul Islam,0,0,null,0,0,null,null
17,2.5,LRPL Taylor,BJ Watling,Shafiul Islam,0,0,null,0,0,null,null
18,2.6,LRPL Taylor,BJ Watling,Shafiul Islam,0,0,null,0,0,null,null
19,2.7,LRPL Taylor,BJ Watling,Shafiul Islam,0,0,null,0,0,null,null
20,3.1,BJ Watling,LRPL Taylor,Rubel Hossain,0,0,null,0,0,null,null
21,3.2,BJ Watling,LRPL Taylor,Rubel Hossain,0,0,null,0,0,null,null
22,3.3,BJ Watling,LRPL Taylor,Rubel Hossain,0,0,null,0,0,null,null
23,3.4,BJ Watling,LRPL Taylor,Rubel Hossain,0,0,null,0,0,null,null
24,3.5,BJ Watling,LRPL Taylor,Rubel Hossain,0,0,null,0,0,null,null
25,3.6,BJ Watling,LRPL Taylor,Rubel Hossain,0,0,null,0,0,null,null
26,4.1,LRPL Taylor,BJ Watling,Abdur Razzak,0,1,wides ,1,0,null,null
27,4.2,LRPL Taylor,BJ Watling,Abdur Razzak,1,0,null,1,1,BJ Watling,run out
28,4.3,LRPL Taylor,KS Williamson,Abdur Razzak,1,0,null,1,0,null,null
29,4.4,KS Williamson,LRPL Taylor,Abdur Razzak,0,0,null,0,0,null,null
30,4.5,KS Williamson,LRPL Taylor,Abdur Razzak,0,0,null,0,0,null,null
31,4.6,KS Williamson,LRPL Taylor,Abdur Razzak,0,0,null,0,0,null,null
32,4.7,KS Williamson,LRPL Taylor,Abdur Razzak,0,0,null,0,0,null,null
33,5.1,LRPL Taylor,KS Williamson,Rubel Hossain,0,0,null,0,0,null,null
34,5.2,LRPL Taylor,KS Williamson,Rubel Hossain,1,0,null,1,0,null,null
35,5.3,KS Williamson,LRPL Taylor,Rubel Hossain,0,0,null,0,0,null,null
36,5.4,KS Williamson,LRPL Taylor,Rubel Hossain,0,0,null,0,1,KS Williamson,caught
37,5.5,DL Vettori,LRPL Taylor,Rubel Hossain,2,0,null,2,0,null,null
38,5.6,DL Vettori,LRPL Taylor,Rubel Hossain,1,0,null,1,0,null,null
39,6.1,DL Vettori,LRPL Taylor,Abdur Razzak,0,0,null,0,0,null,null
40,6.2,DL Vettori,LRPL Taylor,Abdur Razzak,1,0,null,1,0,null,null
41,6.3,LRPL Taylor,DL Vettori,Abdur Razzak,0,0,null,0,1,LRPL Taylor,bowled
42,6.4,GD Elliott,DL Vettori,Abdur Razzak,0,0,null,0,0,null,null
43,6.5,GD Elliott,DL Vettori,Abdur Razzak,0,0,null,0,0,null,null
44,6.6,GD Elliott,DL Vettori,Abdur Razzak,0,0,null,0,0,null,null
45,7.1,DL Vettori,GD Elliott,Rubel Hossain,0,0,null,0,0,null,null
46,7.2,DL Vettori,GD Elliott,Rubel Hossain,0,0,null,0,0,null,null
47,7.3,DL Vettori,GD Elliott,Rubel Hossain,0,4,byes ,4,0,null,null
48,7.4,DL Vettori,GD Elliott,Rubel Hossain,1,0,null,1,0,null,null
49,7.5,GD Elliott,DL Vettori,Rubel Hossain,0,0,null,0,0,null,null
50,7.6,GD Elliott,DL Vettori,Rubel Hossain,0,0,null,0,0,null,null
51,8.1,DL Vettori,GD Elliott,Abdur Razzak,0,0,null,0,0,null,null
52,8.2,DL Vettori,GD Elliott,Abdur Razzak,0,0,null,0,0,null,null
53,8.3,DL Vettori,GD Elliott,Abdur Razzak,1,0,null,1,0,null,null
54,8.4,GD Elliott,DL Vettori,Abdur Razzak,0,0,null,0,0,null,null
55,8.5,GD Elliott,DL Vettori,Abdur Razzak,0,0,null,0,0,null,null
56,8.6,GD Elliott,DL Vettori,Abdur Razzak,0,2,wides ,2,0,null,null
57,8.7,DL Vettori,GD Elliott,Abdur Razzak,2,0,null,2,0,null,null
58,9.1,GD Elliott,DL Vettori,Rubel Hossain,4,0,null,4,0,null,null
59,9.2,GD Elliott,DL Vettori,Rubel Hossain,0,0,null,0,0,null,null
60,9.3,GD Elliott,DL Vettori,Rubel Hossain,0,0,null,0,0,null,null
61,9.4,GD Elliott,DL Vettori,Rubel Hossain,0,0,null,0,0,null,null
62,9.5,GD Elliott,DL Vettori,Rubel Hossain,0,0,null,0,0,null,null
63,9.6,GD Elliott,DL Vettori,Rubel Hossain,0,0,null,0,0,null,null
64,10.1,DL Vettori,GD Elliott,Abdur Razzak,1,0,null,1,0,null,null
65,10.2,GD Elliott,DL Vettori,Abdur Razzak,0,0,null,0,0,null,null
66,10.3,GD Elliott,DL Vettori,Abdur Razzak,1,0,null,1,0,null,null
67,10.4,DL Vettori,GD Elliott,Abdur Razzak,0,0,null,0,0,null,null
68,10.5,DL Vettori,GD Elliott,Abdur Razzak,0,0,null,0,0,null,null
69,10.6,DL Vettori,GD Elliott,Abdur Razzak,1,0,null,1,0,null,null
70,11.1,DL Vettori,GD Elliott,Shafiul Islam,0,0,null,0,0,null,null
71,11.2,DL Vettori,GD Elliott,Shafiul Islam,0,0,null,0,0,null,null
72,11.3,DL Vettori,GD Elliott,Shafiul Islam,0,0,null,0,0,null,null
73,11.4,DL Vettori,GD Elliott,Shafiul Islam,0,0,null,0,0,null,null
74,11.5,DL Vettori,GD Elliott,Shafiul Islam,0,0,null,0,0,null,null
75,11.6,DL Vettori,GD Elliott,Shafiul Islam,1,0,null,1,0,null,null
76,12.1,DL Vettori,GD Elliott,Mahmudullah,0,0,null,0,0,null,null
77,12.2,DL Vettori,GD Elliott,Mahmudullah,1,0,null,1,0,null,null
78,12.3,GD Elliott,DL Vettori,Mahmudullah,0,1,wides ,1,0,null,null
79,12.4,GD Elliott,DL Vettori,Mahmudullah,1,0,null,1,0,null,null
80,12.5,DL Vettori,GD Elliott,Mahmudullah,0,0,null,0,0,null,null
81,12.6,DL Vettori,GD Elliott,Mahmudullah,0,0,null,0,0,null,null
82,12.7,DL Vettori,GD Elliott,Mahmudullah,0,0,null,0,0,null,null
83,13.1,GD Elliott,DL Vettori,Shakib Al Hasan,0,0,null,0,0,null,null
84,13.2,GD Elliott,DL Vettori,Shakib Al Hasan,1,0,null,1,0,null,null
