,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Tamim Iqbal,Shahriar Nafees,Umar Gul,0,0,null,0,0,null,null
1,0.2,Tamim Iqbal,Shahriar Nafees,Umar Gul,1,0,null,1,0,null,null
2,0.3,Shahriar Nafees,Tamim Iqbal,Umar Gul,0,0,null,0,0,null,null
3,0.4,Shahriar Nafees,Tamim Iqbal,Umar Gul,0,0,null,0,0,null,null
4,0.5,Shahriar Nafees,Tamim Iqbal,Umar Gul,2,0,null,2,0,null,null
5,0.6,Shahriar Nafees,Tamim Iqbal,Umar Gul,0,0,null,0,0,null,null
6,1.1,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,0,0,null,0,0,null,null
7,1.2,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,0,1,wides ,1,0,null,null
8,1.3,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,0,0,null,0,0,null,null
9,1.4,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,0,0,null,0,0,null,null
10,1.5,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,0,0,null,0,0,null,null
11,1.6,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,0,0,null,0,0,null,null
12,1.7,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,0,0,null,0,0,null,null
13,2.1,Shahriar Nafees,Tamim Iqbal,Umar Gul,0,0,null,0,0,null,null
14,2.2,Shahriar Nafees,Tamim Iqbal,Umar Gul,0,0,null,0,0,null,null
15,2.3,Shahriar Nafees,Tamim Iqbal,Umar Gul,0,0,null,0,0,null,null
16,2.4,Shahriar Nafees,Tamim Iqbal,Umar Gul,0,0,null,0,0,null,null
17,2.5,Shahriar Nafees,Tamim Iqbal,Umar Gul,0,0,null,0,0,null,null
18,2.6,Shahriar Nafees,Tamim Iqbal,Umar Gul,0,0,null,0,0,null,null
19,3.1,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,0,0,null,0,0,null,null
20,3.2,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,2,0,null,2,0,null,null
21,3.3,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,0,1,wides ,1,0,null,null
22,3.4,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,4,0,null,4,0,null,null
23,3.5,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,1,0,null,1,0,null,null
24,3.6,Shahriar Nafees,Tamim Iqbal,Sohail Tanvir,0,0,null,0,0,null,null
25,3.7,Shahriar Nafees,Tamim Iqbal,Sohail Tanvir,0,0,null,0,0,null,null
26,4.1,Tamim Iqbal,Shahriar Nafees,Umar Gul,0,0,null,0,0,null,null
27,4.2,Tamim Iqbal,Shahriar Nafees,Umar Gul,3,0,null,3,0,null,null
28,4.3,Shahriar Nafees,Tamim Iqbal,Umar Gul,4,0,null,4,0,null,null
29,4.4,Shahriar Nafees,Tamim Iqbal,Umar Gul,0,1,wides ,1,0,null,null
30,4.5,Shahriar Nafees,Tamim Iqbal,Umar Gul,1,0,null,1,0,null,null
31,4.6,Tamim Iqbal,Shahriar Nafees,Umar Gul,1,0,null,1,0,null,null
32,4.7,Shahriar Nafees,Tamim Iqbal,Umar Gul,0,0,null,0,0,null,null
33,5.1,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,0,0,null,0,0,null,null
34,5.2,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,0,0,null,0,0,null,null
35,5.3,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,0,0,null,0,0,null,null
36,5.4,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,4,0,null,4,0,null,null
37,5.5,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,0,0,null,0,0,null,null
38,5.6,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,1,0,null,1,0,null,null
39,6.1,Tamim Iqbal,Shahriar Nafees,Umar Gul,0,1,wides ,1,0,null,null
40,6.2,Tamim Iqbal,Shahriar Nafees,Umar Gul,0,0,null,0,0,null,null
41,6.3,Tamim Iqbal,Shahriar Nafees,Umar Gul,4,0,null,4,0,null,null
42,6.4,Tamim Iqbal,Shahriar Nafees,Umar Gul,0,0,null,0,0,null,null
43,6.5,Tamim Iqbal,Shahriar Nafees,Umar Gul,0,0,null,0,0,null,null
44,6.6,Tamim Iqbal,Shahriar Nafees,Umar Gul,0,0,null,0,0,null,null
45,6.7,Tamim Iqbal,Shahriar Nafees,Umar Gul,0,0,null,0,0,null,null
46,7.1,Shahriar Nafees,Tamim Iqbal,Sohail Tanvir,1,0,null,1,0,null,null
47,7.2,Tamim Iqbal,Shahriar Nafees,Sohail Tanvir,1,0,null,1,0,null,null
48,7.3,Shahriar Nafees,Tamim Iqbal,Sohail Tanvir,0,0,null,0,0,null,null
49,7.4,Shahriar Nafees,Tamim Iqbal,Sohail Tanvir,0,0,null,0,0,null,null
50,7.5,Shahriar Nafees,Tamim Iqbal,Sohail Tanvir,0,0,null,0,0,null,null
51,7.6,Shahriar Nafees,Tamim Iqbal,Sohail Tanvir,1,0,null,1,0,null,null
52,8.1,Shahriar Nafees,Tamim Iqbal,Wahab Riaz,0,0,null,0,0,null,null
53,8.2,Shahriar Nafees,Tamim Iqbal,Wahab Riaz,0,0,null,0,0,null,null
54,8.3,Shahriar Nafees,Tamim Iqbal,Wahab Riaz,0,0,null,0,1,Shahriar Nafees,caught
55,8.4,Mohammad Ashraful,Tamim Iqbal,Wahab Riaz,0,0,null,0,0,null,null
56,8.5,Mohammad Ashraful,Tamim Iqbal,Wahab Riaz,0,0,null,0,0,null,null
57,8.6,Mohammad Ashraful,Tamim Iqbal,Wahab Riaz,0,0,null,0,0,null,null
58,9.1,Tamim Iqbal,Mohammad Ashraful,Sohail Tanvir,0,0,null,0,0,null,null
59,9.2,Tamim Iqbal,Mohammad Ashraful,Sohail Tanvir,0,0,null,0,0,null,null
60,9.3,Tamim Iqbal,Mohammad Ashraful,Sohail Tanvir,1,0,null,1,0,null,null
61,9.4,Mohammad Ashraful,Tamim Iqbal,Sohail Tanvir,0,0,null,0,0,null,null
62,9.5,Mohammad Ashraful,Tamim Iqbal,Sohail Tanvir,0,0,null,0,0,null,null
63,9.6,Mohammad Ashraful,Tamim Iqbal,Sohail Tanvir,1,0,null,1,0,null,null
64,10.1,Mohammad Ashraful,Tamim Iqbal,Wahab Riaz,0,0,null,0,0,null,null
65,10.2,Mohammad Ashraful,Tamim Iqbal,Wahab Riaz,0,0,null,0,0,null,null
66,10.3,Mohammad Ashraful,Tamim Iqbal,Wahab Riaz,0,0,null,0,0,null,null
67,10.4,Mohammad Ashraful,Tamim Iqbal,Wahab Riaz,1,0,null,1,0,null,null
68,10.5,Tamim Iqbal,Mohammad Ashraful,Wahab Riaz,0,0,null,0,0,null,null
69,10.6,Tamim Iqbal,Mohammad Ashraful,Wahab Riaz,4,0,null,4,0,null,null
70,11.1,Mohammad Ashraful,Tamim Iqbal,Sohail Tanvir,1,0,null,1,0,null,null
71,11.2,Tamim Iqbal,Mohammad Ashraful,Sohail Tanvir,0,0,null,0,0,null,null
72,11.3,Tamim Iqbal,Mohammad Ashraful,Sohail Tanvir,1,0,null,1,0,null,null
73,11.4,Mohammad Ashraful,Tamim Iqbal,Sohail Tanvir,1,0,null,1,0,null,null
74,11.5,Tamim Iqbal,Mohammad Ashraful,Sohail Tanvir,1,0,null,1,0,null,null
75,11.6,Mohammad Ashraful,Tamim Iqbal,Sohail Tanvir,1,0,null,1,0,null,null
76,12.1,Mohammad Ashraful,Tamim Iqbal,Shahid Afridi,0,2,wides ,2,0,null,null
77,12.2,Tamim Iqbal,Mohammad Ashraful,Shahid Afridi,0,0,null,0,0,null,null
78,12.3,Tamim Iqbal,Mohammad Ashraful,Shahid Afridi,0,0,null,0,1,Tamim Iqbal,caught
79,12.4,Raqibul Hasan,Mohammad Ashraful,Shahid Afridi,0,0,null,0,0,null,null
80,12.5,Raqibul Hasan,Mohammad Ashraful,Shahid Afridi,0,0,null,0,0,null,null
81,12.6,Raqibul Hasan,Mohammad Ashraful,Shahid Afridi,0,0,null,0,0,null,null
82,12.7,Raqibul Hasan,Mohammad Ashraful,Shahid Afridi,0,0,null,0,0,null,null
83,13.1,Mohammad Ashraful,Raqibul Hasan,Wahab Riaz,0,1,wides ,1,0,null,null
84,13.2,Mohammad Ashraful,Raqibul Hasan,Wahab Riaz,1,0,null,1,0,null,null
85,13.3,Raqibul Hasan,Mohammad Ashraful,Wahab Riaz,0,0,null,0,0,null,null
86,13.4,Raqibul Hasan,Mohammad Ashraful,Wahab Riaz,1,0,null,1,0,null,null
87,13.5,Mohammad Ashraful,Raqibul Hasan,Wahab Riaz,0,0,null,0,0,null,null
88,13.6,Mohammad Ashraful,Raqibul Hasan,Wahab Riaz,0,0,null,0,0,null,null
89,13.7,Mohammad Ashraful,Raqibul Hasan,Wahab Riaz,0,0,null,0,0,null,null
