,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,J Mubarak,ST Jayasuriya,Mashrafe Mortaza,0,0,null,0,0,null,null
1,0.2,J Mubarak,ST Jayasuriya,Mashrafe Mortaza,1,0,null,1,0,null,null
2,0.3,ST Jayasuriya,J Mubarak,Mashrafe Mortaza,1,0,null,1,0,null,null
3,0.4,J Mubarak,ST Jayasuriya,Mashrafe Mortaza,0,0,null,0,0,null,null
4,0.5,J Mubarak,ST Jayasuriya,Mashrafe Mortaza,0,0,null,0,0,null,null
5,0.6,J Mubarak,ST Jayasuriya,Mashrafe Mortaza,0,1,wides ,1,0,null,null
6,0.7,J Mubarak,ST Jayasuriya,Mashrafe Mortaza,0,1,wides ,1,0,null,null
7,0.8,J Mubarak,ST Jayasuriya,Mashrafe Mortaza,1,0,null,1,0,null,null
8,1.1,J Mubarak,ST Jayasuriya,Syed Rasel,0,1,wides ,1,0,null,null
9,1.2,J Mubarak,ST Jayasuriya,Syed Rasel,0,1,legbyes ,1,0,null,null
10,1.3,ST Jayasuriya,J Mubarak,Syed Rasel,0,0,null,0,0,null,null
11,1.4,ST Jayasuriya,J Mubarak,Syed Rasel,1,0,null,1,0,null,null
12,1.5,J Mubarak,ST Jayasuriya,Syed Rasel,2,1,noballs ,3,0,null,null
13,1.6,J Mubarak,ST Jayasuriya,Syed Rasel,0,0,null,0,1,J Mubarak,bowled
14,1.7,KC Sangakkara,ST Jayasuriya,Syed Rasel,0,0,null,0,0,null,null
15,1.8,KC Sangakkara,ST Jayasuriya,Syed Rasel,1,1,noballs ,2,0,null,null
16,1.9,ST Jayasuriya,KC Sangakkara,Syed Rasel,0,0,null,0,0,null,null
17,2.1,KC Sangakkara,ST Jayasuriya,Mashrafe Mortaza,0,1,wides ,1,0,null,null
18,2.2,KC Sangakkara,ST Jayasuriya,Mashrafe Mortaza,0,0,null,0,0,null,null
19,2.3,KC Sangakkara,ST Jayasuriya,Mashrafe Mortaza,0,0,null,0,0,null,null
20,2.4,KC Sangakkara,ST Jayasuriya,Mashrafe Mortaza,0,0,null,0,0,null,null
21,2.5,KC Sangakkara,ST Jayasuriya,Mashrafe Mortaza,0,0,null,0,0,null,null
22,2.6,KC Sangakkara,ST Jayasuriya,Mashrafe Mortaza,0,0,null,0,0,null,null
23,2.7,KC Sangakkara,ST Jayasuriya,Mashrafe Mortaza,4,0,null,4,0,null,null
24,3.1,ST Jayasuriya,KC Sangakkara,Syed Rasel,0,0,null,0,0,null,null
25,3.2,ST Jayasuriya,KC Sangakkara,Syed Rasel,0,0,null,0,0,null,null
26,3.3,ST Jayasuriya,KC Sangakkara,Syed Rasel,0,0,null,0,0,null,null
