,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Tamim Iqbal,Liton Das,KAJ Roach,1,0,null,1,0,null,null
1,0.2,Liton Das,Tamim Iqbal,KAJ Roach,0,0,null,0,0,null,null
2,0.3,Liton Das,Tamim Iqbal,KAJ Roach,0,0,null,0,0,null,null
3,0.4,Liton Das,Tamim Iqbal,KAJ Roach,0,0,null,0,0,null,null
4,0.5,Liton Das,Tamim Iqbal,KAJ Roach,0,0,null,0,0,null,null
5,0.6,Liton Das,Tamim Iqbal,KAJ Roach,0,0,null,0,0,null,null
6,1.1,Tamim Iqbal,Liton Das,RL Chase,0,0,null,0,0,null,null
7,1.2,Tamim Iqbal,Liton Das,RL Chase,0,0,null,0,0,null,null
8,1.3,Tamim Iqbal,Liton Das,RL Chase,0,0,null,0,0,null,null
9,1.4,Tamim Iqbal,Liton Das,RL Chase,0,0,null,0,0,null,null
10,1.5,Tamim Iqbal,Liton Das,RL Chase,0,0,null,0,0,null,null
11,1.6,Tamim Iqbal,Liton Das,RL Chase,0,0,null,0,0,null,null
12,2.1,Liton Das,Tamim Iqbal,KAJ Roach,0,4,legbyes ,4,0,null,null
13,2.2,Liton Das,Tamim Iqbal,KAJ Roach,0,0,null,0,0,null,null
14,2.3,Liton Das,Tamim Iqbal,KAJ Roach,1,0,null,1,0,null,null
15,2.4,Tamim Iqbal,Liton Das,KAJ Roach,1,0,null,1,0,null,null
16,2.5,Liton Das,Tamim Iqbal,KAJ Roach,1,0,null,1,0,null,null
17,2.6,Tamim Iqbal,Liton Das,KAJ Roach,1,0,null,1,0,null,null
18,3.1,Tamim Iqbal,Liton Das,RL Chase,1,0,null,1,0,null,null
19,3.2,Liton Das,Tamim Iqbal,RL Chase,1,0,null,1,0,null,null
20,3.3,Tamim Iqbal,Liton Das,RL Chase,1,0,null,1,0,null,null
21,3.4,Liton Das,Tamim Iqbal,RL Chase,0,0,null,0,0,null,null
22,3.5,Liton Das,Tamim Iqbal,RL Chase,0,0,null,0,0,null,null
23,3.6,Liton Das,Tamim Iqbal,RL Chase,0,0,null,0,0,null,null
24,4.1,Tamim Iqbal,Liton Das,KAJ Roach,0,0,null,0,0,null,null
25,4.2,Tamim Iqbal,Liton Das,KAJ Roach,0,1,wides ,1,0,null,null
26,4.3,Tamim Iqbal,Liton Das,KAJ Roach,0,0,null,0,0,null,null
27,4.4,Tamim Iqbal,Liton Das,KAJ Roach,0,1,wides ,1,0,null,null
28,4.5,Tamim Iqbal,Liton Das,KAJ Roach,2,0,null,2,0,null,null
29,4.6,Tamim Iqbal,Liton Das,KAJ Roach,1,0,null,1,0,null,null
30,4.7,Liton Das,Tamim Iqbal,KAJ Roach,0,1,wides ,1,0,null,null
31,4.8,Liton Das,Tamim Iqbal,KAJ Roach,1,0,null,1,0,null,null
32,4.9,Tamim Iqbal,Liton Das,KAJ Roach,0,0,null,0,0,null,null
33,5.1,Liton Das,Tamim Iqbal,RL Chase,0,0,null,0,0,null,null
34,5.2,Liton Das,Tamim Iqbal,RL Chase,1,0,null,1,0,null,null
35,5.3,Tamim Iqbal,Liton Das,RL Chase,0,0,null,0,0,null,null
36,5.4,Tamim Iqbal,Liton Das,RL Chase,0,0,null,0,0,null,null
37,5.5,Tamim Iqbal,Liton Das,RL Chase,0,0,null,0,0,null,null
38,5.6,Tamim Iqbal,Liton Das,RL Chase,1,0,null,1,0,null,null
39,6.1,Tamim Iqbal,Liton Das,KAJ Roach,0,0,null,0,0,null,null
40,6.2,Tamim Iqbal,Liton Das,KAJ Roach,1,0,null,1,0,null,null
41,6.3,Liton Das,Tamim Iqbal,KAJ Roach,0,0,null,0,0,null,null
42,6.4,Liton Das,Tamim Iqbal,KAJ Roach,0,1,noballs ,1,0,null,null
43,6.5,Liton Das,Tamim Iqbal,KAJ Roach,0,0,null,0,0,null,null
44,6.6,Liton Das,Tamim Iqbal,KAJ Roach,1,0,null,1,0,null,null
45,6.7,Tamim Iqbal,Liton Das,KAJ Roach,2,0,null,2,0,null,null
46,7.1,Liton Das,Tamim Iqbal,RL Chase,4,0,null,4,0,null,null
47,7.2,Liton Das,Tamim Iqbal,RL Chase,0,0,null,0,0,null,null
48,7.3,Liton Das,Tamim Iqbal,RL Chase,4,0,null,4,0,null,null
49,7.4,Liton Das,Tamim Iqbal,RL Chase,2,0,null,2,0,null,null
50,7.5,Liton Das,Tamim Iqbal,RL Chase,1,0,null,1,0,null,null
51,7.6,Tamim Iqbal,Liton Das,RL Chase,0,0,null,0,1,Tamim Iqbal,caught
52,8.1,Liton Das,Imrul Kayes,O Thomas,0,0,null,0,0,null,null
53,8.2,Liton Das,Imrul Kayes,O Thomas,1,0,null,1,0,null,null
54,8.3,Imrul Kayes,Liton Das,O Thomas,4,0,null,4,0,null,null
55,8.4,Imrul Kayes,Liton Das,O Thomas,0,0,null,0,1,Imrul Kayes,bowled
56,8.5,Mushfiqur Rahim,Liton Das,O Thomas,0,0,null,0,0,null,null
57,8.6,Mushfiqur Rahim,Liton Das,O Thomas,0,1,noballs ,1,0,null,null
58,8.7,Mushfiqur Rahim,Liton Das,O Thomas,0,0,null,0,0,null,null
59,9.1,Liton Das,Mushfiqur Rahim,KMA Paul,0,0,null,0,0,null,null
60,9.2,Liton Das,Mushfiqur Rahim,KMA Paul,0,0,null,0,0,null,null
61,9.3,Liton Das,Mushfiqur Rahim,KMA Paul,0,0,null,0,0,null,null
62,9.4,Liton Das,Mushfiqur Rahim,KMA Paul,0,1,wides ,1,0,null,null
63,9.5,Liton Das,Mushfiqur Rahim,KMA Paul,1,0,null,1,0,null,null
64,9.6,Mushfiqur Rahim,Liton Das,KMA Paul,0,0,null,0,0,null,null
65,9.7,Mushfiqur Rahim,Liton Das,KMA Paul,2,0,null,2,0,null,null
66,10.1,Liton Das,Mushfiqur Rahim,O Thomas,0,0,null,0,0,null,null
67,10.2,Liton Das,Mushfiqur Rahim,O Thomas,0,0,null,0,0,null,null
68,10.3,Liton Das,Mushfiqur Rahim,O Thomas,0,0,null,0,0,null,null
69,10.4,Liton Das,Mushfiqur Rahim,O Thomas,1,0,null,1,0,null,null
70,10.5,Mushfiqur Rahim,Liton Das,O Thomas,0,0,null,0,0,null,null
71,10.6,Mushfiqur Rahim,Liton Das,O Thomas,0,1,wides ,1,0,null,null
72,10.7,Mushfiqur Rahim,Liton Das,O Thomas,1,0,null,1,0,null,null
73,11.1,Mushfiqur Rahim,Liton Das,KMA Paul,1,0,null,1,0,null,null
74,11.2,Liton Das,Mushfiqur Rahim,KMA Paul,0,0,null,0,0,null,null
75,11.3,Liton Das,Mushfiqur Rahim,KMA Paul,0,0,null,0,0,null,null
76,11.4,Liton Das,Mushfiqur Rahim,KMA Paul,1,0,null,1,0,null,null
77,11.5,Mushfiqur Rahim,Liton Das,KMA Paul,0,0,null,0,0,null,null
78,11.6,Mushfiqur Rahim,Liton Das,KMA Paul,0,1,wides ,1,0,null,null
79,11.7,Mushfiqur Rahim,Liton Das,KMA Paul,0,0,null,0,0,null,null
80,12.1,Liton Das,Mushfiqur Rahim,O Thomas,1,0,null,1,0,null,null
81,12.2,Mushfiqur Rahim,Liton Das,O Thomas,0,0,null,0,0,null,null
82,12.3,Mushfiqur Rahim,Liton Das,O Thomas,0,0,null,0,0,null,null
83,12.4,Mushfiqur Rahim,Liton Das,O Thomas,0,0,null,0,0,null,null
84,12.5,Mushfiqur Rahim,Liton Das,O Thomas,2,0,null,2,0,null,null
85,12.6,Mushfiqur Rahim,Liton Das,O Thomas,1,0,null,1,0,null,null
86,13.1,Mushfiqur Rahim,Liton Das,D Bishoo,0,0,null,0,0,null,null
87,13.2,Mushfiqur Rahim,Liton Das,D Bishoo,1,0,null,1,0,null,null
88,13.3,Liton Das,Mushfiqur Rahim,D Bishoo,4,0,null,4,0,null,null
89,13.4,Liton Das,Mushfiqur Rahim,D Bishoo,0,0,null,0,0,null,null
90,13.5,Liton Das,Mushfiqur Rahim,D Bishoo,1,0,null,1,0,null,null
91,13.6,Mushfiqur Rahim,Liton Das,D Bishoo,0,0,null,0,0,null,null
92,14.1,Liton Das,Mushfiqur Rahim,O Thomas,0,0,null,0,0,null,null
93,14.2,Liton Das,Mushfiqur Rahim,O Thomas,0,0,null,0,0,null,null
94,14.3,Liton Das,Mushfiqur Rahim,O Thomas,4,0,null,4,0,null,null
95,14.4,Liton Das,Mushfiqur Rahim,O Thomas,0,1,wides ,1,0,null,null
96,14.5,Liton Das,Mushfiqur Rahim,O Thomas,0,0,null,0,0,null,null
97,14.6,Liton Das,Mushfiqur Rahim,O Thomas,0,0,null,0,0,null,null
98,14.7,Liton Das,Mushfiqur Rahim,O Thomas,0,0,null,0,0,null,null
99,15.1,Mushfiqur Rahim,Liton Das,D Bishoo,0,0,null,0,0,null,null
100,15.2,Mushfiqur Rahim,Liton Das,D Bishoo,1,0,null,1,0,null,null
101,15.3,Liton Das,Mushfiqur Rahim,D Bishoo,1,0,null,1,0,null,null
102,15.4,Mushfiqur Rahim,Liton Das,D Bishoo,1,0,null,1,0,null,null
103,15.5,Liton Das,Mushfiqur Rahim,D Bishoo,2,0,null,2,0,null,null
104,15.6,Liton Das,Mushfiqur Rahim,D Bishoo,1,0,null,1,0,null,null
105,16.1,Liton Das,Mushfiqur Rahim,KMA Paul,1,0,null,1,0,null,null
106,16.2,Mushfiqur Rahim,Liton Das,KMA Paul,1,0,null,1,0,null,null
107,16.3,Liton Das,Mushfiqur Rahim,KMA Paul,0,1,wides ,1,0,null,null
108,16.4,Liton Das,Mushfiqur Rahim,KMA Paul,0,0,null,0,0,null,null
109,16.5,Liton Das,Mushfiqur Rahim,KMA Paul,1,0,null,1,0,null,null
110,16.6,Mushfiqur Rahim,Liton Das,KMA Paul,1,0,null,1,0,null,null
111,16.7,Liton Das,Mushfiqur Rahim,KMA Paul,4,0,null,4,0,null,null
112,17.1,Mushfiqur Rahim,Liton Das,D Bishoo,0,0,null,0,0,null,null
113,17.2,Mushfiqur Rahim,Liton Das,D Bishoo,0,0,null,0,0,null,null
114,17.3,Mushfiqur Rahim,Liton Das,D Bishoo,4,0,null,4,0,null,null
115,17.4,Mushfiqur Rahim,Liton Das,D Bishoo,0,0,null,0,0,null,null
116,17.5,Mushfiqur Rahim,Liton Das,D Bishoo,0,0,null,0,0,null,null
117,17.6,Mushfiqur Rahim,Liton Das,D Bishoo,0,0,null,0,0,null,null
118,18.1,Liton Das,Mushfiqur Rahim,KMA Paul,0,2,legbyes ,2,0,null,null
119,18.2,Liton Das,Mushfiqur Rahim,KMA Paul,0,0,null,0,1,Liton Das,bowled
120,18.3,Shakib Al Hasan,Mushfiqur Rahim,KMA Paul,0,0,null,0,0,null,null
121,18.4,Shakib Al Hasan,Mushfiqur Rahim,KMA Paul,0,0,null,0,0,null,null
122,18.5,Shakib Al Hasan,Mushfiqur Rahim,KMA Paul,4,0,null,4,0,null,null
123,18.6,Shakib Al Hasan,Mushfiqur Rahim,KMA Paul,0,0,null,0,0,null,null
124,19.1,Mushfiqur Rahim,Shakib Al Hasan,D Bishoo,1,0,null,1,0,null,null
125,19.2,Shakib Al Hasan,Mushfiqur Rahim,D Bishoo,0,0,null,0,0,null,null
