,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,H Masakadza,Sikandar Raza,Mashrafe Mortaza,0,0,null,0,0,null,null
1,0.2,H Masakadza,Sikandar Raza,Mashrafe Mortaza,0,1,wides ,1,0,null,null
2,0.3,H Masakadza,Sikandar Raza,Mashrafe Mortaza,0,0,null,0,0,null,null
3,0.4,H Masakadza,Sikandar Raza,Mashrafe Mortaza,0,0,null,0,0,null,null
4,0.5,H Masakadza,Sikandar Raza,Mashrafe Mortaza,0,0,null,0,0,null,null
5,0.6,H Masakadza,Sikandar Raza,Mashrafe Mortaza,0,0,null,0,0,null,null
6,0.7,H Masakadza,Sikandar Raza,Mashrafe Mortaza,0,0,null,0,1,H Masakadza,bowled
7,1.1,Sikandar Raza,V Sibanda,Al-Amin Hossain,0,0,null,0,0,null,null
8,1.2,Sikandar Raza,V Sibanda,Al-Amin Hossain,0,0,null,0,0,null,null
9,1.3,Sikandar Raza,V Sibanda,Al-Amin Hossain,0,0,null,0,0,null,null
10,1.4,Sikandar Raza,V Sibanda,Al-Amin Hossain,2,0,null,2,0,null,null
11,1.5,Sikandar Raza,V Sibanda,Al-Amin Hossain,4,0,null,4,0,null,null
12,1.6,Sikandar Raza,V Sibanda,Al-Amin Hossain,0,0,null,0,0,null,null
13,2.1,V Sibanda,Sikandar Raza,Mashrafe Mortaza,0,0,null,0,0,null,null
14,2.2,V Sibanda,Sikandar Raza,Mashrafe Mortaza,0,0,null,0,0,null,null
15,2.3,V Sibanda,Sikandar Raza,Mashrafe Mortaza,2,0,null,2,0,null,null
16,2.4,V Sibanda,Sikandar Raza,Mashrafe Mortaza,0,0,null,0,0,null,null
17,2.5,V Sibanda,Sikandar Raza,Mashrafe Mortaza,6,0,null,6,0,null,null
18,2.6,V Sibanda,Sikandar Raza,Mashrafe Mortaza,0,0,null,0,0,null,null
19,3.1,Sikandar Raza,V Sibanda,Al-Amin Hossain,0,0,null,0,0,null,null
20,3.2,Sikandar Raza,V Sibanda,Al-Amin Hossain,0,0,null,0,0,null,null
21,3.3,Sikandar Raza,V Sibanda,Al-Amin Hossain,2,0,null,2,0,null,null
22,3.4,Sikandar Raza,V Sibanda,Al-Amin Hossain,0,0,null,0,0,null,null
23,3.5,Sikandar Raza,V Sibanda,Al-Amin Hossain,4,0,null,4,0,null,null
24,3.6,Sikandar Raza,V Sibanda,Al-Amin Hossain,0,0,null,0,0,null,null
25,4.1,V Sibanda,Sikandar Raza,Mashrafe Mortaza,1,0,null,1,0,null,null
26,4.2,Sikandar Raza,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
27,4.3,Sikandar Raza,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
28,4.4,Sikandar Raza,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
29,4.5,Sikandar Raza,V Sibanda,Mashrafe Mortaza,1,0,null,1,0,null,null
30,4.6,V Sibanda,Sikandar Raza,Mashrafe Mortaza,0,0,null,0,0,null,null
31,5.1,Sikandar Raza,V Sibanda,Rubel Hossain,1,0,null,1,0,null,null
32,5.2,V Sibanda,Sikandar Raza,Rubel Hossain,4,0,null,4,0,null,null
33,5.3,V Sibanda,Sikandar Raza,Rubel Hossain,0,0,null,0,0,null,null
34,5.4,V Sibanda,Sikandar Raza,Rubel Hossain,0,0,null,0,0,null,null
35,5.5,V Sibanda,Sikandar Raza,Rubel Hossain,4,0,null,4,0,null,null
36,5.6,V Sibanda,Sikandar Raza,Rubel Hossain,0,0,null,0,0,null,null
37,6.1,Sikandar Raza,V Sibanda,Mashrafe Mortaza,0,0,null,0,0,null,null
