,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,CJ Smith,SD Outerbridge,E Schiferli,0,0,null,0,0,null,null
1,0.2,CJ Smith,SD Outerbridge,E Schiferli,0,0,null,0,0,null,null
2,0.3,CJ Smith,SD Outerbridge,E Schiferli,1,0,null,1,0,null,null
3,0.4,SD Outerbridge,CJ Smith,E Schiferli,0,1,noballs ,1,0,null,null
4,0.5,SD Outerbridge,CJ Smith,E Schiferli,0,0,null,0,0,null,null
5,0.6,SD Outerbridge,CJ Smith,E Schiferli,0,0,null,0,0,null,null
6,0.7,SD Outerbridge,CJ Smith,E Schiferli,0,0,null,0,0,null,null
7,1.1,CJ Smith,SD Outerbridge,DJ Reekers,0,3,wides ,3,0,null,null
8,1.2,CJ Smith,SD Outerbridge,DJ Reekers,0,0,null,0,0,null,null
9,1.3,CJ Smith,SD Outerbridge,DJ Reekers,0,0,null,0,0,null,null
10,1.4,CJ Smith,SD Outerbridge,DJ Reekers,0,0,null,0,0,null,null
11,1.5,CJ Smith,SD Outerbridge,DJ Reekers,0,0,null,0,1,CJ Smith,bowled
12,1.6,IH Romaine,SD Outerbridge,DJ Reekers,0,0,null,0,0,null,null
13,1.7,IH Romaine,SD Outerbridge,DJ Reekers,0,0,null,0,0,null,null
14,2.1,SD Outerbridge,IH Romaine,E Schiferli,0,0,null,0,0,null,null
15,2.2,SD Outerbridge,IH Romaine,E Schiferli,4,0,null,4,0,null,null
16,2.3,SD Outerbridge,IH Romaine,E Schiferli,0,0,null,0,0,null,null
17,2.4,SD Outerbridge,IH Romaine,E Schiferli,0,0,null,0,0,null,null
18,2.5,SD Outerbridge,IH Romaine,E Schiferli,0,0,null,0,0,null,null
19,2.6,SD Outerbridge,IH Romaine,E Schiferli,0,0,null,0,1,SD Outerbridge,bowled
20,3.1,IH Romaine,DL Hemp,DJ Reekers,0,0,null,0,0,null,null
21,3.2,IH Romaine,DL Hemp,DJ Reekers,0,1,wides ,1,0,null,null
22,3.3,IH Romaine,DL Hemp,DJ Reekers,2,0,null,2,0,null,null
23,3.4,IH Romaine,DL Hemp,DJ Reekers,0,0,null,0,0,null,null
24,3.5,IH Romaine,DL Hemp,DJ Reekers,0,0,null,0,0,null,null
25,3.6,IH Romaine,DL Hemp,DJ Reekers,0,0,null,0,1,IH Romaine,lbw
26,3.7,JJ Tucker,DL Hemp,DJ Reekers,2,0,null,2,0,null,null
27,4.1,DL Hemp,JJ Tucker,E Schiferli,0,0,null,0,0,null,null
28,4.2,DL Hemp,JJ Tucker,E Schiferli,0,0,null,0,0,null,null
29,4.3,DL Hemp,JJ Tucker,E Schiferli,0,0,null,0,0,null,null
30,4.4,DL Hemp,JJ Tucker,E Schiferli,2,0,null,2,0,null,null
31,4.5,DL Hemp,JJ Tucker,E Schiferli,0,1,wides ,1,0,null,null
32,4.6,DL Hemp,JJ Tucker,E Schiferli,0,0,null,0,0,null,null
33,4.7,DL Hemp,JJ Tucker,E Schiferli,0,0,null,0,0,null,null
34,5.1,JJ Tucker,DL Hemp,DJ Reekers,1,0,null,1,0,null,null
35,5.2,DL Hemp,JJ Tucker,DJ Reekers,0,0,null,0,0,null,null
36,5.3,DL Hemp,JJ Tucker,DJ Reekers,0,0,null,0,0,null,null
37,5.4,DL Hemp,JJ Tucker,DJ Reekers,0,0,null,0,0,null,null
38,5.5,DL Hemp,JJ Tucker,DJ Reekers,0,0,null,0,0,null,null
39,5.6,DL Hemp,JJ Tucker,DJ Reekers,0,0,null,0,0,null,null
40,6.1,JJ Tucker,DL Hemp,E Schiferli,0,0,null,0,0,null,null
41,6.2,JJ Tucker,DL Hemp,E Schiferli,0,0,null,0,0,null,null
42,6.3,JJ Tucker,DL Hemp,E Schiferli,0,0,null,0,0,null,null
43,6.4,JJ Tucker,DL Hemp,E Schiferli,1,0,null,1,0,null,null
44,6.5,DL Hemp,JJ Tucker,E Schiferli,0,0,null,0,0,null,null
45,6.6,DL Hemp,JJ Tucker,E Schiferli,0,0,null,0,0,null,null
46,7.1,JJ Tucker,DL Hemp,DJ Reekers,0,0,null,0,0,null,null
47,7.2,JJ Tucker,DL Hemp,DJ Reekers,1,0,null,1,0,null,null
48,7.3,DL Hemp,JJ Tucker,DJ Reekers,0,0,null,0,0,null,null
49,7.4,DL Hemp,JJ Tucker,DJ Reekers,2,0,null,2,0,null,null
50,7.5,DL Hemp,JJ Tucker,DJ Reekers,0,0,null,0,0,null,null
51,7.6,DL Hemp,JJ Tucker,DJ Reekers,0,0,null,0,0,null,null
52,8.1,JJ Tucker,DL Hemp,E Schiferli,0,0,null,0,0,null,null
53,8.2,JJ Tucker,DL Hemp,E Schiferli,0,0,null,0,0,null,null
54,8.3,JJ Tucker,DL Hemp,E Schiferli,4,0,null,4,0,null,null
55,8.4,JJ Tucker,DL Hemp,E Schiferli,0,0,null,0,0,null,null
56,8.5,JJ Tucker,DL Hemp,E Schiferli,0,1,noballs ,1,0,null,null
57,8.6,JJ Tucker,DL Hemp,E Schiferli,1,0,null,1,0,null,null
58,8.7,DL Hemp,JJ Tucker,E Schiferli,0,0,null,0,0,null,null
59,9.1,JJ Tucker,DL Hemp,DJ Reekers,0,0,null,0,0,null,null
60,9.2,JJ Tucker,DL Hemp,DJ Reekers,0,1,legbyes ,1,0,null,null
61,9.3,DL Hemp,JJ Tucker,DJ Reekers,0,0,null,0,0,null,null
62,9.4,DL Hemp,JJ Tucker,DJ Reekers,0,0,null,0,0,null,null
63,9.5,DL Hemp,JJ Tucker,DJ Reekers,4,0,null,4,0,null,null
64,9.6,DL Hemp,JJ Tucker,DJ Reekers,0,0,null,0,0,null,null
65,10.1,JJ Tucker,DL Hemp,E Schiferli,0,0,null,0,0,null,null
66,10.2,JJ Tucker,DL Hemp,E Schiferli,1,0,null,1,0,null,null
67,10.3,DL Hemp,JJ Tucker,E Schiferli,0,0,null,0,0,null,null
68,10.4,DL Hemp,JJ Tucker,E Schiferli,4,0,null,4,0,null,null
69,10.5,DL Hemp,JJ Tucker,E Schiferli,0,0,null,0,0,null,null
70,10.6,DL Hemp,JJ Tucker,E Schiferli,0,0,null,0,0,null,null
71,11.1,JJ Tucker,DL Hemp,DJ Reekers,0,0,null,0,0,null,null
72,11.2,JJ Tucker,DL Hemp,DJ Reekers,0,0,null,0,0,null,null
73,11.3,JJ Tucker,DL Hemp,DJ Reekers,4,0,null,4,0,null,null
74,11.4,JJ Tucker,DL Hemp,DJ Reekers,0,0,null,0,0,null,null
75,11.5,JJ Tucker,DL Hemp,DJ Reekers,4,0,null,4,0,null,null
76,11.6,JJ Tucker,DL Hemp,DJ Reekers,1,0,null,1,0,null,null
77,12.1,JJ Tucker,DL Hemp,TBM de Leede,1,0,null,1,0,null,null
78,12.2,DL Hemp,JJ Tucker,TBM de Leede,0,0,null,0,0,null,null
79,12.3,DL Hemp,JJ Tucker,TBM de Leede,0,0,null,0,0,null,null
80,12.4,DL Hemp,JJ Tucker,TBM de Leede,0,0,null,0,0,null,null
81,12.5,DL Hemp,JJ Tucker,TBM de Leede,0,0,null,0,0,null,null
82,12.6,DL Hemp,JJ Tucker,TBM de Leede,0,0,null,0,0,null,null
83,13.1,JJ Tucker,DL Hemp,RN ten Doeschate,0,0,null,0,0,null,null
84,13.2,JJ Tucker,DL Hemp,RN ten Doeschate,0,0,null,0,0,null,null
85,13.3,JJ Tucker,DL Hemp,RN ten Doeschate,0,0,null,0,0,null,null
86,13.4,JJ Tucker,DL Hemp,RN ten Doeschate,4,0,null,4,0,null,null
87,13.5,JJ Tucker,DL Hemp,RN ten Doeschate,1,0,null,1,0,null,null
88,13.6,DL Hemp,JJ Tucker,RN ten Doeschate,0,0,null,0,0,null,null
89,14.1,JJ Tucker,DL Hemp,TBM de Leede,0,0,null,0,0,null,null
90,14.2,JJ Tucker,DL Hemp,TBM de Leede,4,0,null,4,0,null,null
91,14.3,JJ Tucker,DL Hemp,TBM de Leede,0,0,null,0,0,null,null
92,14.4,JJ Tucker,DL Hemp,TBM de Leede,0,0,null,0,0,null,null
93,14.5,JJ Tucker,DL Hemp,TBM de Leede,0,0,null,0,0,null,null
94,14.6,JJ Tucker,DL Hemp,TBM de Leede,0,0,null,0,0,null,null
95,15.1,DL Hemp,JJ Tucker,RN ten Doeschate,0,0,null,0,0,null,null
96,15.2,DL Hemp,JJ Tucker,RN ten Doeschate,0,0,null,0,0,null,null
97,15.3,DL Hemp,JJ Tucker,RN ten Doeschate,0,0,null,0,0,null,null
98,15.4,DL Hemp,JJ Tucker,RN ten Doeschate,0,0,null,0,0,null,null
99,15.5,DL Hemp,JJ Tucker,RN ten Doeschate,1,0,null,1,0,null,null
100,15.6,JJ Tucker,DL Hemp,RN ten Doeschate,0,0,null,0,0,null,null
101,16.1,DL Hemp,JJ Tucker,TBM de Leede,0,0,null,0,0,null,null
102,16.2,DL Hemp,JJ Tucker,TBM de Leede,0,0,null,0,0,null,null
103,16.3,DL Hemp,JJ Tucker,TBM de Leede,4,0,null,4,0,null,null
104,16.4,DL Hemp,JJ Tucker,TBM de Leede,0,2,legbyes ,2,0,null,null
105,16.5,DL Hemp,JJ Tucker,TBM de Leede,0,0,null,0,0,null,null
106,16.6,DL Hemp,JJ Tucker,TBM de Leede,0,1,wides ,1,0,null,null
107,16.7,DL Hemp,JJ Tucker,TBM de Leede,0,0,null,0,0,null,null
108,17.1,JJ Tucker,DL Hemp,RN ten Doeschate,2,0,null,2,0,null,null
109,17.2,JJ Tucker,DL Hemp,RN ten Doeschate,0,0,null,0,0,null,null
110,17.3,JJ Tucker,DL Hemp,RN ten Doeschate,0,1,legbyes ,1,0,null,null
111,17.4,DL Hemp,JJ Tucker,RN ten Doeschate,1,0,null,1,0,null,null
112,17.5,JJ Tucker,DL Hemp,RN ten Doeschate,0,0,null,0,1,JJ Tucker,caught
113,17.6,DA Minors,DL Hemp,RN ten Doeschate,0,0,null,0,0,null,null
114,18.1,DL Hemp,DA Minors,TBM de Leede,0,0,null,0,0,null,null
115,18.2,DL Hemp,DA Minors,TBM de Leede,0,0,null,0,0,null,null
116,18.3,DL Hemp,DA Minors,TBM de Leede,0,0,null,0,0,null,null
117,18.4,DL Hemp,DA Minors,TBM de Leede,0,0,null,0,0,null,null
118,18.5,DL Hemp,DA Minors,TBM de Leede,0,0,null,0,0,null,null
119,18.6,DL Hemp,DA Minors,TBM de Leede,4,0,null,4,0,null,null
120,19.1,DA Minors,DL Hemp,RN ten Doeschate,1,0,null,1,0,null,null
121,19.2,DL Hemp,DA Minors,RN ten Doeschate,0,0,null,0,0,null,null
122,19.3,DL Hemp,DA Minors,RN ten Doeschate,1,0,null,1,0,null,null
123,19.4,DA Minors,DL Hemp,RN ten Doeschate,0,1,wides ,1,0,null,null
124,19.5,DA Minors,DL Hemp,RN ten Doeschate,0,0,null,0,0,null,null
125,19.6,DA Minors,DL Hemp,RN ten Doeschate,1,0,null,1,0,null,null
126,19.7,DL Hemp,DA Minors,RN ten Doeschate,1,0,null,1,0,null,null
127,20.1,DL Hemp,DA Minors,TBM de Leede,0,0,null,0,0,null,null
128,20.2,DL Hemp,DA Minors,TBM de Leede,0,0,null,0,0,null,null
129,20.3,DL Hemp,DA Minors,TBM de Leede,0,0,null,0,0,null,null
130,20.4,DL Hemp,DA Minors,TBM de Leede,1,0,null,1,0,null,null
131,20.5,DA Minors,DL Hemp,TBM de Leede,0,0,null,0,0,null,null
132,20.6,DA Minors,DL Hemp,TBM de Leede,0,0,null,0,0,null,null
133,21.1,DL Hemp,DA Minors,RN ten Doeschate,0,2,legbyes ,2,0,null,null
134,21.2,DL Hemp,DA Minors,RN ten Doeschate,0,0,null,0,0,null,null
135,21.3,DL Hemp,DA Minors,RN ten Doeschate,0,1,legbyes ,1,0,null,null
136,21.4,DA Minors,DL Hemp,RN ten Doeschate,0,0,null,0,0,null,null
137,21.5,DA Minors,DL Hemp,RN ten Doeschate,0,0,null,0,0,null,null
138,21.6,DA Minors,DL Hemp,RN ten Doeschate,1,0,null,1,0,null,null
139,22.1,DA Minors,DL Hemp,TBM de Leede,0,0,null,0,0,null,null
140,22.2,DA Minors,DL Hemp,TBM de Leede,0,0,null,0,0,null,null
141,22.3,DA Minors,DL Hemp,TBM de Leede,0,0,null,0,0,null,null
142,22.4,DA Minors,DL Hemp,TBM de Leede,0,0,null,0,0,null,null
143,22.5,DA Minors,DL Hemp,TBM de Leede,1,0,null,1,0,null,null
144,22.6,DA Minors,DL Hemp,TBM de Leede,0,0,null,0,0,null,null
145,23.1,DL Hemp,DA Minors,RN ten Doeschate,0,0,null,0,0,null,null
146,23.2,DL Hemp,DA Minors,RN ten Doeschate,4,0,null,4,0,null,null
147,23.3,DL Hemp,DA Minors,RN ten Doeschate,1,0,null,1,0,null,null
148,23.4,DA Minors,DL Hemp,RN ten Doeschate,4,0,null,4,0,null,null
149,23.5,DA Minors,DL Hemp,RN ten Doeschate,0,0,null,0,0,null,null
150,23.6,DA Minors,DL Hemp,RN ten Doeschate,0,0,null,0,1,DA Minors,lbw
151,24.1,DL Hemp,LOB Cann,TBM de Leede,1,0,null,1,0,null,null
152,24.2,LOB Cann,DL Hemp,TBM de Leede,0,0,null,0,0,null,null
153,24.3,LOB Cann,DL Hemp,TBM de Leede,4,0,null,4,0,null,null
154,24.4,LOB Cann,DL Hemp,TBM de Leede,0,0,null,0,0,null,null
155,24.5,LOB Cann,DL Hemp,TBM de Leede,4,0,null,4,0,null,null
156,24.6,LOB Cann,DL Hemp,TBM de Leede,0,0,null,0,0,null,null
157,25.1,DL Hemp,LOB Cann,RN ten Doeschate,2,0,null,2,0,null,null
158,25.2,DL Hemp,LOB Cann,RN ten Doeschate,0,0,null,0,0,null,null
159,25.3,DL Hemp,LOB Cann,RN ten Doeschate,4,0,null,4,0,null,null
160,25.4,DL Hemp,LOB Cann,RN ten Doeschate,0,0,null,0,0,null,null
161,25.5,DL Hemp,LOB Cann,RN ten Doeschate,4,0,null,4,0,null,null
162,25.6,DL Hemp,LOB Cann,RN ten Doeschate,0,0,null,0,0,null,null
163,26.1,LOB Cann,DL Hemp,DLS van Bunge,4,0,null,4,0,null,null
164,26.2,LOB Cann,DL Hemp,DLS van Bunge,0,0,null,0,0,null,null
165,26.3,LOB Cann,DL Hemp,DLS van Bunge,1,0,null,1,0,null,null
166,26.4,DL Hemp,LOB Cann,DLS van Bunge,0,0,null,0,0,null,null
167,26.5,DL Hemp,LOB Cann,DLS van Bunge,0,0,null,0,0,null,null
168,26.6,DL Hemp,LOB Cann,DLS van Bunge,4,0,null,4,0,null,null
169,27.1,LOB Cann,DL Hemp,Mohammad Kashif,4,0,null,4,0,null,null
170,27.2,LOB Cann,DL Hemp,Mohammad Kashif,2,0,null,2,0,null,null
171,27.3,LOB Cann,DL Hemp,Mohammad Kashif,6,0,null,6,0,null,null
172,27.4,LOB Cann,DL Hemp,Mohammad Kashif,0,0,null,0,0,null,null
173,27.5,LOB Cann,DL Hemp,Mohammad Kashif,1,0,null,1,0,null,null
174,27.6,DL Hemp,LOB Cann,Mohammad Kashif,0,0,null,0,0,null,null
175,28.1,LOB Cann,DL Hemp,DLS van Bunge,4,0,null,4,0,null,null
176,28.2,LOB Cann,DL Hemp,DLS van Bunge,2,0,null,2,0,null,null
177,28.3,LOB Cann,DL Hemp,DLS van Bunge,1,0,null,1,0,null,null
178,28.4,DL Hemp,LOB Cann,DLS van Bunge,0,0,null,0,0,null,null
179,28.5,DL Hemp,LOB Cann,DLS van Bunge,0,0,null,0,0,null,null
180,28.6,DL Hemp,LOB Cann,DLS van Bunge,1,0,null,1,0,null,null
181,29.1,DL Hemp,LOB Cann,Mohammad Kashif,0,0,null,0,0,null,null
182,29.2,DL Hemp,LOB Cann,Mohammad Kashif,0,0,null,0,0,null,null
183,29.3,DL Hemp,LOB Cann,Mohammad Kashif,0,0,null,0,0,null,null
184,29.4,DL Hemp,LOB Cann,Mohammad Kashif,1,0,null,1,0,null,null
185,29.5,LOB Cann,DL Hemp,Mohammad Kashif,1,0,null,1,0,null,null
186,29.6,DL Hemp,LOB Cann,Mohammad Kashif,1,0,null,1,0,null,null
187,30.1,DL Hemp,LOB Cann,DLS van Bunge,0,0,null,0,0,null,null
188,30.2,DL Hemp,LOB Cann,DLS van Bunge,6,0,null,6,0,null,null
189,30.3,DL Hemp,LOB Cann,DLS van Bunge,0,0,null,0,0,null,null
190,30.4,DL Hemp,LOB Cann,DLS van Bunge,0,0,null,0,0,null,null
191,30.5,DL Hemp,LOB Cann,DLS van Bunge,1,0,null,1,0,null,null
