,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,JM Davison,GEF Barnett,JM Anderson,0,0,null,0,0,null,null
1,0.2,JM Davison,GEF Barnett,JM Anderson,0,1,legbyes ,1,0,null,null
2,0.3,GEF Barnett,JM Davison,JM Anderson,0,0,null,0,0,null,null
3,0.4,GEF Barnett,JM Davison,JM Anderson,2,0,null,2,0,null,null
4,0.5,GEF Barnett,JM Davison,JM Anderson,0,0,null,0,0,null,null
5,0.6,GEF Barnett,JM Davison,JM Anderson,1,0,null,1,0,null,null
6,1.1,GEF Barnett,JM Davison,LE Plunkett,4,0,null,4,0,null,null
7,1.2,GEF Barnett,JM Davison,LE Plunkett,0,0,null,0,0,null,null
8,1.3,GEF Barnett,JM Davison,LE Plunkett,0,0,null,0,1,GEF Barnett,bowled
9,1.4,A Bagai,JM Davison,LE Plunkett,0,0,null,0,0,null,null
10,1.5,A Bagai,JM Davison,LE Plunkett,0,0,null,0,0,null,null
11,1.6,A Bagai,JM Davison,LE Plunkett,0,0,null,0,0,null,null
12,2.1,JM Davison,A Bagai,JM Anderson,0,0,null,0,0,null,null
13,2.2,JM Davison,A Bagai,JM Anderson,0,0,null,0,0,null,null
14,2.3,JM Davison,A Bagai,JM Anderson,0,0,null,0,0,null,null
15,2.4,JM Davison,A Bagai,JM Anderson,0,0,null,0,0,null,null
16,2.5,JM Davison,A Bagai,JM Anderson,0,0,null,0,0,null,null
17,2.6,JM Davison,A Bagai,JM Anderson,4,0,null,4,0,null,null
18,3.1,A Bagai,JM Davison,LE Plunkett,0,0,null,0,0,null,null
19,3.2,A Bagai,JM Davison,LE Plunkett,1,0,null,1,0,null,null
20,3.3,JM Davison,A Bagai,LE Plunkett,0,0,null,0,0,null,null
21,3.4,JM Davison,A Bagai,LE Plunkett,0,0,null,0,0,null,null
22,3.5,JM Davison,A Bagai,LE Plunkett,4,0,null,4,0,null,null
23,3.6,JM Davison,A Bagai,LE Plunkett,0,0,null,0,0,null,null
24,4.1,A Bagai,JM Davison,JM Anderson,4,0,null,4,0,null,null
25,4.2,A Bagai,JM Davison,JM Anderson,0,0,null,0,0,null,null
26,4.3,A Bagai,JM Davison,JM Anderson,0,0,null,0,0,null,null
27,4.4,A Bagai,JM Davison,JM Anderson,0,0,null,0,0,null,null
28,4.5,A Bagai,JM Davison,JM Anderson,1,0,null,1,0,null,null
29,4.6,JM Davison,A Bagai,JM Anderson,0,0,null,0,0,null,null
30,5.1,A Bagai,JM Davison,LE Plunkett,0,0,null,0,1,A Bagai,caught
31,5.2,IS Billcliff,JM Davison,LE Plunkett,0,2,wides ,2,0,null,null
32,5.3,JM Davison,IS Billcliff,LE Plunkett,4,0,null,4,0,null,null
33,5.4,JM Davison,IS Billcliff,LE Plunkett,0,0,null,0,0,null,null
34,5.5,JM Davison,IS Billcliff,LE Plunkett,0,0,null,0,0,null,null
35,5.6,JM Davison,IS Billcliff,LE Plunkett,2,0,null,2,0,null,null
36,5.7,JM Davison,IS Billcliff,LE Plunkett,0,0,null,0,0,null,null
37,6.1,IS Billcliff,JM Davison,JM Anderson,0,0,null,0,0,null,null
38,6.2,IS Billcliff,JM Davison,JM Anderson,0,0,null,0,0,null,null
