,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,SR Waters,DO Obuya,H Osinde,0,0,null,0,0,null,null
1,0.2,SR Waters,DO Obuya,H Osinde,0,0,null,0,0,null,null
2,0.3,SR Waters,DO Obuya,H Osinde,0,0,null,0,0,null,null
3,0.4,SR Waters,DO Obuya,H Osinde,0,0,null,0,0,null,null
4,0.5,SR Waters,DO Obuya,H Osinde,0,0,null,0,0,null,null
5,0.6,SR Waters,DO Obuya,H Osinde,0,0,null,0,0,null,null
6,1.1,DO Obuya,SR Waters,Khurram Chohan,0,0,null,0,0,null,null
7,1.2,DO Obuya,SR Waters,Khurram Chohan,0,0,null,0,0,null,null
8,1.3,DO Obuya,SR Waters,Khurram Chohan,0,0,null,0,0,null,null
9,1.4,DO Obuya,SR Waters,Khurram Chohan,0,1,legbyes ,1,0,null,null
10,1.5,SR Waters,DO Obuya,Khurram Chohan,0,0,null,0,0,null,null
11,1.6,SR Waters,DO Obuya,Khurram Chohan,0,0,null,0,0,null,null
12,2.1,DO Obuya,SR Waters,H Osinde,1,0,null,1,0,null,null
13,2.2,SR Waters,DO Obuya,H Osinde,0,0,null,0,0,null,null
14,2.3,SR Waters,DO Obuya,H Osinde,0,1,wides ,1,0,null,null
15,2.4,SR Waters,DO Obuya,H Osinde,2,0,null,2,0,null,null
16,2.5,SR Waters,DO Obuya,H Osinde,0,1,wides ,1,0,null,null
17,2.6,SR Waters,DO Obuya,H Osinde,4,0,null,4,0,null,null
18,2.7,SR Waters,DO Obuya,H Osinde,0,0,null,0,0,null,null
19,2.8,SR Waters,DO Obuya,H Osinde,0,0,null,0,0,null,null
20,3.1,DO Obuya,SR Waters,Khurram Chohan,1,0,null,1,0,null,null
21,3.2,SR Waters,DO Obuya,Khurram Chohan,0,0,null,0,0,null,null
22,3.3,SR Waters,DO Obuya,Khurram Chohan,0,0,null,0,0,null,null
23,3.4,SR Waters,DO Obuya,Khurram Chohan,4,0,null,4,0,null,null
24,3.5,SR Waters,DO Obuya,Khurram Chohan,0,0,null,0,0,null,null
25,3.6,SR Waters,DO Obuya,Khurram Chohan,0,0,null,0,0,null,null
26,4.1,DO Obuya,SR Waters,H Osinde,0,0,null,0,0,null,null
27,4.2,DO Obuya,SR Waters,H Osinde,0,0,null,0,1,DO Obuya,lbw
28,4.3,AA Obanda,SR Waters,H Osinde,1,0,null,1,0,null,null
29,4.4,SR Waters,AA Obanda,H Osinde,1,0,null,1,0,null,null
30,4.5,AA Obanda,SR Waters,H Osinde,0,0,null,0,0,null,null
31,4.6,AA Obanda,SR Waters,H Osinde,4,0,null,4,0,null,null
32,5.1,SR Waters,AA Obanda,Khurram Chohan,0,0,null,0,0,null,null
33,5.2,SR Waters,AA Obanda,Khurram Chohan,1,0,null,1,0,null,null
34,5.3,AA Obanda,SR Waters,Khurram Chohan,0,0,null,0,0,null,null
35,5.4,AA Obanda,SR Waters,Khurram Chohan,0,0,null,0,1,AA Obanda,bowled
36,5.5,SO Tikolo,SR Waters,Khurram Chohan,0,0,null,0,0,null,null
37,5.6,SO Tikolo,SR Waters,Khurram Chohan,0,0,null,0,1,SO Tikolo,bowled
38,6.1,SR Waters,MA Ouma,H Osinde,0,1,wides ,1,0,null,null
39,6.2,SR Waters,MA Ouma,H Osinde,0,0,null,0,0,null,null
40,6.3,SR Waters,MA Ouma,H Osinde,0,0,null,0,0,null,null
41,6.4,SR Waters,MA Ouma,H Osinde,0,0,null,0,0,null,null
42,6.5,SR Waters,MA Ouma,H Osinde,0,0,null,0,0,null,null
43,6.6,SR Waters,MA Ouma,H Osinde,0,0,null,0,0,null,null
44,6.7,SR Waters,MA Ouma,H Osinde,0,0,null,0,0,null,null
45,7.1,MA Ouma,SR Waters,Khurram Chohan,1,0,null,1,0,null,null
46,7.2,SR Waters,MA Ouma,Khurram Chohan,2,0,null,2,0,null,null
47,7.3,SR Waters,MA Ouma,Khurram Chohan,0,0,null,0,0,null,null
48,7.4,SR Waters,MA Ouma,Khurram Chohan,0,0,null,0,1,SR Waters,bowled
49,7.5,CO Obuya,MA Ouma,Khurram Chohan,4,0,null,4,0,null,null
50,7.6,CO Obuya,MA Ouma,Khurram Chohan,0,0,null,0,0,null,null
51,8.1,MA Ouma,CO Obuya,H Osinde,0,0,null,0,0,null,null
52,8.2,MA Ouma,CO Obuya,H Osinde,0,0,null,0,0,null,null
53,8.3,MA Ouma,CO Obuya,H Osinde,0,1,wides ,1,0,null,null
54,8.4,MA Ouma,CO Obuya,H Osinde,0,0,null,0,0,null,null
55,8.5,MA Ouma,CO Obuya,H Osinde,0,0,null,0,0,null,null
56,8.6,MA Ouma,CO Obuya,H Osinde,0,0,null,0,0,null,null
57,8.7,MA Ouma,CO Obuya,H Osinde,4,0,null,4,0,null,null
58,9.1,CO Obuya,MA Ouma,Khurram Chohan,1,0,null,1,0,null,null
59,9.2,MA Ouma,CO Obuya,Khurram Chohan,0,0,null,0,0,null,null
60,9.3,MA Ouma,CO Obuya,Khurram Chohan,0,0,null,0,0,null,null
61,9.4,MA Ouma,CO Obuya,Khurram Chohan,0,0,null,0,0,null,null
62,9.5,MA Ouma,CO Obuya,Khurram Chohan,0,0,null,0,0,null,null
63,9.6,MA Ouma,CO Obuya,Khurram Chohan,0,0,null,0,0,null,null
64,10.1,CO Obuya,MA Ouma,H Osinde,1,0,null,1,0,null,null
65,10.2,MA Ouma,CO Obuya,H Osinde,0,0,null,0,0,null,null
66,10.3,MA Ouma,CO Obuya,H Osinde,0,0,null,0,0,null,null
67,10.4,MA Ouma,CO Obuya,H Osinde,0,0,null,0,0,null,null
68,10.5,MA Ouma,CO Obuya,H Osinde,0,0,null,0,0,null,null
