,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,H Patel,Rizwan Cheema,TM Odoyo,0,0,null,0,0,null,null
1,0.2,H Patel,Rizwan Cheema,TM Odoyo,0,0,null,0,0,null,null
2,0.3,H Patel,Rizwan Cheema,TM Odoyo,0,0,null,0,0,null,null
3,0.4,H Patel,Rizwan Cheema,TM Odoyo,0,0,null,0,0,null,null
4,0.5,H Patel,Rizwan Cheema,TM Odoyo,0,0,null,0,0,null,null
5,0.6,H Patel,Rizwan Cheema,TM Odoyo,0,1,wides ,1,0,null,null
6,0.7,H Patel,Rizwan Cheema,TM Odoyo,0,0,null,0,0,null,null
7,1.1,Rizwan Cheema,H Patel,PJ Ongondo,6,0,null,6,0,null,null
8,1.2,Rizwan Cheema,H Patel,PJ Ongondo,0,1,legbyes ,1,0,null,null
9,1.3,H Patel,Rizwan Cheema,PJ Ongondo,2,0,null,2,0,null,null
10,1.4,H Patel,Rizwan Cheema,PJ Ongondo,2,0,null,2,0,null,null
11,1.5,H Patel,Rizwan Cheema,PJ Ongondo,0,0,null,0,0,null,null
12,1.6,H Patel,Rizwan Cheema,PJ Ongondo,0,0,null,0,0,null,null
13,2.1,Rizwan Cheema,H Patel,TM Odoyo,0,0,null,0,0,null,null
14,2.2,Rizwan Cheema,H Patel,TM Odoyo,0,0,null,0,0,null,null
15,2.3,Rizwan Cheema,H Patel,TM Odoyo,4,0,null,4,0,null,null
16,2.4,Rizwan Cheema,H Patel,TM Odoyo,4,0,null,4,0,null,null
17,2.5,Rizwan Cheema,H Patel,TM Odoyo,1,0,null,1,0,null,null
18,2.6,H Patel,Rizwan Cheema,TM Odoyo,0,0,null,0,0,null,null
19,3.1,Rizwan Cheema,H Patel,PJ Ongondo,6,0,null,6,0,null,null
20,3.2,Rizwan Cheema,H Patel,PJ Ongondo,6,0,null,6,0,null,null
21,3.3,Rizwan Cheema,H Patel,PJ Ongondo,1,0,null,1,0,null,null
22,3.4,H Patel,Rizwan Cheema,PJ Ongondo,3,0,null,3,0,null,null
23,3.5,Rizwan Cheema,H Patel,PJ Ongondo,1,0,null,1,0,null,null
24,3.6,H Patel,Rizwan Cheema,PJ Ongondo,0,0,null,0,0,null,null
25,4.1,Rizwan Cheema,H Patel,TM Odoyo,0,1,legbyes ,1,0,null,null
