,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,SJ Myburgh,MR Swart,JOA Gordon,0,0,null,0,0,null,null
1,0.2,SJ Myburgh,MR Swart,JOA Gordon,0,0,null,0,0,null,null
2,0.3,SJ Myburgh,MR Swart,JOA Gordon,1,0,null,1,0,null,null
3,0.4,MR Swart,SJ Myburgh,JOA Gordon,0,0,null,0,0,null,null
4,0.5,MR Swart,SJ Myburgh,JOA Gordon,4,0,null,4,0,null,null
5,0.6,MR Swart,SJ Myburgh,JOA Gordon,0,0,null,0,0,null,null
6,1.1,SJ Myburgh,MR Swart,HS Baidwan,3,0,null,3,0,null,null
7,1.2,MR Swart,SJ Myburgh,HS Baidwan,1,0,null,1,0,null,null
8,1.3,SJ Myburgh,MR Swart,HS Baidwan,0,1,wides ,1,0,null,null
9,1.4,SJ Myburgh,MR Swart,HS Baidwan,0,0,null,0,0,null,null
10,1.5,SJ Myburgh,MR Swart,HS Baidwan,1,0,null,1,0,null,null
11,1.6,MR Swart,SJ Myburgh,HS Baidwan,0,0,null,0,0,null,null
12,1.7,MR Swart,SJ Myburgh,HS Baidwan,0,1,wides ,1,0,null,null
13,1.8,MR Swart,SJ Myburgh,HS Baidwan,0,0,null,0,0,null,null
14,2.1,SJ Myburgh,MR Swart,JOA Gordon,4,0,null,4,0,null,null
15,2.2,SJ Myburgh,MR Swart,JOA Gordon,0,0,null,0,0,null,null
16,2.3,SJ Myburgh,MR Swart,JOA Gordon,2,0,null,2,0,null,null
17,2.4,SJ Myburgh,MR Swart,JOA Gordon,0,0,null,0,0,null,null
18,2.5,SJ Myburgh,MR Swart,JOA Gordon,0,0,null,0,0,null,null
19,2.6,SJ Myburgh,MR Swart,JOA Gordon,4,0,null,4,0,null,null
20,3.1,MR Swart,SJ Myburgh,HS Baidwan,0,0,null,0,0,null,null
21,3.2,MR Swart,SJ Myburgh,HS Baidwan,0,1,wides ,1,0,null,null
22,3.3,MR Swart,SJ Myburgh,HS Baidwan,0,0,null,0,0,null,null
23,3.4,MR Swart,SJ Myburgh,HS Baidwan,1,0,null,1,0,null,null
24,3.5,SJ Myburgh,MR Swart,HS Baidwan,0,0,null,0,0,null,null
25,3.6,SJ Myburgh,MR Swart,HS Baidwan,0,0,null,0,0,null,null
26,3.7,SJ Myburgh,MR Swart,HS Baidwan,0,0,null,0,0,null,null
27,4.1,MR Swart,SJ Myburgh,JOA Gordon,0,0,null,0,0,null,null
28,4.2,MR Swart,SJ Myburgh,JOA Gordon,0,0,null,0,0,null,null
29,4.3,MR Swart,SJ Myburgh,JOA Gordon,0,0,null,0,1,MR Swart,caught
30,4.4,W Barresi,SJ Myburgh,JOA Gordon,0,0,null,0,0,null,null
