,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
1,0.2,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
2,0.3,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
3,0.4,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
4,0.5,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
5,0.6,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
6,1.1,SP Fleming,L Vincent,U Bhatti,0,0,null,0,0,null,null
7,1.2,SP Fleming,L Vincent,U Bhatti,0,0,null,0,0,null,null
8,1.3,SP Fleming,L Vincent,U Bhatti,0,0,null,0,0,null,null
9,1.4,SP Fleming,L Vincent,U Bhatti,0,1,legbyes ,1,0,null,null
10,1.5,L Vincent,SP Fleming,U Bhatti,0,1,legbyes ,1,0,null,null
11,1.6,SP Fleming,L Vincent,U Bhatti,0,0,null,0,0,null,null
12,2.1,L Vincent,SP Fleming,AC Cummins,6,0,null,6,0,null,null
13,2.2,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
14,2.3,L Vincent,SP Fleming,AC Cummins,0,1,wides ,1,0,null,null
15,2.4,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
16,2.5,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
17,2.6,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
18,2.7,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
19,3.1,SP Fleming,L Vincent,U Bhatti,0,0,null,0,0,null,null
20,3.2,SP Fleming,L Vincent,U Bhatti,0,0,null,0,0,null,null
21,3.3,SP Fleming,L Vincent,U Bhatti,1,0,null,1,0,null,null
22,3.4,L Vincent,SP Fleming,U Bhatti,0,0,null,0,0,null,null
23,3.5,L Vincent,SP Fleming,U Bhatti,1,0,null,1,0,null,null
24,3.6,SP Fleming,L Vincent,U Bhatti,0,0,null,0,0,null,null
25,4.1,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
26,4.2,L Vincent,SP Fleming,AC Cummins,0,1,wides ,1,0,null,null
27,4.3,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
28,4.4,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
29,4.5,L Vincent,SP Fleming,AC Cummins,1,0,null,1,0,null,null
30,4.6,SP Fleming,L Vincent,AC Cummins,0,0,null,0,0,null,null
31,4.7,SP Fleming,L Vincent,AC Cummins,1,0,null,1,0,null,null
32,5.1,SP Fleming,L Vincent,U Bhatti,4,0,null,4,0,null,null
33,5.2,SP Fleming,L Vincent,U Bhatti,0,0,null,0,0,null,null
34,5.3,SP Fleming,L Vincent,U Bhatti,0,0,null,0,0,null,null
35,5.4,SP Fleming,L Vincent,U Bhatti,1,0,null,1,0,null,null
36,5.5,L Vincent,SP Fleming,U Bhatti,0,0,null,0,0,null,null
37,5.6,L Vincent,SP Fleming,U Bhatti,0,0,null,0,0,null,null
38,6.1,SP Fleming,L Vincent,AC Cummins,0,0,null,0,0,null,null
39,6.2,SP Fleming,L Vincent,AC Cummins,0,0,null,0,0,null,null
40,6.3,SP Fleming,L Vincent,AC Cummins,0,0,null,0,0,null,null
41,6.4,SP Fleming,L Vincent,AC Cummins,0,0,null,0,0,null,null
42,6.5,SP Fleming,L Vincent,AC Cummins,1,0,null,1,0,null,null
43,6.6,L Vincent,SP Fleming,AC Cummins,2,1,noballs ,3,0,null,null
44,6.7,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
45,7.1,SP Fleming,L Vincent,U Bhatti,4,0,null,4,0,null,null
46,7.2,SP Fleming,L Vincent,U Bhatti,0,0,null,0,0,null,null
47,7.3,SP Fleming,L Vincent,U Bhatti,0,1,wides ,1,0,null,null
48,7.4,SP Fleming,L Vincent,U Bhatti,4,0,null,4,0,null,null
49,7.5,SP Fleming,L Vincent,U Bhatti,0,1,wides ,1,0,null,null
50,7.6,SP Fleming,L Vincent,U Bhatti,0,0,null,0,0,null,null
51,7.7,SP Fleming,L Vincent,U Bhatti,0,0,null,0,0,null,null
52,7.8,SP Fleming,L Vincent,U Bhatti,0,0,null,0,0,null,null
53,8.1,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
54,8.2,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
55,8.3,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
56,8.4,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
57,8.5,L Vincent,SP Fleming,AC Cummins,1,0,null,1,0,null,null
58,8.6,SP Fleming,L Vincent,AC Cummins,0,0,null,0,0,null,null
59,9.1,L Vincent,SP Fleming,U Bhatti,0,1,wides ,1,0,null,null
60,9.2,L Vincent,SP Fleming,U Bhatti,3,0,null,3,0,null,null
61,9.3,SP Fleming,L Vincent,U Bhatti,0,0,null,0,0,null,null
62,9.4,SP Fleming,L Vincent,U Bhatti,1,0,null,1,0,null,null
63,9.5,L Vincent,SP Fleming,U Bhatti,1,0,null,1,0,null,null
64,9.6,SP Fleming,L Vincent,U Bhatti,0,0,null,0,0,null,null
65,9.7,SP Fleming,L Vincent,U Bhatti,0,1,byes ,1,0,null,null
66,10.1,SP Fleming,L Vincent,AC Cummins,0,1,legbyes ,1,0,null,null
67,10.2,L Vincent,SP Fleming,AC Cummins,4,0,null,4,0,null,null
68,10.3,L Vincent,SP Fleming,AC Cummins,0,1,wides ,1,0,null,null
69,10.4,L Vincent,SP Fleming,AC Cummins,4,0,null,4,0,null,null
70,10.5,L Vincent,SP Fleming,AC Cummins,0,1,wides ,1,0,null,null
71,10.6,L Vincent,SP Fleming,AC Cummins,0,0,null,0,0,null,null
72,10.7,L Vincent,SP Fleming,AC Cummins,1,0,null,1,0,null,null
73,10.8,SP Fleming,L Vincent,AC Cummins,1,0,null,1,0,null,null
74,11.1,SP Fleming,L Vincent,U Bhatti,1,0,null,1,0,null,null
75,11.2,L Vincent,SP Fleming,U Bhatti,1,0,null,1,0,null,null
76,11.3,SP Fleming,L Vincent,U Bhatti,0,0,null,0,0,null,null
77,11.4,SP Fleming,L Vincent,AM Samad,0,5,wides ,5,0,null,null
78,11.5,SP Fleming,L Vincent,AM Samad,1,0,null,1,0,null,null
79,11.6,L Vincent,SP Fleming,AM Samad,0,0,null,0,0,null,null
80,11.7,L Vincent,SP Fleming,AM Samad,0,0,null,0,0,null,null
81,12.1,SP Fleming,L Vincent,H Osinde,0,1,wides ,1,0,null,null
82,12.2,SP Fleming,L Vincent,H Osinde,1,0,null,1,0,null,null
83,12.3,L Vincent,SP Fleming,H Osinde,0,0,null,0,0,null,null
84,12.4,L Vincent,SP Fleming,H Osinde,2,0,null,2,0,null,null
85,12.5,L Vincent,SP Fleming,H Osinde,4,0,null,4,0,null,null
86,12.6,L Vincent,SP Fleming,H Osinde,4,0,null,4,0,null,null
87,12.7,L Vincent,SP Fleming,H Osinde,0,0,null,0,0,null,null
88,13.1,SP Fleming,L Vincent,AM Samad,4,0,null,4,0,null,null
89,13.2,SP Fleming,L Vincent,AM Samad,4,0,null,4,0,null,null
90,13.3,SP Fleming,L Vincent,AM Samad,0,0,null,0,0,null,null
91,13.4,SP Fleming,L Vincent,AM Samad,0,0,null,0,0,null,null
92,13.5,SP Fleming,L Vincent,AM Samad,1,0,null,1,0,null,null
93,13.6,L Vincent,SP Fleming,AM Samad,0,0,null,0,0,null,null
94,14.1,SP Fleming,L Vincent,H Osinde,0,0,null,0,0,null,null
95,14.2,SP Fleming,L Vincent,H Osinde,2,0,null,2,0,null,null
96,14.3,SP Fleming,L Vincent,H Osinde,4,0,null,4,0,null,null
97,14.4,SP Fleming,L Vincent,H Osinde,0,0,null,0,0,null,null
98,14.5,SP Fleming,L Vincent,H Osinde,4,0,null,4,0,null,null
99,14.6,SP Fleming,L Vincent,H Osinde,6,0,null,6,0,null,null
100,15.1,L Vincent,SP Fleming,KT Sandher,0,0,null,0,0,null,null
101,15.2,L Vincent,SP Fleming,KT Sandher,4,0,null,4,0,null,null
102,15.3,L Vincent,SP Fleming,KT Sandher,0,0,null,0,0,null,null
103,15.4,L Vincent,SP Fleming,KT Sandher,1,0,null,1,0,null,null
104,15.5,SP Fleming,L Vincent,KT Sandher,0,0,null,0,0,null,null
105,15.6,SP Fleming,L Vincent,KT Sandher,1,0,null,1,0,null,null
106,16.1,SP Fleming,L Vincent,JM Davison,1,0,null,1,0,null,null
107,16.2,L Vincent,SP Fleming,JM Davison,0,0,null,0,0,null,null
108,16.3,L Vincent,SP Fleming,JM Davison,0,3,wides ,3,0,null,null
