,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,JJ Roy,JM Bairstow,JR Hazlewood,0,0,null,0,0,null,null
1,0.2,JJ Roy,JM Bairstow,JR Hazlewood,0,0,null,0,1,JJ Roy,caught
2,0.3,AD Hales,JM Bairstow,JR Hazlewood,0,0,null,0,0,null,null
3,0.4,AD Hales,JM Bairstow,JR Hazlewood,0,0,null,0,0,null,null
4,0.5,AD Hales,JM Bairstow,JR Hazlewood,0,0,null,0,0,null,null
5,0.6,AD Hales,JM Bairstow,JR Hazlewood,0,1,wides ,1,0,null,null
6,0.7,AD Hales,JM Bairstow,JR Hazlewood,1,0,null,1,0,null,null
7,1.1,AD Hales,JM Bairstow,PJ Cummins,0,0,null,0,0,null,null
8,1.2,AD Hales,JM Bairstow,PJ Cummins,0,0,null,0,0,null,null
9,1.3,AD Hales,JM Bairstow,PJ Cummins,1,0,null,1,0,null,null
10,1.4,JM Bairstow,AD Hales,PJ Cummins,0,0,null,0,0,null,null
11,1.5,JM Bairstow,AD Hales,PJ Cummins,0,0,null,0,0,null,null
12,1.6,JM Bairstow,AD Hales,PJ Cummins,0,0,null,0,0,null,null
13,2.1,AD Hales,JM Bairstow,JR Hazlewood,0,0,null,0,0,null,null
14,2.2,AD Hales,JM Bairstow,JR Hazlewood,1,0,null,1,0,null,null
15,2.3,JM Bairstow,AD Hales,JR Hazlewood,0,0,null,0,0,null,null
16,2.4,JM Bairstow,AD Hales,JR Hazlewood,0,0,null,0,0,null,null
17,2.5,JM Bairstow,AD Hales,JR Hazlewood,0,0,null,0,0,null,null
18,2.6,JM Bairstow,AD Hales,JR Hazlewood,0,0,null,0,0,null,null
19,3.1,AD Hales,JM Bairstow,PJ Cummins,0,0,null,0,0,null,null
20,3.2,AD Hales,JM Bairstow,PJ Cummins,0,0,null,0,1,AD Hales,bowled
21,3.3,JE Root,JM Bairstow,PJ Cummins,0,0,null,0,0,null,null
22,3.4,JE Root,JM Bairstow,PJ Cummins,0,0,null,0,0,null,null
23,3.5,JE Root,JM Bairstow,PJ Cummins,0,0,null,0,0,null,null
24,3.6,JE Root,JM Bairstow,PJ Cummins,0,0,null,0,0,null,null
25,4.1,JM Bairstow,JE Root,JR Hazlewood,0,0,null,0,0,null,null
26,4.2,JM Bairstow,JE Root,JR Hazlewood,0,0,null,0,1,JM Bairstow,caught
27,4.3,EJG Morgan,JE Root,JR Hazlewood,0,0,null,0,0,null,null
28,4.4,EJG Morgan,JE Root,JR Hazlewood,0,0,null,0,0,null,null
29,4.5,EJG Morgan,JE Root,JR Hazlewood,2,0,null,2,0,null,null
30,4.6,EJG Morgan,JE Root,JR Hazlewood,0,0,null,0,0,null,null
31,5.1,JE Root,EJG Morgan,PJ Cummins,0,0,null,0,0,null,null
32,5.2,JE Root,EJG Morgan,PJ Cummins,0,0,null,0,0,null,null
33,5.3,JE Root,EJG Morgan,PJ Cummins,0,0,null,0,1,JE Root,caught
34,5.4,EJG Morgan,JC Buttler,PJ Cummins,2,0,null,2,0,null,null
35,5.5,EJG Morgan,JC Buttler,PJ Cummins,0,0,null,0,0,null,null
36,5.6,EJG Morgan,JC Buttler,PJ Cummins,0,0,null,0,0,null,null
37,6.1,JC Buttler,EJG Morgan,JR Hazlewood,0,0,null,0,0,null,null
38,6.2,JC Buttler,EJG Morgan,JR Hazlewood,0,0,null,0,1,JC Buttler,caught
39,6.3,MM Ali,EJG Morgan,JR Hazlewood,0,0,null,0,0,null,null
40,6.4,MM Ali,EJG Morgan,JR Hazlewood,0,0,null,0,0,null,null
41,6.5,MM Ali,EJG Morgan,JR Hazlewood,1,0,null,1,0,null,null
42,6.6,EJG Morgan,MM Ali,JR Hazlewood,1,0,null,1,0,null,null
43,7.1,EJG Morgan,MM Ali,PJ Cummins,1,0,null,1,0,null,null
44,7.2,MM Ali,EJG Morgan,PJ Cummins,0,0,null,0,0,null,null
45,7.3,MM Ali,EJG Morgan,PJ Cummins,1,0,null,1,0,null,null
46,7.4,EJG Morgan,MM Ali,PJ Cummins,1,0,null,1,0,null,null
47,7.5,MM Ali,EJG Morgan,PJ Cummins,0,0,null,0,0,null,null
48,7.6,MM Ali,EJG Morgan,PJ Cummins,0,0,null,0,0,null,null
49,8.1,EJG Morgan,MM Ali,JR Hazlewood,0,0,null,0,0,null,null
50,8.2,EJG Morgan,MM Ali,JR Hazlewood,0,0,null,0,0,null,null
51,8.3,EJG Morgan,MM Ali,JR Hazlewood,0,0,null,0,0,null,null
52,8.4,EJG Morgan,MM Ali,JR Hazlewood,1,0,null,1,0,null,null
53,8.5,MM Ali,EJG Morgan,JR Hazlewood,0,0,null,0,0,null,null
54,8.6,MM Ali,EJG Morgan,JR Hazlewood,0,0,null,0,0,null,null
55,9.1,EJG Morgan,MM Ali,PJ Cummins,0,1,wides ,1,0,null,null
56,9.2,EJG Morgan,MM Ali,PJ Cummins,0,0,null,0,0,null,null
57,9.3,EJG Morgan,MM Ali,PJ Cummins,0,0,null,0,0,null,null
58,9.4,EJG Morgan,MM Ali,PJ Cummins,0,0,null,0,0,null,null
59,9.5,EJG Morgan,MM Ali,PJ Cummins,0,0,null,0,0,null,null
60,9.6,EJG Morgan,MM Ali,PJ Cummins,0,0,null,0,0,null,null
61,9.7,EJG Morgan,MM Ali,PJ Cummins,3,0,null,3,0,null,null
62,10.1,EJG Morgan,MM Ali,JR Hazlewood,1,0,null,1,0,null,null
63,10.2,MM Ali,EJG Morgan,JR Hazlewood,0,0,null,0,0,null,null
64,10.3,MM Ali,EJG Morgan,JR Hazlewood,1,0,null,1,0,null,null
65,10.4,EJG Morgan,MM Ali,JR Hazlewood,0,0,null,0,0,null,null
66,10.5,EJG Morgan,MM Ali,JR Hazlewood,0,0,null,0,0,null,null
67,10.6,EJG Morgan,MM Ali,JR Hazlewood,1,0,null,1,0,null,null
68,11.1,EJG Morgan,MM Ali,MR Marsh,0,0,null,0,0,null,null
69,11.2,EJG Morgan,MM Ali,MR Marsh,0,0,null,0,0,null,null
70,11.3,EJG Morgan,MM Ali,MR Marsh,0,0,null,0,0,null,null
71,11.4,EJG Morgan,MM Ali,MR Marsh,0,0,null,0,0,null,null
72,11.5,EJG Morgan,MM Ali,MR Marsh,0,0,null,0,0,null,null
73,11.6,EJG Morgan,MM Ali,MR Marsh,0,0,null,0,0,null,null
74,12.1,MM Ali,EJG Morgan,AJ Tye,1,0,null,1,0,null,null
75,12.2,EJG Morgan,MM Ali,AJ Tye,0,0,null,0,0,null,null
76,12.3,EJG Morgan,MM Ali,AJ Tye,0,0,null,0,0,null,null
