,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,TM Head,DJM Short,DJ Willey,4,0,null,4,0,null,null
1,0.2,TM Head,DJM Short,DJ Willey,0,0,null,0,0,null,null
2,0.3,TM Head,DJM Short,DJ Willey,0,0,null,0,0,null,null
3,0.4,TM Head,DJM Short,DJ Willey,0,0,null,0,0,null,null
4,0.5,TM Head,DJM Short,DJ Willey,4,0,null,4,0,null,null
5,0.6,TM Head,DJM Short,DJ Willey,0,0,null,0,0,null,null
6,1.1,DJM Short,TM Head,MA Wood,0,1,wides ,1,0,null,null
7,1.2,DJM Short,TM Head,MA Wood,2,0,null,2,0,null,null
8,1.3,DJM Short,TM Head,MA Wood,0,0,null,0,0,null,null
9,1.4,DJM Short,TM Head,MA Wood,1,0,null,1,0,null,null
10,1.5,TM Head,DJM Short,MA Wood,0,0,null,0,0,null,null
11,1.6,TM Head,DJM Short,MA Wood,6,0,null,6,0,null,null
12,1.7,TM Head,DJM Short,MA Wood,0,0,null,0,0,null,null
13,2.1,DJM Short,TM Head,DJ Willey,0,0,null,0,0,null,null
14,2.2,DJM Short,TM Head,DJ Willey,0,1,legbyes ,1,0,null,null
15,2.3,TM Head,DJM Short,DJ Willey,0,0,null,0,0,null,null
16,2.4,TM Head,DJM Short,DJ Willey,0,0,null,0,0,null,null
17,2.5,TM Head,DJM Short,DJ Willey,0,0,null,0,0,null,null
18,2.6,TM Head,DJM Short,DJ Willey,1,0,null,1,0,null,null
19,3.1,TM Head,DJM Short,MA Wood,4,0,null,4,0,null,null
20,3.2,TM Head,DJM Short,MA Wood,0,0,null,0,1,TM Head,caught
21,3.3,SE Marsh,DJM Short,MA Wood,0,0,null,0,0,null,null
22,3.4,SE Marsh,DJM Short,MA Wood,0,0,null,0,0,null,null
23,3.5,SE Marsh,DJM Short,MA Wood,0,0,null,0,0,null,null
24,3.6,SE Marsh,DJM Short,MA Wood,1,0,null,1,0,null,null
25,4.1,SE Marsh,DJM Short,DJ Willey,0,0,null,0,0,null,null
26,4.2,SE Marsh,DJM Short,DJ Willey,0,0,null,0,0,null,null
27,4.3,SE Marsh,DJM Short,DJ Willey,3,0,null,3,0,null,null
28,4.4,DJM Short,SE Marsh,DJ Willey,0,0,null,0,0,null,null
29,4.5,DJM Short,SE Marsh,DJ Willey,0,0,null,0,0,null,null
30,4.6,DJM Short,SE Marsh,DJ Willey,0,0,null,0,0,null,null
31,5.1,SE Marsh,DJM Short,MA Wood,0,0,null,0,0,null,null
32,5.2,SE Marsh,DJM Short,MA Wood,1,0,null,1,0,null,null
33,5.3,DJM Short,SE Marsh,MA Wood,0,0,null,0,0,null,null
34,5.4,DJM Short,SE Marsh,MA Wood,0,0,null,0,0,null,null
35,5.5,DJM Short,SE Marsh,MA Wood,0,0,null,0,0,null,null
36,5.6,DJM Short,SE Marsh,MA Wood,2,0,null,2,0,null,null
37,6.1,SE Marsh,DJM Short,DJ Willey,0,0,null,0,0,null,null
38,6.2,SE Marsh,DJM Short,DJ Willey,4,0,null,4,0,null,null
39,6.3,SE Marsh,DJM Short,DJ Willey,1,0,null,1,0,null,null
40,6.4,DJM Short,SE Marsh,DJ Willey,0,0,null,0,0,null,null
41,6.5,DJM Short,SE Marsh,DJ Willey,1,0,null,1,0,null,null
42,6.6,SE Marsh,DJM Short,DJ Willey,1,0,null,1,0,null,null
43,7.1,SE Marsh,DJM Short,MA Wood,0,0,null,0,0,null,null
44,7.2,SE Marsh,DJM Short,MA Wood,0,0,null,0,0,null,null
45,7.3,SE Marsh,DJM Short,MA Wood,0,1,wides ,1,0,null,null
46,7.4,SE Marsh,DJM Short,MA Wood,0,0,null,0,0,null,null
47,7.5,SE Marsh,DJM Short,MA Wood,0,0,null,0,0,null,null
48,7.6,SE Marsh,DJM Short,MA Wood,0,0,null,0,0,null,null
49,7.7,SE Marsh,DJM Short,MA Wood,4,0,null,4,0,null,null
50,8.1,DJM Short,SE Marsh,DJ Willey,1,0,null,1,0,null,null
51,8.2,SE Marsh,DJM Short,DJ Willey,0,0,null,0,0,null,null
52,8.3,SE Marsh,DJM Short,DJ Willey,2,0,null,2,0,null,null
53,8.4,SE Marsh,DJM Short,DJ Willey,0,0,null,0,0,null,null
54,8.5,SE Marsh,DJM Short,DJ Willey,1,0,null,1,0,null,null
55,8.6,DJM Short,SE Marsh,DJ Willey,1,0,null,1,0,null,null
56,9.1,DJM Short,SE Marsh,LE Plunkett,4,0,null,4,0,null,null
57,9.2,DJM Short,SE Marsh,LE Plunkett,0,0,null,0,0,null,null
58,9.3,DJM Short,SE Marsh,LE Plunkett,4,0,null,4,0,null,null
59,9.4,DJM Short,SE Marsh,LE Plunkett,1,0,null,1,0,null,null
60,9.5,SE Marsh,DJM Short,LE Plunkett,0,0,null,0,0,null,null
61,9.6,SE Marsh,DJM Short,LE Plunkett,3,0,null,3,0,null,null
