,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,MJ Guptill,HM Nicholls,CR Woakes,0,1,wides ,1,0,null,null
1,0.2,MJ Guptill,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
2,0.3,MJ Guptill,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
3,0.4,MJ Guptill,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
4,0.5,MJ Guptill,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
5,0.6,MJ Guptill,HM Nicholls,CR Woakes,4,0,null,4,0,null,null
6,0.7,MJ Guptill,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
7,1.1,HM Nicholls,MJ Guptill,JC Archer,0,0,null,0,0,null,null
8,1.2,HM Nicholls,MJ Guptill,JC Archer,0,1,legbyes ,1,0,null,null
9,1.3,MJ Guptill,HM Nicholls,JC Archer,0,0,null,0,0,null,null
10,1.4,MJ Guptill,HM Nicholls,JC Archer,2,0,null,2,0,null,null
11,1.5,MJ Guptill,HM Nicholls,JC Archer,0,0,null,0,0,null,null
12,1.6,MJ Guptill,HM Nicholls,JC Archer,0,0,null,0,0,null,null
13,2.1,HM Nicholls,MJ Guptill,CR Woakes,0,0,null,0,0,null,null
14,2.2,HM Nicholls,MJ Guptill,CR Woakes,0,0,null,0,0,null,null
15,2.3,HM Nicholls,MJ Guptill,CR Woakes,0,0,null,0,0,null,null
16,2.4,HM Nicholls,MJ Guptill,CR Woakes,0,0,null,0,0,null,null
17,2.5,HM Nicholls,MJ Guptill,CR Woakes,2,0,null,2,0,null,null
18,2.6,HM Nicholls,MJ Guptill,CR Woakes,0,0,null,0,0,null,null
19,3.1,MJ Guptill,HM Nicholls,JC Archer,0,0,null,0,0,null,null
20,3.2,MJ Guptill,HM Nicholls,JC Archer,6,0,null,6,0,null,null
21,3.3,MJ Guptill,HM Nicholls,JC Archer,0,0,null,0,0,null,null
22,3.4,MJ Guptill,HM Nicholls,JC Archer,4,0,null,4,0,null,null
23,3.5,MJ Guptill,HM Nicholls,JC Archer,1,0,null,1,0,null,null
24,3.6,HM Nicholls,MJ Guptill,JC Archer,1,0,null,1,0,null,null
25,4.1,HM Nicholls,MJ Guptill,CR Woakes,0,0,null,0,0,null,null
26,4.2,HM Nicholls,MJ Guptill,CR Woakes,1,0,null,1,0,null,null
27,4.3,MJ Guptill,HM Nicholls,CR Woakes,1,0,null,1,0,null,null
28,4.4,HM Nicholls,MJ Guptill,CR Woakes,0,0,null,0,0,null,null
29,4.5,HM Nicholls,MJ Guptill,CR Woakes,0,0,null,0,0,null,null
30,4.6,HM Nicholls,MJ Guptill,CR Woakes,0,0,null,0,0,null,null
31,5.1,MJ Guptill,HM Nicholls,JC Archer,1,0,null,1,0,null,null
32,5.2,HM Nicholls,MJ Guptill,JC Archer,0,0,null,0,0,null,null
33,5.3,HM Nicholls,MJ Guptill,JC Archer,2,0,null,2,0,null,null
34,5.4,HM Nicholls,MJ Guptill,JC Archer,0,0,null,0,0,null,null
35,5.5,HM Nicholls,MJ Guptill,JC Archer,0,0,null,0,0,null,null
36,5.6,HM Nicholls,MJ Guptill,JC Archer,1,0,null,1,0,null,null
37,6.1,HM Nicholls,MJ Guptill,CR Woakes,1,0,null,1,0,null,null
38,6.2,MJ Guptill,HM Nicholls,CR Woakes,0,0,null,0,1,MJ Guptill,lbw
39,6.3,KS Williamson,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
40,6.4,KS Williamson,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
41,6.5,KS Williamson,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
42,6.6,KS Williamson,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
43,7.1,HM Nicholls,KS Williamson,JC Archer,0,0,null,0,0,null,null
44,7.2,HM Nicholls,KS Williamson,JC Archer,1,0,null,1,0,null,null
45,7.3,KS Williamson,HM Nicholls,JC Archer,0,0,null,0,0,null,null
46,7.4,KS Williamson,HM Nicholls,JC Archer,0,0,null,0,0,null,null
47,7.5,KS Williamson,HM Nicholls,JC Archer,0,0,null,0,0,null,null
48,7.6,KS Williamson,HM Nicholls,JC Archer,0,0,null,0,0,null,null
49,8.1,HM Nicholls,KS Williamson,CR Woakes,0,0,null,0,0,null,null
50,8.2,HM Nicholls,KS Williamson,CR Woakes,0,0,null,0,0,null,null
51,8.3,HM Nicholls,KS Williamson,CR Woakes,0,0,null,0,0,null,null
52,8.4,HM Nicholls,KS Williamson,CR Woakes,1,0,null,1,0,null,null
53,8.5,KS Williamson,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
54,8.6,KS Williamson,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
55,9.1,HM Nicholls,KS Williamson,JC Archer,0,0,null,0,0,null,null
56,9.2,HM Nicholls,KS Williamson,JC Archer,0,1,legbyes ,1,0,null,null
57,9.3,KS Williamson,HM Nicholls,JC Archer,0,0,null,0,0,null,null
58,9.4,KS Williamson,HM Nicholls,JC Archer,1,0,null,1,0,null,null
59,9.5,HM Nicholls,KS Williamson,JC Archer,0,0,null,0,0,null,null
60,9.6,HM Nicholls,KS Williamson,JC Archer,0,0,null,0,0,null,null
61,10.1,KS Williamson,HM Nicholls,CR Woakes,0,1,wides ,1,0,null,null
62,10.2,KS Williamson,HM Nicholls,CR Woakes,1,0,null,1,0,null,null
63,10.3,HM Nicholls,KS Williamson,CR Woakes,0,0,null,0,0,null,null
64,10.4,HM Nicholls,KS Williamson,CR Woakes,4,0,null,4,0,null,null
65,10.5,HM Nicholls,KS Williamson,CR Woakes,1,0,null,1,0,null,null
66,10.6,KS Williamson,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
67,10.7,KS Williamson,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
68,11.1,HM Nicholls,KS Williamson,LE Plunkett,0,0,null,0,0,null,null
69,11.2,HM Nicholls,KS Williamson,LE Plunkett,2,0,null,2,0,null,null
70,11.3,HM Nicholls,KS Williamson,LE Plunkett,0,0,null,0,0,null,null
71,11.4,HM Nicholls,KS Williamson,LE Plunkett,2,0,null,2,0,null,null
72,11.5,HM Nicholls,KS Williamson,LE Plunkett,0,0,null,0,0,null,null
73,11.6,HM Nicholls,KS Williamson,LE Plunkett,2,0,null,2,0,null,null
74,12.1,KS Williamson,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
75,12.2,KS Williamson,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
76,12.3,KS Williamson,HM Nicholls,CR Woakes,0,1,wides ,1,0,null,null
77,12.4,KS Williamson,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
78,12.5,KS Williamson,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
79,12.6,KS Williamson,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
80,12.7,KS Williamson,HM Nicholls,CR Woakes,0,0,null,0,0,null,null
81,13.1,HM Nicholls,KS Williamson,LE Plunkett,1,0,null,1,0,null,null
82,13.2,KS Williamson,HM Nicholls,LE Plunkett,0,0,null,0,0,null,null
83,13.3,KS Williamson,HM Nicholls,LE Plunkett,1,0,null,1,0,null,null
84,13.4,HM Nicholls,KS Williamson,LE Plunkett,1,0,null,1,0,null,null
85,13.5,KS Williamson,HM Nicholls,LE Plunkett,1,0,null,1,0,null,null
86,13.6,HM Nicholls,KS Williamson,LE Plunkett,4,0,null,4,0,null,null
87,14.1,KS Williamson,HM Nicholls,MA Wood,0,1,wides ,1,0,null,null
88,14.2,KS Williamson,HM Nicholls,MA Wood,0,0,null,0,0,null,null
89,14.3,KS Williamson,HM Nicholls,MA Wood,0,0,null,0,0,null,null
90,14.4,KS Williamson,HM Nicholls,MA Wood,0,0,null,0,0,null,null
91,14.5,KS Williamson,HM Nicholls,MA Wood,1,0,null,1,0,null,null
92,14.6,HM Nicholls,KS Williamson,MA Wood,0,1,legbyes ,1,0,null,null
93,14.7,KS Williamson,HM Nicholls,MA Wood,0,1,wides ,1,0,null,null
94,14.8,KS Williamson,HM Nicholls,MA Wood,4,0,null,4,0,null,null
95,15.1,HM Nicholls,KS Williamson,LE Plunkett,4,0,null,4,0,null,null
96,15.2,HM Nicholls,KS Williamson,LE Plunkett,0,0,null,0,0,null,null
97,15.3,HM Nicholls,KS Williamson,LE Plunkett,0,0,null,0,0,null,null
98,15.4,HM Nicholls,KS Williamson,LE Plunkett,0,0,null,0,0,null,null
99,15.5,HM Nicholls,KS Williamson,LE Plunkett,1,0,null,1,0,null,null
100,15.6,KS Williamson,HM Nicholls,LE Plunkett,0,0,null,0,0,null,null
101,16.1,HM Nicholls,KS Williamson,MA Wood,0,0,null,0,0,null,null
102,16.2,HM Nicholls,KS Williamson,MA Wood,0,0,null,0,0,null,null
103,16.3,HM Nicholls,KS Williamson,MA Wood,1,0,null,1,0,null,null
104,16.4,KS Williamson,HM Nicholls,MA Wood,0,0,null,0,0,null,null
105,16.5,KS Williamson,HM Nicholls,MA Wood,1,0,null,1,0,null,null
106,16.6,HM Nicholls,KS Williamson,MA Wood,0,0,null,0,0,null,null
107,17.1,KS Williamson,HM Nicholls,AU Rashid,1,0,null,1,0,null,null
108,17.2,HM Nicholls,KS Williamson,AU Rashid,1,0,null,1,0,null,null
109,17.3,KS Williamson,HM Nicholls,AU Rashid,1,0,null,1,0,null,null
110,17.4,HM Nicholls,KS Williamson,AU Rashid,1,0,null,1,0,null,null
