,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,SP Fleming,NJ Astle,D Gough,0,0,null,0,0,null,null
1,0.2,SP Fleming,NJ Astle,D Gough,0,0,null,0,0,null,null
2,0.3,SP Fleming,NJ Astle,D Gough,1,0,null,1,0,null,null
3,0.4,NJ Astle,SP Fleming,D Gough,0,1,noballs ,1,0,null,null
4,0.5,NJ Astle,SP Fleming,D Gough,0,1,legbyes ,1,0,null,null
5,0.6,SP Fleming,NJ Astle,D Gough,0,0,null,0,0,null,null
6,0.7,SP Fleming,NJ Astle,D Gough,0,0,null,0,0,null,null
7,1.1,NJ Astle,SP Fleming,SJ Harmison,1,0,null,1,0,null,null
8,1.2,SP Fleming,NJ Astle,SJ Harmison,0,0,null,0,0,null,null
9,1.3,SP Fleming,NJ Astle,SJ Harmison,1,0,null,1,0,null,null
10,1.4,NJ Astle,SP Fleming,SJ Harmison,0,0,null,0,0,null,null
11,1.5,NJ Astle,SP Fleming,SJ Harmison,0,0,null,0,0,null,null
12,1.6,NJ Astle,SP Fleming,SJ Harmison,0,0,null,0,0,null,null
13,2.1,SP Fleming,NJ Astle,D Gough,0,0,null,0,0,null,null
14,2.2,SP Fleming,NJ Astle,D Gough,0,1,noballs ,1,0,null,null
15,2.3,SP Fleming,NJ Astle,D Gough,0,0,null,0,0,null,null
16,2.4,SP Fleming,NJ Astle,D Gough,0,0,null,0,0,null,null
17,2.5,SP Fleming,NJ Astle,D Gough,0,0,null,0,0,null,null
18,2.6,SP Fleming,NJ Astle,D Gough,0,0,null,0,0,null,null
19,2.7,SP Fleming,NJ Astle,D Gough,0,1,wides ,1,0,null,null
20,2.8,SP Fleming,NJ Astle,D Gough,3,0,null,3,0,null,null
21,3.1,SP Fleming,NJ Astle,SJ Harmison,4,0,null,4,0,null,null
22,3.2,SP Fleming,NJ Astle,SJ Harmison,1,0,null,1,0,null,null
23,3.3,NJ Astle,SP Fleming,SJ Harmison,0,0,null,0,0,null,null
24,3.4,NJ Astle,SP Fleming,SJ Harmison,0,0,null,0,0,null,null
25,3.5,NJ Astle,SP Fleming,SJ Harmison,0,0,null,0,0,null,null
26,3.6,NJ Astle,SP Fleming,SJ Harmison,0,0,null,0,0,null,null
27,4.1,SP Fleming,NJ Astle,D Gough,0,0,null,0,0,null,null
28,4.2,SP Fleming,NJ Astle,D Gough,0,0,null,0,0,null,null
29,4.3,SP Fleming,NJ Astle,D Gough,4,0,null,4,0,null,null
30,4.4,SP Fleming,NJ Astle,D Gough,0,0,null,0,0,null,null
31,4.5,SP Fleming,NJ Astle,D Gough,0,0,null,0,0,null,null
32,4.6,SP Fleming,NJ Astle,D Gough,4,0,null,4,0,null,null
33,5.1,NJ Astle,SP Fleming,SJ Harmison,0,0,null,0,0,null,null
34,5.2,NJ Astle,SP Fleming,SJ Harmison,0,0,null,0,0,null,null
35,5.3,NJ Astle,SP Fleming,SJ Harmison,0,0,null,0,0,null,null
36,5.4,NJ Astle,SP Fleming,SJ Harmison,0,0,null,0,0,null,null
37,5.5,NJ Astle,SP Fleming,SJ Harmison,1,0,null,1,0,null,null
38,5.6,SP Fleming,NJ Astle,SJ Harmison,1,0,null,1,0,null,null
39,6.1,SP Fleming,NJ Astle,D Gough,0,0,null,0,0,null,null
40,6.2,SP Fleming,NJ Astle,D Gough,0,0,null,0,0,null,null
41,6.3,SP Fleming,NJ Astle,D Gough,0,0,null,0,0,null,null
42,6.4,SP Fleming,NJ Astle,D Gough,2,0,null,2,0,null,null
43,6.5,SP Fleming,NJ Astle,D Gough,4,1,noballs ,5,0,null,null
44,6.6,SP Fleming,NJ Astle,D Gough,1,1,noballs ,2,0,null,null
45,6.7,NJ Astle,SP Fleming,D Gough,0,0,null,0,0,null,null
46,6.8,NJ Astle,SP Fleming,D Gough,0,0,null,0,0,null,null
47,7.1,SP Fleming,NJ Astle,SJ Harmison,0,0,null,0,0,null,null
48,7.2,SP Fleming,NJ Astle,SJ Harmison,0,0,null,0,0,null,null
49,7.3,SP Fleming,NJ Astle,SJ Harmison,1,0,null,1,0,null,null
50,7.4,NJ Astle,SP Fleming,SJ Harmison,0,0,null,0,0,null,null
51,7.5,NJ Astle,SP Fleming,SJ Harmison,1,0,null,1,0,null,null
52,7.6,SP Fleming,NJ Astle,SJ Harmison,4,0,null,4,0,null,null
53,8.1,NJ Astle,SP Fleming,JM Anderson,4,0,null,4,0,null,null
54,8.2,NJ Astle,SP Fleming,JM Anderson,0,0,null,0,0,null,null
55,8.3,NJ Astle,SP Fleming,JM Anderson,4,0,null,4,0,null,null
56,8.4,NJ Astle,SP Fleming,JM Anderson,0,0,null,0,0,null,null
57,8.5,NJ Astle,SP Fleming,JM Anderson,0,0,null,0,0,null,null
58,8.6,NJ Astle,SP Fleming,JM Anderson,0,0,null,0,0,null,null
59,9.1,SP Fleming,NJ Astle,SJ Harmison,0,0,null,0,1,SP Fleming,caught
60,9.2,HJH Marshall,NJ Astle,SJ Harmison,0,4,legbyes ,4,0,null,null
61,9.3,HJH Marshall,NJ Astle,SJ Harmison,1,0,null,1,0,null,null
62,9.4,NJ Astle,HJH Marshall,SJ Harmison,4,0,null,4,0,null,null
63,9.5,NJ Astle,HJH Marshall,SJ Harmison,0,0,null,0,1,NJ Astle,lbw
64,9.6,SB Styris,HJH Marshall,SJ Harmison,4,0,null,4,0,null,null
65,10.1,HJH Marshall,SB Styris,JM Anderson,0,0,null,0,0,null,null
66,10.2,HJH Marshall,SB Styris,JM Anderson,0,0,null,0,0,null,null
67,10.3,HJH Marshall,SB Styris,JM Anderson,0,0,null,0,0,null,null
68,10.4,HJH Marshall,SB Styris,JM Anderson,0,0,null,0,0,null,null
69,10.5,HJH Marshall,SB Styris,JM Anderson,4,0,null,4,0,null,null
70,10.6,HJH Marshall,SB Styris,JM Anderson,0,0,null,0,0,null,null
71,11.1,SB Styris,HJH Marshall,SJ Harmison,1,0,null,1,0,null,null
72,11.2,HJH Marshall,SB Styris,SJ Harmison,0,0,null,0,1,HJH Marshall,caught
73,11.3,CD McMillan,SB Styris,SJ Harmison,1,0,null,1,0,null,null
74,11.4,SB Styris,CD McMillan,SJ Harmison,0,0,null,0,0,null,null
