,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,JJ Roy,AD Hales,RAS Lakmal,0,0,null,0,0,null,null
1,0.2,JJ Roy,AD Hales,RAS Lakmal,0,0,null,0,0,null,null
2,0.3,JJ Roy,AD Hales,RAS Lakmal,0,0,null,0,0,null,null
3,0.4,JJ Roy,AD Hales,RAS Lakmal,0,0,null,0,0,null,null
4,0.5,JJ Roy,AD Hales,RAS Lakmal,0,0,null,0,0,null,null
5,0.6,JJ Roy,AD Hales,RAS Lakmal,1,0,null,1,0,null,null
6,1.1,JJ Roy,AD Hales,AD Mathews,2,0,null,2,0,null,null
7,1.2,JJ Roy,AD Hales,AD Mathews,0,0,null,0,0,null,null
8,1.3,JJ Roy,AD Hales,AD Mathews,0,0,null,0,0,null,null
9,1.4,JJ Roy,AD Hales,AD Mathews,0,0,null,0,1,JJ Roy,lbw
10,1.5,JE Root,AD Hales,AD Mathews,0,0,null,0,0,null,null
11,1.6,JE Root,AD Hales,AD Mathews,0,0,null,0,0,null,null
12,2.1,AD Hales,JE Root,RAS Lakmal,0,0,null,0,0,null,null
13,2.2,AD Hales,JE Root,RAS Lakmal,4,0,null,4,0,null,null
14,2.3,AD Hales,JE Root,RAS Lakmal,0,0,null,0,0,null,null
15,2.4,AD Hales,JE Root,RAS Lakmal,0,0,null,0,0,null,null
16,2.5,AD Hales,JE Root,RAS Lakmal,0,0,null,0,1,AD Hales,caught
17,2.6,EJG Morgan,JE Root,RAS Lakmal,0,0,null,0,0,null,null
18,3.1,JE Root,EJG Morgan,AD Mathews,1,0,null,1,0,null,null
19,3.2,EJG Morgan,JE Root,AD Mathews,4,0,null,4,0,null,null
20,3.3,EJG Morgan,JE Root,AD Mathews,0,0,null,0,0,null,null
21,3.4,EJG Morgan,JE Root,AD Mathews,0,0,null,0,0,null,null
22,3.5,EJG Morgan,JE Root,AD Mathews,0,0,null,0,0,null,null
23,3.6,EJG Morgan,JE Root,AD Mathews,1,0,null,1,0,null,null
24,4.1,EJG Morgan,JE Root,RAS Lakmal,0,0,null,0,0,null,null
25,4.2,EJG Morgan,JE Root,RAS Lakmal,0,0,null,0,0,null,null
26,4.3,EJG Morgan,JE Root,RAS Lakmal,0,0,null,0,0,null,null
27,4.4,EJG Morgan,JE Root,RAS Lakmal,1,0,null,1,0,null,null
28,4.5,JE Root,EJG Morgan,RAS Lakmal,1,0,null,1,0,null,null
29,4.6,EJG Morgan,JE Root,RAS Lakmal,1,0,null,1,0,null,null
30,5.1,EJG Morgan,JE Root,AD Mathews,0,0,null,0,0,null,null
31,5.2,EJG Morgan,JE Root,AD Mathews,0,0,null,0,0,null,null
32,5.3,EJG Morgan,JE Root,AD Mathews,1,0,null,1,0,null,null
33,5.4,JE Root,EJG Morgan,AD Mathews,0,0,null,0,0,null,null
