,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,AN Cook,MJ Prior,R Rampaul,0,1,wides ,1,0,null,null
1,0.2,AN Cook,MJ Prior,R Rampaul,3,0,null,3,0,null,null
2,0.3,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
3,0.4,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
4,0.5,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
5,0.6,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
6,0.7,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
7,1.1,AN Cook,MJ Prior,DBL Powell,1,0,null,1,0,null,null
8,1.2,MJ Prior,AN Cook,DBL Powell,1,0,null,1,0,null,null
9,1.3,AN Cook,MJ Prior,DBL Powell,0,1,legbyes ,1,0,null,null
10,1.4,MJ Prior,AN Cook,DBL Powell,0,0,null,0,0,null,null
11,1.5,MJ Prior,AN Cook,DBL Powell,0,0,null,0,0,null,null
12,1.6,MJ Prior,AN Cook,DBL Powell,0,0,null,0,0,null,null
13,2.1,AN Cook,MJ Prior,R Rampaul,0,1,wides ,1,0,null,null
14,2.2,AN Cook,MJ Prior,R Rampaul,0,0,null,0,0,null,null
15,2.3,AN Cook,MJ Prior,R Rampaul,0,0,null,0,0,null,null
16,2.4,AN Cook,MJ Prior,R Rampaul,0,0,null,0,0,null,null
17,2.5,AN Cook,MJ Prior,R Rampaul,0,0,null,0,0,null,null
18,2.6,AN Cook,MJ Prior,R Rampaul,0,0,null,0,0,null,null
19,2.7,AN Cook,MJ Prior,R Rampaul,0,0,null,0,0,null,null
20,3.1,MJ Prior,AN Cook,DBL Powell,0,0,null,0,0,null,null
21,3.2,MJ Prior,AN Cook,DBL Powell,1,0,null,1,0,null,null
22,3.3,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
23,3.4,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
24,3.5,AN Cook,MJ Prior,DBL Powell,2,0,null,2,0,null,null
25,3.6,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
26,4.1,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
27,4.2,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
28,4.3,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
29,4.4,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
30,4.5,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
31,4.6,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
32,5.1,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
33,5.2,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
34,5.3,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
35,5.4,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
36,5.5,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
37,5.6,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
38,6.1,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
39,6.2,MJ Prior,AN Cook,R Rampaul,1,0,null,1,0,null,null
40,6.3,AN Cook,MJ Prior,R Rampaul,0,0,null,0,0,null,null
41,6.4,AN Cook,MJ Prior,R Rampaul,1,0,null,1,0,null,null
42,6.5,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
43,6.6,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
44,7.1,AN Cook,MJ Prior,DBL Powell,4,0,null,4,0,null,null
45,7.2,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
46,7.3,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
47,7.4,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
48,7.5,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
49,7.6,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
50,8.1,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
51,8.2,MJ Prior,AN Cook,R Rampaul,1,0,null,1,0,null,null
52,8.3,AN Cook,MJ Prior,R Rampaul,1,0,null,1,0,null,null
53,8.4,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
54,8.5,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
55,8.6,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
56,9.1,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
57,9.2,AN Cook,MJ Prior,DBL Powell,4,0,null,4,0,null,null
58,9.3,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
59,9.4,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
60,9.5,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
61,9.6,AN Cook,MJ Prior,DBL Powell,3,0,null,3,0,null,null
62,10.1,AN Cook,MJ Prior,R Rampaul,1,0,null,1,0,null,null
63,10.2,MJ Prior,AN Cook,R Rampaul,1,0,null,1,0,null,null
64,10.3,AN Cook,MJ Prior,R Rampaul,1,0,null,1,0,null,null
65,10.4,MJ Prior,AN Cook,R Rampaul,4,0,null,4,0,null,null
66,10.5,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
67,10.6,MJ Prior,AN Cook,R Rampaul,0,0,null,0,0,null,null
68,11.1,AN Cook,MJ Prior,DBL Powell,0,0,null,0,0,null,null
69,11.2,AN Cook,MJ Prior,DBL Powell,1,0,null,1,0,null,null
70,11.3,MJ Prior,AN Cook,DBL Powell,2,0,null,2,0,null,null
71,11.4,MJ Prior,AN Cook,DBL Powell,2,0,null,2,0,null,null
72,11.5,MJ Prior,AN Cook,DBL Powell,1,0,null,1,0,null,null
73,11.6,AN Cook,MJ Prior,DBL Powell,1,0,null,1,0,null,null
74,12.1,AN Cook,MJ Prior,R Rampaul,0,0,null,0,0,null,null
75,12.2,AN Cook,MJ Prior,R Rampaul,0,0,null,0,0,null,null
76,12.3,AN Cook,MJ Prior,R Rampaul,4,0,null,4,0,null,null
77,12.4,AN Cook,MJ Prior,R Rampaul,0,0,null,0,0,null,null
78,12.5,AN Cook,MJ Prior,R Rampaul,2,0,null,2,0,null,null
79,12.6,AN Cook,MJ Prior,R Rampaul,0,0,null,0,0,null,null
80,13.1,MJ Prior,AN Cook,FH Edwards,1,0,null,1,0,null,null
