,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,AJ Strauss,RS Bopara,JE Taylor,0,0,null,0,0,null,null
1,0.2,AJ Strauss,RS Bopara,JE Taylor,0,1,wides ,1,0,null,null
2,0.3,AJ Strauss,RS Bopara,JE Taylor,0,1,wides ,1,0,null,null
3,0.4,AJ Strauss,RS Bopara,JE Taylor,3,0,null,3,0,null,null
4,0.5,RS Bopara,AJ Strauss,JE Taylor,0,0,null,0,0,null,null
5,0.6,RS Bopara,AJ Strauss,JE Taylor,4,0,null,4,0,null,null
6,0.7,RS Bopara,AJ Strauss,JE Taylor,2,0,null,2,0,null,null
7,0.8,RS Bopara,AJ Strauss,JE Taylor,0,0,null,0,0,null,null
8,1.1,AJ Strauss,RS Bopara,R Rampaul,0,0,null,0,0,null,null
9,1.2,AJ Strauss,RS Bopara,R Rampaul,0,1,wides ,1,0,null,null
10,1.3,AJ Strauss,RS Bopara,R Rampaul,0,0,null,0,0,null,null
11,1.4,AJ Strauss,RS Bopara,R Rampaul,0,0,null,0,0,null,null
12,1.5,AJ Strauss,RS Bopara,R Rampaul,0,4,legbyes ,4,0,null,null
13,1.6,AJ Strauss,RS Bopara,R Rampaul,0,0,null,0,0,null,null
14,1.7,AJ Strauss,RS Bopara,R Rampaul,0,0,null,0,0,null,null
15,2.1,RS Bopara,AJ Strauss,JE Taylor,0,0,null,0,0,null,null
16,2.2,RS Bopara,AJ Strauss,JE Taylor,0,0,null,0,0,null,null
17,2.3,RS Bopara,AJ Strauss,JE Taylor,0,0,null,0,0,null,null
18,2.4,RS Bopara,AJ Strauss,JE Taylor,0,0,null,0,0,null,null
19,2.5,RS Bopara,AJ Strauss,JE Taylor,1,0,null,1,0,null,null
20,2.6,AJ Strauss,RS Bopara,JE Taylor,0,0,null,0,0,null,null
21,3.1,RS Bopara,AJ Strauss,R Rampaul,0,0,null,0,0,null,null
22,3.2,RS Bopara,AJ Strauss,R Rampaul,0,0,null,0,0,null,null
23,3.3,RS Bopara,AJ Strauss,R Rampaul,0,0,null,0,0,null,null
24,3.4,RS Bopara,AJ Strauss,R Rampaul,1,0,null,1,0,null,null
25,3.5,AJ Strauss,RS Bopara,R Rampaul,0,4,legbyes ,4,0,null,null
26,3.6,AJ Strauss,RS Bopara,R Rampaul,0,0,null,0,0,null,null
27,4.1,RS Bopara,AJ Strauss,JE Taylor,0,0,null,0,0,null,null
28,4.2,RS Bopara,AJ Strauss,JE Taylor,0,0,null,0,0,null,null
29,4.3,RS Bopara,AJ Strauss,JE Taylor,0,0,null,0,0,null,null
30,4.4,RS Bopara,AJ Strauss,JE Taylor,0,0,null,0,0,null,null
31,4.5,RS Bopara,AJ Strauss,JE Taylor,0,0,null,0,0,null,null
32,4.6,RS Bopara,AJ Strauss,JE Taylor,0,0,null,0,0,null,null
33,5.1,AJ Strauss,RS Bopara,R Rampaul,1,0,null,1,0,null,null
34,5.2,RS Bopara,AJ Strauss,R Rampaul,4,0,null,4,0,null,null
35,5.3,RS Bopara,AJ Strauss,R Rampaul,4,0,null,4,0,null,null
36,5.4,RS Bopara,AJ Strauss,R Rampaul,0,0,null,0,0,null,null
37,5.5,RS Bopara,AJ Strauss,R Rampaul,0,0,null,0,0,null,null
38,5.6,RS Bopara,AJ Strauss,R Rampaul,0,0,null,0,0,null,null
39,6.1,AJ Strauss,RS Bopara,JE Taylor,0,0,null,0,0,null,null
40,6.2,AJ Strauss,RS Bopara,JE Taylor,0,0,null,0,0,null,null
41,6.3,AJ Strauss,RS Bopara,JE Taylor,0,0,null,0,0,null,null
42,6.4,AJ Strauss,RS Bopara,JE Taylor,0,0,null,0,1,AJ Strauss,caught
43,6.5,RS Bopara,MJ Prior,JE Taylor,1,0,null,1,0,null,null
44,6.6,MJ Prior,RS Bopara,JE Taylor,1,0,null,1,0,null,null
45,7.1,MJ Prior,RS Bopara,R Rampaul,0,0,null,0,0,null,null
46,7.2,MJ Prior,RS Bopara,R Rampaul,0,0,null,0,0,null,null
47,7.3,MJ Prior,RS Bopara,R Rampaul,0,0,null,0,0,null,null
48,7.4,MJ Prior,RS Bopara,R Rampaul,0,0,null,0,0,null,null
49,7.5,MJ Prior,RS Bopara,R Rampaul,1,0,null,1,0,null,null
50,7.6,RS Bopara,MJ Prior,R Rampaul,1,0,null,1,0,null,null
51,8.1,RS Bopara,MJ Prior,JE Taylor,1,0,null,1,0,null,null
52,8.2,MJ Prior,RS Bopara,JE Taylor,2,0,null,2,0,null,null
53,8.3,MJ Prior,RS Bopara,JE Taylor,0,0,null,0,0,null,null
54,8.4,MJ Prior,RS Bopara,JE Taylor,1,0,null,1,0,null,null
55,8.5,RS Bopara,MJ Prior,JE Taylor,4,0,null,4,0,null,null
