,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,JJ Atkinson,KD Shah,CA Soper,2,0,null,2,0,null,null
1,0.2,JJ Atkinson,KD Shah,CA Soper,0,0,null,0,0,null,null
2,0.3,JJ Atkinson,KD Shah,CA Soper,0,0,null,0,0,null,null
3,0.4,JJ Atkinson,KD Shah,CA Soper,0,0,null,0,0,null,null
4,0.5,JJ Atkinson,KD Shah,CA Soper,0,0,null,0,0,null,null
5,0.6,JJ Atkinson,KD Shah,CA Soper,0,0,null,0,0,null,null
6,1.1,KD Shah,JJ Atkinson,A Vala,0,0,null,0,0,null,null
7,1.2,KD Shah,JJ Atkinson,A Vala,0,0,null,0,0,null,null
8,1.3,KD Shah,JJ Atkinson,A Vala,0,0,null,0,0,null,null
9,1.4,KD Shah,JJ Atkinson,A Vala,0,0,null,0,0,null,null
10,1.5,KD Shah,JJ Atkinson,A Vala,0,0,null,0,0,null,null
11,1.6,KD Shah,JJ Atkinson,A Vala,0,0,null,0,0,null,null
12,2.1,JJ Atkinson,KD Shah,CA Soper,0,0,null,0,0,null,null
13,2.2,JJ Atkinson,KD Shah,CA Soper,0,1,wides ,1,0,null,null
14,2.3,JJ Atkinson,KD Shah,CA Soper,1,0,null,1,0,null,null
15,2.4,KD Shah,JJ Atkinson,CA Soper,0,0,null,0,1,KD Shah,caught
16,2.5,Babar Hayat,JJ Atkinson,CA Soper,0,0,null,0,0,null,null
17,2.6,Babar Hayat,JJ Atkinson,CA Soper,0,0,null,0,0,null,null
18,2.7,Babar Hayat,JJ Atkinson,CA Soper,0,0,null,0,1,Babar Hayat,caught and bowled
19,3.1,JJ Atkinson,Nizakat Khan,N Vanua,0,1,noballs ,1,0,null,null
20,3.2,JJ Atkinson,Nizakat Khan,N Vanua,0,0,null,0,0,null,null
21,3.3,JJ Atkinson,Nizakat Khan,N Vanua,0,0,null,0,0,null,null
22,3.4,JJ Atkinson,Nizakat Khan,N Vanua,0,1,noballs ,1,0,null,null
23,3.5,JJ Atkinson,Nizakat Khan,N Vanua,6,0,null,6,0,null,null
24,3.6,JJ Atkinson,Nizakat Khan,N Vanua,0,0,null,0,0,null,null
25,3.7,JJ Atkinson,Nizakat Khan,N Vanua,4,0,null,4,0,null,null
26,3.8,JJ Atkinson,Nizakat Khan,N Vanua,0,0,null,0,0,null,null
27,4.1,Nizakat Khan,JJ Atkinson,CA Soper,0,0,null,0,0,null,null
28,4.2,Nizakat Khan,JJ Atkinson,CA Soper,0,1,legbyes ,1,0,null,null
29,4.3,JJ Atkinson,Nizakat Khan,CA Soper,0,0,null,0,0,null,null
30,4.4,JJ Atkinson,Nizakat Khan,CA Soper,0,0,null,0,0,null,null
31,4.5,JJ Atkinson,Nizakat Khan,CA Soper,0,0,null,0,0,null,null
32,4.6,JJ Atkinson,Nizakat Khan,CA Soper,0,0,null,0,0,null,null
33,5.1,Nizakat Khan,JJ Atkinson,A Vala,0,0,null,0,0,null,null
34,5.2,Nizakat Khan,JJ Atkinson,A Vala,0,0,null,0,0,null,null
35,5.3,Nizakat Khan,JJ Atkinson,A Vala,0,0,null,0,0,null,null
36,5.4,Nizakat Khan,JJ Atkinson,A Vala,1,0,null,1,0,null,null
37,5.5,JJ Atkinson,Nizakat Khan,A Vala,0,0,null,0,0,null,null
38,5.6,JJ Atkinson,Nizakat Khan,A Vala,0,0,null,0,0,null,null
39,6.1,Nizakat Khan,JJ Atkinson,CA Soper,0,0,null,0,0,null,null
40,6.2,Nizakat Khan,JJ Atkinson,CA Soper,1,0,null,1,0,null,null
41,6.3,JJ Atkinson,Nizakat Khan,CA Soper,0,0,null,0,0,null,null
42,6.4,JJ Atkinson,Nizakat Khan,CA Soper,0,0,null,0,0,null,null
43,6.5,JJ Atkinson,Nizakat Khan,CA Soper,1,0,null,1,0,null,null
44,6.6,Nizakat Khan,JJ Atkinson,CA Soper,0,0,null,0,0,null,null
45,7.1,JJ Atkinson,Nizakat Khan,A Vala,0,0,null,0,0,null,null
46,7.2,JJ Atkinson,Nizakat Khan,A Vala,2,0,null,2,0,null,null
47,7.3,JJ Atkinson,Nizakat Khan,A Vala,1,0,null,1,0,null,null
48,7.4,Nizakat Khan,JJ Atkinson,A Vala,1,0,null,1,0,null,null
49,7.5,JJ Atkinson,Nizakat Khan,A Vala,0,0,null,0,0,null,null
50,7.6,JJ Atkinson,Nizakat Khan,A Vala,6,0,null,6,0,null,null
51,8.1,Nizakat Khan,JJ Atkinson,CA Soper,1,0,null,1,0,null,null
52,8.2,JJ Atkinson,Nizakat Khan,CA Soper,0,0,null,0,0,null,null
53,8.3,JJ Atkinson,Nizakat Khan,CA Soper,0,0,null,0,1,JJ Atkinson,bowled
54,8.4,Anshuman Rath,Nizakat Khan,CA Soper,0,0,null,0,0,null,null
55,8.5,Anshuman Rath,Nizakat Khan,CA Soper,0,0,null,0,0,null,null
56,8.6,Anshuman Rath,Nizakat Khan,CA Soper,0,0,null,0,0,null,null
57,9.1,Nizakat Khan,Anshuman Rath,A Vala,1,0,null,1,0,null,null
58,9.2,Anshuman Rath,Nizakat Khan,A Vala,0,0,null,0,0,null,null
59,9.3,Anshuman Rath,Nizakat Khan,A Vala,0,0,null,0,0,null,null
60,9.4,Anshuman Rath,Nizakat Khan,A Vala,1,0,null,1,0,null,null
61,9.5,Nizakat Khan,Anshuman Rath,A Vala,0,0,null,0,0,null,null
62,9.6,Nizakat Khan,Anshuman Rath,A Vala,0,0,null,0,0,null,null
63,10.1,Anshuman Rath,Nizakat Khan,CA Soper,4,0,null,4,0,null,null
64,10.2,Anshuman Rath,Nizakat Khan,CA Soper,0,0,null,0,0,null,null
65,10.3,Anshuman Rath,Nizakat Khan,CA Soper,4,0,null,4,0,null,null
66,10.4,Anshuman Rath,Nizakat Khan,CA Soper,1,0,null,1,0,null,null
