,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,S Dhawan,RG Sharma,MG Johnson,0,0,null,0,0,null,null
1,0.2,S Dhawan,RG Sharma,MG Johnson,1,0,null,1,0,null,null
2,0.3,RG Sharma,S Dhawan,MG Johnson,1,0,null,1,0,null,null
3,0.4,S Dhawan,RG Sharma,MG Johnson,0,0,null,0,0,null,null
4,0.5,S Dhawan,RG Sharma,MG Johnson,0,0,null,0,0,null,null
5,0.6,S Dhawan,RG Sharma,MG Johnson,0,0,null,0,0,null,null
6,1.1,RG Sharma,S Dhawan,CJ McKay,0,1,wides ,1,0,null,null
7,1.2,RG Sharma,S Dhawan,CJ McKay,1,0,null,1,0,null,null
8,1.3,S Dhawan,RG Sharma,CJ McKay,1,0,null,1,0,null,null
9,1.4,RG Sharma,S Dhawan,CJ McKay,0,0,null,0,0,null,null
10,1.5,RG Sharma,S Dhawan,CJ McKay,0,0,null,0,0,null,null
11,1.6,RG Sharma,S Dhawan,CJ McKay,0,0,null,0,0,null,null
12,1.7,RG Sharma,S Dhawan,CJ McKay,1,0,null,1,0,null,null
13,2.1,RG Sharma,S Dhawan,MG Johnson,0,0,null,0,0,null,null
14,2.2,RG Sharma,S Dhawan,MG Johnson,0,0,null,0,0,null,null
15,2.3,RG Sharma,S Dhawan,MG Johnson,0,0,null,0,0,null,null
16,2.4,RG Sharma,S Dhawan,MG Johnson,0,0,null,0,0,null,null
17,2.5,RG Sharma,S Dhawan,MG Johnson,0,0,null,0,0,null,null
18,2.6,RG Sharma,S Dhawan,MG Johnson,1,0,null,1,0,null,null
19,3.1,RG Sharma,S Dhawan,CJ McKay,0,0,null,0,0,null,null
20,3.2,RG Sharma,S Dhawan,CJ McKay,1,0,null,1,0,null,null
21,3.3,S Dhawan,RG Sharma,CJ McKay,0,0,null,0,0,null,null
22,3.4,S Dhawan,RG Sharma,CJ McKay,0,0,null,0,0,null,null
23,3.5,S Dhawan,RG Sharma,CJ McKay,0,0,null,0,0,null,null
24,3.6,S Dhawan,RG Sharma,CJ McKay,0,0,null,0,0,null,null
25,4.1,RG Sharma,S Dhawan,MG Johnson,2,0,null,2,0,null,null
26,4.2,RG Sharma,S Dhawan,MG Johnson,0,0,null,0,0,null,null
27,4.3,RG Sharma,S Dhawan,MG Johnson,0,0,null,0,0,null,null
28,4.4,RG Sharma,S Dhawan,MG Johnson,0,0,null,0,0,null,null
29,4.5,RG Sharma,S Dhawan,MG Johnson,4,0,null,4,0,null,null
30,4.6,RG Sharma,S Dhawan,MG Johnson,0,1,wides ,1,0,null,null
31,4.7,RG Sharma,S Dhawan,MG Johnson,0,0,null,0,0,null,null
32,5.1,S Dhawan,RG Sharma,CJ McKay,0,0,null,0,0,null,null
33,5.2,S Dhawan,RG Sharma,CJ McKay,0,0,null,0,0,null,null
34,5.3,S Dhawan,RG Sharma,CJ McKay,1,0,null,1,0,null,null
35,5.4,RG Sharma,S Dhawan,CJ McKay,4,0,null,4,0,null,null
36,5.5,RG Sharma,S Dhawan,CJ McKay,0,0,null,0,0,null,null
37,5.6,RG Sharma,S Dhawan,CJ McKay,2,0,null,2,0,null,null
38,6.1,S Dhawan,RG Sharma,JP Faulkner,4,0,null,4,0,null,null
39,6.2,S Dhawan,RG Sharma,JP Faulkner,0,0,null,0,1,S Dhawan,caught
40,6.3,V Kohli,RG Sharma,JP Faulkner,0,0,null,0,0,null,null
41,6.4,V Kohli,RG Sharma,JP Faulkner,0,0,null,0,0,null,null
42,6.5,V Kohli,RG Sharma,JP Faulkner,0,0,null,0,0,null,null
43,6.6,V Kohli,RG Sharma,JP Faulkner,2,0,null,2,0,null,null
44,7.1,RG Sharma,V Kohli,CJ McKay,0,0,null,0,0,null,null
45,7.2,RG Sharma,V Kohli,CJ McKay,0,0,null,0,0,null,null
46,7.3,RG Sharma,V Kohli,CJ McKay,1,0,null,1,0,null,null
47,7.4,V Kohli,RG Sharma,CJ McKay,0,0,null,0,0,null,null
48,7.5,V Kohli,RG Sharma,CJ McKay,0,0,null,0,0,null,null
49,7.6,V Kohli,RG Sharma,CJ McKay,0,0,null,0,0,null,null
50,8.1,RG Sharma,V Kohli,JP Faulkner,4,0,null,4,0,null,null
51,8.2,RG Sharma,V Kohli,JP Faulkner,0,0,null,0,0,null,null
52,8.3,RG Sharma,V Kohli,JP Faulkner,4,0,null,4,0,null,null
53,8.4,RG Sharma,V Kohli,JP Faulkner,0,0,null,0,0,null,null
54,8.5,RG Sharma,V Kohli,JP Faulkner,0,0,null,0,0,null,null
55,8.6,RG Sharma,V Kohli,JP Faulkner,4,0,null,4,0,null,null
56,9.1,V Kohli,RG Sharma,CJ McKay,0,0,null,0,0,null,null
57,9.2,V Kohli,RG Sharma,CJ McKay,1,0,null,1,0,null,null
58,9.3,RG Sharma,V Kohli,CJ McKay,0,0,null,0,0,null,null
59,9.4,RG Sharma,V Kohli,CJ McKay,0,0,null,0,0,null,null
60,9.5,RG Sharma,V Kohli,CJ McKay,0,0,null,0,0,null,null
61,9.6,RG Sharma,V Kohli,CJ McKay,1,0,null,1,0,null,null
62,10.1,RG Sharma,V Kohli,XJ Doherty,2,0,null,2,0,null,null
63,10.2,RG Sharma,V Kohli,XJ Doherty,1,0,null,1,0,null,null
64,10.3,V Kohli,RG Sharma,XJ Doherty,4,0,null,4,0,null,null
65,10.4,V Kohli,RG Sharma,XJ Doherty,0,0,null,0,0,null,null
66,10.5,V Kohli,RG Sharma,XJ Doherty,1,0,null,1,0,null,null
67,10.6,RG Sharma,V Kohli,XJ Doherty,4,0,null,4,0,null,null
68,11.1,V Kohli,RG Sharma,SR Watson,0,0,null,0,0,null,null
69,11.2,V Kohli,RG Sharma,SR Watson,2,0,null,2,0,null,null
70,11.3,V Kohli,RG Sharma,SR Watson,1,0,null,1,0,null,null
71,11.4,RG Sharma,V Kohli,SR Watson,1,0,null,1,0,null,null
72,11.5,V Kohli,RG Sharma,SR Watson,1,0,null,1,0,null,null
73,11.6,RG Sharma,V Kohli,SR Watson,1,0,null,1,0,null,null
74,12.1,RG Sharma,V Kohli,XJ Doherty,0,0,null,0,0,null,null
75,12.2,RG Sharma,V Kohli,XJ Doherty,1,0,null,1,0,null,null
76,12.3,V Kohli,RG Sharma,XJ Doherty,1,0,null,1,0,null,null
77,12.4,RG Sharma,V Kohli,XJ Doherty,0,0,null,0,0,null,null
78,12.5,RG Sharma,V Kohli,XJ Doherty,1,0,null,1,0,null,null
79,12.6,V Kohli,RG Sharma,XJ Doherty,1,0,null,1,0,null,null
80,13.1,V Kohli,RG Sharma,SR Watson,0,0,null,0,0,null,null
81,13.2,V Kohli,RG Sharma,SR Watson,0,0,null,0,0,null,null
82,13.3,V Kohli,RG Sharma,SR Watson,1,0,null,1,0,null,null
83,13.4,RG Sharma,V Kohli,SR Watson,0,0,null,0,0,null,null
84,13.5,RG Sharma,V Kohli,SR Watson,0,0,null,0,1,RG Sharma,caught
85,13.6,SK Raina,V Kohli,SR Watson,0,0,null,0,0,null,null
86,14.1,V Kohli,SK Raina,XJ Doherty,1,0,null,1,0,null,null
87,14.2,SK Raina,V Kohli,XJ Doherty,1,0,null,1,0,null,null
88,14.3,V Kohli,SK Raina,XJ Doherty,1,0,null,1,0,null,null
89,14.4,SK Raina,V Kohli,XJ Doherty,1,0,null,1,0,null,null
90,14.5,V Kohli,SK Raina,XJ Doherty,1,0,null,1,0,null,null
91,14.6,SK Raina,V Kohli,XJ Doherty,1,0,null,1,0,null,null
92,15.1,SK Raina,V Kohli,SR Watson,0,0,null,0,0,null,null
93,15.2,SK Raina,V Kohli,SR Watson,1,0,null,1,0,null,null
94,15.3,V Kohli,SK Raina,SR Watson,1,0,null,1,0,null,null
95,15.4,SK Raina,V Kohli,SR Watson,0,0,null,0,0,null,null
96,15.5,SK Raina,V Kohli,SR Watson,0,0,null,0,0,null,null
97,15.6,SK Raina,V Kohli,SR Watson,1,0,null,1,0,null,null
98,16.1,SK Raina,V Kohli,MG Johnson,1,0,null,1,0,null,null
99,16.2,V Kohli,SK Raina,MG Johnson,0,0,null,0,0,null,null
100,16.3,V Kohli,SK Raina,MG Johnson,0,1,legbyes ,1,0,null,null
101,16.4,SK Raina,V Kohli,MG Johnson,0,0,null,0,0,null,null
102,16.5,SK Raina,V Kohli,MG Johnson,1,0,null,1,0,null,null
103,16.6,V Kohli,SK Raina,MG Johnson,0,0,null,0,0,null,null
104,17.1,SK Raina,V Kohli,SR Watson,0,0,null,0,0,null,null
105,17.2,SK Raina,V Kohli,SR Watson,0,0,null,0,0,null,null
106,17.3,SK Raina,V Kohli,SR Watson,1,0,null,1,0,null,null
107,17.4,V Kohli,SK Raina,SR Watson,0,0,null,0,0,null,null
108,17.5,V Kohli,SK Raina,SR Watson,0,0,null,0,0,null,null
109,17.6,V Kohli,SK Raina,SR Watson,0,0,null,0,0,null,null
110,18.1,SK Raina,V Kohli,MG Johnson,0,0,null,0,0,null,null
111,18.2,SK Raina,V Kohli,MG Johnson,4,0,null,4,0,null,null
