,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,RG Sharma,S Dhawan,JF Mooney,0,0,null,0,0,null,null
1,0.2,RG Sharma,S Dhawan,JF Mooney,0,0,null,0,0,null,null
2,0.3,RG Sharma,S Dhawan,JF Mooney,0,0,null,0,0,null,null
3,0.4,RG Sharma,S Dhawan,JF Mooney,0,1,wides ,1,0,null,null
4,0.5,RG Sharma,S Dhawan,JF Mooney,4,0,null,4,0,null,null
5,0.6,RG Sharma,S Dhawan,JF Mooney,0,0,null,0,0,null,null
6,0.7,RG Sharma,S Dhawan,JF Mooney,0,0,null,0,0,null,null
7,1.1,S Dhawan,RG Sharma,AR Cusack,0,0,null,0,0,null,null
8,1.2,S Dhawan,RG Sharma,AR Cusack,1,0,null,1,0,null,null
9,1.3,RG Sharma,S Dhawan,AR Cusack,0,0,null,0,0,null,null
10,1.4,RG Sharma,S Dhawan,AR Cusack,0,0,null,0,0,null,null
11,1.5,RG Sharma,S Dhawan,AR Cusack,2,0,null,2,0,null,null
12,1.6,RG Sharma,S Dhawan,AR Cusack,0,0,null,0,0,null,null
13,2.1,S Dhawan,RG Sharma,JF Mooney,4,0,null,4,0,null,null
14,2.2,S Dhawan,RG Sharma,JF Mooney,0,0,null,0,0,null,null
15,2.3,S Dhawan,RG Sharma,JF Mooney,0,0,null,0,0,null,null
16,2.4,S Dhawan,RG Sharma,JF Mooney,0,0,null,0,0,null,null
17,2.5,S Dhawan,RG Sharma,JF Mooney,0,0,null,0,0,null,null
18,2.6,S Dhawan,RG Sharma,JF Mooney,0,0,null,0,0,null,null
19,3.1,RG Sharma,S Dhawan,AR Cusack,0,0,null,0,0,null,null
20,3.2,RG Sharma,S Dhawan,AR Cusack,0,0,null,0,0,null,null
21,3.3,RG Sharma,S Dhawan,AR Cusack,0,0,null,0,0,null,null
22,3.4,RG Sharma,S Dhawan,AR Cusack,4,0,null,4,0,null,null
23,3.5,RG Sharma,S Dhawan,AR Cusack,0,0,null,0,0,null,null
24,3.6,RG Sharma,S Dhawan,AR Cusack,0,0,null,0,0,null,null
25,4.1,S Dhawan,RG Sharma,JF Mooney,0,0,null,0,0,null,null
26,4.2,S Dhawan,RG Sharma,JF Mooney,1,0,null,1,0,null,null
27,4.3,RG Sharma,S Dhawan,JF Mooney,0,0,null,0,0,null,null
28,4.4,RG Sharma,S Dhawan,JF Mooney,0,0,null,0,0,null,null
29,4.5,RG Sharma,S Dhawan,JF Mooney,1,0,null,1,0,null,null
30,4.6,S Dhawan,RG Sharma,JF Mooney,4,0,null,4,0,null,null
31,5.1,RG Sharma,S Dhawan,AR Cusack,1,0,null,1,0,null,null
32,5.2,S Dhawan,RG Sharma,AR Cusack,0,0,null,0,0,null,null
33,5.3,S Dhawan,RG Sharma,AR Cusack,0,0,null,0,0,null,null
34,5.4,S Dhawan,RG Sharma,AR Cusack,0,0,null,0,0,null,null
35,5.5,S Dhawan,RG Sharma,AR Cusack,0,0,null,0,0,null,null
36,5.6,S Dhawan,RG Sharma,AR Cusack,0,0,null,0,0,null,null
37,6.1,RG Sharma,S Dhawan,JF Mooney,1,0,null,1,0,null,null
38,6.2,S Dhawan,RG Sharma,JF Mooney,0,0,null,0,0,null,null
39,6.3,S Dhawan,RG Sharma,JF Mooney,0,0,null,0,0,null,null
40,6.4,S Dhawan,RG Sharma,JF Mooney,0,1,wides ,1,0,null,null
41,6.5,S Dhawan,RG Sharma,JF Mooney,1,0,null,1,0,null,null
42,6.6,RG Sharma,S Dhawan,JF Mooney,4,0,null,4,0,null,null
43,6.7,RG Sharma,S Dhawan,JF Mooney,6,0,null,6,0,null,null
44,7.1,S Dhawan,RG Sharma,AR Cusack,4,0,null,4,0,null,null
45,7.2,S Dhawan,RG Sharma,AR Cusack,4,0,null,4,0,null,null
46,7.3,S Dhawan,RG Sharma,AR Cusack,0,0,null,0,0,null,null
47,7.4,S Dhawan,RG Sharma,AR Cusack,0,0,null,0,0,null,null
48,7.5,S Dhawan,RG Sharma,AR Cusack,0,0,null,0,0,null,null
49,7.6,S Dhawan,RG Sharma,AR Cusack,0,0,null,0,0,null,null
50,8.1,RG Sharma,S Dhawan,SR Thompson,0,1,wides ,1,0,null,null
51,8.2,RG Sharma,S Dhawan,SR Thompson,1,0,null,1,0,null,null
52,8.3,S Dhawan,RG Sharma,SR Thompson,6,0,null,6,0,null,null
53,8.4,S Dhawan,RG Sharma,SR Thompson,4,0,null,4,0,null,null
54,8.5,S Dhawan,RG Sharma,SR Thompson,0,1,wides ,1,0,null,null
55,8.6,S Dhawan,RG Sharma,SR Thompson,0,0,null,0,0,null,null
56,8.7,S Dhawan,RG Sharma,SR Thompson,0,0,null,0,0,null,null
57,8.8,S Dhawan,RG Sharma,SR Thompson,0,5,wides ,5,0,null,null
58,8.9,S Dhawan,RG Sharma,SR Thompson,0,0,null,0,0,null,null
59,9.1,RG Sharma,S Dhawan,GH Dockrell,2,0,null,2,0,null,null
60,9.2,RG Sharma,S Dhawan,GH Dockrell,6,0,null,6,0,null,null
61,9.3,RG Sharma,S Dhawan,GH Dockrell,1,0,null,1,0,null,null
62,9.4,S Dhawan,RG Sharma,GH Dockrell,1,0,null,1,0,null,null
63,9.5,RG Sharma,S Dhawan,GH Dockrell,0,0,null,0,0,null,null
64,9.6,RG Sharma,S Dhawan,GH Dockrell,1,0,null,1,0,null,null
65,10.1,RG Sharma,S Dhawan,PR Stirling,1,0,null,1,0,null,null
66,10.2,S Dhawan,RG Sharma,PR Stirling,0,0,null,0,0,null,null
67,10.3,S Dhawan,RG Sharma,PR Stirling,0,0,null,0,0,null,null
68,10.4,S Dhawan,RG Sharma,PR Stirling,0,0,null,0,0,null,null
69,10.5,S Dhawan,RG Sharma,PR Stirling,0,0,null,0,0,null,null
70,10.6,S Dhawan,RG Sharma,PR Stirling,0,0,null,0,0,null,null
71,11.1,RG Sharma,S Dhawan,GH Dockrell,2,0,null,2,0,null,null
72,11.2,RG Sharma,S Dhawan,GH Dockrell,0,0,null,0,0,null,null
73,11.3,RG Sharma,S Dhawan,GH Dockrell,0,0,null,0,0,null,null
74,11.4,RG Sharma,S Dhawan,GH Dockrell,0,0,null,0,0,null,null
75,11.5,RG Sharma,S Dhawan,GH Dockrell,1,0,null,1,0,null,null
