,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,BJ Watling,MJ Guptill,P Kumar,1,0,null,1,0,null,null
1,0.2,MJ Guptill,BJ Watling,P Kumar,0,0,null,0,1,MJ Guptill,lbw
2,0.3,LRPL Taylor,BJ Watling,P Kumar,0,1,wides ,1,0,null,null
3,0.4,LRPL Taylor,BJ Watling,P Kumar,0,1,legbyes ,1,0,null,null
4,0.5,BJ Watling,LRPL Taylor,P Kumar,0,0,null,0,0,null,null
5,0.6,BJ Watling,LRPL Taylor,P Kumar,0,1,wides ,1,0,null,null
6,0.7,BJ Watling,LRPL Taylor,P Kumar,0,0,null,0,0,null,null
7,0.8,BJ Watling,LRPL Taylor,P Kumar,0,0,null,0,0,null,null
8,1.1,LRPL Taylor,BJ Watling,A Nehra,0,0,null,0,0,null,null
9,1.2,LRPL Taylor,BJ Watling,A Nehra,0,0,null,0,0,null,null
10,1.3,LRPL Taylor,BJ Watling,A Nehra,0,0,null,0,0,null,null
11,1.4,LRPL Taylor,BJ Watling,A Nehra,0,0,null,0,0,null,null
12,1.5,LRPL Taylor,BJ Watling,A Nehra,0,0,null,0,0,null,null
13,1.6,LRPL Taylor,BJ Watling,A Nehra,0,0,null,0,0,null,null
14,2.1,BJ Watling,LRPL Taylor,P Kumar,0,0,null,0,0,null,null
15,2.2,BJ Watling,LRPL Taylor,P Kumar,0,0,null,0,0,null,null
16,2.3,BJ Watling,LRPL Taylor,P Kumar,1,0,null,1,0,null,null
17,2.4,LRPL Taylor,BJ Watling,P Kumar,0,0,null,0,0,null,null
18,2.5,LRPL Taylor,BJ Watling,P Kumar,0,0,null,0,0,null,null
19,2.6,LRPL Taylor,BJ Watling,P Kumar,0,0,null,0,0,null,null
20,3.1,BJ Watling,LRPL Taylor,A Nehra,0,0,null,0,0,null,null
21,3.2,BJ Watling,LRPL Taylor,A Nehra,0,1,wides ,1,0,null,null
22,3.3,BJ Watling,LRPL Taylor,A Nehra,0,0,null,0,0,null,null
23,3.4,BJ Watling,LRPL Taylor,A Nehra,0,0,null,0,0,null,null
24,3.5,BJ Watling,LRPL Taylor,A Nehra,0,0,null,0,1,BJ Watling,bowled
25,3.6,GD Elliott,LRPL Taylor,A Nehra,0,0,null,0,0,null,null
26,3.7,GD Elliott,LRPL Taylor,A Nehra,0,0,null,0,0,null,null
27,4.1,LRPL Taylor,GD Elliott,P Kumar,0,0,null,0,0,null,null
28,4.2,LRPL Taylor,GD Elliott,P Kumar,4,0,null,4,0,null,null
29,4.3,LRPL Taylor,GD Elliott,P Kumar,4,0,null,4,0,null,null
30,4.4,LRPL Taylor,GD Elliott,P Kumar,0,0,null,0,1,LRPL Taylor,caught
31,4.5,SB Styris,GD Elliott,P Kumar,0,0,null,0,0,null,null
32,4.6,SB Styris,GD Elliott,P Kumar,0,0,null,0,0,null,null
33,5.1,GD Elliott,SB Styris,A Nehra,0,0,null,0,0,null,null
34,5.2,GD Elliott,SB Styris,A Nehra,0,0,null,0,0,null,null
35,5.3,GD Elliott,SB Styris,A Nehra,0,0,null,0,0,null,null
36,5.4,GD Elliott,SB Styris,A Nehra,0,0,null,0,0,null,null
37,5.5,GD Elliott,SB Styris,A Nehra,0,1,wides ,1,0,null,null
38,5.6,GD Elliott,SB Styris,A Nehra,0,0,null,0,0,null,null
39,5.7,GD Elliott,SB Styris,A Nehra,0,1,wides ,1,0,null,null
40,5.8,GD Elliott,SB Styris,A Nehra,0,0,null,0,0,null,null
41,6.1,SB Styris,GD Elliott,P Kumar,0,0,null,0,0,null,null
42,6.2,SB Styris,GD Elliott,P Kumar,0,2,legbyes ,2,0,null,null
43,6.3,SB Styris,GD Elliott,P Kumar,0,0,null,0,0,null,null
44,6.4,SB Styris,GD Elliott,P Kumar,0,0,null,0,0,null,null
45,6.5,SB Styris,GD Elliott,P Kumar,0,0,null,0,0,null,null
46,6.6,SB Styris,GD Elliott,P Kumar,0,0,null,0,0,null,null
47,7.1,GD Elliott,SB Styris,MM Patel,0,1,wides ,1,0,null,null
48,7.2,GD Elliott,SB Styris,MM Patel,0,0,null,0,0,null,null
49,7.3,GD Elliott,SB Styris,MM Patel,0,1,wides ,1,0,null,null
50,7.4,GD Elliott,SB Styris,MM Patel,0,0,null,0,0,null,null
51,7.5,GD Elliott,SB Styris,MM Patel,0,0,null,0,0,null,null
52,7.6,GD Elliott,SB Styris,MM Patel,1,0,null,1,0,null,null
53,7.7,SB Styris,GD Elliott,MM Patel,0,0,null,0,0,null,null
54,7.8,SB Styris,GD Elliott,MM Patel,1,0,null,1,0,null,null
55,8.1,SB Styris,GD Elliott,P Kumar,0,0,null,0,0,null,null
56,8.2,SB Styris,GD Elliott,P Kumar,0,0,null,0,0,null,null
57,8.3,SB Styris,GD Elliott,P Kumar,0,0,null,0,0,null,null
58,8.4,SB Styris,GD Elliott,P Kumar,0,0,null,0,0,null,null
59,8.5,SB Styris,GD Elliott,P Kumar,0,0,null,0,1,SB Styris,bowled
60,8.6,KS Williamson,GD Elliott,P Kumar,0,1,legbyes ,1,0,null,null
61,9.1,KS Williamson,GD Elliott,A Nehra,0,0,null,0,0,null,null
62,9.2,KS Williamson,GD Elliott,A Nehra,1,0,null,1,0,null,null
63,9.3,GD Elliott,KS Williamson,A Nehra,0,0,null,0,0,null,null
64,9.4,GD Elliott,KS Williamson,A Nehra,0,0,null,0,0,null,null
65,9.5,GD Elliott,KS Williamson,A Nehra,0,0,null,0,0,null,null
66,9.6,GD Elliott,KS Williamson,A Nehra,0,0,null,0,0,null,null
67,10.1,KS Williamson,GD Elliott,P Kumar,0,0,null,0,0,null,null
68,10.2,KS Williamson,GD Elliott,P Kumar,0,0,null,0,0,null,null
69,10.3,KS Williamson,GD Elliott,P Kumar,2,0,null,2,0,null,null
70,10.4,KS Williamson,GD Elliott,P Kumar,0,0,null,0,0,null,null
71,10.5,KS Williamson,GD Elliott,P Kumar,1,0,null,1,0,null,null
72,10.6,GD Elliott,KS Williamson,P Kumar,0,0,null,0,0,null,null
73,11.1,KS Williamson,GD Elliott,A Nehra,0,0,null,0,0,null,null
74,11.2,KS Williamson,GD Elliott,A Nehra,0,0,null,0,0,null,null
75,11.3,KS Williamson,GD Elliott,A Nehra,0,1,legbyes ,1,0,null,null
76,11.4,GD Elliott,KS Williamson,A Nehra,0,0,null,0,0,null,null
77,11.5,GD Elliott,KS Williamson,A Nehra,1,0,null,1,0,null,null
78,11.6,KS Williamson,GD Elliott,A Nehra,1,0,null,1,0,null,null
79,12.1,KS Williamson,GD Elliott,MM Patel,0,0,null,0,0,null,null
80,12.2,KS Williamson,GD Elliott,MM Patel,0,0,null,0,0,null,null
81,12.3,KS Williamson,GD Elliott,MM Patel,2,0,null,2,0,null,null
82,12.4,KS Williamson,GD Elliott,MM Patel,4,0,null,4,0,null,null
83,12.5,KS Williamson,GD Elliott,MM Patel,0,0,null,0,0,null,null
84,12.6,KS Williamson,GD Elliott,MM Patel,2,0,null,2,0,null,null
85,13.1,GD Elliott,KS Williamson,I Sharma,0,0,null,0,0,null,null
86,13.2,GD Elliott,KS Williamson,I Sharma,1,0,null,1,0,null,null
87,13.3,KS Williamson,GD Elliott,I Sharma,0,0,null,0,0,null,null
88,13.4,KS Williamson,GD Elliott,I Sharma,0,0,null,0,0,null,null
89,13.5,KS Williamson,GD Elliott,I Sharma,0,0,null,0,0,null,null
90,13.6,KS Williamson,GD Elliott,I Sharma,0,0,null,0,0,null,null
91,14.1,GD Elliott,KS Williamson,MM Patel,0,0,null,0,0,null,null
92,14.2,GD Elliott,KS Williamson,MM Patel,0,0,null,0,0,null,null
93,14.3,GD Elliott,KS Williamson,MM Patel,0,0,null,0,0,null,null
94,14.4,GD Elliott,KS Williamson,MM Patel,1,0,null,1,0,null,null
95,14.5,KS Williamson,GD Elliott,MM Patel,0,0,null,0,0,null,null
96,14.6,KS Williamson,GD Elliott,MM Patel,0,0,null,0,0,null,null
97,15.1,GD Elliott,KS Williamson,I Sharma,0,0,null,0,0,null,null
