,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,G Gambhir,V Sehwag,Umar Gul,4,0,null,4,0,null,null
1,0.2,G Gambhir,V Sehwag,Umar Gul,1,0,null,1,0,null,null
2,0.3,V Sehwag,G Gambhir,Umar Gul,2,0,null,2,0,null,null
3,0.4,V Sehwag,G Gambhir,Umar Gul,0,0,null,0,0,null,null
4,0.5,V Sehwag,G Gambhir,Umar Gul,0,0,null,0,0,null,null
5,0.6,V Sehwag,G Gambhir,Umar Gul,0,0,null,0,0,null,null
6,1.1,G Gambhir,V Sehwag,Sohail Tanvir,0,1,legbyes ,1,0,null,null
7,1.2,V Sehwag,G Gambhir,Sohail Tanvir,0,0,null,0,0,null,null
8,1.3,V Sehwag,G Gambhir,Sohail Tanvir,0,0,null,0,0,null,null
9,1.4,V Sehwag,G Gambhir,Sohail Tanvir,0,0,null,0,0,null,null
10,1.5,V Sehwag,G Gambhir,Sohail Tanvir,0,0,null,0,1,V Sehwag,caught
11,1.6,RG Sharma,G Gambhir,Sohail Tanvir,0,0,null,0,0,null,null
12,2.1,G Gambhir,RG Sharma,Umar Gul,0,0,null,0,0,null,null
13,2.2,G Gambhir,RG Sharma,Umar Gul,0,0,null,0,0,null,null
14,2.3,G Gambhir,RG Sharma,Umar Gul,0,0,null,0,0,null,null
15,2.4,G Gambhir,RG Sharma,Umar Gul,0,0,null,0,0,null,null
16,2.5,G Gambhir,RG Sharma,Umar Gul,4,0,null,4,0,null,null
17,2.6,G Gambhir,RG Sharma,Umar Gul,4,0,null,4,0,null,null
18,3.1,RG Sharma,G Gambhir,Sohail Tanvir,0,0,null,0,0,null,null
19,3.2,RG Sharma,G Gambhir,Sohail Tanvir,1,0,null,1,0,null,null
20,3.3,G Gambhir,RG Sharma,Sohail Tanvir,0,0,null,0,0,null,null
21,3.4,G Gambhir,RG Sharma,Sohail Tanvir,0,0,null,0,0,null,null
22,3.5,G Gambhir,RG Sharma,Sohail Tanvir,0,2,wides ,2,0,null,null
23,3.6,RG Sharma,G Gambhir,Sohail Tanvir,0,0,null,0,0,null,null
24,3.7,RG Sharma,G Gambhir,Sohail Tanvir,0,0,null,0,0,null,null
25,4.1,G Gambhir,RG Sharma,Iftikhar Anjum,4,0,null,4,0,null,null
