,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,V Sehwag,SR Tendulkar,Naved-ul-Hasan,0,0,null,0,0,null,null
1,0.2,V Sehwag,SR Tendulkar,Naved-ul-Hasan,0,0,null,0,0,null,null
2,0.3,V Sehwag,SR Tendulkar,Naved-ul-Hasan,0,0,null,0,0,null,null
3,0.4,V Sehwag,SR Tendulkar,Naved-ul-Hasan,0,1,wides ,1,0,null,null
4,0.5,V Sehwag,SR Tendulkar,Naved-ul-Hasan,4,0,null,4,0,null,null
5,0.6,V Sehwag,SR Tendulkar,Naved-ul-Hasan,0,0,null,0,0,null,null
6,0.7,V Sehwag,SR Tendulkar,Naved-ul-Hasan,0,4,legbyes ,4,0,null,null
7,1.1,SR Tendulkar,V Sehwag,Iftikhar Anjum,0,0,null,0,0,null,null
8,1.2,SR Tendulkar,V Sehwag,Iftikhar Anjum,0,0,null,0,0,null,null
9,1.3,SR Tendulkar,V Sehwag,Iftikhar Anjum,0,0,null,0,0,null,null
10,1.4,SR Tendulkar,V Sehwag,Iftikhar Anjum,0,0,null,0,0,null,null
11,1.5,SR Tendulkar,V Sehwag,Iftikhar Anjum,1,0,null,1,0,null,null
12,1.6,V Sehwag,SR Tendulkar,Iftikhar Anjum,0,0,null,0,0,null,null
13,2.1,SR Tendulkar,V Sehwag,Naved-ul-Hasan,0,0,null,0,0,null,null
14,2.2,SR Tendulkar,V Sehwag,Naved-ul-Hasan,0,0,null,0,0,null,null
15,2.3,SR Tendulkar,V Sehwag,Naved-ul-Hasan,0,0,null,0,0,null,null
16,2.4,SR Tendulkar,V Sehwag,Naved-ul-Hasan,0,0,null,0,0,null,null
17,2.5,SR Tendulkar,V Sehwag,Naved-ul-Hasan,0,0,null,0,1,SR Tendulkar,caught
18,2.6,MS Dhoni,V Sehwag,Naved-ul-Hasan,0,0,null,0,0,null,null
19,3.1,V Sehwag,MS Dhoni,Iftikhar Anjum,0,0,null,0,0,null,null
20,3.2,V Sehwag,MS Dhoni,Iftikhar Anjum,0,0,null,0,0,null,null
21,3.3,V Sehwag,MS Dhoni,Iftikhar Anjum,1,0,null,1,0,null,null
22,3.4,MS Dhoni,V Sehwag,Iftikhar Anjum,0,0,null,0,0,null,null
23,3.5,MS Dhoni,V Sehwag,Iftikhar Anjum,0,0,null,0,0,null,null
24,3.6,MS Dhoni,V Sehwag,Iftikhar Anjum,0,0,null,0,0,null,null
25,4.1,V Sehwag,MS Dhoni,Naved-ul-Hasan,0,0,null,0,0,null,null
26,4.2,V Sehwag,MS Dhoni,Naved-ul-Hasan,0,0,null,0,0,null,null
27,4.3,V Sehwag,MS Dhoni,Naved-ul-Hasan,0,0,null,0,1,V Sehwag,bowled
28,4.4,R Dravid,MS Dhoni,Naved-ul-Hasan,0,0,null,0,0,null,null
29,4.5,R Dravid,MS Dhoni,Naved-ul-Hasan,4,0,null,4,0,null,null
30,4.6,R Dravid,MS Dhoni,Naved-ul-Hasan,0,0,null,0,0,null,null
31,5.1,MS Dhoni,R Dravid,Iftikhar Anjum,0,0,null,0,0,null,null
32,5.2,MS Dhoni,R Dravid,Iftikhar Anjum,2,0,null,2,0,null,null
33,5.3,MS Dhoni,R Dravid,Iftikhar Anjum,0,0,null,0,0,null,null
34,5.4,MS Dhoni,R Dravid,Iftikhar Anjum,4,0,null,4,0,null,null
35,5.5,MS Dhoni,R Dravid,Iftikhar Anjum,0,0,null,0,0,null,null
36,5.6,MS Dhoni,R Dravid,Iftikhar Anjum,3,0,null,3,0,null,null
37,6.1,MS Dhoni,R Dravid,Naved-ul-Hasan,0,0,null,0,0,null,null
38,6.2,MS Dhoni,R Dravid,Naved-ul-Hasan,2,0,null,2,0,null,null
39,6.3,MS Dhoni,R Dravid,Naved-ul-Hasan,0,0,null,0,0,null,null
40,6.4,MS Dhoni,R Dravid,Naved-ul-Hasan,0,0,null,0,0,null,null
41,6.5,MS Dhoni,R Dravid,Naved-ul-Hasan,0,0,null,0,0,null,null
42,6.6,MS Dhoni,R Dravid,Naved-ul-Hasan,0,0,null,0,1,MS Dhoni,caught
43,7.1,R Dravid,Yuvraj Singh,Iftikhar Anjum,0,0,null,0,0,null,null
44,7.2,R Dravid,Yuvraj Singh,Iftikhar Anjum,0,0,null,0,0,null,null
45,7.3,R Dravid,Yuvraj Singh,Iftikhar Anjum,0,0,null,0,0,null,null
46,7.4,R Dravid,Yuvraj Singh,Iftikhar Anjum,4,0,null,4,0,null,null
47,7.5,R Dravid,Yuvraj Singh,Iftikhar Anjum,0,2,legbyes ,2,0,null,null
48,7.6,R Dravid,Yuvraj Singh,Iftikhar Anjum,0,0,null,0,0,null,null
49,8.1,Yuvraj Singh,R Dravid,Naved-ul-Hasan,0,0,null,0,0,null,null
50,8.2,Yuvraj Singh,R Dravid,Naved-ul-Hasan,0,1,legbyes ,1,0,null,null
51,8.3,R Dravid,Yuvraj Singh,Naved-ul-Hasan,0,0,null,0,0,null,null
52,8.4,R Dravid,Yuvraj Singh,Naved-ul-Hasan,0,0,null,0,0,null,null
53,8.5,R Dravid,Yuvraj Singh,Naved-ul-Hasan,0,0,null,0,0,null,null
54,8.6,R Dravid,Yuvraj Singh,Naved-ul-Hasan,0,0,null,0,0,null,null
55,9.1,Yuvraj Singh,R Dravid,Iftikhar Anjum,0,0,null,0,0,null,null
56,9.2,Yuvraj Singh,R Dravid,Iftikhar Anjum,1,0,null,1,0,null,null
57,9.3,R Dravid,Yuvraj Singh,Iftikhar Anjum,4,0,null,4,0,null,null
58,9.4,R Dravid,Yuvraj Singh,Iftikhar Anjum,0,0,null,0,0,null,null
59,9.5,R Dravid,Yuvraj Singh,Iftikhar Anjum,0,0,null,0,0,null,null
60,9.6,R Dravid,Yuvraj Singh,Iftikhar Anjum,0,0,null,0,0,null,null
61,10.1,Yuvraj Singh,R Dravid,Naved-ul-Hasan,0,0,null,0,0,null,null
62,10.2,Yuvraj Singh,R Dravid,Naved-ul-Hasan,0,0,null,0,0,null,null
63,10.3,Yuvraj Singh,R Dravid,Naved-ul-Hasan,0,0,null,0,0,null,null
64,10.4,Yuvraj Singh,R Dravid,Naved-ul-Hasan,0,0,null,0,0,null,null
65,10.5,Yuvraj Singh,R Dravid,Naved-ul-Hasan,0,0,null,0,0,null,null
66,10.6,Yuvraj Singh,R Dravid,Naved-ul-Hasan,1,0,null,1,0,null,null
67,11.1,Yuvraj Singh,R Dravid,Iftikhar Anjum,0,0,null,0,0,null,null
68,11.2,Yuvraj Singh,R Dravid,Iftikhar Anjum,0,0,null,0,0,null,null
69,11.3,Yuvraj Singh,R Dravid,Iftikhar Anjum,4,0,null,4,0,null,null
70,11.4,Yuvraj Singh,R Dravid,Iftikhar Anjum,0,0,null,0,0,null,null
71,11.5,Yuvraj Singh,R Dravid,Iftikhar Anjum,4,0,null,4,0,null,null
72,11.6,Yuvraj Singh,R Dravid,Iftikhar Anjum,0,0,null,0,0,null,null
73,12.1,R Dravid,Yuvraj Singh,Naved-ul-Hasan,1,0,null,1,0,null,null
74,12.2,Yuvraj Singh,R Dravid,Naved-ul-Hasan,0,0,null,0,0,null,null
75,12.3,Yuvraj Singh,R Dravid,Naved-ul-Hasan,0,0,null,0,0,null,null
76,12.4,Yuvraj Singh,R Dravid,Naved-ul-Hasan,4,0,null,4,0,null,null
77,12.5,Yuvraj Singh,R Dravid,Naved-ul-Hasan,0,1,wides ,1,0,null,null
78,12.6,Yuvraj Singh,R Dravid,Naved-ul-Hasan,0,0,null,0,0,null,null
79,12.7,Yuvraj Singh,R Dravid,Naved-ul-Hasan,0,0,null,0,0,null,null
80,13.1,R Dravid,Yuvraj Singh,Iftikhar Anjum,0,0,null,0,0,null,null
81,13.2,R Dravid,Yuvraj Singh,Iftikhar Anjum,0,0,null,0,0,null,null
82,13.3,R Dravid,Yuvraj Singh,Iftikhar Anjum,0,0,null,0,0,null,null
83,13.4,R Dravid,Yuvraj Singh,Iftikhar Anjum,0,0,null,0,0,null,null
84,13.5,R Dravid,Yuvraj Singh,Iftikhar Anjum,0,0,null,0,0,null,null
85,13.6,R Dravid,Yuvraj Singh,Iftikhar Anjum,0,0,null,0,0,null,null
