,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,SR Tendulkar,V Sehwag,DNT Zoysa,0,2,legbyes ,2,0,null,null
1,0.2,SR Tendulkar,V Sehwag,DNT Zoysa,0,0,null,0,0,null,null
2,0.3,SR Tendulkar,V Sehwag,DNT Zoysa,0,0,null,0,0,null,null
3,0.4,SR Tendulkar,V Sehwag,DNT Zoysa,4,0,null,4,0,null,null
4,0.5,SR Tendulkar,V Sehwag,DNT Zoysa,4,0,null,4,0,null,null
5,0.6,SR Tendulkar,V Sehwag,DNT Zoysa,1,0,null,1,0,null,null
6,1.1,SR Tendulkar,V Sehwag,SL Malinga,0,1,wides ,1,0,null,null
7,1.2,SR Tendulkar,V Sehwag,SL Malinga,0,1,wides ,1,0,null,null
8,1.3,SR Tendulkar,V Sehwag,SL Malinga,0,0,null,0,0,null,null
9,1.4,SR Tendulkar,V Sehwag,SL Malinga,0,1,noballs ,1,0,null,null
10,1.5,SR Tendulkar,V Sehwag,SL Malinga,0,0,null,0,0,null,null
11,1.6,SR Tendulkar,V Sehwag,SL Malinga,0,0,null,0,0,null,null
12,1.7,SR Tendulkar,V Sehwag,SL Malinga,0,0,null,0,0,null,null
13,1.8,SR Tendulkar,V Sehwag,SL Malinga,2,0,null,2,0,null,null
14,1.9,SR Tendulkar,V Sehwag,SL Malinga,0,0,null,0,0,null,null
15,2.1,V Sehwag,SR Tendulkar,DNT Zoysa,0,0,null,0,0,null,null
16,2.2,V Sehwag,SR Tendulkar,DNT Zoysa,0,0,null,0,0,null,null
17,2.3,V Sehwag,SR Tendulkar,DNT Zoysa,0,0,null,0,0,null,null
18,2.4,V Sehwag,SR Tendulkar,DNT Zoysa,0,0,null,0,0,null,null
19,2.5,V Sehwag,SR Tendulkar,DNT Zoysa,1,0,null,1,0,null,null
20,2.6,SR Tendulkar,V Sehwag,DNT Zoysa,4,0,null,4,0,null,null
21,3.1,V Sehwag,SR Tendulkar,SL Malinga,0,0,null,0,0,null,null
22,3.2,V Sehwag,SR Tendulkar,SL Malinga,0,0,null,0,0,null,null
23,3.3,V Sehwag,SR Tendulkar,SL Malinga,0,0,null,0,0,null,null
24,3.4,V Sehwag,SR Tendulkar,SL Malinga,1,0,null,1,0,null,null
25,3.5,SR Tendulkar,V Sehwag,SL Malinga,2,0,null,2,0,null,null
26,3.6,SR Tendulkar,V Sehwag,SL Malinga,0,0,null,0,0,null,null
27,4.1,V Sehwag,SR Tendulkar,DNT Zoysa,2,0,null,2,0,null,null
28,4.2,V Sehwag,SR Tendulkar,DNT Zoysa,0,0,null,0,0,null,null
29,4.3,V Sehwag,SR Tendulkar,DNT Zoysa,2,0,null,2,0,null,null
30,4.4,V Sehwag,SR Tendulkar,DNT Zoysa,0,0,null,0,0,null,null
