,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Amjad Ali,AR Berenger,B Kumar,0,2,wides ,2,0,null,null
1,0.2,AR Berenger,Amjad Ali,B Kumar,0,0,null,0,0,null,null
2,0.3,AR Berenger,Amjad Ali,B Kumar,0,0,null,0,0,null,null
3,0.4,AR Berenger,Amjad Ali,B Kumar,0,0,null,0,0,null,null
4,0.5,AR Berenger,Amjad Ali,B Kumar,0,0,null,0,0,null,null
5,0.6,AR Berenger,Amjad Ali,B Kumar,0,0,null,0,0,null,null
6,0.7,AR Berenger,Amjad Ali,B Kumar,4,0,null,4,0,null,null
7,1.1,Amjad Ali,AR Berenger,UT Yadav,1,0,null,1,0,null,null
8,1.2,AR Berenger,Amjad Ali,UT Yadav,0,0,null,0,0,null,null
9,1.3,AR Berenger,Amjad Ali,UT Yadav,0,0,null,0,0,null,null
10,1.4,AR Berenger,Amjad Ali,UT Yadav,0,0,null,0,1,AR Berenger,caught
11,1.5,Krishna Chandran,Amjad Ali,UT Yadav,0,0,null,0,0,null,null
12,1.6,Krishna Chandran,Amjad Ali,UT Yadav,0,0,null,0,0,null,null
13,2.1,Amjad Ali,Krishna Chandran,B Kumar,1,0,null,1,0,null,null
14,2.2,Krishna Chandran,Amjad Ali,B Kumar,0,1,legbyes ,1,0,null,null
15,2.3,Amjad Ali,Krishna Chandran,B Kumar,0,0,null,0,0,null,null
16,2.4,Amjad Ali,Krishna Chandran,B Kumar,1,0,null,1,0,null,null
17,2.5,Krishna Chandran,Amjad Ali,B Kumar,0,1,legbyes ,1,0,null,null
18,2.6,Amjad Ali,Krishna Chandran,B Kumar,1,0,null,1,0,null,null
19,3.1,Amjad Ali,Krishna Chandran,UT Yadav,0,0,null,0,0,null,null
20,3.2,Amjad Ali,Krishna Chandran,UT Yadav,0,0,null,0,0,null,null
21,3.3,Amjad Ali,Krishna Chandran,UT Yadav,0,0,null,0,0,null,null
22,3.4,Amjad Ali,Krishna Chandran,UT Yadav,0,0,null,0,0,null,null
23,3.5,Amjad Ali,Krishna Chandran,UT Yadav,0,0,null,0,0,null,null
24,3.6,Amjad Ali,Krishna Chandran,UT Yadav,0,0,null,0,0,null,null
25,4.1,Krishna Chandran,Amjad Ali,B Kumar,0,0,null,0,0,null,null
