,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,RG Sharma,RR Pant,KAJ Roach,0,0,null,0,0,null,null
1,0.2,RG Sharma,RR Pant,KAJ Roach,0,0,null,0,0,null,null
2,0.3,RG Sharma,RR Pant,KAJ Roach,2,0,null,2,0,null,null
3,0.4,RG Sharma,RR Pant,KAJ Roach,1,0,null,1,0,null,null
4,0.5,RR Pant,RG Sharma,KAJ Roach,1,0,null,1,0,null,null
5,0.6,RG Sharma,RR Pant,KAJ Roach,1,0,null,1,0,null,null
6,1.1,RG Sharma,RR Pant,AS Joseph,1,0,null,1,0,null,null
7,1.2,RR Pant,RG Sharma,AS Joseph,0,0,null,0,0,null,null
8,1.3,RR Pant,RG Sharma,AS Joseph,0,0,null,0,0,null,null
9,1.4,RR Pant,RG Sharma,AS Joseph,0,0,null,0,0,null,null
10,1.5,RR Pant,RG Sharma,AS Joseph,1,0,null,1,0,null,null
11,1.6,RG Sharma,RR Pant,AS Joseph,0,0,null,0,0,null,null
12,2.1,RR Pant,RG Sharma,KAJ Roach,0,0,null,0,0,null,null
13,2.2,RR Pant,RG Sharma,KAJ Roach,0,1,wides ,1,0,null,null
14,2.3,RR Pant,RG Sharma,KAJ Roach,0,0,null,0,0,null,null
15,2.4,RR Pant,RG Sharma,KAJ Roach,0,0,null,0,0,null,null
16,2.5,RR Pant,RG Sharma,KAJ Roach,0,0,null,0,0,null,null
17,2.6,RR Pant,RG Sharma,KAJ Roach,1,0,null,1,0,null,null
18,2.7,RG Sharma,RR Pant,KAJ Roach,0,0,null,0,1,RG Sharma,caught
19,3.1,RR Pant,V Kohli,AS Joseph,0,0,null,0,0,null,null
20,3.2,RR Pant,V Kohli,AS Joseph,1,0,null,1,0,null,null
21,3.3,V Kohli,RR Pant,AS Joseph,0,0,null,0,0,null,null
22,3.4,V Kohli,RR Pant,AS Joseph,0,0,null,0,0,null,null
23,3.5,V Kohli,RR Pant,AS Joseph,0,0,null,0,0,null,null
24,3.6,V Kohli,RR Pant,AS Joseph,1,0,null,1,0,null,null
25,4.1,V Kohli,RR Pant,KAJ Roach,4,0,null,4,0,null,null
26,4.2,V Kohli,RR Pant,KAJ Roach,0,0,null,0,0,null,null
27,4.3,V Kohli,RR Pant,KAJ Roach,0,0,null,0,0,null,null
28,4.4,V Kohli,RR Pant,KAJ Roach,0,0,null,0,0,null,null
29,4.5,V Kohli,RR Pant,KAJ Roach,0,1,byes ,1,0,null,null
30,4.6,RR Pant,V Kohli,KAJ Roach,0,0,null,0,0,null,null
31,5.1,V Kohli,RR Pant,AS Joseph,0,0,null,0,0,null,null
32,5.2,V Kohli,RR Pant,AS Joseph,0,0,null,0,0,null,null
33,5.3,V Kohli,RR Pant,AS Joseph,0,0,null,0,0,null,null
34,5.4,V Kohli,RR Pant,AS Joseph,1,0,null,1,0,null,null
35,5.5,RR Pant,V Kohli,AS Joseph,0,0,null,0,0,null,null
36,5.6,RR Pant,V Kohli,AS Joseph,0,0,null,0,0,null,null
37,6.1,V Kohli,RR Pant,KAJ Roach,4,0,null,4,0,null,null
38,6.2,V Kohli,RR Pant,KAJ Roach,0,0,null,0,0,null,null
39,6.3,V Kohli,RR Pant,KAJ Roach,1,0,null,1,0,null,null
40,6.4,RR Pant,V Kohli,KAJ Roach,0,0,null,0,0,null,null
41,6.5,RR Pant,V Kohli,KAJ Roach,0,0,null,0,0,null,null
42,6.6,RR Pant,V Kohli,KAJ Roach,0,0,null,0,0,null,null
43,7.1,V Kohli,RR Pant,AS Joseph,1,0,null,1,0,null,null
44,7.2,RR Pant,V Kohli,AS Joseph,0,0,null,0,0,null,null
45,7.3,RR Pant,V Kohli,AS Joseph,4,0,null,4,0,null,null
46,7.4,RR Pant,V Kohli,AS Joseph,0,0,null,0,0,null,null
47,7.5,RR Pant,V Kohli,AS Joseph,0,0,null,0,0,null,null
48,7.6,RR Pant,V Kohli,AS Joseph,0,0,null,0,0,null,null
49,8.1,V Kohli,RR Pant,KAJ Roach,0,0,null,0,0,null,null
50,8.2,V Kohli,RR Pant,KAJ Roach,0,0,null,0,0,null,null
51,8.3,V Kohli,RR Pant,KAJ Roach,1,0,null,1,0,null,null
52,8.4,RR Pant,V Kohli,KAJ Roach,4,0,null,4,0,null,null
53,8.5,RR Pant,V Kohli,KAJ Roach,0,0,null,0,0,null,null
54,8.6,RR Pant,V Kohli,KAJ Roach,1,0,null,1,0,null,null
55,9.1,RR Pant,V Kohli,OF Smith,4,0,null,4,0,null,null
56,9.2,RR Pant,V Kohli,OF Smith,0,0,null,0,0,null,null
