,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,SD Hope,BA King,DL Chahar,1,0,null,1,0,null,null
1,0.2,BA King,SD Hope,DL Chahar,0,0,null,0,0,null,null
2,0.3,BA King,SD Hope,DL Chahar,2,0,null,2,0,null,null
3,0.4,BA King,SD Hope,DL Chahar,2,0,null,2,0,null,null
4,0.5,BA King,SD Hope,DL Chahar,0,0,null,0,0,null,null
5,0.6,BA King,SD Hope,DL Chahar,0,0,null,0,0,null,null
6,1.1,SD Hope,BA King,Mohammed Siraj,0,0,null,0,0,null,null
7,1.2,SD Hope,BA King,Mohammed Siraj,0,0,null,0,0,null,null
8,1.3,SD Hope,BA King,Mohammed Siraj,4,0,null,4,0,null,null
9,1.4,SD Hope,BA King,Mohammed Siraj,0,0,null,0,0,null,null
10,1.5,SD Hope,BA King,Mohammed Siraj,0,0,null,0,0,null,null
11,1.6,SD Hope,BA King,Mohammed Siraj,0,0,null,0,0,null,null
12,2.1,BA King,SD Hope,DL Chahar,0,0,null,0,0,null,null
13,2.2,BA King,SD Hope,DL Chahar,0,0,null,0,0,null,null
14,2.3,BA King,SD Hope,DL Chahar,0,0,null,0,0,null,null
15,2.4,BA King,SD Hope,DL Chahar,2,0,null,2,0,null,null
16,2.5,BA King,SD Hope,DL Chahar,4,0,null,4,0,null,null
17,2.6,BA King,SD Hope,DL Chahar,4,0,null,4,0,null,null
18,3.1,SD Hope,BA King,Mohammed Siraj,0,0,null,0,0,null,null
19,3.2,SD Hope,BA King,Mohammed Siraj,0,0,null,0,1,SD Hope,lbw
20,3.3,DM Bravo,BA King,Mohammed Siraj,4,0,null,4,0,null,null
21,3.4,DM Bravo,BA King,Mohammed Siraj,0,0,null,0,0,null,null
22,3.5,DM Bravo,BA King,Mohammed Siraj,1,0,null,1,0,null,null
23,3.6,BA King,DM Bravo,Mohammed Siraj,0,0,null,0,0,null,null
24,4.1,DM Bravo,BA King,DL Chahar,0,0,null,0,0,null,null
25,4.2,DM Bravo,BA King,DL Chahar,1,0,null,1,0,null,null
26,4.3,BA King,DM Bravo,DL Chahar,0,0,null,0,1,BA King,caught
27,4.4,SSJ Brooks,DM Bravo,DL Chahar,0,0,null,0,0,null,null
28,4.5,SSJ Brooks,DM Bravo,DL Chahar,0,0,null,0,0,null,null
29,4.6,SSJ Brooks,DM Bravo,DL Chahar,0,0,null,0,1,SSJ Brooks,caught
30,5.1,DM Bravo,N Pooran,Mohammed Siraj,4,0,null,4,0,null,null
31,5.2,DM Bravo,N Pooran,Mohammed Siraj,0,0,null,0,0,null,null
32,5.3,DM Bravo,N Pooran,Mohammed Siraj,0,0,null,0,0,null,null
33,5.4,DM Bravo,N Pooran,Mohammed Siraj,0,0,null,0,0,null,null
34,5.5,DM Bravo,N Pooran,Mohammed Siraj,1,0,null,1,0,null,null
35,5.6,N Pooran,DM Bravo,Mohammed Siraj,0,0,null,0,0,null,null
36,6.1,DM Bravo,N Pooran,DL Chahar,1,0,null,1,0,null,null
37,6.2,N Pooran,DM Bravo,DL Chahar,0,0,null,0,0,null,null
38,6.3,N Pooran,DM Bravo,DL Chahar,3,0,null,3,0,null,null
39,6.4,DM Bravo,N Pooran,DL Chahar,4,0,null,4,0,null,null
40,6.5,DM Bravo,N Pooran,DL Chahar,0,0,null,0,0,null,null
41,6.6,DM Bravo,N Pooran,DL Chahar,0,0,null,0,0,null,null
42,7.1,N Pooran,DM Bravo,Mohammed Siraj,0,0,null,0,0,null,null
43,7.2,N Pooran,DM Bravo,Mohammed Siraj,0,0,null,0,0,null,null
44,7.3,N Pooran,DM Bravo,Mohammed Siraj,0,0,null,0,0,null,null
