,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,WTS Porterfield,EC Joyce,Dawlat Zadran,4,0,null,4,0,null,null
1,0.2,WTS Porterfield,EC Joyce,Dawlat Zadran,0,0,null,0,0,null,null
2,0.3,WTS Porterfield,EC Joyce,Dawlat Zadran,0,0,null,0,0,null,null
3,0.4,WTS Porterfield,EC Joyce,Dawlat Zadran,0,0,null,0,0,null,null
4,0.5,WTS Porterfield,EC Joyce,Dawlat Zadran,0,0,null,0,0,null,null
5,0.6,WTS Porterfield,EC Joyce,Dawlat Zadran,0,0,null,0,0,null,null
6,1.1,EC Joyce,WTS Porterfield,Yamin Ahmadzai,0,0,null,0,0,null,null
7,1.2,EC Joyce,WTS Porterfield,Yamin Ahmadzai,0,0,null,0,0,null,null
8,1.3,EC Joyce,WTS Porterfield,Yamin Ahmadzai,0,0,null,0,0,null,null
9,1.4,EC Joyce,WTS Porterfield,Yamin Ahmadzai,4,0,null,4,0,null,null
10,1.5,EC Joyce,WTS Porterfield,Yamin Ahmadzai,4,0,null,4,0,null,null
11,1.6,EC Joyce,WTS Porterfield,Yamin Ahmadzai,0,0,null,0,0,null,null
12,2.1,WTS Porterfield,EC Joyce,Dawlat Zadran,1,0,null,1,0,null,null
13,2.2,EC Joyce,WTS Porterfield,Dawlat Zadran,0,0,null,0,0,null,null
14,2.3,EC Joyce,WTS Porterfield,Dawlat Zadran,0,0,null,0,0,null,null
15,2.4,EC Joyce,WTS Porterfield,Dawlat Zadran,0,1,wides ,1,0,null,null
16,2.5,EC Joyce,WTS Porterfield,Dawlat Zadran,0,0,null,0,0,null,null
17,2.6,EC Joyce,WTS Porterfield,Dawlat Zadran,1,0,null,1,0,null,null
18,2.7,WTS Porterfield,EC Joyce,Dawlat Zadran,0,0,null,0,0,null,null
19,3.1,EC Joyce,WTS Porterfield,Yamin Ahmadzai,0,0,null,0,0,null,null
20,3.2,EC Joyce,WTS Porterfield,Yamin Ahmadzai,0,1,wides ,1,0,null,null
21,3.3,EC Joyce,WTS Porterfield,Yamin Ahmadzai,0,0,null,0,0,null,null
22,3.4,EC Joyce,WTS Porterfield,Yamin Ahmadzai,0,0,null,0,0,null,null
23,3.5,EC Joyce,WTS Porterfield,Yamin Ahmadzai,0,0,null,0,0,null,null
24,3.6,EC Joyce,WTS Porterfield,Yamin Ahmadzai,0,0,null,0,0,null,null
25,3.7,EC Joyce,WTS Porterfield,Yamin Ahmadzai,0,0,null,0,0,null,null
26,4.1,WTS Porterfield,EC Joyce,Dawlat Zadran,0,0,null,0,0,null,null
27,4.2,WTS Porterfield,EC Joyce,Dawlat Zadran,4,0,null,4,0,null,null
28,4.3,WTS Porterfield,EC Joyce,Dawlat Zadran,0,0,null,0,0,null,null
29,4.4,WTS Porterfield,EC Joyce,Dawlat Zadran,1,0,null,1,0,null,null
30,4.5,EC Joyce,WTS Porterfield,Dawlat Zadran,0,0,null,0,0,null,null
31,4.6,EC Joyce,WTS Porterfield,Dawlat Zadran,0,1,wides ,1,0,null,null
