,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,WTS Porterfield,NJ O'Brien,RJ Sidebottom,0,0,null,0,0,null,null
1,0.2,WTS Porterfield,NJ O'Brien,RJ Sidebottom,0,0,null,0,0,null,null
2,0.3,WTS Porterfield,NJ O'Brien,RJ Sidebottom,0,0,null,0,0,null,null
3,0.4,WTS Porterfield,NJ O'Brien,RJ Sidebottom,3,0,null,3,0,null,null
4,0.5,NJ O'Brien,WTS Porterfield,RJ Sidebottom,3,0,null,3,0,null,null
5,0.6,WTS Porterfield,NJ O'Brien,RJ Sidebottom,1,0,null,1,0,null,null
6,1.1,WTS Porterfield,NJ O'Brien,TT Bresnan,0,0,null,0,0,null,null
7,1.2,WTS Porterfield,NJ O'Brien,TT Bresnan,0,1,wides ,1,0,null,null
8,1.3,WTS Porterfield,NJ O'Brien,TT Bresnan,0,0,null,0,1,WTS Porterfield,caught
9,1.4,PR Stirling,NJ O'Brien,TT Bresnan,0,0,null,0,0,null,null
10,1.5,PR Stirling,NJ O'Brien,TT Bresnan,0,1,legbyes ,1,0,null,null
11,1.6,NJ O'Brien,PR Stirling,TT Bresnan,4,0,null,4,0,null,null
12,1.7,NJ O'Brien,PR Stirling,TT Bresnan,0,0,null,0,0,null,null
13,2.1,PR Stirling,NJ O'Brien,RJ Sidebottom,2,0,null,2,0,null,null
14,2.2,PR Stirling,NJ O'Brien,RJ Sidebottom,4,0,null,4,0,null,null
15,2.3,PR Stirling,NJ O'Brien,RJ Sidebottom,0,0,null,0,0,null,null
16,2.4,PR Stirling,NJ O'Brien,RJ Sidebottom,1,0,null,1,0,null,null
17,2.5,NJ O'Brien,PR Stirling,RJ Sidebottom,1,0,null,1,0,null,null
18,2.6,PR Stirling,NJ O'Brien,RJ Sidebottom,0,0,null,0,0,null,null
19,3.1,NJ O'Brien,PR Stirling,TT Bresnan,4,0,null,4,0,null,null
20,3.2,NJ O'Brien,PR Stirling,TT Bresnan,0,0,null,0,0,null,null
21,3.3,NJ O'Brien,PR Stirling,TT Bresnan,0,0,null,0,1,NJ O'Brien,caught
22,3.4,AC Botha,PR Stirling,TT Bresnan,1,0,null,1,0,null,null
23,3.5,PR Stirling,AC Botha,TT Bresnan,0,1,legbyes ,1,0,null,null
24,3.6,AC Botha,PR Stirling,TT Bresnan,0,1,legbyes ,1,0,null,null
25,4.1,AC Botha,PR Stirling,GP Swann,0,0,null,0,0,null,null
26,4.2,AC Botha,PR Stirling,GP Swann,1,0,null,1,0,null,null
27,4.3,PR Stirling,AC Botha,GP Swann,0,0,null,0,0,null,null
28,4.4,PR Stirling,AC Botha,GP Swann,0,0,null,0,0,null,null
29,4.5,PR Stirling,AC Botha,GP Swann,4,0,null,4,0,null,null
