,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,WTS Porterfield,PR Stirling,MA Wood,0,1,wides ,1,0,null,null
1,0.2,WTS Porterfield,PR Stirling,MA Wood,0,0,null,0,0,null,null
2,0.3,WTS Porterfield,PR Stirling,MA Wood,1,0,null,1,0,null,null
3,0.4,PR Stirling,WTS Porterfield,MA Wood,0,0,null,0,0,null,null
4,0.5,PR Stirling,WTS Porterfield,MA Wood,0,0,null,0,0,null,null
5,0.6,PR Stirling,WTS Porterfield,MA Wood,2,0,null,2,0,null,null
6,0.7,PR Stirling,WTS Porterfield,MA Wood,0,0,null,0,0,null,null
7,1.1,WTS Porterfield,PR Stirling,TT Bresnan,0,0,null,0,0,null,null
8,1.2,WTS Porterfield,PR Stirling,TT Bresnan,0,0,null,0,0,null,null
9,1.3,WTS Porterfield,PR Stirling,TT Bresnan,0,0,null,0,0,null,null
10,1.4,WTS Porterfield,PR Stirling,TT Bresnan,0,0,null,0,0,null,null
11,1.5,WTS Porterfield,PR Stirling,TT Bresnan,0,0,null,0,0,null,null
12,1.6,WTS Porterfield,PR Stirling,TT Bresnan,1,0,null,1,0,null,null
13,2.1,WTS Porterfield,PR Stirling,MA Wood,0,0,null,0,0,null,null
14,2.2,WTS Porterfield,PR Stirling,MA Wood,0,0,null,0,0,null,null
15,2.3,WTS Porterfield,PR Stirling,MA Wood,0,0,null,0,0,null,null
16,2.4,WTS Porterfield,PR Stirling,MA Wood,0,1,wides ,1,0,null,null
17,2.5,WTS Porterfield,PR Stirling,MA Wood,0,0,null,0,0,null,null
18,2.6,WTS Porterfield,PR Stirling,MA Wood,0,0,null,0,0,null,null
19,2.7,WTS Porterfield,PR Stirling,MA Wood,0,0,null,0,0,null,null
20,3.1,PR Stirling,WTS Porterfield,TT Bresnan,0,0,null,0,1,PR Stirling,run out
21,3.2,WTS Porterfield,EC Joyce,TT Bresnan,0,0,null,0,0,null,null
22,3.3,WTS Porterfield,EC Joyce,TT Bresnan,0,1,legbyes ,1,0,null,null
23,3.4,EC Joyce,WTS Porterfield,TT Bresnan,0,0,null,0,0,null,null
24,3.5,EC Joyce,WTS Porterfield,TT Bresnan,0,0,null,0,0,null,null
25,3.6,EC Joyce,WTS Porterfield,TT Bresnan,0,0,null,0,0,null,null
26,4.1,WTS Porterfield,EC Joyce,MA Wood,0,1,legbyes ,1,0,null,null
27,4.2,EC Joyce,WTS Porterfield,MA Wood,1,1,noballs ,2,0,null,null
28,4.3,WTS Porterfield,EC Joyce,MA Wood,4,0,null,4,0,null,null
29,4.4,WTS Porterfield,EC Joyce,MA Wood,0,1,wides ,1,0,null,null
30,4.5,WTS Porterfield,EC Joyce,MA Wood,1,0,null,1,0,null,null
31,4.6,EC Joyce,WTS Porterfield,MA Wood,0,0,null,0,0,null,null
32,4.7,EC Joyce,WTS Porterfield,MA Wood,1,0,null,1,0,null,null
33,4.8,WTS Porterfield,EC Joyce,MA Wood,0,0,null,0,0,null,null
34,5.1,EC Joyce,WTS Porterfield,TT Bresnan,0,0,null,0,0,null,null
35,5.2,EC Joyce,WTS Porterfield,TT Bresnan,0,0,null,0,0,null,null
36,5.3,EC Joyce,WTS Porterfield,TT Bresnan,4,0,null,4,0,null,null
37,5.4,EC Joyce,WTS Porterfield,TT Bresnan,1,0,null,1,0,null,null
38,5.5,WTS Porterfield,EC Joyce,TT Bresnan,0,0,null,0,0,null,null
39,5.6,WTS Porterfield,EC Joyce,TT Bresnan,0,0,null,0,0,null,null
40,6.1,EC Joyce,WTS Porterfield,MA Wood,1,0,null,1,0,null,null
41,6.2,WTS Porterfield,EC Joyce,MA Wood,0,0,null,0,0,null,null
42,6.3,WTS Porterfield,EC Joyce,MA Wood,0,0,null,0,0,null,null
