,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,JP Bray,WTS Porterfield,Umar Gul,1,0,null,1,0,null,null
1,0.2,WTS Porterfield,JP Bray,Umar Gul,0,0,null,0,0,null,null
2,0.3,WTS Porterfield,JP Bray,Umar Gul,1,0,null,1,0,null,null
3,0.4,JP Bray,WTS Porterfield,Umar Gul,0,0,null,0,0,null,null
4,0.5,JP Bray,WTS Porterfield,Umar Gul,0,0,null,0,0,null,null
5,0.6,JP Bray,WTS Porterfield,Umar Gul,0,0,null,0,0,null,null
6,1.1,WTS Porterfield,JP Bray,Mohammad Sami,0,0,null,0,0,null,null
7,1.2,WTS Porterfield,JP Bray,Mohammad Sami,0,1,legbyes ,1,0,null,null
8,1.3,JP Bray,WTS Porterfield,Mohammad Sami,0,0,null,0,0,null,null
9,1.4,JP Bray,WTS Porterfield,Mohammad Sami,1,0,null,1,0,null,null
10,1.5,WTS Porterfield,JP Bray,Mohammad Sami,1,0,null,1,0,null,null
11,1.6,JP Bray,WTS Porterfield,Mohammad Sami,0,0,null,0,0,null,null
12,2.1,WTS Porterfield,JP Bray,Umar Gul,1,0,null,1,0,null,null
13,2.2,JP Bray,WTS Porterfield,Umar Gul,0,0,null,0,0,null,null
14,2.3,JP Bray,WTS Porterfield,Umar Gul,0,0,null,0,0,null,null
15,2.4,JP Bray,WTS Porterfield,Umar Gul,0,0,null,0,0,null,null
16,2.5,JP Bray,WTS Porterfield,Umar Gul,0,0,null,0,0,null,null
17,2.6,JP Bray,WTS Porterfield,Umar Gul,1,0,null,1,0,null,null
18,3.1,JP Bray,WTS Porterfield,Mohammad Sami,0,0,null,0,1,JP Bray,lbw
19,3.2,EJG Morgan,WTS Porterfield,Mohammad Sami,1,0,null,1,0,null,null
20,3.3,WTS Porterfield,EJG Morgan,Mohammad Sami,2,0,null,2,0,null,null
21,3.4,WTS Porterfield,EJG Morgan,Mohammad Sami,4,0,null,4,0,null,null
22,3.5,WTS Porterfield,EJG Morgan,Mohammad Sami,0,0,null,0,0,null,null
23,3.6,WTS Porterfield,EJG Morgan,Mohammad Sami,0,0,null,0,0,null,null
24,4.1,EJG Morgan,WTS Porterfield,Umar Gul,1,0,null,1,0,null,null
25,4.2,WTS Porterfield,EJG Morgan,Umar Gul,0,0,null,0,0,null,null
26,4.3,WTS Porterfield,EJG Morgan,Umar Gul,0,0,null,0,0,null,null
27,4.4,WTS Porterfield,EJG Morgan,Umar Gul,0,0,null,0,0,null,null
28,4.5,WTS Porterfield,EJG Morgan,Umar Gul,0,0,null,0,0,null,null
29,4.6,WTS Porterfield,EJG Morgan,Umar Gul,0,0,null,0,0,null,null
30,5.1,EJG Morgan,WTS Porterfield,Mohammad Sami,0,0,null,0,0,null,null
31,5.2,EJG Morgan,WTS Porterfield,Mohammad Sami,0,0,null,0,0,null,null
32,5.3,EJG Morgan,WTS Porterfield,Mohammad Sami,0,0,null,0,1,EJG Morgan,lbw
33,5.4,NJ O'Brien,WTS Porterfield,Mohammad Sami,0,0,null,0,0,null,null
34,5.5,NJ O'Brien,WTS Porterfield,Mohammad Sami,1,0,null,1,0,null,null
35,5.6,WTS Porterfield,NJ O'Brien,Mohammad Sami,0,0,null,0,0,null,null
36,6.1,NJ O'Brien,WTS Porterfield,Umar Gul,0,0,null,0,0,null,null
37,6.2,NJ O'Brien,WTS Porterfield,Umar Gul,0,0,null,0,0,null,null
38,6.3,NJ O'Brien,WTS Porterfield,Umar Gul,0,0,null,0,0,null,null
39,6.4,NJ O'Brien,WTS Porterfield,Umar Gul,0,0,null,0,0,null,null
40,6.5,NJ O'Brien,WTS Porterfield,Umar Gul,2,0,null,2,0,null,null
41,6.6,NJ O'Brien,WTS Porterfield,Umar Gul,1,0,null,1,0,null,null
42,7.1,NJ O'Brien,WTS Porterfield,Mohammad Sami,4,0,null,4,0,null,null
43,7.2,NJ O'Brien,WTS Porterfield,Mohammad Sami,0,0,null,0,0,null,null
44,7.3,NJ O'Brien,WTS Porterfield,Mohammad Sami,0,0,null,0,0,null,null
45,7.4,NJ O'Brien,WTS Porterfield,Mohammad Sami,0,0,null,0,0,null,null
46,7.5,NJ O'Brien,WTS Porterfield,Mohammad Sami,0,0,null,0,0,null,null
47,7.6,NJ O'Brien,WTS Porterfield,Mohammad Sami,3,0,null,3,0,null,null
48,8.1,NJ O'Brien,WTS Porterfield,Umar Gul,0,0,null,0,0,null,null
49,8.2,NJ O'Brien,WTS Porterfield,Umar Gul,0,0,null,0,0,null,null
50,8.3,NJ O'Brien,WTS Porterfield,Umar Gul,0,0,null,0,0,null,null
51,8.4,NJ O'Brien,WTS Porterfield,Umar Gul,4,0,null,4,0,null,null
52,8.5,NJ O'Brien,WTS Porterfield,Umar Gul,0,0,null,0,0,null,null
53,8.6,NJ O'Brien,WTS Porterfield,Umar Gul,1,0,null,1,0,null,null
54,9.1,NJ O'Brien,WTS Porterfield,Mohammad Sami,1,0,null,1,0,null,null
55,9.2,WTS Porterfield,NJ O'Brien,Mohammad Sami,0,0,null,0,0,null,null
56,9.3,WTS Porterfield,NJ O'Brien,Mohammad Sami,0,0,null,0,0,null,null
57,9.4,WTS Porterfield,NJ O'Brien,Mohammad Sami,0,0,null,0,0,null,null
58,9.5,WTS Porterfield,NJ O'Brien,Mohammad Sami,0,0,null,0,0,null,null
59,9.6,WTS Porterfield,NJ O'Brien,Mohammad Sami,0,0,null,0,0,null,null
60,10.1,NJ O'Brien,WTS Porterfield,Iftikhar Anjum,0,1,wides ,1,0,null,null
61,10.2,NJ O'Brien,WTS Porterfield,Iftikhar Anjum,0,0,null,0,0,null,null
62,10.3,NJ O'Brien,WTS Porterfield,Iftikhar Anjum,0,0,null,0,0,null,null
63,10.4,NJ O'Brien,WTS Porterfield,Iftikhar Anjum,0,0,null,0,0,null,null
64,10.5,NJ O'Brien,WTS Porterfield,Iftikhar Anjum,0,0,null,0,0,null,null
65,10.6,NJ O'Brien,WTS Porterfield,Iftikhar Anjum,1,0,null,1,0,null,null
66,10.7,WTS Porterfield,NJ O'Brien,Iftikhar Anjum,0,0,null,0,0,null,null
67,11.1,NJ O'Brien,WTS Porterfield,Mohammad Sami,0,0,null,0,0,null,null
68,11.2,NJ O'Brien,WTS Porterfield,Mohammad Sami,0,1,wides ,1,0,null,null
69,11.3,NJ O'Brien,WTS Porterfield,Mohammad Sami,1,0,null,1,0,null,null
70,11.4,WTS Porterfield,NJ O'Brien,Mohammad Sami,0,0,null,0,0,null,null
71,11.5,WTS Porterfield,NJ O'Brien,Mohammad Sami,0,0,null,0,0,null,null
72,11.6,WTS Porterfield,NJ O'Brien,Mohammad Sami,1,0,null,1,0,null,null
73,11.7,NJ O'Brien,WTS Porterfield,Mohammad Sami,1,0,null,1,0,null,null
74,12.1,NJ O'Brien,WTS Porterfield,Iftikhar Anjum,0,0,null,0,0,null,null
75,12.2,NJ O'Brien,WTS Porterfield,Iftikhar Anjum,0,0,null,0,0,null,null
76,12.3,NJ O'Brien,WTS Porterfield,Iftikhar Anjum,1,0,null,1,0,null,null
77,12.4,WTS Porterfield,NJ O'Brien,Iftikhar Anjum,0,1,wides ,1,0,null,null
78,12.5,WTS Porterfield,NJ O'Brien,Iftikhar Anjum,0,0,null,0,0,null,null
79,12.6,WTS Porterfield,NJ O'Brien,Iftikhar Anjum,0,0,null,0,0,null,null
80,12.7,WTS Porterfield,NJ O'Brien,Iftikhar Anjum,0,0,null,0,0,null,null
81,13.1,NJ O'Brien,WTS Porterfield,Azhar Mahmood,1,0,null,1,0,null,null
82,13.2,WTS Porterfield,NJ O'Brien,Azhar Mahmood,0,0,null,0,0,null,null
83,13.3,WTS Porterfield,NJ O'Brien,Azhar Mahmood,0,0,null,0,0,null,null
84,13.4,WTS Porterfield,NJ O'Brien,Azhar Mahmood,0,0,null,0,0,null,null
85,13.5,WTS Porterfield,NJ O'Brien,Azhar Mahmood,0,0,null,0,0,null,null
86,13.6,WTS Porterfield,NJ O'Brien,Azhar Mahmood,0,0,null,0,0,null,null
87,14.1,NJ O'Brien,WTS Porterfield,Iftikhar Anjum,0,0,null,0,0,null,null
88,14.2,NJ O'Brien,WTS Porterfield,Iftikhar Anjum,2,0,null,2,0,null,null
89,14.3,NJ O'Brien,WTS Porterfield,Iftikhar Anjum,1,0,null,1,0,null,null
90,14.4,WTS Porterfield,NJ O'Brien,Iftikhar Anjum,0,0,null,0,0,null,null
91,14.5,WTS Porterfield,NJ O'Brien,Iftikhar Anjum,0,0,null,0,0,null,null
92,14.6,WTS Porterfield,NJ O'Brien,Iftikhar Anjum,0,0,null,0,0,null,null
93,15.1,NJ O'Brien,WTS Porterfield,Azhar Mahmood,0,0,null,0,0,null,null
94,15.2,NJ O'Brien,WTS Porterfield,Azhar Mahmood,0,0,null,0,0,null,null
95,15.3,NJ O'Brien,WTS Porterfield,Azhar Mahmood,0,1,legbyes ,1,0,null,null
96,15.4,WTS Porterfield,NJ O'Brien,Azhar Mahmood,0,0,null,0,0,null,null
97,15.5,WTS Porterfield,NJ O'Brien,Azhar Mahmood,0,0,null,0,0,null,null
98,15.6,WTS Porterfield,NJ O'Brien,Azhar Mahmood,0,0,null,0,0,null,null
99,16.1,NJ O'Brien,WTS Porterfield,Iftikhar Anjum,0,0,null,0,0,null,null
100,16.2,NJ O'Brien,WTS Porterfield,Iftikhar Anjum,1,0,null,1,0,null,null
101,16.3,WTS Porterfield,NJ O'Brien,Iftikhar Anjum,0,0,null,0,0,null,null
102,16.4,WTS Porterfield,NJ O'Brien,Iftikhar Anjum,1,0,null,1,0,null,null
103,16.5,NJ O'Brien,WTS Porterfield,Iftikhar Anjum,0,0,null,0,0,null,null
104,16.6,NJ O'Brien,WTS Porterfield,Iftikhar Anjum,0,0,null,0,0,null,null
105,17.1,WTS Porterfield,NJ O'Brien,Azhar Mahmood,0,0,null,0,0,null,null
106,17.2,WTS Porterfield,NJ O'Brien,Azhar Mahmood,0,0,null,0,0,null,null
107,17.3,WTS Porterfield,NJ O'Brien,Azhar Mahmood,0,0,null,0,0,null,null
108,17.4,WTS Porterfield,NJ O'Brien,Azhar Mahmood,0,0,null,0,0,null,null
109,17.5,WTS Porterfield,NJ O'Brien,Azhar Mahmood,1,0,null,1,0,null,null
110,17.6,NJ O'Brien,WTS Porterfield,Azhar Mahmood,1,0,null,1,0,null,null
111,18.1,NJ O'Brien,WTS Porterfield,Mohammad Hafeez,2,0,null,2,0,null,null
112,18.2,NJ O'Brien,WTS Porterfield,Mohammad Hafeez,0,0,null,0,0,null,null
113,18.3,NJ O'Brien,WTS Porterfield,Mohammad Hafeez,4,0,null,4,0,null,null
114,18.4,NJ O'Brien,WTS Porterfield,Mohammad Hafeez,0,0,null,0,0,null,null
115,18.5,NJ O'Brien,WTS Porterfield,Mohammad Hafeez,0,0,null,0,0,null,null
116,18.6,NJ O'Brien,WTS Porterfield,Mohammad Hafeez,0,0,null,0,0,null,null
117,19.1,WTS Porterfield,NJ O'Brien,Azhar Mahmood,0,0,null,0,0,null,null
118,19.2,WTS Porterfield,NJ O'Brien,Azhar Mahmood,1,0,null,1,0,null,null
119,19.3,NJ O'Brien,WTS Porterfield,Azhar Mahmood,0,0,null,0,0,null,null
120,19.4,NJ O'Brien,WTS Porterfield,Azhar Mahmood,0,0,null,0,0,null,null
121,19.5,NJ O'Brien,WTS Porterfield,Azhar Mahmood,1,0,null,1,0,null,null
122,19.6,WTS Porterfield,NJ O'Brien,Azhar Mahmood,0,0,null,0,0,null,null
123,20.1,NJ O'Brien,WTS Porterfield,Mohammad Hafeez,4,0,null,4,0,null,null
