,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,H Masakadza,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
1,0.2,H Masakadza,SF Mire,TJ Murtagh,4,0,null,4,0,null,null
2,0.3,H Masakadza,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
3,0.4,H Masakadza,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
4,0.5,H Masakadza,SF Mire,TJ Murtagh,0,0,null,0,1,H Masakadza,bowled
5,0.6,CR Ervine,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
6,1.1,SF Mire,CR Ervine,MR Adair,0,0,null,0,0,null,null
7,1.2,SF Mire,CR Ervine,MR Adair,0,0,null,0,0,null,null
8,1.3,SF Mire,CR Ervine,MR Adair,0,0,null,0,0,null,null
9,1.4,SF Mire,CR Ervine,MR Adair,0,0,null,0,0,null,null
10,1.5,SF Mire,CR Ervine,MR Adair,0,0,null,0,0,null,null
11,1.6,SF Mire,CR Ervine,MR Adair,4,0,null,4,0,null,null
12,2.1,CR Ervine,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
13,2.2,CR Ervine,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
14,2.3,CR Ervine,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
15,2.4,CR Ervine,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
16,2.5,CR Ervine,SF Mire,TJ Murtagh,0,0,null,0,0,null,null
17,2.6,CR Ervine,SF Mire,TJ Murtagh,1,0,null,1,0,null,null
18,3.1,CR Ervine,SF Mire,MR Adair,0,0,null,0,0,null,null
19,3.2,CR Ervine,SF Mire,MR Adair,0,1,wides ,1,0,null,null
20,3.3,CR Ervine,SF Mire,MR Adair,0,0,null,0,0,null,null
21,3.4,CR Ervine,SF Mire,MR Adair,0,0,null,0,0,null,null
22,3.5,CR Ervine,SF Mire,MR Adair,4,0,null,4,0,null,null
23,3.6,CR Ervine,SF Mire,MR Adair,0,0,null,0,0,null,null
24,3.7,CR Ervine,SF Mire,MR Adair,0,0,null,0,0,null,null
25,4.1,SF Mire,CR Ervine,TJ Murtagh,0,0,null,0,0,null,null
26,4.2,SF Mire,CR Ervine,TJ Murtagh,0,0,null,0,1,SF Mire,caught
27,4.3,BRM Taylor,CR Ervine,TJ Murtagh,0,0,null,0,1,BRM Taylor,lbw
28,4.4,SC Williams,CR Ervine,TJ Murtagh,0,0,null,0,0,null,null
29,4.5,SC Williams,CR Ervine,TJ Murtagh,0,0,null,0,0,null,null
30,4.6,SC Williams,CR Ervine,TJ Murtagh,0,0,null,0,0,null,null
31,5.1,CR Ervine,SC Williams,MR Adair,0,0,null,0,0,null,null
32,5.2,CR Ervine,SC Williams,MR Adair,0,0,null,0,0,null,null
33,5.3,CR Ervine,SC Williams,MR Adair,1,0,null,1,0,null,null
34,5.4,SC Williams,CR Ervine,MR Adair,4,0,null,4,0,null,null
35,5.5,SC Williams,CR Ervine,MR Adair,0,0,null,0,0,null,null
36,5.6,SC Williams,CR Ervine,MR Adair,0,1,wides ,1,0,null,null
37,5.7,SC Williams,CR Ervine,MR Adair,0,0,null,0,0,null,null
38,6.1,CR Ervine,SC Williams,TJ Murtagh,0,0,null,0,0,null,null
39,6.2,CR Ervine,SC Williams,TJ Murtagh,4,0,null,4,0,null,null
40,6.3,CR Ervine,SC Williams,TJ Murtagh,0,0,null,0,0,null,null
41,6.4,CR Ervine,SC Williams,TJ Murtagh,0,0,null,0,0,null,null
42,6.5,CR Ervine,SC Williams,TJ Murtagh,1,0,null,1,0,null,null
