,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,WTS Porterfield,PR Stirling,T Panyangara,0,0,null,0,0,null,null
1,0.2,WTS Porterfield,PR Stirling,T Panyangara,1,0,null,1,0,null,null
2,0.3,PR Stirling,WTS Porterfield,T Panyangara,0,0,null,0,0,null,null
3,0.4,PR Stirling,WTS Porterfield,T Panyangara,4,0,null,4,0,null,null
4,0.5,PR Stirling,WTS Porterfield,T Panyangara,0,0,null,0,0,null,null
5,0.6,PR Stirling,WTS Porterfield,T Panyangara,4,0,null,4,0,null,null
6,1.1,WTS Porterfield,PR Stirling,TL Chatara,0,0,null,0,0,null,null
7,1.2,WTS Porterfield,PR Stirling,TL Chatara,0,0,null,0,0,null,null
8,1.3,WTS Porterfield,PR Stirling,TL Chatara,0,1,wides ,1,0,null,null
9,1.4,WTS Porterfield,PR Stirling,TL Chatara,1,0,null,1,0,null,null
10,1.5,PR Stirling,WTS Porterfield,TL Chatara,0,0,null,0,0,null,null
11,1.6,PR Stirling,WTS Porterfield,TL Chatara,0,0,null,0,0,null,null
12,1.7,PR Stirling,WTS Porterfield,TL Chatara,0,0,null,0,0,null,null
13,2.1,WTS Porterfield,PR Stirling,T Panyangara,0,0,null,0,0,null,null
14,2.2,WTS Porterfield,PR Stirling,T Panyangara,3,0,null,3,0,null,null
15,2.3,PR Stirling,WTS Porterfield,T Panyangara,2,0,null,2,0,null,null
16,2.4,PR Stirling,WTS Porterfield,T Panyangara,0,0,null,0,0,null,null
17,2.5,PR Stirling,WTS Porterfield,T Panyangara,0,0,null,0,0,null,null
18,2.6,PR Stirling,WTS Porterfield,T Panyangara,0,0,null,0,1,PR Stirling,caught
19,3.1,WTS Porterfield,EC Joyce,TL Chatara,0,0,null,0,0,null,null
20,3.2,WTS Porterfield,EC Joyce,TL Chatara,2,0,null,2,0,null,null
21,3.3,WTS Porterfield,EC Joyce,TL Chatara,0,0,null,0,0,null,null
22,3.4,WTS Porterfield,EC Joyce,TL Chatara,0,0,null,0,0,null,null
23,3.5,WTS Porterfield,EC Joyce,TL Chatara,0,0,null,0,0,null,null
24,3.6,WTS Porterfield,EC Joyce,TL Chatara,0,0,null,0,0,null,null
25,4.1,EC Joyce,WTS Porterfield,T Panyangara,0,0,null,0,0,null,null
26,4.2,EC Joyce,WTS Porterfield,T Panyangara,1,0,null,1,0,null,null
27,4.3,WTS Porterfield,EC Joyce,T Panyangara,0,0,null,0,0,null,null
28,4.4,WTS Porterfield,EC Joyce,T Panyangara,0,0,null,0,0,null,null
29,4.5,WTS Porterfield,EC Joyce,T Panyangara,1,0,null,1,0,null,null
