,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,MA Ouma,DO Obuya,MJ Mason,0,0,null,0,0,null,null
1,0.2,MA Ouma,DO Obuya,MJ Mason,0,0,null,0,0,null,null
2,0.3,MA Ouma,DO Obuya,MJ Mason,0,0,null,0,0,null,null
3,0.4,MA Ouma,DO Obuya,MJ Mason,0,0,null,0,0,null,null
4,0.5,MA Ouma,DO Obuya,MJ Mason,0,0,null,0,0,null,null
5,0.6,MA Ouma,DO Obuya,MJ Mason,2,0,null,2,0,null,null
6,1.1,DO Obuya,MA Ouma,SE Bond,0,0,null,0,0,null,null
7,1.2,DO Obuya,MA Ouma,SE Bond,0,1,wides ,1,0,null,null
8,1.3,DO Obuya,MA Ouma,SE Bond,1,0,null,1,0,null,null
9,1.4,MA Ouma,DO Obuya,SE Bond,0,0,null,0,0,null,null
10,1.5,MA Ouma,DO Obuya,SE Bond,0,0,null,0,0,null,null
11,1.6,MA Ouma,DO Obuya,SE Bond,0,0,null,0,0,null,null
12,1.7,MA Ouma,DO Obuya,SE Bond,0,0,null,0,0,null,null
13,2.1,DO Obuya,MA Ouma,MJ Mason,0,0,null,0,0,null,null
14,2.2,DO Obuya,MA Ouma,MJ Mason,0,0,null,0,0,null,null
15,2.3,DO Obuya,MA Ouma,MJ Mason,0,0,null,0,1,DO Obuya,lbw
16,2.4,RD Shah,MA Ouma,MJ Mason,1,0,null,1,0,null,null
17,2.5,MA Ouma,RD Shah,MJ Mason,0,0,null,0,0,null,null
18,2.6,MA Ouma,RD Shah,MJ Mason,0,0,null,0,0,null,null
19,3.1,RD Shah,MA Ouma,SE Bond,0,0,null,0,0,null,null
20,3.2,RD Shah,MA Ouma,SE Bond,0,0,null,0,0,null,null
21,3.3,RD Shah,MA Ouma,SE Bond,1,0,null,1,0,null,null
22,3.4,MA Ouma,RD Shah,SE Bond,0,0,null,0,0,null,null
23,3.5,MA Ouma,RD Shah,SE Bond,1,0,null,1,0,null,null
24,3.6,RD Shah,MA Ouma,SE Bond,0,0,null,0,0,null,null
25,4.1,MA Ouma,RD Shah,MJ Mason,0,0,null,0,0,null,null
26,4.2,MA Ouma,RD Shah,MJ Mason,0,0,null,0,0,null,null
27,4.3,MA Ouma,RD Shah,MJ Mason,0,0,null,0,0,null,null
28,4.4,MA Ouma,RD Shah,MJ Mason,0,0,null,0,0,null,null
29,4.5,MA Ouma,RD Shah,MJ Mason,1,0,null,1,0,null,null
30,4.6,RD Shah,MA Ouma,MJ Mason,0,0,null,0,0,null,null
31,5.1,MA Ouma,RD Shah,SE Bond,0,0,null,0,0,null,null
32,5.2,MA Ouma,RD Shah,SE Bond,0,0,null,0,1,MA Ouma,run out
33,5.3,RD Shah,SO Tikolo,SE Bond,0,0,null,0,0,null,null
34,5.4,RD Shah,SO Tikolo,SE Bond,0,0,null,0,0,null,null
35,5.5,RD Shah,SO Tikolo,SE Bond,0,0,null,0,0,null,null
36,5.6,RD Shah,SO Tikolo,SE Bond,0,0,null,0,0,null,null
37,6.1,SO Tikolo,RD Shah,MJ Mason,0,0,null,0,0,null,null
38,6.2,SO Tikolo,RD Shah,MJ Mason,0,0,null,0,0,null,null
39,6.3,SO Tikolo,RD Shah,MJ Mason,1,0,null,1,0,null,null
40,6.4,RD Shah,SO Tikolo,MJ Mason,0,0,null,0,0,null,null
41,6.5,RD Shah,SO Tikolo,MJ Mason,0,0,null,0,0,null,null
42,6.6,RD Shah,SO Tikolo,MJ Mason,0,0,null,0,0,null,null
43,7.1,SO Tikolo,RD Shah,SE Bond,0,0,null,0,0,null,null
44,7.2,SO Tikolo,RD Shah,SE Bond,0,0,null,0,0,null,null
45,7.3,SO Tikolo,RD Shah,SE Bond,0,0,null,0,0,null,null
46,7.4,SO Tikolo,RD Shah,SE Bond,0,0,null,0,0,null,null
47,7.5,SO Tikolo,RD Shah,SE Bond,4,0,null,4,0,null,null
48,7.6,SO Tikolo,RD Shah,SE Bond,0,0,null,0,0,null,null
49,8.1,RD Shah,SO Tikolo,MJ Mason,4,0,null,4,0,null,null
50,8.2,RD Shah,SO Tikolo,MJ Mason,0,0,null,0,0,null,null
51,8.3,RD Shah,SO Tikolo,MJ Mason,0,1,wides ,1,0,null,null
52,8.4,RD Shah,SO Tikolo,MJ Mason,0,3,noballs ,3,0,null,null
53,8.5,RD Shah,SO Tikolo,MJ Mason,0,0,null,0,0,null,null
54,8.6,RD Shah,SO Tikolo,MJ Mason,0,0,null,0,0,null,null
55,8.7,RD Shah,SO Tikolo,MJ Mason,0,0,null,0,0,null,null
56,8.8,RD Shah,SO Tikolo,MJ Mason,0,0,null,0,0,null,null
57,9.1,SO Tikolo,RD Shah,JEC Franklin,0,0,null,0,0,null,null
58,9.2,SO Tikolo,RD Shah,JEC Franklin,0,0,null,0,0,null,null
59,9.3,SO Tikolo,RD Shah,JEC Franklin,1,0,null,1,0,null,null
60,9.4,RD Shah,SO Tikolo,JEC Franklin,0,0,null,0,0,null,null
61,9.5,RD Shah,SO Tikolo,JEC Franklin,0,0,null,0,0,null,null
62,9.6,RD Shah,SO Tikolo,JEC Franklin,2,0,null,2,0,null,null
63,10.1,SO Tikolo,RD Shah,MJ Mason,0,0,null,0,0,null,null
64,10.2,SO Tikolo,RD Shah,MJ Mason,0,0,null,0,0,null,null
65,10.3,SO Tikolo,RD Shah,MJ Mason,1,0,null,1,0,null,null
66,10.4,RD Shah,SO Tikolo,MJ Mason,1,0,null,1,0,null,null
67,10.5,SO Tikolo,RD Shah,MJ Mason,0,0,null,0,1,SO Tikolo,caught
68,10.6,T Mishra,RD Shah,MJ Mason,0,0,null,0,0,null,null
69,11.1,RD Shah,T Mishra,JEC Franklin,1,0,null,1,0,null,null
70,11.2,T Mishra,RD Shah,JEC Franklin,0,0,null,0,0,null,null
71,11.3,T Mishra,RD Shah,JEC Franklin,2,0,null,2,0,null,null
72,11.4,T Mishra,RD Shah,JEC Franklin,0,0,null,0,1,T Mishra,caught
73,11.5,CO Obuya,RD Shah,JEC Franklin,0,0,null,0,0,null,null
74,11.6,CO Obuya,RD Shah,JEC Franklin,0,0,null,0,0,null,null
75,12.1,RD Shah,CO Obuya,CD McMillan,0,0,null,0,0,null,null
76,12.2,RD Shah,CO Obuya,CD McMillan,0,0,null,0,0,null,null
77,12.3,RD Shah,CO Obuya,CD McMillan,2,0,null,2,0,null,null
78,12.4,RD Shah,CO Obuya,CD McMillan,1,0,null,1,0,null,null
79,12.5,CO Obuya,RD Shah,CD McMillan,2,0,null,2,0,null,null
80,12.6,CO Obuya,RD Shah,CD McMillan,2,0,null,2,0,null,null
81,13.1,RD Shah,CO Obuya,DL Vettori,1,0,null,1,0,null,null
82,13.2,CO Obuya,RD Shah,DL Vettori,0,0,null,0,0,null,null
83,13.3,CO Obuya,RD Shah,DL Vettori,0,0,null,0,0,null,null
84,13.4,CO Obuya,RD Shah,DL Vettori,2,0,null,2,0,null,null
85,13.5,CO Obuya,RD Shah,DL Vettori,0,0,null,0,0,null,null
86,13.6,CO Obuya,RD Shah,DL Vettori,1,0,null,1,0,null,null
87,14.1,CO Obuya,RD Shah,CD McMillan,0,0,null,0,0,null,null
88,14.2,CO Obuya,RD Shah,CD McMillan,1,0,null,1,0,null,null
89,14.3,RD Shah,CO Obuya,CD McMillan,0,0,null,0,0,null,null
90,14.4,RD Shah,CO Obuya,CD McMillan,0,0,null,0,0,null,null
91,14.5,RD Shah,CO Obuya,CD McMillan,6,0,null,6,0,null,null
92,14.6,RD Shah,CO Obuya,CD McMillan,0,0,null,0,0,null,null
93,15.1,CO Obuya,RD Shah,DL Vettori,0,0,null,0,0,null,null
94,15.2,CO Obuya,RD Shah,DL Vettori,1,0,null,1,0,null,null
95,15.3,RD Shah,CO Obuya,DL Vettori,1,0,null,1,0,null,null
96,15.4,CO Obuya,RD Shah,DL Vettori,0,0,null,0,0,null,null
97,15.5,CO Obuya,RD Shah,DL Vettori,0,0,null,0,0,null,null
98,15.6,CO Obuya,RD Shah,DL Vettori,2,1,noballs ,3,0,null,null
99,15.7,CO Obuya,RD Shah,DL Vettori,1,0,null,1,0,null,null
100,16.1,CO Obuya,RD Shah,CD McMillan,1,0,null,1,0,null,null
101,16.2,RD Shah,CO Obuya,CD McMillan,4,0,null,4,0,null,null
102,16.3,RD Shah,CO Obuya,CD McMillan,0,0,null,0,0,null,null
103,16.4,RD Shah,CO Obuya,CD McMillan,1,0,null,1,0,null,null
104,16.5,CO Obuya,RD Shah,CD McMillan,0,0,null,0,0,null,null
105,16.6,CO Obuya,RD Shah,CD McMillan,1,0,null,1,0,null,null
106,17.1,CO Obuya,RD Shah,DL Vettori,0,0,null,0,0,null,null
107,17.2,CO Obuya,RD Shah,DL Vettori,0,0,null,0,0,null,null
108,17.3,CO Obuya,RD Shah,DL Vettori,1,0,null,1,0,null,null
109,17.4,RD Shah,CO Obuya,DL Vettori,0,0,null,0,0,null,null
110,17.5,RD Shah,CO Obuya,DL Vettori,0,0,null,0,0,null,null
111,17.6,RD Shah,CO Obuya,DL Vettori,0,0,null,0,0,null,null
112,18.1,CO Obuya,RD Shah,CD McMillan,0,0,null,0,0,null,null
113,18.2,CO Obuya,RD Shah,CD McMillan,0,0,null,0,0,null,null
114,18.3,CO Obuya,RD Shah,CD McMillan,1,0,null,1,0,null,null
115,18.4,RD Shah,CO Obuya,CD McMillan,0,0,null,0,0,null,null
116,18.5,RD Shah,CO Obuya,CD McMillan,4,0,null,4,0,null,null
117,18.6,RD Shah,CO Obuya,CD McMillan,0,0,null,0,0,null,null
118,19.1,CO Obuya,RD Shah,DL Vettori,1,0,null,1,0,null,null
119,19.2,RD Shah,CO Obuya,DL Vettori,0,0,null,0,0,null,null
120,19.3,RD Shah,CO Obuya,DL Vettori,0,0,null,0,0,null,null
121,19.4,RD Shah,CO Obuya,DL Vettori,1,0,null,1,0,null,null
122,19.5,CO Obuya,RD Shah,DL Vettori,1,1,noballs ,2,0,null,null
123,19.6,RD Shah,CO Obuya,DL Vettori,1,0,null,1,0,null,null
124,19.7,CO Obuya,RD Shah,DL Vettori,1,1,noballs ,2,0,null,null
125,19.8,RD Shah,CO Obuya,DL Vettori,0,0,null,0,0,null,null
126,20.1,CO Obuya,RD Shah,JDP Oram,1,0,null,1,0,null,null
127,20.2,RD Shah,CO Obuya,JDP Oram,1,0,null,1,0,null,null
128,20.3,CO Obuya,RD Shah,JDP Oram,1,0,null,1,1,CO Obuya,run out
129,20.4,RD Shah,TM Odoyo,JDP Oram,4,0,null,4,0,null,null
