,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,K Bhurtel,Aasif Sheikh,Ali Khan,0,2,wides ,2,0,null,null
1,0.2,Aasif Sheikh,K Bhurtel,Ali Khan,0,0,null,0,0,null,null
2,0.3,Aasif Sheikh,K Bhurtel,Ali Khan,1,0,null,1,0,null,null
3,0.4,K Bhurtel,Aasif Sheikh,Ali Khan,1,0,null,1,0,null,null
4,0.5,Aasif Sheikh,K Bhurtel,Ali Khan,0,0,null,0,0,null,null
5,0.6,Aasif Sheikh,K Bhurtel,Ali Khan,2,0,null,2,0,null,null
6,0.7,Aasif Sheikh,K Bhurtel,Ali Khan,0,0,null,0,0,null,null
7,1.1,K Bhurtel,Aasif Sheikh,SN Netravalkar,0,0,null,0,0,null,null
8,1.2,K Bhurtel,Aasif Sheikh,SN Netravalkar,0,0,null,0,0,null,null
9,1.3,K Bhurtel,Aasif Sheikh,SN Netravalkar,0,0,null,0,0,null,null
10,1.4,K Bhurtel,Aasif Sheikh,SN Netravalkar,0,0,null,0,0,null,null
11,1.5,K Bhurtel,Aasif Sheikh,SN Netravalkar,2,0,null,2,0,null,null
12,1.6,K Bhurtel,Aasif Sheikh,SN Netravalkar,0,0,null,0,0,null,null
13,2.1,Aasif Sheikh,K Bhurtel,Ali Khan,0,0,null,0,0,null,null
14,2.2,Aasif Sheikh,K Bhurtel,Ali Khan,0,0,null,0,0,null,null
15,2.3,Aasif Sheikh,K Bhurtel,Ali Khan,0,1,wides ,1,0,null,null
16,2.4,Aasif Sheikh,K Bhurtel,Ali Khan,4,0,null,4,0,null,null
17,2.5,Aasif Sheikh,K Bhurtel,Ali Khan,0,0,null,0,0,null,null
18,2.6,Aasif Sheikh,K Bhurtel,Ali Khan,0,0,null,0,0,null,null
19,2.7,Aasif Sheikh,K Bhurtel,Ali Khan,4,0,null,4,0,null,null
20,3.1,K Bhurtel,Aasif Sheikh,SN Netravalkar,1,0,null,1,0,null,null
21,3.2,Aasif Sheikh,K Bhurtel,SN Netravalkar,0,0,null,0,0,null,null
22,3.3,Aasif Sheikh,K Bhurtel,SN Netravalkar,0,0,null,0,0,null,null
23,3.4,Aasif Sheikh,K Bhurtel,SN Netravalkar,0,0,null,0,0,null,null
24,3.5,Aasif Sheikh,K Bhurtel,SN Netravalkar,0,0,null,0,0,null,null
25,3.6,Aasif Sheikh,K Bhurtel,SN Netravalkar,4,0,null,4,0,null,null
26,4.1,K Bhurtel,Aasif Sheikh,Ali Khan,0,1,noballs ,1,0,null,null
27,4.2,K Bhurtel,Aasif Sheikh,Ali Khan,0,1,wides ,1,0,null,null
28,4.3,K Bhurtel,Aasif Sheikh,Ali Khan,2,0,null,2,0,null,null
29,4.4,K Bhurtel,Aasif Sheikh,Ali Khan,0,0,null,0,0,null,null
30,4.5,K Bhurtel,Aasif Sheikh,Ali Khan,1,0,null,1,0,null,null
31,4.6,Aasif Sheikh,K Bhurtel,Ali Khan,0,0,null,0,0,null,null
32,4.7,Aasif Sheikh,K Bhurtel,Ali Khan,1,0,null,1,0,null,null
33,4.8,K Bhurtel,Aasif Sheikh,Ali Khan,0,0,null,0,0,null,null
34,5.1,Aasif Sheikh,K Bhurtel,SN Netravalkar,0,0,null,0,0,null,null
35,5.2,Aasif Sheikh,K Bhurtel,SN Netravalkar,4,0,null,4,0,null,null
36,5.3,Aasif Sheikh,K Bhurtel,SN Netravalkar,0,0,null,0,0,null,null
37,5.4,Aasif Sheikh,K Bhurtel,SN Netravalkar,0,0,null,0,0,null,null
38,5.5,Aasif Sheikh,K Bhurtel,SN Netravalkar,0,0,null,0,0,null,null
39,5.6,Aasif Sheikh,K Bhurtel,SN Netravalkar,0,0,null,0,0,null,null
40,6.1,K Bhurtel,Aasif Sheikh,J Theron,1,0,null,1,0,null,null
41,6.2,Aasif Sheikh,K Bhurtel,J Theron,0,0,null,0,0,null,null
42,6.3,Aasif Sheikh,K Bhurtel,J Theron,1,0,null,1,0,null,null
43,6.4,K Bhurtel,Aasif Sheikh,J Theron,0,0,null,0,0,null,null
44,6.5,K Bhurtel,Aasif Sheikh,J Theron,0,0,null,0,0,null,null
45,6.6,K Bhurtel,Aasif Sheikh,J Theron,1,0,null,1,0,null,null
46,7.1,K Bhurtel,Aasif Sheikh,SN Netravalkar,0,0,null,0,0,null,null
