,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,IA Karim,AA Obanda,Mudassar Bukhari,4,0,null,4,0,null,null
1,0.2,IA Karim,AA Obanda,Mudassar Bukhari,0,0,null,0,0,null,null
2,0.3,IA Karim,AA Obanda,Mudassar Bukhari,0,0,null,0,0,null,null
3,0.4,IA Karim,AA Obanda,Mudassar Bukhari,0,0,null,0,0,null,null
4,0.5,IA Karim,AA Obanda,Mudassar Bukhari,0,0,null,0,0,null,null
5,0.6,IA Karim,AA Obanda,Mudassar Bukhari,0,0,null,0,0,null,null
6,1.1,AA Obanda,IA Karim,PA van Meekeren,0,0,null,0,0,null,null
7,1.2,AA Obanda,IA Karim,PA van Meekeren,0,0,null,0,0,null,null
8,1.3,AA Obanda,IA Karim,PA van Meekeren,0,0,null,0,0,null,null
9,1.4,AA Obanda,IA Karim,PA van Meekeren,0,0,null,0,0,null,null
10,1.5,AA Obanda,IA Karim,PA van Meekeren,1,0,null,1,0,null,null
11,1.6,IA Karim,AA Obanda,PA van Meekeren,0,0,null,0,0,null,null
12,2.1,AA Obanda,IA Karim,Mudassar Bukhari,0,4,legbyes ,4,0,null,null
13,2.2,AA Obanda,IA Karim,Mudassar Bukhari,0,0,null,0,0,null,null
14,2.3,AA Obanda,IA Karim,Mudassar Bukhari,0,0,null,0,0,null,null
15,2.4,AA Obanda,IA Karim,Mudassar Bukhari,1,0,null,1,0,null,null
16,2.5,IA Karim,AA Obanda,Mudassar Bukhari,2,0,null,2,0,null,null
17,2.6,IA Karim,AA Obanda,Mudassar Bukhari,4,0,null,4,0,null,null
18,3.1,AA Obanda,IA Karim,PA van Meekeren,0,0,null,0,0,null,null
19,3.2,AA Obanda,IA Karim,PA van Meekeren,2,0,null,2,0,null,null
20,3.3,AA Obanda,IA Karim,PA van Meekeren,1,0,null,1,0,null,null
21,3.4,IA Karim,AA Obanda,PA van Meekeren,0,0,null,0,0,null,null
22,3.5,IA Karim,AA Obanda,PA van Meekeren,4,0,null,4,0,null,null
23,3.6,IA Karim,AA Obanda,PA van Meekeren,4,0,null,4,0,null,null
24,4.1,AA Obanda,IA Karim,Mudassar Bukhari,0,0,null,0,1,AA Obanda,bowled
25,4.2,RG Aga,IA Karim,Mudassar Bukhari,0,0,null,0,0,null,null
26,4.3,RG Aga,IA Karim,Mudassar Bukhari,4,0,null,4,0,null,null
27,4.4,RG Aga,IA Karim,Mudassar Bukhari,1,0,null,1,0,null,null
28,4.5,IA Karim,RG Aga,Mudassar Bukhari,0,0,null,0,0,null,null
29,4.6,IA Karim,RG Aga,Mudassar Bukhari,4,0,null,4,0,null,null
30,5.1,RG Aga,IA Karim,PA van Meekeren,0,0,null,0,0,null,null
31,5.2,RG Aga,IA Karim,PA van Meekeren,0,0,null,0,0,null,null
32,5.3,RG Aga,IA Karim,PA van Meekeren,0,0,null,0,0,null,null
33,5.4,RG Aga,IA Karim,PA van Meekeren,0,0,null,0,0,null,null
34,5.5,RG Aga,IA Karim,PA van Meekeren,0,0,null,0,0,null,null
35,5.6,RG Aga,IA Karim,PA van Meekeren,4,0,null,4,0,null,null
36,6.1,IA Karim,RG Aga,Mudassar Bukhari,1,0,null,1,0,null,null
37,6.2,RG Aga,IA Karim,Mudassar Bukhari,1,0,null,1,0,null,null
38,6.3,IA Karim,RG Aga,Mudassar Bukhari,1,0,null,1,0,null,null
39,6.4,RG Aga,IA Karim,Mudassar Bukhari,2,0,null,2,0,null,null
40,6.5,RG Aga,IA Karim,Mudassar Bukhari,1,0,null,1,0,null,null
41,6.6,IA Karim,RG Aga,Mudassar Bukhari,4,0,null,4,0,null,null
42,7.1,RG Aga,IA Karim,PA van Meekeren,0,0,null,0,0,null,null
43,7.2,RG Aga,IA Karim,PA van Meekeren,0,0,null,0,0,null,null
44,7.3,RG Aga,IA Karim,PA van Meekeren,4,0,null,4,0,null,null
45,7.4,RG Aga,IA Karim,PA van Meekeren,4,0,null,4,0,null,null
46,7.5,RG Aga,IA Karim,PA van Meekeren,0,0,null,0,0,null,null
47,7.6,RG Aga,IA Karim,PA van Meekeren,1,0,null,1,0,null,null
48,8.1,RG Aga,IA Karim,MR Swart,1,0,null,1,0,null,null
49,8.2,IA Karim,RG Aga,MR Swart,4,0,null,4,0,null,null
50,8.3,IA Karim,RG Aga,MR Swart,1,0,null,1,0,null,null
51,8.4,RG Aga,IA Karim,MR Swart,1,0,null,1,0,null,null
52,8.5,IA Karim,RG Aga,MR Swart,0,0,null,0,0,null,null
53,8.6,IA Karim,RG Aga,MR Swart,0,0,null,0,0,null,null
54,9.1,RG Aga,IA Karim,Ahsan Malik,1,0,null,1,0,null,null
55,9.2,IA Karim,RG Aga,Ahsan Malik,0,0,null,0,0,null,null
56,9.3,IA Karim,RG Aga,Ahsan Malik,1,0,null,1,0,null,null
57,9.4,RG Aga,IA Karim,Ahsan Malik,4,0,null,4,0,null,null
58,9.5,RG Aga,IA Karim,Ahsan Malik,0,0,null,0,0,null,null
59,9.6,RG Aga,IA Karim,Ahsan Malik,4,0,null,4,0,null,null
60,10.1,IA Karim,RG Aga,MR Swart,1,0,null,1,0,null,null
61,10.2,RG Aga,IA Karim,MR Swart,1,0,null,1,0,null,null
62,10.3,IA Karim,RG Aga,MR Swart,2,0,null,2,0,null,null
63,10.4,IA Karim,RG Aga,MR Swart,0,0,null,0,0,null,null
64,10.5,IA Karim,RG Aga,MR Swart,4,0,null,4,0,null,null
65,10.6,IA Karim,RG Aga,MR Swart,1,0,null,1,0,null,null
66,11.1,IA Karim,RG Aga,Ahsan Malik,2,0,null,2,0,null,null
67,11.2,IA Karim,RG Aga,Ahsan Malik,1,0,null,1,0,null,null
68,11.3,RG Aga,IA Karim,Ahsan Malik,2,0,null,2,0,null,null
69,11.4,RG Aga,IA Karim,Ahsan Malik,2,0,null,2,0,null,null
70,11.5,RG Aga,IA Karim,Ahsan Malik,1,0,null,1,0,null,null
71,11.6,IA Karim,RG Aga,Ahsan Malik,0,0,null,0,0,null,null
72,12.1,RG Aga,IA Karim,MR Swart,1,0,null,1,0,null,null
73,12.2,IA Karim,RG Aga,MR Swart,0,0,null,0,0,null,null
74,12.3,IA Karim,RG Aga,MR Swart,1,0,null,1,0,null,null
75,12.4,RG Aga,IA Karim,MR Swart,1,0,null,1,0,null,null
76,12.5,IA Karim,RG Aga,MR Swart,1,0,null,1,0,null,null
77,12.6,RG Aga,IA Karim,MR Swart,1,0,null,1,0,null,null
78,13.1,RG Aga,IA Karim,PW Borren,4,0,null,4,0,null,null
79,13.2,RG Aga,IA Karim,PW Borren,0,0,null,0,0,null,null
80,13.3,RG Aga,IA Karim,PW Borren,1,0,null,1,0,null,null
81,13.4,IA Karim,RG Aga,PW Borren,1,0,null,1,0,null,null
82,13.5,RG Aga,IA Karim,PW Borren,0,0,null,0,0,null,null
83,13.6,RG Aga,IA Karim,PW Borren,1,0,null,1,0,null,null
84,14.1,RG Aga,IA Karim,MR Swart,1,0,null,1,0,null,null
85,14.2,IA Karim,RG Aga,MR Swart,0,0,null,0,0,null,null
86,14.3,IA Karim,RG Aga,MR Swart,0,0,null,0,0,null,null
87,14.4,IA Karim,RG Aga,MR Swart,1,0,null,1,0,null,null
88,14.5,RG Aga,IA Karim,MR Swart,0,0,null,0,0,null,null
89,14.6,RG Aga,IA Karim,MR Swart,1,0,null,1,0,null,null
90,15.1,RG Aga,IA Karim,PW Borren,1,0,null,1,0,null,null
91,15.2,IA Karim,RG Aga,PW Borren,2,0,null,2,0,null,null
92,15.3,IA Karim,RG Aga,PW Borren,1,0,null,1,0,null,null
93,15.4,RG Aga,IA Karim,PW Borren,0,0,null,0,0,null,null
94,15.5,RG Aga,IA Karim,PW Borren,1,0,null,1,0,null,null
95,15.6,IA Karim,RG Aga,PW Borren,1,0,null,1,0,null,null
96,16.1,IA Karim,RG Aga,MR Swart,0,0,null,0,0,null,null
97,16.2,IA Karim,RG Aga,MR Swart,1,0,null,1,0,null,null
98,16.3,RG Aga,IA Karim,MR Swart,1,0,null,1,0,null,null
99,16.4,IA Karim,RG Aga,MR Swart,1,0,null,1,0,null,null
100,16.5,RG Aga,IA Karim,MR Swart,4,0,null,4,0,null,null
101,16.6,RG Aga,IA Karim,MR Swart,2,0,null,2,0,null,null
102,17.1,IA Karim,RG Aga,PW Borren,0,0,null,0,0,null,null
103,17.2,IA Karim,RG Aga,PW Borren,4,0,null,4,0,null,null
104,17.3,IA Karim,RG Aga,PW Borren,1,0,null,1,0,null,null
105,17.4,RG Aga,IA Karim,PW Borren,1,0,null,1,0,null,null
106,17.5,IA Karim,RG Aga,PW Borren,4,0,null,4,0,null,null
107,17.6,IA Karim,RG Aga,PW Borren,0,0,null,0,0,null,null
108,18.1,RG Aga,IA Karim,MJG Rippon,0,0,null,0,0,null,null
109,18.2,RG Aga,IA Karim,MJG Rippon,0,0,null,0,0,null,null
110,18.3,RG Aga,IA Karim,MJG Rippon,0,0,null,0,0,null,null
111,18.4,RG Aga,IA Karim,MJG Rippon,4,0,null,4,0,null,null
112,18.5,RG Aga,IA Karim,MJG Rippon,1,0,null,1,0,null,null
113,18.6,IA Karim,RG Aga,MJG Rippon,4,0,null,4,0,null,null
114,19.1,RG Aga,IA Karim,PM Seelaar,0,0,null,0,0,null,null
115,19.2,RG Aga,IA Karim,PM Seelaar,2,0,null,2,0,null,null
116,19.3,RG Aga,IA Karim,PM Seelaar,0,0,null,0,0,null,null
117,19.4,RG Aga,IA Karim,PM Seelaar,0,0,null,0,0,null,null
118,19.5,RG Aga,IA Karim,PM Seelaar,1,0,null,1,0,null,null
119,19.6,IA Karim,RG Aga,PM Seelaar,1,0,null,1,0,null,null
120,20.1,IA Karim,RG Aga,Ahsan Malik,0,0,null,0,0,null,null
121,20.2,IA Karim,RG Aga,Ahsan Malik,1,0,null,1,0,null,null
122,20.3,RG Aga,IA Karim,Ahsan Malik,0,0,null,0,0,null,null
123,20.4,RG Aga,IA Karim,Ahsan Malik,0,0,null,0,0,null,null
124,20.5,RG Aga,IA Karim,Ahsan Malik,0,0,null,0,0,null,null
125,20.6,RG Aga,IA Karim,Ahsan Malik,1,0,null,1,0,null,null
126,21.1,RG Aga,IA Karim,PM Seelaar,1,0,null,1,0,null,null
127,21.2,IA Karim,RG Aga,PM Seelaar,2,0,null,2,0,null,null
128,21.3,IA Karim,RG Aga,PM Seelaar,0,0,null,0,0,null,null
129,21.4,IA Karim,RG Aga,PM Seelaar,0,0,null,0,0,null,null
130,21.5,IA Karim,RG Aga,PM Seelaar,0,0,null,0,0,null,null
131,21.6,IA Karim,RG Aga,PM Seelaar,0,0,null,0,0,null,null
132,22.1,RG Aga,IA Karim,Ahsan Malik,1,0,null,1,0,null,null
133,22.2,IA Karim,RG Aga,Ahsan Malik,1,0,null,1,0,null,null
134,22.3,RG Aga,IA Karim,Ahsan Malik,4,0,null,4,0,null,null
135,22.4,RG Aga,IA Karim,Ahsan Malik,4,0,null,4,0,null,null
136,22.5,RG Aga,IA Karim,Ahsan Malik,1,0,null,1,0,null,null
137,22.6,IA Karim,RG Aga,Ahsan Malik,1,0,null,1,0,null,null
138,23.1,IA Karim,RG Aga,PM Seelaar,1,0,null,1,0,null,null
139,23.2,RG Aga,IA Karim,PM Seelaar,1,0,null,1,0,null,null
140,23.3,IA Karim,RG Aga,PM Seelaar,1,0,null,1,0,null,null
141,23.4,RG Aga,IA Karim,PM Seelaar,1,0,null,1,0,null,null
142,23.5,IA Karim,RG Aga,PM Seelaar,0,0,null,0,0,null,null
143,23.6,IA Karim,RG Aga,PM Seelaar,4,0,null,4,0,null,null
144,24.1,RG Aga,IA Karim,Mudassar Bukhari,0,0,null,0,0,null,null
145,24.2,RG Aga,IA Karim,Mudassar Bukhari,4,0,null,4,0,null,null
146,24.3,RG Aga,IA Karim,Mudassar Bukhari,0,0,null,0,1,RG Aga,lbw
147,24.4,CO Obuya,IA Karim,Mudassar Bukhari,0,0,null,0,0,null,null
148,24.5,CO Obuya,IA Karim,Mudassar Bukhari,1,0,null,1,0,null,null
149,24.6,IA Karim,CO Obuya,Mudassar Bukhari,0,1,wides ,1,0,null,null
150,24.7,IA Karim,CO Obuya,Mudassar Bukhari,0,0,null,0,0,null,null
151,25.1,CO Obuya,IA Karim,PM Seelaar,0,0,null,0,0,null,null
152,25.2,CO Obuya,IA Karim,PM Seelaar,0,0,null,0,0,null,null
153,25.3,CO Obuya,IA Karim,PM Seelaar,2,0,null,2,0,null,null
154,25.4,CO Obuya,IA Karim,PM Seelaar,4,0,null,4,0,null,null
155,25.5,CO Obuya,IA Karim,PM Seelaar,4,0,null,4,0,null,null
156,25.6,CO Obuya,IA Karim,PM Seelaar,1,0,null,1,0,null,null
157,26.1,CO Obuya,IA Karim,Mudassar Bukhari,1,0,null,1,0,null,null
158,26.2,IA Karim,CO Obuya,Mudassar Bukhari,4,0,null,4,0,null,null
159,26.3,IA Karim,CO Obuya,Mudassar Bukhari,0,0,null,0,0,null,null
160,26.4,IA Karim,CO Obuya,Mudassar Bukhari,1,0,null,1,0,null,null
161,26.5,CO Obuya,IA Karim,Mudassar Bukhari,1,0,null,1,0,null,null
162,26.6,IA Karim,CO Obuya,Mudassar Bukhari,0,0,null,0,0,null,null
163,27.1,CO Obuya,IA Karim,Ahsan Malik,0,0,null,0,0,null,null
164,27.2,CO Obuya,IA Karim,Ahsan Malik,0,0,null,0,0,null,null
165,27.3,CO Obuya,IA Karim,Ahsan Malik,1,0,null,1,0,null,null
166,27.4,IA Karim,CO Obuya,Ahsan Malik,1,0,null,1,0,null,null
167,27.5,CO Obuya,IA Karim,Ahsan Malik,0,1,legbyes ,1,0,null,null
168,27.6,IA Karim,CO Obuya,Ahsan Malik,1,0,null,1,0,null,null
169,28.1,IA Karim,CO Obuya,Mudassar Bukhari,2,0,null,2,0,null,null
170,28.2,IA Karim,CO Obuya,Mudassar Bukhari,0,0,null,0,0,null,null
171,28.3,IA Karim,CO Obuya,Mudassar Bukhari,0,0,null,0,0,null,null
172,28.4,IA Karim,CO Obuya,Mudassar Bukhari,4,0,null,4,0,null,null
173,28.5,IA Karim,CO Obuya,Mudassar Bukhari,1,0,null,1,0,null,null
174,28.6,CO Obuya,IA Karim,Mudassar Bukhari,6,0,null,6,0,null,null
175,29.1,IA Karim,CO Obuya,Ahsan Malik,2,0,null,2,0,null,null
176,29.2,IA Karim,CO Obuya,Ahsan Malik,1,0,null,1,0,null,null
177,29.3,CO Obuya,IA Karim,Ahsan Malik,4,0,null,4,0,null,null
178,29.4,CO Obuya,IA Karim,Ahsan Malik,1,0,null,1,0,null,null
179,29.5,IA Karim,CO Obuya,Ahsan Malik,1,0,null,1,0,null,null
180,29.6,CO Obuya,IA Karim,Ahsan Malik,1,0,null,1,0,null,null
181,30.1,CO Obuya,IA Karim,Mudassar Bukhari,1,0,null,1,0,null,null
182,30.2,IA Karim,CO Obuya,Mudassar Bukhari,1,0,null,1,0,null,null
183,30.3,CO Obuya,IA Karim,Mudassar Bukhari,1,0,null,1,0,null,null
184,30.4,IA Karim,CO Obuya,Mudassar Bukhari,4,0,null,4,0,null,null
185,30.5,IA Karim,CO Obuya,Mudassar Bukhari,1,0,null,1,0,null,null
186,30.6,CO Obuya,IA Karim,Mudassar Bukhari,6,0,null,6,0,null,null
187,31.1,IA Karim,CO Obuya,Ahsan Malik,4,0,null,4,0,null,null
188,31.2,IA Karim,CO Obuya,Ahsan Malik,0,0,null,0,1,IA Karim,caught
189,31.3,RR Patel,CO Obuya,Ahsan Malik,0,0,null,0,0,null,null
190,31.4,RR Patel,CO Obuya,Ahsan Malik,0,0,null,0,0,null,null
