,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Vikramjit Singh,MP O'Dowd,AS Joseph,0,0,null,0,0,null,null
1,0.2,Vikramjit Singh,MP O'Dowd,AS Joseph,0,0,null,0,0,null,null
2,0.3,Vikramjit Singh,MP O'Dowd,AS Joseph,0,0,null,0,0,null,null
3,0.4,Vikramjit Singh,MP O'Dowd,AS Joseph,0,0,null,0,0,null,null
4,0.5,Vikramjit Singh,MP O'Dowd,AS Joseph,0,0,null,0,0,null,null
5,0.6,Vikramjit Singh,MP O'Dowd,AS Joseph,1,0,null,1,0,null,null
6,1.1,Vikramjit Singh,MP O'Dowd,A Phillip,0,0,null,0,0,null,null
7,1.2,Vikramjit Singh,MP O'Dowd,A Phillip,0,0,null,0,0,null,null
8,1.3,Vikramjit Singh,MP O'Dowd,A Phillip,0,0,null,0,0,null,null
9,1.4,Vikramjit Singh,MP O'Dowd,A Phillip,0,0,null,0,0,null,null
10,1.5,Vikramjit Singh,MP O'Dowd,A Phillip,0,0,null,0,0,null,null
11,1.6,Vikramjit Singh,MP O'Dowd,A Phillip,2,0,null,2,0,null,null
12,2.1,MP O'Dowd,Vikramjit Singh,AS Joseph,0,0,null,0,0,null,null
13,2.2,MP O'Dowd,Vikramjit Singh,AS Joseph,0,0,null,0,0,null,null
14,2.3,MP O'Dowd,Vikramjit Singh,AS Joseph,0,0,null,0,0,null,null
15,2.4,MP O'Dowd,Vikramjit Singh,AS Joseph,0,0,null,0,0,null,null
16,2.5,MP O'Dowd,Vikramjit Singh,AS Joseph,0,1,wides ,1,0,null,null
17,2.6,MP O'Dowd,Vikramjit Singh,AS Joseph,0,0,null,0,0,null,null
18,2.7,MP O'Dowd,Vikramjit Singh,AS Joseph,0,0,null,0,0,null,null
19,3.1,Vikramjit Singh,MP O'Dowd,A Phillip,0,0,null,0,0,null,null
20,3.2,Vikramjit Singh,MP O'Dowd,A Phillip,0,0,null,0,0,null,null
21,3.3,Vikramjit Singh,MP O'Dowd,A Phillip,4,0,null,4,0,null,null
22,3.4,Vikramjit Singh,MP O'Dowd,A Phillip,0,0,null,0,0,null,null
23,3.5,Vikramjit Singh,MP O'Dowd,A Phillip,4,0,null,4,0,null,null
24,3.6,Vikramjit Singh,MP O'Dowd,A Phillip,4,0,null,4,0,null,null
25,4.1,MP O'Dowd,Vikramjit Singh,AS Joseph,1,0,null,1,0,null,null
26,4.2,Vikramjit Singh,MP O'Dowd,AS Joseph,3,0,null,3,0,null,null
27,4.3,MP O'Dowd,Vikramjit Singh,AS Joseph,0,0,null,0,0,null,null
28,4.4,MP O'Dowd,Vikramjit Singh,AS Joseph,0,0,null,0,0,null,null
29,4.5,MP O'Dowd,Vikramjit Singh,AS Joseph,1,0,null,1,0,null,null
