,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Tamim Iqbal,Liton Das,MJ Henry,0,0,null,0,0,null,null
1,0.2,Tamim Iqbal,Liton Das,MJ Henry,0,0,null,0,0,null,null
2,0.3,Tamim Iqbal,Liton Das,MJ Henry,0,0,null,0,0,null,null
3,0.4,Tamim Iqbal,Liton Das,MJ Henry,0,0,null,0,0,null,null
4,0.5,Tamim Iqbal,Liton Das,MJ Henry,0,0,null,0,0,null,null
5,0.6,Tamim Iqbal,Liton Das,MJ Henry,0,0,null,0,0,null,null
6,1.1,Liton Das,Tamim Iqbal,TA Boult,4,0,null,4,0,null,null
7,1.2,Liton Das,Tamim Iqbal,TA Boult,0,0,null,0,0,null,null
8,1.3,Liton Das,Tamim Iqbal,TA Boult,0,0,null,0,0,null,null
9,1.4,Liton Das,Tamim Iqbal,TA Boult,1,0,null,1,0,null,null
10,1.5,Tamim Iqbal,Liton Das,TA Boult,1,0,null,1,0,null,null
11,1.6,Liton Das,Tamim Iqbal,TA Boult,4,0,null,4,0,null,null
12,2.1,Tamim Iqbal,Liton Das,MJ Henry,0,0,null,0,0,null,null
13,2.2,Tamim Iqbal,Liton Das,MJ Henry,0,0,null,0,1,Tamim Iqbal,caught
14,2.3,Soumya Sarkar,Liton Das,MJ Henry,0,0,null,0,0,null,null
15,2.4,Soumya Sarkar,Liton Das,MJ Henry,0,0,null,0,0,null,null
16,2.5,Soumya Sarkar,Liton Das,MJ Henry,1,0,null,1,0,null,null
17,2.6,Liton Das,Soumya Sarkar,MJ Henry,0,1,byes ,1,0,null,null
18,3.1,Liton Das,Soumya Sarkar,TA Boult,0,0,null,0,0,null,null
19,3.2,Liton Das,Soumya Sarkar,TA Boult,0,0,null,0,0,null,null
20,3.3,Liton Das,Soumya Sarkar,TA Boult,0,0,null,0,0,null,null
21,3.4,Liton Das,Soumya Sarkar,TA Boult,1,0,null,1,0,null,null
22,3.5,Soumya Sarkar,Liton Das,TA Boult,0,0,null,0,0,null,null
23,3.6,Soumya Sarkar,Liton Das,TA Boult,0,0,null,0,0,null,null
24,4.1,Liton Das,Soumya Sarkar,MJ Henry,4,0,null,4,0,null,null
25,4.2,Liton Das,Soumya Sarkar,MJ Henry,1,0,null,1,0,null,null
26,4.3,Soumya Sarkar,Liton Das,MJ Henry,0,0,null,0,1,Soumya Sarkar,caught
27,4.4,Liton Das,Mohammad Mithun,MJ Henry,1,0,null,1,0,null,null
28,4.5,Mohammad Mithun,Liton Das,MJ Henry,1,0,null,1,0,null,null
29,4.6,Liton Das,Mohammad Mithun,MJ Henry,1,0,null,1,0,null,null
30,5.1,Liton Das,Mohammad Mithun,TA Boult,0,0,null,0,0,null,null
31,5.2,Liton Das,Mohammad Mithun,TA Boult,0,0,null,0,0,null,null
32,5.3,Liton Das,Mohammad Mithun,TA Boult,1,0,null,1,0,null,null
33,5.4,Mohammad Mithun,Liton Das,TA Boult,0,0,null,0,0,null,null
34,5.5,Mohammad Mithun,Liton Das,TA Boult,0,0,null,0,0,null,null
35,5.6,Mohammad Mithun,Liton Das,TA Boult,0,0,null,0,0,null,null
36,6.1,Liton Das,Mohammad Mithun,MJ Henry,0,0,null,0,0,null,null
37,6.2,Liton Das,Mohammad Mithun,MJ Henry,3,0,null,3,0,null,null
38,6.3,Mohammad Mithun,Liton Das,MJ Henry,0,0,null,0,0,null,null
39,6.4,Mohammad Mithun,Liton Das,MJ Henry,1,0,null,1,0,null,null
40,6.5,Liton Das,Mohammad Mithun,MJ Henry,0,0,null,0,0,null,null
41,6.6,Liton Das,Mohammad Mithun,MJ Henry,0,0,null,0,1,Liton Das,caught
42,7.1,Mushfiqur Rahim,Mohammad Mithun,TA Boult,0,0,null,0,0,null,null
43,7.2,Mushfiqur Rahim,Mohammad Mithun,TA Boult,0,0,null,0,0,null,null
44,7.3,Mushfiqur Rahim,Mohammad Mithun,TA Boult,0,0,null,0,0,null,null
45,7.4,Mushfiqur Rahim,Mohammad Mithun,TA Boult,0,0,null,0,0,null,null
46,7.5,Mushfiqur Rahim,Mohammad Mithun,TA Boult,0,0,null,0,0,null,null
47,7.6,Mushfiqur Rahim,Mohammad Mithun,TA Boult,0,0,null,0,0,null,null
48,8.1,Mohammad Mithun,Mushfiqur Rahim,MJ Henry,0,0,null,0,0,null,null
