,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Tamim Iqbal,Imrul Kayes,DR Tuffey,1,0,null,1,0,null,null
1,0.2,Imrul Kayes,Tamim Iqbal,DR Tuffey,0,0,null,0,0,null,null
2,0.3,Imrul Kayes,Tamim Iqbal,DR Tuffey,4,0,null,4,0,null,null
3,0.4,Imrul Kayes,Tamim Iqbal,DR Tuffey,0,0,null,0,0,null,null
4,0.5,Imrul Kayes,Tamim Iqbal,DR Tuffey,0,0,null,0,0,null,null
5,0.6,Imrul Kayes,Tamim Iqbal,DR Tuffey,0,0,null,0,0,null,null
6,1.1,Tamim Iqbal,Imrul Kayes,AJ McKay,0,0,null,0,0,null,null
7,1.2,Tamim Iqbal,Imrul Kayes,AJ McKay,0,0,null,0,0,null,null
8,1.3,Tamim Iqbal,Imrul Kayes,AJ McKay,0,0,null,0,0,null,null
9,1.4,Tamim Iqbal,Imrul Kayes,AJ McKay,0,0,null,0,0,null,null
10,1.5,Tamim Iqbal,Imrul Kayes,AJ McKay,0,0,null,0,1,Tamim Iqbal,caught
11,1.6,Mohammad Ashraful,Imrul Kayes,AJ McKay,0,0,null,0,0,null,null
12,2.1,Imrul Kayes,Mohammad Ashraful,DR Tuffey,0,0,null,0,0,null,null
13,2.2,Imrul Kayes,Mohammad Ashraful,DR Tuffey,3,0,null,3,0,null,null
14,2.3,Mohammad Ashraful,Imrul Kayes,DR Tuffey,0,0,null,0,0,null,null
15,2.4,Mohammad Ashraful,Imrul Kayes,DR Tuffey,0,0,null,0,0,null,null
16,2.5,Mohammad Ashraful,Imrul Kayes,DR Tuffey,0,0,null,0,0,null,null
17,2.6,Mohammad Ashraful,Imrul Kayes,DR Tuffey,0,1,wides ,1,0,null,null
18,2.7,Mohammad Ashraful,Imrul Kayes,DR Tuffey,0,0,null,0,0,null,null
19,3.1,Imrul Kayes,Mohammad Ashraful,AJ McKay,0,0,null,0,0,null,null
20,3.2,Imrul Kayes,Mohammad Ashraful,AJ McKay,0,0,null,0,0,null,null
21,3.3,Imrul Kayes,Mohammad Ashraful,AJ McKay,0,0,null,0,0,null,null
22,3.4,Imrul Kayes,Mohammad Ashraful,AJ McKay,0,0,null,0,0,null,null
23,3.5,Imrul Kayes,Mohammad Ashraful,AJ McKay,1,0,null,1,0,null,null
24,3.6,Mohammad Ashraful,Imrul Kayes,AJ McKay,0,0,null,0,0,null,null
25,4.1,Imrul Kayes,Mohammad Ashraful,DR Tuffey,1,0,null,1,1,Imrul Kayes,run out
26,4.2,Mohammad Ashraful,Aftab Ahmed,DR Tuffey,0,0,null,0,0,null,null
27,4.3,Mohammad Ashraful,Aftab Ahmed,DR Tuffey,0,0,null,0,0,null,null
28,4.4,Mohammad Ashraful,Aftab Ahmed,DR Tuffey,1,0,null,1,0,null,null
29,4.5,Aftab Ahmed,Mohammad Ashraful,DR Tuffey,0,0,null,0,0,null,null
30,4.6,Aftab Ahmed,Mohammad Ashraful,DR Tuffey,0,0,null,0,0,null,null
31,5.1,Mohammad Ashraful,Aftab Ahmed,AJ McKay,0,0,null,0,0,null,null
32,5.2,Mohammad Ashraful,Aftab Ahmed,AJ McKay,0,0,null,0,0,null,null
33,5.3,Mohammad Ashraful,Aftab Ahmed,AJ McKay,0,0,null,0,0,null,null
34,5.4,Mohammad Ashraful,Aftab Ahmed,AJ McKay,0,0,null,0,0,null,null
35,5.5,Mohammad Ashraful,Aftab Ahmed,AJ McKay,0,0,null,0,0,null,null
36,5.6,Mohammad Ashraful,Aftab Ahmed,AJ McKay,0,1,wides ,1,0,null,null
37,5.7,Mohammad Ashraful,Aftab Ahmed,AJ McKay,0,0,null,0,0,null,null
38,6.1,Aftab Ahmed,Mohammad Ashraful,DR Tuffey,0,0,null,0,0,null,null
