,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,RG Sharma,S Dhawan,TA Boult,1,0,null,1,0,null,null
1,0.2,S Dhawan,RG Sharma,TA Boult,0,0,null,0,0,null,null
2,0.3,S Dhawan,RG Sharma,TA Boult,0,0,null,0,0,null,null
3,0.4,S Dhawan,RG Sharma,TA Boult,0,0,null,0,0,null,null
4,0.5,S Dhawan,RG Sharma,TA Boult,2,0,null,2,0,null,null
5,0.6,S Dhawan,RG Sharma,TA Boult,0,0,null,0,0,null,null
6,1.1,RG Sharma,S Dhawan,DAJ Bracewell,0,0,null,0,0,null,null
7,1.2,RG Sharma,S Dhawan,DAJ Bracewell,0,0,null,0,0,null,null
8,1.3,RG Sharma,S Dhawan,DAJ Bracewell,1,0,null,1,0,null,null
9,1.4,S Dhawan,RG Sharma,DAJ Bracewell,4,0,null,4,0,null,null
10,1.5,S Dhawan,RG Sharma,DAJ Bracewell,4,0,null,4,0,null,null
11,1.6,S Dhawan,RG Sharma,DAJ Bracewell,4,0,null,4,0,null,null
12,2.1,RG Sharma,S Dhawan,TA Boult,0,0,null,0,0,null,null
13,2.2,RG Sharma,S Dhawan,TA Boult,1,0,null,1,0,null,null
14,2.3,S Dhawan,RG Sharma,TA Boult,0,0,null,0,0,null,null
15,2.4,S Dhawan,RG Sharma,TA Boult,0,0,null,0,0,null,null
16,2.5,S Dhawan,RG Sharma,TA Boult,0,0,null,0,0,null,null
17,2.6,S Dhawan,RG Sharma,TA Boult,0,0,null,0,0,null,null
18,3.1,RG Sharma,S Dhawan,DAJ Bracewell,0,0,null,0,0,null,null
19,3.2,RG Sharma,S Dhawan,DAJ Bracewell,4,0,null,4,0,null,null
20,3.3,RG Sharma,S Dhawan,DAJ Bracewell,0,0,null,0,0,null,null
21,3.4,RG Sharma,S Dhawan,DAJ Bracewell,1,0,null,1,0,null,null
22,3.5,S Dhawan,RG Sharma,DAJ Bracewell,0,0,null,0,0,null,null
23,3.6,S Dhawan,RG Sharma,DAJ Bracewell,4,0,null,4,0,null,null
24,4.1,RG Sharma,S Dhawan,TA Boult,0,0,null,0,0,null,null
25,4.2,RG Sharma,S Dhawan,TA Boult,0,0,null,0,0,null,null
26,4.3,RG Sharma,S Dhawan,TA Boult,1,0,null,1,0,null,null
27,4.4,S Dhawan,RG Sharma,TA Boult,4,0,null,4,0,null,null
28,4.5,S Dhawan,RG Sharma,TA Boult,0,0,null,0,0,null,null
29,4.6,S Dhawan,RG Sharma,TA Boult,0,0,null,0,0,null,null
30,5.1,RG Sharma,S Dhawan,LH Ferguson,0,0,null,0,0,null,null
