,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,RG Sharma,V Kohli,KD Mills,0,0,null,0,0,null,null
1,0.2,RG Sharma,V Kohli,KD Mills,0,0,null,0,0,null,null
2,0.3,RG Sharma,V Kohli,KD Mills,0,0,null,0,0,null,null
3,0.4,RG Sharma,V Kohli,KD Mills,0,0,null,0,0,null,null
4,0.5,RG Sharma,V Kohli,KD Mills,0,0,null,0,0,null,null
5,0.6,RG Sharma,V Kohli,KD Mills,0,0,null,0,0,null,null
6,1.1,V Kohli,RG Sharma,TG Southee,0,0,null,0,0,null,null
7,1.2,V Kohli,RG Sharma,TG Southee,0,0,null,0,0,null,null
8,1.3,V Kohli,RG Sharma,TG Southee,0,0,null,0,0,null,null
9,1.4,V Kohli,RG Sharma,TG Southee,0,0,null,0,0,null,null
10,1.5,V Kohli,RG Sharma,TG Southee,1,0,null,1,0,null,null
11,1.6,RG Sharma,V Kohli,TG Southee,0,0,null,0,0,null,null
12,2.1,V Kohli,RG Sharma,KD Mills,0,0,null,0,0,null,null
13,2.2,V Kohli,RG Sharma,KD Mills,1,0,null,1,0,null,null
14,2.3,RG Sharma,V Kohli,KD Mills,0,0,null,0,0,null,null
15,2.4,RG Sharma,V Kohli,KD Mills,1,0,null,1,0,null,null
16,2.5,V Kohli,RG Sharma,KD Mills,0,0,null,0,0,null,null
17,2.6,V Kohli,RG Sharma,KD Mills,0,0,null,0,0,null,null
18,3.1,RG Sharma,V Kohli,TG Southee,1,0,null,1,0,null,null
19,3.2,V Kohli,RG Sharma,TG Southee,0,1,wides ,1,0,null,null
20,3.3,V Kohli,RG Sharma,TG Southee,0,0,null,0,1,V Kohli,caught
21,3.4,AM Rahane,RG Sharma,TG Southee,1,0,null,1,0,null,null
22,3.5,RG Sharma,AM Rahane,TG Southee,1,0,null,1,0,null,null
23,3.6,AM Rahane,RG Sharma,TG Southee,0,0,null,0,0,null,null
24,3.7,AM Rahane,RG Sharma,TG Southee,0,0,null,0,0,null,null
25,4.1,RG Sharma,AM Rahane,KD Mills,0,0,null,0,0,null,null
26,4.2,RG Sharma,AM Rahane,KD Mills,0,0,null,0,0,null,null
27,4.3,RG Sharma,AM Rahane,KD Mills,0,0,null,0,0,null,null
28,4.4,RG Sharma,AM Rahane,KD Mills,0,0,null,0,0,null,null
29,4.5,RG Sharma,AM Rahane,KD Mills,0,0,null,0,0,null,null
30,4.6,RG Sharma,AM Rahane,KD Mills,0,0,null,0,0,null,null
31,5.1,AM Rahane,RG Sharma,TG Southee,1,0,null,1,0,null,null
32,5.2,RG Sharma,AM Rahane,TG Southee,1,0,null,1,0,null,null
33,5.3,AM Rahane,RG Sharma,TG Southee,1,0,null,1,0,null,null
34,5.4,RG Sharma,AM Rahane,TG Southee,0,0,null,0,0,null,null
35,5.5,RG Sharma,AM Rahane,TG Southee,1,0,null,1,0,null,null
36,5.6,AM Rahane,RG Sharma,TG Southee,0,0,null,0,0,null,null
