,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,SJ Myburgh,MP O'Dowd,MJ Henry,4,0,null,4,0,null,null
1,0.2,SJ Myburgh,MP O'Dowd,MJ Henry,0,0,null,0,0,null,null
2,0.3,SJ Myburgh,MP O'Dowd,MJ Henry,4,0,null,4,0,null,null
3,0.4,SJ Myburgh,MP O'Dowd,MJ Henry,4,0,null,4,0,null,null
4,0.5,SJ Myburgh,MP O'Dowd,MJ Henry,1,0,null,1,0,null,null
5,0.6,MP O'Dowd,SJ Myburgh,MJ Henry,0,0,null,0,0,null,null
6,1.1,SJ Myburgh,MP O'Dowd,KA Jamieson,0,0,null,0,0,null,null
7,1.2,SJ Myburgh,MP O'Dowd,KA Jamieson,2,0,null,2,0,null,null
8,1.3,SJ Myburgh,MP O'Dowd,KA Jamieson,4,0,null,4,0,null,null
9,1.4,SJ Myburgh,MP O'Dowd,KA Jamieson,0,0,null,0,0,null,null
10,1.5,SJ Myburgh,MP O'Dowd,KA Jamieson,0,0,null,0,0,null,null
11,1.6,SJ Myburgh,MP O'Dowd,KA Jamieson,4,0,null,4,0,null,null
12,2.1,MP O'Dowd,SJ Myburgh,MJ Henry,1,0,null,1,0,null,null
13,2.2,SJ Myburgh,MP O'Dowd,MJ Henry,1,0,null,1,0,null,null
14,2.3,MP O'Dowd,SJ Myburgh,MJ Henry,0,0,null,0,0,null,null
15,2.4,MP O'Dowd,SJ Myburgh,MJ Henry,0,0,null,0,0,null,null
16,2.5,MP O'Dowd,SJ Myburgh,MJ Henry,0,0,null,0,0,null,null
17,2.6,MP O'Dowd,SJ Myburgh,MJ Henry,0,0,null,0,0,null,null
18,3.1,SJ Myburgh,MP O'Dowd,KA Jamieson,4,0,null,4,0,null,null
19,3.2,SJ Myburgh,MP O'Dowd,KA Jamieson,1,0,null,1,0,null,null
20,3.3,MP O'Dowd,SJ Myburgh,KA Jamieson,0,0,null,0,0,null,null
21,3.4,MP O'Dowd,SJ Myburgh,KA Jamieson,0,0,null,0,0,null,null
22,3.5,MP O'Dowd,SJ Myburgh,KA Jamieson,0,0,null,0,0,null,null
23,3.6,MP O'Dowd,SJ Myburgh,KA Jamieson,0,0,null,0,0,null,null
24,4.1,SJ Myburgh,MP O'Dowd,MJ Henry,0,0,null,0,0,null,null
25,4.2,SJ Myburgh,MP O'Dowd,MJ Henry,0,0,null,0,0,null,null
26,4.3,SJ Myburgh,MP O'Dowd,MJ Henry,0,0,null,0,0,null,null
27,4.4,SJ Myburgh,MP O'Dowd,MJ Henry,4,0,null,4,0,null,null
28,4.5,SJ Myburgh,MP O'Dowd,MJ Henry,0,0,null,0,0,null,null
29,4.6,SJ Myburgh,MP O'Dowd,MJ Henry,4,0,null,4,0,null,null
30,5.1,MP O'Dowd,SJ Myburgh,KA Jamieson,2,0,null,2,0,null,null
31,5.2,MP O'Dowd,SJ Myburgh,KA Jamieson,1,0,null,1,0,null,null
32,5.3,SJ Myburgh,MP O'Dowd,KA Jamieson,0,0,null,0,0,null,null
33,5.4,SJ Myburgh,MP O'Dowd,KA Jamieson,6,0,null,6,0,null,null
34,5.5,SJ Myburgh,MP O'Dowd,KA Jamieson,0,0,null,0,0,null,null
35,5.6,SJ Myburgh,MP O'Dowd,KA Jamieson,0,0,null,0,0,null,null
36,6.1,MP O'Dowd,SJ Myburgh,DAJ Bracewell,0,0,null,0,0,null,null
37,6.2,MP O'Dowd,SJ Myburgh,DAJ Bracewell,0,0,null,0,0,null,null
38,6.3,MP O'Dowd,SJ Myburgh,DAJ Bracewell,4,0,null,4,0,null,null
39,6.4,MP O'Dowd,SJ Myburgh,DAJ Bracewell,0,0,null,0,0,null,null
40,6.5,MP O'Dowd,SJ Myburgh,DAJ Bracewell,0,0,null,0,0,null,null
