,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Mohammad Hafeez,Ahmed Shehzad,TG Southee,2,0,null,2,0,null,null
1,0.2,Mohammad Hafeez,Ahmed Shehzad,TG Southee,1,0,null,1,0,null,null
2,0.3,Ahmed Shehzad,Mohammad Hafeez,TG Southee,1,0,null,1,0,null,null
3,0.4,Mohammad Hafeez,Ahmed Shehzad,TG Southee,0,1,wides ,1,0,null,null
4,0.5,Mohammad Hafeez,Ahmed Shehzad,TG Southee,0,0,null,0,0,null,null
5,0.6,Mohammad Hafeez,Ahmed Shehzad,TG Southee,0,0,null,0,0,null,null
6,0.7,Mohammad Hafeez,Ahmed Shehzad,TG Southee,0,0,null,0,0,null,null
7,1.1,Ahmed Shehzad,Mohammad Hafeez,HK Bennett,4,0,null,4,0,null,null
8,1.2,Ahmed Shehzad,Mohammad Hafeez,HK Bennett,0,0,null,0,0,null,null
9,1.3,Ahmed Shehzad,Mohammad Hafeez,HK Bennett,4,0,null,4,0,null,null
10,1.4,Ahmed Shehzad,Mohammad Hafeez,HK Bennett,0,0,null,0,0,null,null
11,1.5,Ahmed Shehzad,Mohammad Hafeez,HK Bennett,1,0,null,1,0,null,null
12,1.6,Mohammad Hafeez,Ahmed Shehzad,HK Bennett,0,0,null,0,0,null,null
13,2.1,Ahmed Shehzad,Mohammad Hafeez,TG Southee,0,0,null,0,0,null,null
14,2.2,Ahmed Shehzad,Mohammad Hafeez,TG Southee,4,0,null,4,0,null,null
15,2.3,Ahmed Shehzad,Mohammad Hafeez,TG Southee,0,0,null,0,0,null,null
16,2.4,Ahmed Shehzad,Mohammad Hafeez,TG Southee,4,0,null,4,0,null,null
17,2.5,Ahmed Shehzad,Mohammad Hafeez,TG Southee,1,0,null,1,0,null,null
18,2.6,Mohammad Hafeez,Ahmed Shehzad,TG Southee,0,0,null,0,0,null,null
19,3.1,Ahmed Shehzad,Mohammad Hafeez,HK Bennett,1,0,null,1,0,null,null
20,3.2,Mohammad Hafeez,Ahmed Shehzad,HK Bennett,0,0,null,0,0,null,null
21,3.3,Mohammad Hafeez,Ahmed Shehzad,HK Bennett,0,0,null,0,0,null,null
22,3.4,Mohammad Hafeez,Ahmed Shehzad,HK Bennett,0,0,null,0,0,null,null
23,3.5,Mohammad Hafeez,Ahmed Shehzad,HK Bennett,0,0,null,0,0,null,null
24,3.6,Mohammad Hafeez,Ahmed Shehzad,HK Bennett,0,0,null,0,0,null,null
25,4.1,Ahmed Shehzad,Mohammad Hafeez,TG Southee,0,0,null,0,0,null,null
26,4.2,Ahmed Shehzad,Mohammad Hafeez,TG Southee,0,0,null,0,0,null,null
27,4.3,Ahmed Shehzad,Mohammad Hafeez,TG Southee,0,0,null,0,0,null,null
28,4.4,Ahmed Shehzad,Mohammad Hafeez,TG Southee,0,0,null,0,0,null,null
29,4.5,Ahmed Shehzad,Mohammad Hafeez,TG Southee,0,0,null,0,0,null,null
30,4.6,Ahmed Shehzad,Mohammad Hafeez,TG Southee,1,0,null,1,0,null,null
31,5.1,Ahmed Shehzad,Mohammad Hafeez,NL McCullum,1,0,null,1,0,null,null
32,5.2,Mohammad Hafeez,Ahmed Shehzad,NL McCullum,1,0,null,1,0,null,null
33,5.3,Ahmed Shehzad,Mohammad Hafeez,NL McCullum,0,0,null,0,0,null,null
34,5.4,Ahmed Shehzad,Mohammad Hafeez,NL McCullum,0,0,null,0,0,null,null
35,5.5,Ahmed Shehzad,Mohammad Hafeez,NL McCullum,1,0,null,1,0,null,null
36,5.6,Mohammad Hafeez,Ahmed Shehzad,NL McCullum,0,0,null,0,0,null,null
37,6.1,Ahmed Shehzad,Mohammad Hafeez,HK Bennett,4,0,null,4,0,null,null
38,6.2,Ahmed Shehzad,Mohammad Hafeez,HK Bennett,0,0,null,0,0,null,null
39,6.3,Ahmed Shehzad,Mohammad Hafeez,HK Bennett,0,0,null,0,0,null,null
40,6.4,Ahmed Shehzad,Mohammad Hafeez,HK Bennett,1,0,null,1,0,null,null
41,6.5,Mohammad Hafeez,Ahmed Shehzad,HK Bennett,0,0,null,0,0,null,null
42,6.6,Mohammad Hafeez,Ahmed Shehzad,HK Bennett,0,0,null,0,0,null,null
43,7.1,Ahmed Shehzad,Mohammad Hafeez,NL McCullum,1,0,null,1,0,null,null
44,7.2,Mohammad Hafeez,Ahmed Shehzad,NL McCullum,0,0,null,0,0,null,null
45,7.3,Mohammad Hafeez,Ahmed Shehzad,NL McCullum,4,0,null,4,0,null,null
46,7.4,Mohammad Hafeez,Ahmed Shehzad,NL McCullum,0,0,null,0,0,null,null
47,7.5,Mohammad Hafeez,Ahmed Shehzad,NL McCullum,4,0,null,4,0,null,null
48,7.6,Mohammad Hafeez,Ahmed Shehzad,NL McCullum,0,0,null,0,0,null,null
49,8.1,Ahmed Shehzad,Mohammad Hafeez,HK Bennett,1,0,null,1,0,null,null
