,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,MJ Guptill,BB McCullum,SL Malinga,0,1,wides ,1,0,null,null
1,0.2,MJ Guptill,BB McCullum,SL Malinga,1,0,null,1,0,null,null
2,0.3,BB McCullum,MJ Guptill,SL Malinga,1,0,null,1,0,null,null
3,0.4,MJ Guptill,BB McCullum,SL Malinga,1,0,null,1,0,null,null
4,0.5,BB McCullum,MJ Guptill,SL Malinga,0,0,null,0,0,null,null
5,0.6,BB McCullum,MJ Guptill,SL Malinga,0,0,null,0,0,null,null
6,0.7,BB McCullum,MJ Guptill,SL Malinga,0,0,null,0,0,null,null
7,1.1,MJ Guptill,BB McCullum,KMDN Kulasekara,0,0,null,0,0,null,null
8,1.2,MJ Guptill,BB McCullum,KMDN Kulasekara,0,1,wides ,1,0,null,null
9,1.3,MJ Guptill,BB McCullum,KMDN Kulasekara,0,0,null,0,0,null,null
10,1.4,MJ Guptill,BB McCullum,KMDN Kulasekara,0,0,null,0,0,null,null
11,1.5,MJ Guptill,BB McCullum,KMDN Kulasekara,0,0,null,0,0,null,null
12,1.6,MJ Guptill,BB McCullum,KMDN Kulasekara,0,0,null,0,0,null,null
13,1.7,MJ Guptill,BB McCullum,KMDN Kulasekara,0,0,null,0,0,null,null
14,2.1,BB McCullum,MJ Guptill,SL Malinga,1,0,null,1,0,null,null
15,2.2,MJ Guptill,BB McCullum,SL Malinga,0,0,null,0,0,null,null
16,2.3,MJ Guptill,BB McCullum,SL Malinga,1,0,null,1,0,null,null
17,2.4,BB McCullum,MJ Guptill,SL Malinga,0,0,null,0,0,null,null
18,2.5,BB McCullum,MJ Guptill,SL Malinga,4,0,null,4,0,null,null
19,2.6,BB McCullum,MJ Guptill,SL Malinga,1,0,null,1,0,null,null
20,3.1,BB McCullum,MJ Guptill,KMDN Kulasekara,4,0,null,4,0,null,null
21,3.2,BB McCullum,MJ Guptill,KMDN Kulasekara,1,0,null,1,0,null,null
22,3.3,MJ Guptill,BB McCullum,KMDN Kulasekara,0,0,null,0,0,null,null
23,3.4,MJ Guptill,BB McCullum,KMDN Kulasekara,0,0,null,0,0,null,null
24,3.5,MJ Guptill,BB McCullum,KMDN Kulasekara,4,0,null,4,0,null,null
25,3.6,MJ Guptill,BB McCullum,KMDN Kulasekara,1,0,null,1,0,null,null
26,4.1,MJ Guptill,BB McCullum,AD Mathews,1,0,null,1,0,null,null
27,4.2,BB McCullum,MJ Guptill,AD Mathews,1,0,null,1,0,null,null
28,4.3,MJ Guptill,BB McCullum,AD Mathews,0,0,null,0,0,null,null
29,4.4,MJ Guptill,BB McCullum,AD Mathews,0,0,null,0,0,null,null
30,4.5,MJ Guptill,BB McCullum,AD Mathews,1,0,null,1,0,null,null
