,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,FDM Karunaratne,TM Dilshan,TA Boult,1,0,null,1,0,null,null
1,0.2,TM Dilshan,FDM Karunaratne,TA Boult,0,0,null,0,0,null,null
2,0.3,TM Dilshan,FDM Karunaratne,TA Boult,0,0,null,0,0,null,null
3,0.4,TM Dilshan,FDM Karunaratne,TA Boult,0,1,wides ,1,0,null,null
4,0.5,TM Dilshan,FDM Karunaratne,TA Boult,0,1,wides ,1,0,null,null
5,0.6,TM Dilshan,FDM Karunaratne,TA Boult,0,0,null,0,0,null,null
6,0.7,TM Dilshan,FDM Karunaratne,TA Boult,0,0,null,0,0,null,null
7,0.8,TM Dilshan,FDM Karunaratne,TA Boult,0,0,null,0,0,null,null
8,1.1,FDM Karunaratne,TM Dilshan,AF Milne,1,0,null,1,0,null,null
9,1.2,TM Dilshan,FDM Karunaratne,AF Milne,0,0,null,0,0,null,null
10,1.3,TM Dilshan,FDM Karunaratne,AF Milne,0,0,null,0,0,null,null
11,1.4,TM Dilshan,FDM Karunaratne,AF Milne,0,0,null,0,0,null,null
12,1.5,TM Dilshan,FDM Karunaratne,AF Milne,0,0,null,0,0,null,null
13,1.6,TM Dilshan,FDM Karunaratne,AF Milne,0,0,null,0,0,null,null
14,2.1,FDM Karunaratne,TM Dilshan,TA Boult,2,0,null,2,0,null,null
15,2.2,FDM Karunaratne,TM Dilshan,TA Boult,0,0,null,0,0,null,null
16,2.3,FDM Karunaratne,TM Dilshan,TA Boult,0,1,wides ,1,0,null,null
17,2.4,FDM Karunaratne,TM Dilshan,TA Boult,0,0,null,0,0,null,null
18,2.5,FDM Karunaratne,TM Dilshan,TA Boult,1,0,null,1,0,null,null
19,2.6,TM Dilshan,FDM Karunaratne,TA Boult,0,0,null,0,0,null,null
20,2.7,TM Dilshan,FDM Karunaratne,TA Boult,2,0,null,2,0,null,null
21,3.1,FDM Karunaratne,TM Dilshan,AF Milne,0,0,null,0,0,null,null
22,3.2,FDM Karunaratne,TM Dilshan,AF Milne,0,0,null,0,1,FDM Karunaratne,lbw
23,3.3,KC Sangakkara,TM Dilshan,AF Milne,0,0,null,0,0,null,null
