,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,MJ Guptill,JD Ryder,SP Narine,0,0,null,0,0,null,null
1,0.2,MJ Guptill,JD Ryder,SP Narine,0,0,null,0,0,null,null
2,0.3,MJ Guptill,JD Ryder,SP Narine,1,0,null,1,0,null,null
3,0.4,JD Ryder,MJ Guptill,SP Narine,4,0,null,4,0,null,null
4,0.5,JD Ryder,MJ Guptill,SP Narine,0,0,null,0,0,null,null
5,0.6,JD Ryder,MJ Guptill,SP Narine,0,0,null,0,0,null,null
6,1.1,MJ Guptill,JD Ryder,JO Holder,0,0,null,0,0,null,null
7,1.2,MJ Guptill,JD Ryder,JO Holder,0,0,null,0,0,null,null
8,1.3,MJ Guptill,JD Ryder,JO Holder,0,0,null,0,0,null,null
9,1.4,MJ Guptill,JD Ryder,JO Holder,0,0,null,0,1,MJ Guptill,caught
10,1.5,BB McCullum,JD Ryder,JO Holder,4,0,null,4,0,null,null
11,1.6,BB McCullum,JD Ryder,JO Holder,4,0,null,4,0,null,null
12,2.1,JD Ryder,BB McCullum,R Rampaul,4,0,null,4,0,null,null
13,2.2,JD Ryder,BB McCullum,R Rampaul,1,0,null,1,0,null,null
14,2.3,BB McCullum,JD Ryder,R Rampaul,6,0,null,6,0,null,null
15,2.4,BB McCullum,JD Ryder,R Rampaul,6,0,null,6,0,null,null
16,2.5,BB McCullum,JD Ryder,R Rampaul,4,0,null,4,0,null,null
17,2.6,BB McCullum,JD Ryder,R Rampaul,1,0,null,1,0,null,null
18,3.1,BB McCullum,JD Ryder,JO Holder,1,0,null,1,0,null,null
19,3.2,JD Ryder,BB McCullum,JO Holder,6,0,null,6,0,null,null
20,3.3,JD Ryder,BB McCullum,JO Holder,0,0,null,0,0,null,null
21,3.4,JD Ryder,BB McCullum,JO Holder,0,0,null,0,0,null,null
22,3.5,JD Ryder,BB McCullum,JO Holder,6,0,null,6,0,null,null
23,3.6,JD Ryder,BB McCullum,JO Holder,0,0,null,0,0,null,null
24,4.1,BB McCullum,JD Ryder,SP Narine,1,0,null,1,0,null,null
25,4.2,JD Ryder,BB McCullum,SP Narine,1,0,null,1,0,null,null
26,4.3,BB McCullum,JD Ryder,SP Narine,6,0,null,6,0,null,null
27,4.4,BB McCullum,JD Ryder,SP Narine,0,0,null,0,0,null,null
28,4.5,BB McCullum,JD Ryder,SP Narine,0,0,null,0,1,BB McCullum,caught
29,4.6,JD Ryder,LRPL Taylor,SP Narine,1,0,null,1,0,null,null
30,5.1,JD Ryder,LRPL Taylor,NO Miller,1,0,null,1,0,null,null
31,5.2,LRPL Taylor,JD Ryder,NO Miller,0,0,null,0,0,null,null
32,5.3,LRPL Taylor,JD Ryder,NO Miller,1,0,null,1,0,null,null
33,5.4,JD Ryder,LRPL Taylor,NO Miller,1,0,null,1,0,null,null
34,5.5,LRPL Taylor,JD Ryder,NO Miller,0,0,null,0,0,null,null
35,5.6,LRPL Taylor,JD Ryder,NO Miller,4,0,null,4,0,null,null
36,6.1,JD Ryder,LRPL Taylor,R Rampaul,1,0,null,1,0,null,null
37,6.2,LRPL Taylor,JD Ryder,R Rampaul,1,0,null,1,0,null,null
38,6.3,JD Ryder,LRPL Taylor,R Rampaul,4,0,null,4,0,null,null
39,6.4,JD Ryder,LRPL Taylor,R Rampaul,4,0,null,4,0,null,null
40,6.5,JD Ryder,LRPL Taylor,R Rampaul,6,0,null,6,0,null,null
41,6.6,JD Ryder,LRPL Taylor,R Rampaul,0,0,null,0,0,null,null
42,7.1,LRPL Taylor,JD Ryder,NO Miller,1,0,null,1,0,null,null
43,7.2,JD Ryder,LRPL Taylor,NO Miller,1,0,null,1,0,null,null
44,7.3,LRPL Taylor,JD Ryder,NO Miller,2,0,null,2,0,null,null
45,7.4,LRPL Taylor,JD Ryder,NO Miller,0,0,null,0,1,LRPL Taylor,caught
46,7.5,JD Ryder,CJ Anderson,NO Miller,1,0,null,1,0,null,null
47,7.6,CJ Anderson,JD Ryder,NO Miller,1,0,null,1,0,null,null
48,8.1,CJ Anderson,JD Ryder,DJ Bravo,0,0,null,0,0,null,null
49,8.2,CJ Anderson,JD Ryder,DJ Bravo,4,0,null,4,0,null,null
50,8.3,CJ Anderson,JD Ryder,DJ Bravo,1,0,null,1,0,null,null
51,8.4,JD Ryder,CJ Anderson,DJ Bravo,2,0,null,2,0,null,null
52,8.5,JD Ryder,CJ Anderson,DJ Bravo,6,0,null,6,0,null,null
53,8.6,JD Ryder,CJ Anderson,DJ Bravo,1,0,null,1,0,null,null
54,9.1,JD Ryder,CJ Anderson,NO Miller,2,0,null,2,0,null,null
55,9.2,JD Ryder,CJ Anderson,NO Miller,0,0,null,0,0,null,null
56,9.3,JD Ryder,CJ Anderson,NO Miller,0,0,null,0,0,null,null
57,9.4,JD Ryder,CJ Anderson,NO Miller,1,0,null,1,0,null,null
58,9.5,CJ Anderson,JD Ryder,NO Miller,0,0,null,0,0,null,null
59,9.6,CJ Anderson,JD Ryder,NO Miller,1,0,null,1,0,null,null
60,10.1,CJ Anderson,JD Ryder,SP Narine,0,1,wides ,1,0,null,null
61,10.2,CJ Anderson,JD Ryder,SP Narine,6,0,null,6,0,null,null
62,10.3,CJ Anderson,JD Ryder,SP Narine,1,0,null,1,0,null,null
63,10.4,JD Ryder,CJ Anderson,SP Narine,1,0,null,1,0,null,null
64,10.5,CJ Anderson,JD Ryder,SP Narine,0,0,null,0,0,null,null
65,10.6,CJ Anderson,JD Ryder,SP Narine,2,0,null,2,0,null,null
66,10.7,CJ Anderson,JD Ryder,SP Narine,1,0,null,1,0,null,null
67,11.1,CJ Anderson,JD Ryder,JO Holder,4,0,null,4,0,null,null
68,11.2,CJ Anderson,JD Ryder,JO Holder,6,0,null,6,0,null,null
69,11.3,CJ Anderson,JD Ryder,JO Holder,1,0,null,1,0,null,null
70,11.4,JD Ryder,CJ Anderson,JO Holder,4,0,null,4,0,null,null
71,11.5,JD Ryder,CJ Anderson,JO Holder,4,0,null,4,0,null,null
72,11.6,JD Ryder,CJ Anderson,JO Holder,0,0,null,0,0,null,null
73,12.1,CJ Anderson,JD Ryder,SP Narine,6,0,null,6,0,null,null
74,12.2,CJ Anderson,JD Ryder,SP Narine,6,0,null,6,0,null,null
75,12.3,CJ Anderson,JD Ryder,SP Narine,0,0,null,0,0,null,null
76,12.4,CJ Anderson,JD Ryder,SP Narine,6,0,null,6,0,null,null
77,12.5,CJ Anderson,JD Ryder,SP Narine,0,0,null,0,0,null,null
78,12.6,CJ Anderson,JD Ryder,SP Narine,6,0,null,6,0,null,null
79,13.1,JD Ryder,CJ Anderson,DJ Bravo,1,0,null,1,0,null,null
80,13.2,CJ Anderson,JD Ryder,DJ Bravo,1,0,null,1,0,null,null
81,13.3,JD Ryder,CJ Anderson,DJ Bravo,1,0,null,1,0,null,null
